,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,20.3,,,
1,2015-01-05,19.87,-0.0214,,
2,2015-01-06,19.63,-0.0125,,
3,2015-01-07,19.73,0.0052,,
4,2015-01-08,19.93,0.0101,,
5,2015-01-09,19.69,-0.0119,,
6,2015-01-12,19.82,0.0065,,
7,2015-01-13,19.8,-0.0013,,
8,2015-01-14,19.65,-0.0075,,
9,2015-01-15,19.64,-0.0003,,
10,2015-01-16,19.69,0.0026,,
11,2015-01-20,19.87,0.0088,,
12,2015-01-21,19.81,-0.0028,,
13,2015-01-22,20.19,0.019,,
14,2015-01-23,20.12,-0.0033,,
15,2015-01-26,20.0,-0.0061,,
16,2015-01-27,19.89,-0.0054,,
17,2015-01-28,19.67,-0.0114,,
18,2015-01-29,19.23,-0.0224,,
19,2015-01-30,19.06,-0.0088,,
20,2015-02-02,19.6,0.0279,,
21,2015-02-03,20.3,0.0352,,
22,2015-02-04,20.21,-0.0046,,
23,2015-02-05,19.71,-0.0252,,
24,2015-02-06,19.78,0.0034,,
25,2015-02-09,20.34,0.0284,,
26,2015-02-10,20.61,0.0128,,
27,2015-02-11,20.78,0.0084,,
28,2015-02-12,20.15,-0.0308,,
29,2015-02-13,20.24,0.0043,,
30,2015-02-17,20.12,-0.0058,,
31,2015-02-18,19.24,-0.0448,,
32,2015-02-19,19.28,0.0021,,
33,2015-02-20,18.99,-0.0153,,
34,2015-02-23,18.79,-0.0106,,
35,2015-02-24,19.01,0.0117,,
36,2015-02-25,19.13,0.0065,,
37,2015-02-26,19.18,0.0027,,
38,2015-02-27,19.42,0.0122,,
39,2015-03-02,19.3,-0.0061,,
40,2015-03-03,19.32,0.0013,,
41,2015-03-04,18.86,-0.0243,,
42,2015-03-05,18.8,-0.0033,,
43,2015-03-06,18.43,-0.0198,,
44,2015-03-09,18.33,-0.0054,,
45,2015-03-10,18.28,-0.0028,,
46,2015-03-11,18.36,0.0045,,
47,2015-03-12,18.32,-0.0023,,
48,2015-03-13,17.91,-0.0227,,
49,2015-03-16,17.95,0.0023,,
50,2015-03-17,18.28,0.0181,0.131807,11.985266170878873
51,2015-03-18,18.27,-0.0003,0.133798,12.166308641659786
52,2015-03-19,18.14,-0.0074,0.13694,12.452012028497371
53,2015-03-20,18.37,0.0125,0.141063,12.826918159602194
54,2015-03-23,18.38,0.0006,0.143365,13.036239991715535
55,2015-03-24,18.31,-0.0037,0.144875,13.173544929374591
56,2015-03-25,18.02,-0.0158,0.147068,13.372955345458239
57,2015-03-26,17.98,-0.0023,0.150291,13.666024096501376
58,2015-03-27,17.74,-0.0134,0.153452,13.953455161362484
59,2015-03-30,17.72,-0.0012,0.158116,14.377554650926612
60,2015-03-31,17.98,0.0143,0.162461,14.772647335779984
61,2015-04-01,18.47,0.0271,0.16478500000000001,14.983969637183725
62,2015-04-02,18.43,-0.002,0.164354,14.944778625176404
63,2015-04-06,18.41,-0.0014,0.164045,14.916681124688557
64,2015-04-07,18.42,0.0008,0.161946,14.725818168300242
65,2015-04-08,18.47,0.0025,0.15984299999999999,14.53459149022276
66,2015-04-09,18.66,0.0104,0.157969,14.364187878849869
67,2015-04-10,18.64,-0.0014,0.156036,14.188419372561821
68,2015-04-13,18.51,-0.0067,0.15491,14.086031717062419
69,2015-04-14,18.56,0.0028,0.155031,14.0970342981596
70,2015-04-15,18.83,0.0142,0.155225,14.11467480008401
71,2015-04-16,18.36,-0.0255,0.15398699999999999,14.002102937288042
72,2015-04-17,18.04,-0.0172,0.149445,13.589096959243387
73,2015-04-20,18.32,0.0155,0.146014,13.277114680363773
74,2015-04-21,18.89,0.0302,0.144319,13.122987614580925
75,2015-04-22,18.87,-0.0008,0.141655,12.880748969598327
76,2015-04-23,19.07,0.0107,0.13469699999999998,12.248055091299182
77,2015-04-24,18.94,-0.0068,0.124681,11.337295981634881
78,2015-04-27,18.88,-0.0033,0.110808,10.075818233195097
79,2015-04-28,19.14,0.0134,0.103047,9.370107225796469
80,2015-04-29,18.89,-0.0129,0.094125,8.558825998118262
81,2015-04-30,18.71,-0.0097,0.084773,7.708444688855028
82,2015-05-01,18.8,0.005,0.082897,7.537859216637552
83,2015-05-04,18.74,-0.0033,0.08083399999999999,7.350269755451704
84,2015-05-05,18.48,-0.0143,0.080137,7.286891251115041
85,2015-05-06,17.97,-0.028,0.079904,7.265704462721293
86,2015-05-07,18.03,0.0035,0.08039,7.309896647954605
87,2015-05-08,18.18,0.0086,0.079737,7.2505190821987355
88,2015-05-11,17.9,-0.0159,0.07796299999999999,7.089208513054917
89,2015-05-12,18.21,0.0173,0.075179,6.836058217397428
90,2015-05-13,17.87,-0.0187,0.071741,6.523439425561778
91,2015-05-14,17.87,-0.0003,0.068963,6.270834712438032
92,2015-05-15,17.95,0.0046,0.069272,6.2989322129258785
93,2015-05-18,17.9,-0.0029,0.069272,6.2989322129258785
94,2015-05-19,17.67,-0.0129,0.070387,6.400319633780082
95,2015-05-20,17.88,0.0117,0.07278699999999999,6.618552647277917
96,2015-05-21,17.82,-0.0032,0.073846,6.7148479644838375
97,2015-05-22,17.66,-0.0088,0.075133,6.8318754179720536
98,2015-05-26,17.48,-0.0104,0.07721499999999999,7.021192557181425
99,2015-05-27,17.66,0.0101,0.079689,7.246154421928778
100,2015-05-28,17.72,0.0035,0.081023,7.3674556052646585
101,2015-05-29,17.57,-0.0084,0.08249599999999999,7.501396117298955
102,2015-06-01,17.38,-0.0112,0.08470599999999999,7.702352350561546
103,2015-06-02,17.43,0.0027,0.088019,8.003604839610851
104,2015-06-03,17.44,0.0009,0.090765,8.253299779221292
105,2015-06-04,17.36,-0.0049,0.09317600000000001,8.472533027364328
106,2015-06-05,17.01,-0.02,0.095993,8.728684026957412
107,2015-06-08,17.03,0.0012,0.101114,9.19433871950842
108,2015-06-09,16.95,-0.0047,0.10563,9.604980506573515
109,2015-06-10,17.06,0.0059,0.11,10.00234645198416
110,2015-06-11,17.3,0.0145,0.11332800000000001,10.304962897367826
111,2015-06-12,17.21,-0.0052,0.11544800000000001,10.497735392624248
112,2015-06-15,17.11,-0.0059,0.117556,10.68941672281318
113,2015-06-16,17.03,-0.0046,0.12008200000000001,10.919106969519653
114,2015-06-17,17.03,-0.0003,0.12286899999999999,11.172530056444014
115,2015-06-18,17.11,0.0046,0.125363,11.399310529637184
116,2015-06-19,17.16,0.0031,0.12703,11.550891543595888
117,2015-06-22,17.26,0.0058,0.127522,11.595629311362945
118,2015-06-23,17.21,-0.0031,0.127441,11.588263947157392
119,2015-06-24,16.85,-0.0208,0.127837,11.624272394384535
120,2015-06-25,15.82,-0.0635,0.129549,11.779945277346325
121,2015-06-26,15.85,0.0023,0.138117,12.5590371355336
122,2015-06-29,15.61,-0.0155,0.146931,13.360497877604404
123,2015-06-30,15.53,-0.0051,0.157668,14.336817821740349
124,2015-07-01,15.63,0.0064,0.16726500000000002,15.209477084464824
125,2015-07-02,15.65,0.0014,0.172373,15.673949681526048
126,2015-07-06,15.57,-0.0054,0.17636500000000002,16.036943927310784
127,2015-07-07,15.8,0.0145,0.17877700000000002,16.25626810587611
128,2015-07-08,15.59,-0.0131,0.179418,16.314554506564487
129,2015-07-09,15.59,0.0,0.181035,16.461588999408658
130,2015-07-10,15.73,0.0091,0.179908,16.359110413486967
131,2015-07-13,15.86,0.008,0.178686,16.24799343744765
132,2015-07-14,15.85,-0.0007,0.177188,16.111779664856083
133,2015-07-15,15.69,-0.0104,0.17437000000000002,15.85553773484071
134,2015-07-16,16.12,0.0273,0.17210999999999999,15.650034980463577
135,2015-07-17,16.36,0.0147,0.168916,15.359603211666876
136,2015-07-20,16.12,-0.0143,0.167391,15.220934317673459
137,2015-07-21,15.71,-0.0259,0.16599699999999998,15.094177309000129
138,2015-07-22,15.43,-0.018,0.16511199999999998,15.013703885272802
139,2015-07-23,15.31,-0.0079,0.166819,15.16892211612314
140,2015-07-24,14.82,-0.0326,0.166887,15.175105384838913
141,2015-07-27,14.87,0.0032,0.17173200000000002,15.615663280837671
142,2015-07-28,14.92,0.0036,0.17532499999999998,15.942376288128386
143,2015-07-29,14.89,-0.0021,0.177253,16.117690142304983
144,2015-07-30,14.89,0.0,0.178916,16.268907434574523
145,2015-07-31,15.12,0.0155,0.181086,16.466226450945484
146,2015-08-03,15.28,0.0104,0.180095,16.376114402455336
147,2015-08-04,15.03,-0.0164,0.178077,16.192616810272575
148,2015-08-05,15.1,0.0046,0.177633,16.152243702775475
149,2015-08-06,14.77,-0.0223,0.177295,16.121509220041194
