,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,55.76,,,
1,2015-01-05,52.95,-0.0516,,
2,2015-01-06,51.83,-0.0214,,
3,2015-01-07,52.37,0.0104,,
4,2015-01-08,54.47,0.0392,,
5,2015-01-09,55.0,0.0097,,
6,2015-01-12,53.03,-0.0365,,
7,2015-01-13,52.44,-0.0112,,
8,2015-01-14,51.78,-0.0126,,
9,2015-01-15,52.42,0.0122,,
10,2015-01-16,55.6,0.0589,,
11,2015-01-20,54.27,-0.0241,,
12,2015-01-21,56.67,0.0432,,
13,2015-01-22,56.69,0.0004,,
14,2015-01-23,56.27,-0.0075,,
15,2015-01-26,55.2,-0.0191,,
16,2015-01-27,54.78,-0.0076,,
17,2015-01-28,53.24,-0.0285,,
18,2015-01-29,54.16,0.017,,
19,2015-01-30,55.08,0.0168,,
20,2015-02-02,57.1,0.0361,,
21,2015-02-03,60.51,0.058,,
22,2015-02-04,59.43,-0.018,,
23,2015-02-05,61.04,0.0266,,
24,2015-02-06,60.46,-0.0095,,
25,2015-02-09,61.52,0.0174,,
26,2015-02-10,61.43,-0.0015,,
27,2015-02-11,60.71,-0.0117,,
28,2015-02-12,62.53,0.0296,,
29,2015-02-13,62.67,0.0021,,
30,2015-02-17,62.63,-0.0006,,
31,2015-02-18,62.32,-0.005,,
32,2015-02-19,63.54,0.0194,,
33,2015-02-20,63.0,-0.0085,,
34,2015-02-23,63.75,0.0119,,
35,2015-02-24,63.59,-0.0025,,
36,2015-02-25,62.39,-0.0191,,
37,2015-02-26,60.89,-0.0244,,
38,2015-02-27,60.3,-0.0097,,
39,2015-03-02,60.43,0.0022,,
40,2015-03-03,60.7,0.0045,,
41,2015-03-04,61.23,0.0086,,
42,2015-03-05,61.75,0.0084,,
43,2015-03-06,61.34,-0.0066,,
44,2015-03-09,61.48,0.0023,,
45,2015-03-10,59.22,-0.0375,,
46,2015-03-11,59.73,0.0086,,
47,2015-03-12,60.37,0.0106,,
48,2015-03-13,58.76,-0.0271,,
49,2015-03-16,59.85,0.0183,,
50,2015-03-17,58.01,-0.0311,0.720442,76.53886335853096
51,2015-03-18,60.93,0.049,0.7169110000000001,76.16373430370216
52,2015-03-19,59.67,-0.0208,0.703875,74.77880585319286
53,2015-03-20,60.03,0.006,0.679337,72.17191920709001
54,2015-03-23,60.63,0.0099,0.657063,69.80555710931125
55,2015-03-24,60.39,-0.0039,0.6472060000000001,68.75836167078181
56,2015-03-25,59.94,-0.0075,0.638641,67.8484267077094
57,2015-03-26,61.66,0.0284,0.616456,65.49151985940098
58,2015-03-27,60.75,-0.0149,0.590265,62.70902054616926
59,2015-03-30,61.6,0.0139,0.552076,58.651868613329505
60,2015-03-31,61.62,0.0003,0.517471,54.975476389497516
61,2015-04-01,62.2,0.0094,0.506472,53.80695628922508
62,2015-04-02,61.75,-0.0074,0.48545299999999997,51.57392383285389
63,2015-04-06,63.83,0.0332,0.478189,50.80220549406136
64,2015-04-07,64.45,0.0096,0.478249,50.808579819546985
65,2015-04-08,64.05,-0.0062,0.477592,50.738780955479434
66,2015-04-09,63.69,-0.0057,0.46422800000000003,49.31900619231543
67,2015-04-10,64.16,0.0074,0.441929,46.94998812558433
68,2015-04-13,63.94,-0.0034,0.398279,42.312666334794955
69,2015-04-14,65.48,0.0239,0.357483,37.97854995960496
70,2015-04-15,67.74,0.0339,0.333104,35.38855527603901
71,2015-04-16,67.31,-0.0063,0.35267899999999996,37.4681789657229
72,2015-04-17,67.13,-0.0027,0.38250500000000004,40.636856164625165
73,2015-04-20,67.62,0.0073,0.402781,42.79095322373273
74,2015-04-21,67.76,0.0021,0.429797,45.661099512391736
75,2015-04-22,68.16,0.0058,0.453628,48.19287535652235
76,2015-04-23,68.48,0.0047,0.48032600000000003,51.029237720107574
77,2015-04-24,70.77,0.0329,0.506933,53.855932356706255
78,2015-04-27,72.66,0.0264,0.5510430000000001,58.54212397621873
79,2015-04-28,73.09,0.0059,0.61291,65.11479722320075
80,2015-04-29,73.31,0.003,0.671515,71.3409196412812
81,2015-04-30,72.66,-0.0089,0.7253449999999999,77.05975198946429
82,2015-05-01,73.34,0.0094,0.766976,81.48257772766252
83,2015-05-04,72.9,-0.006,0.811279,86.18927342748705
