,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,19.92,,,
1,2015-01-05,19.58,-0.0173,,
2,2015-01-06,19.55,-0.0012,,
3,2015-01-07,19.85,0.015,,
4,2015-01-08,20.64,0.0391,,
5,2015-01-09,20.29,-0.0172,,
6,2015-01-12,20.14,-0.0075,,
7,2015-01-13,19.79,-0.0176,,
8,2015-01-14,19.55,-0.0122,,
9,2015-01-15,18.99,-0.0286,,
10,2015-01-16,19.32,0.0171,,
11,2015-01-20,18.95,-0.0196,,
12,2015-01-21,19.27,0.0167,,
13,2015-01-22,19.68,0.0213,,
14,2015-01-23,19.71,0.0012,,
15,2015-01-26,20.26,0.0276,,
16,2015-01-27,20.11,-0.0075,,
17,2015-01-28,20.0,-0.0052,,
18,2015-01-29,20.32,0.0159,,
19,2015-01-30,19.86,-0.0231,,
20,2015-02-02,20.11,0.0128,,
21,2015-02-03,20.76,0.0317,,
22,2015-02-04,20.88,0.0058,,
23,2015-02-05,20.46,-0.0205,,
24,2015-02-06,20.83,0.0178,,
25,2015-02-09,20.95,0.0061,,
26,2015-02-10,21.04,0.0042,,
27,2015-02-11,20.88,-0.0076,,
28,2015-02-12,21.13,0.0118,,
29,2015-02-13,21.15,0.0008,,
30,2015-02-17,21.4,0.012,,
31,2015-02-18,21.31,-0.0041,,
32,2015-02-19,21.42,0.0049,,
33,2015-02-20,21.39,-0.0015,,
34,2015-02-23,21.24,-0.0068,,
35,2015-02-24,21.46,0.0101,,
36,2015-02-25,21.42,-0.0019,,
37,2015-02-26,20.96,-0.0215,,
38,2015-02-27,20.94,-0.0011,,
39,2015-03-02,21.21,0.0129,,
40,2015-03-03,21.1,-0.0053,,
41,2015-03-04,21.17,0.0034,,
42,2015-03-05,21.45,0.0131,,
43,2015-03-06,20.76,-0.0326,,
44,2015-03-09,20.86,0.0046,,
45,2015-03-10,20.9,0.0019,,
46,2015-03-11,20.93,0.0015,,
47,2015-03-12,21.52,0.0279,,
48,2015-03-13,21.15,-0.0172,,
49,2015-03-16,21.02,-0.0064,,
50,2015-03-17,20.66,-0.0173,0.139153,16.798771480125808
51,2015-03-18,20.95,0.0142,0.138087,16.670082264673646
52,2015-03-19,21.0,0.0023,0.13574,16.386748691816038
53,2015-03-20,21.39,0.0185,0.133094,16.06731936340477
54,2015-03-23,21.28,-0.0052,0.13295500000000002,16.050539062327992
55,2015-03-24,21.42,0.0064,0.134032,16.180556215275434
56,2015-03-25,20.89,-0.0249,0.135132,16.313349964803926
57,2015-03-26,20.67,-0.0108,0.134375,16.221963720810223
58,2015-03-27,20.95,0.0138,0.131983,15.933197676380992
59,2015-03-30,21.15,0.0091,0.128071,15.460934814421478
60,2015-03-31,21.35,0.0094,0.118984,14.363937721725648
61,2015-04-01,20.84,-0.0239,0.112761,13.612687264165817
62,2015-04-02,21.28,0.0209,0.100061,12.079523065064125
63,2015-04-06,21.48,0.0093,0.090337,10.905626319232248
64,2015-04-07,21.02,-0.0218,0.085032,10.26519828173347
65,2015-04-08,21.11,0.0046,0.077859,9.399262313217214
66,2015-04-09,21.11,-0.0004,0.07539799999999999,9.102166479044831
67,2015-04-10,21.31,0.0098,0.071397,8.61915939553256
68,2015-04-13,21.22,-0.0045,0.066209,7.992855784119994
69,2015-04-14,21.2,-0.0008,0.06337,7.650127188746001
70,2015-04-15,21.27,0.003,0.054215,6.544921027897498
71,2015-04-16,20.75,-0.0244,0.047414,5.72389349103997
72,2015-04-17,20.58,-0.0085,0.047462,5.729688127383032
73,2015-04-20,20.67,0.0047,0.04921299999999999,5.941071632314296
74,2015-04-21,21.14,0.0223,0.047443,5.727394417163903
75,2015-04-22,21.54,0.0188,0.046832000000000006,5.65363352538035
76,2015-04-23,21.02,-0.0245,0.048042999999999995,5.799827371452172
77,2015-04-24,21.01,-0.0004,0.048076999999999995,5.803931905528507
78,2015-04-27,21.09,0.0038,0.047728,5.761800070450831
79,2015-04-28,21.61,0.0244,0.047735,5.762645121584194
80,2015-04-29,21.48,-0.006,0.049532999999999994,5.979702541268039
81,2015-04-30,21.25,-0.0109,0.049912,6.025456024060129
82,2015-05-01,21.77,0.0242,0.04977,6.008313558211906
83,2015-05-04,21.96,0.0088,0.05215,6.2956309435553734
84,2015-05-05,21.47,-0.0229,0.056366,6.804593169020943
85,2015-05-06,20.95,-0.0246,0.056963999999999994,6.8767846801282495
86,2015-05-07,21.17,0.0107,0.056616,6.834773566641054
87,2015-05-08,21.22,0.0023,0.056119,6.774774936172272
88,2015-05-11,21.35,0.0064,0.055942,6.753407214657233
89,2015-05-12,21.12,-0.011,0.055927,6.751596390800025
90,2015-05-13,21.25,0.0061,0.055911,6.7496648453523385
91,2015-05-14,21.79,0.025,0.055954,6.754855873742997
92,2015-05-15,21.5,-0.0133,0.058515,7.064023866963425
93,2015-05-18,21.82,0.0148,0.058709,7.087443855516632
94,2015-05-19,22.28,0.0207,0.060202,7.267681190103941
95,2015-05-20,21.92,-0.016,0.066295,8.003237840901313
96,2015-05-21,22.31,0.0174,0.06837900000000001,8.254821635462568
97,2015-05-22,21.93,-0.017,0.07370199999999999,8.89742266158999
98,2015-05-26,21.81,-0.0055,0.07557699999999999,9.123775643740831
99,2015-05-27,22.08,0.0121,0.076881,9.281196597727337
100,2015-05-28,22.13,0.0025,0.079403,9.585656448919027
101,2015-05-29,21.72,-0.019,0.080403,9.706378039399477
102,2015-06-01,21.95,0.0107,0.08033,9.697565363294402
103,2015-06-02,22.04,0.004,0.08131500000000001,9.816476129917646
104,2015-06-03,22.26,0.0101,0.083277,10.053331890440283
105,2015-06-04,21.93,-0.0149,0.086518,10.444590565187417
106,2015-06-05,22.0,0.0029,0.087688,10.58583482604954
107,2015-06-08,21.71,-0.0132,0.087855,10.605995331659775
108,2015-06-09,21.88,0.0081,0.08552699999999999,10.32495546902129
109,2015-06-10,22.37,0.0218,0.08514,10.278236213505357
110,2015-06-11,22.4,0.0014,0.087948,10.617222439574457
111,2015-06-12,22.26,-0.0061,0.09110599999999999,10.998461222311711
112,2015-06-15,22.0,-0.0116,0.091291,11.020794716550595
113,2015-06-16,21.96,-0.0018,0.091797,11.081879841333702
114,2015-06-17,22.02,0.0026,0.09239800000000001,11.154433517212452
