,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,19.46,,,
1,2015-01-05,19.02,-0.0225,,
2,2015-01-06,18.66,-0.0196,,
3,2015-01-07,18.76,0.0056,,
4,2015-01-08,19.36,0.0314,,
5,2015-01-09,19.31,-0.0027,,
6,2015-01-12,19.09,-0.0111,,
7,2015-01-13,19.07,-0.0014,,
8,2015-01-14,19.52,0.0234,,
9,2015-01-15,19.28,-0.0123,,
10,2015-01-16,19.44,0.0085,,
11,2015-01-20,19.63,0.0093,,
12,2015-01-21,20.02,0.0199,,
13,2015-01-22,20.18,0.008,,
14,2015-01-23,20.17,-0.0004,,
15,2015-01-26,20.29,0.0058,,
16,2015-01-27,19.86,-0.0216,,
17,2015-01-28,19.82,-0.0017,,
18,2015-01-29,19.88,0.0031,,
19,2015-01-30,19.56,-0.0165,,
20,2015-02-02,19.41,-0.0073,,
21,2015-02-03,19.77,0.0181,,
22,2015-02-04,20.09,0.0161,,
23,2015-02-05,21.27,0.0568,,
24,2015-02-06,21.09,-0.0082,,
25,2015-02-09,20.76,-0.0157,,
26,2015-02-10,21.2,0.0207,,
27,2015-02-11,21.19,-0.0002,,
28,2015-02-12,21.67,0.0225,,
29,2015-02-13,21.99,0.0145,,
30,2015-02-17,22.08,0.0039,,
31,2015-02-18,21.99,-0.0039,,
32,2015-02-19,22.07,0.0035,,
33,2015-02-20,22.24,0.0079,,
34,2015-02-23,22.11,-0.0061,,
35,2015-02-24,22.5,0.0178,,
36,2015-02-25,22.43,-0.0035,,
37,2015-02-26,22.48,0.0023,,
38,2015-02-27,22.39,-0.0039,,
39,2015-03-02,22.89,0.022,,
40,2015-03-03,22.46,-0.0189,,
41,2015-03-04,22.48,0.001,,
42,2015-03-05,22.22,-0.0117,,
43,2015-03-06,22.16,-0.0026,,
44,2015-03-09,22.42,0.0114,,
45,2015-03-10,21.63,-0.0357,,
46,2015-03-11,21.41,-0.0104,,
47,2015-03-12,21.7,0.0136,,
48,2015-03-13,21.63,-0.0034,,
49,2015-03-16,22.02,0.0182,,
50,2015-03-17,21.72,-0.014,0.248642,23.949986270638853
51,2015-03-18,21.93,0.0096,0.246757,23.76841709037102
52,2015-03-19,21.97,0.0018,0.24286200000000002,23.393238333265874
53,2015-03-20,22.22,0.0113,0.235982,22.730534906081424
54,2015-03-23,22.0,-0.0097,0.229803,22.13535402285865
55,2015-03-24,21.67,-0.0152,0.226108,21.779439900264677
56,2015-03-25,21.0,-0.0313,0.22082999999999997,21.271046195514742
57,2015-03-26,21.05,0.0025,0.213279,20.543709919545304
58,2015-03-27,21.49,0.0205,0.204938,19.74027833725672
59,2015-03-30,21.79,0.0137,0.19930900000000001,19.198075198939677
60,2015-03-31,21.36,-0.02,0.19176200000000002,18.47112421566046
61,2015-04-01,21.1,-0.0121,0.184438,17.7656532998612
62,2015-04-02,21.04,-0.0027,0.178155,17.160454806692613
63,2015-04-06,21.1,0.0029,0.174295,16.78864736062692
64,2015-04-07,21.37,0.0125,0.17110299999999998,16.481183793828553
65,2015-04-08,21.36,-0.0002,0.16744,16.12835201275637
66,2015-04-09,21.57,0.0098,0.164243,15.820406830095225
67,2015-04-10,21.84,0.0121,0.157868,15.206346605051497
68,2015-04-13,21.63,-0.0094,0.150808,14.526305006806991
69,2015-04-14,21.31,-0.0148,0.143407,13.813417206720931
70,2015-04-15,21.88,0.0265,0.132087,12.723038893388383
71,2015-04-16,21.95,0.003,0.117007,11.270485451245728
72,2015-04-17,21.49,-0.0213,0.10444200000000001,10.06018478808111
73,2015-04-20,21.67,0.0083,0.09436299999999999,9.089343531890403
74,2015-04-21,21.5,-0.0077,0.09339700000000001,8.996295347201427
75,2015-04-22,21.53,0.0014,0.091817,8.844104734563137
76,2015-04-23,21.21,-0.0149,0.08772,8.449468696601702
77,2015-04-24,20.67,-0.0259,0.087645,8.44224445866001
78,2015-04-27,20.68,0.0004,0.09139,8.802974739881776
79,2015-04-28,20.94,0.0124,0.096145,9.26099142538498
80,2015-04-29,20.8,-0.0067,0.09851499999999999,9.489277344342414
81,2015-04-30,20.81,0.0008,0.101351,9.762449861710886
82,2015-05-01,21.22,0.0193,0.103972,10.014912896979844
83,2015-05-04,21.33,0.0051,0.10424699999999999,10.041401769432712
84,2015-05-05,20.76,-0.027,0.103499,9.969352036360913
85,2015-05-06,20.57,-0.0091,0.105556,10.167488802308357
86,2015-05-07,20.7,0.0063,0.106602,10.268242840801808
87,2015-05-08,21.39,0.0324,0.10677500000000001,10.284906749653974
88,2015-05-11,21.57,0.0085,0.103836,10.001812945512246
89,2015-05-12,21.44,-0.0061,0.101165,9.744533751615494
90,2015-05-13,21.69,0.0115,0.093925,9.04715398231093
91,2015-05-14,21.77,0.0038,0.090258,8.693936908548523
92,2015-05-15,21.51,-0.0119,0.086332,8.315772133094141
93,2015-05-18,21.39,-0.0057,0.083803,8.072170829700323
94,2015-05-19,21.26,-0.0062,0.08148,7.848412099853015
95,2015-05-20,21.42,0.0074,0.07698,7.414957823351561
96,2015-05-21,21.29,-0.006,0.07674500000000001,7.39232187780093
97,2015-05-22,21.29,0.0002,0.076813,7.39887185353473
98,2015-05-26,21.01,-0.0133,0.076437,7.3626543406537195
99,2015-05-27,21.34,0.0154,0.076873,7.404651243888082
100,2015-05-28,21.5,0.0078,0.074838,7.208633587736868
101,2015-05-29,21.61,0.0051,0.074322,7.158930830698035
102,2015-06-01,21.6,-0.0008,0.073033,7.034770261273507
103,2015-06-02,21.24,-0.0164,0.071412,6.878630398560428
104,2015-06-03,21.13,-0.0056,0.067386,6.490833305850458
105,2015-06-04,20.81,-0.0149,0.065038,6.264666496689254
106,2015-06-05,20.88,0.0032,0.065689,6.327372882023131
107,2015-06-08,20.53,-0.017,0.066184,6.375052852438293
108,2015-06-09,20.61,0.0039,0.069093,6.655256961403344
109,2015-06-10,20.9,0.0142,0.071244,6.86244810557104
110,2015-06-11,20.96,0.0027,0.070457,6.786641768769563
111,2015-06-12,20.83,-0.0059,0.070835,6.823051927995684
112,2015-06-15,20.94,0.0051,0.071588,6.895583276930261
113,2015-06-16,21.0,0.0029,0.071844,6.920242009104567
114,2015-06-17,21.07,0.0033,0.072033,6.938447088717628
115,2015-06-18,21.56,0.0229,0.072065,6.941529430239417
116,2015-06-19,21.85,0.0134,0.072537,6.986993967685791
117,2015-06-22,22.18,0.0148,0.07388600000000001,7.1169339274636725
118,2015-06-23,22.08,-0.0042,0.076473,7.36612197486573
119,2015-06-24,21.77,-0.0144,0.079119,7.620993089448586
120,2015-06-25,21.71,-0.0028,0.08032,7.736677219688197
121,2015-06-26,21.3,-0.0188,0.079435,7.651431211976244
122,2015-06-29,20.76,-0.0255,0.077137,7.430080561442834
123,2015-06-30,20.87,0.0049,0.077922,7.505694251899199
124,2015-07-01,20.52,-0.0168,0.077599,7.47458186716365
125,2015-07-02,20.47,-0.0024,0.079432,7.651142242458576
126,2015-07-06,20.14,-0.0165,0.08125299999999999,7.826546739682831
127,2015-07-07,20.09,-0.0022,0.08595499999999999,8.279458297040573
128,2015-07-08,19.66,-0.0217,0.08971399999999999,8.641537102678122
129,2015-07-09,19.44,-0.0115,0.097507,9.392183586406087
130,2015-07-10,19.73,0.0151,0.107536,10.358208683968998
131,2015-07-13,19.77,0.0022,0.113405,10.923529383699451
132,2015-07-14,19.89,0.006,0.11851300000000001,11.415548149114882
133,2015-07-15,19.78,-0.0055,0.122442,11.794001894086929
134,2015-07-16,19.58,-0.0103,0.12661,12.195476877299832
135,2015-07-17,19.51,-0.0038,0.132105,12.724772710494387
136,2015-07-20,19.35,-0.0079,0.137515,13.245881074021693
137,2015-07-21,19.27,-0.0043,0.143989,13.869477293148453
138,2015-07-22,18.52,-0.0398,0.150114,14.459456725053212
139,2015-07-23,18.77,0.0137,0.16183399999999998,15.58836430740811
140,2015-07-24,18.42,-0.0189,0.17003000000000001,16.377829029676096
141,2015-07-27,18.38,-0.0022,0.17945699999999998,17.285867577360364
142,2015-07-28,18.77,0.0208,0.187556,18.065988951890432
143,2015-07-29,18.82,0.0026,0.192532,18.545293058528486
144,2015-07-30,18.88,0.0033,0.196927,18.96863340191157
145,2015-07-31,18.85,-0.0016,0.200781,19.339862908941928
146,2015-08-03,18.82,-0.0012,0.20379899999999998,19.63056624371557
147,2015-08-04,18.82,0.0,0.20686900000000003,19.926278383462122
148,2015-08-05,19.28,0.024,0.209448,20.174695845483733
149,2015-08-06,19.02,-0.0138,0.210442,20.270441079004275
150,2015-08-07,19.16,0.0076,0.211185,20.342009196213294
151,2015-08-10,19.54,0.0196,0.210258,20.252717615253996
152,2015-08-11,19.23,-0.0159,0.207299,19.96769734766115
153,2015-08-12,19.29,0.003,0.204892,19.735847471319147
154,2015-08-13,19.09,-0.0105,0.203627,19.61399865803596
155,2015-08-14,19.04,-0.0023,0.203202,19.57306130969971
156,2015-08-17,19.15,0.0053,0.20373999999999998,19.624883176534773
157,2015-08-18,18.89,-0.0136,0.203516,19.60330678588226
158,2015-08-19,18.78,-0.0058,0.20493099999999997,19.739604075048824
159,2015-08-20,18.27,-0.0273,0.206371,19.878309443529293
160,2015-08-21,17.97,-0.0168,0.208997,20.13125409466103
161,2015-08-24,17.66,-0.0173,0.21264500000000003,20.48264102814488
162,2015-08-25,17.41,-0.0143,0.218127,21.010684660096203
163,2015-08-26,18.08,0.0377,0.224131,21.5890089881217
164,2015-08-27,18.8,0.0391,0.224858,21.659035934569825
165,2015-08-28,19.02,0.0119,0.222029,21.386537679409244
166,2015-08-31,18.7,-0.0173,0.215305,20.738860667143516
167,2015-09-01,17.75,-0.0522,0.20619700000000002,19.86154921150457
168,2015-09-02,18.08,0.0184,0.19669,18.94580481001583
