,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,37.0,,,
1,2015-01-05,35.76,-0.034,,
2,2015-01-06,34.68,-0.0308,,
3,2015-01-07,35.14,0.0132,,
4,2015-01-08,35.67,0.0151,,
5,2015-01-09,35.01,-0.0186,,
6,2015-01-12,34.61,-0.0116,,
7,2015-01-13,34.18,-0.0124,,
8,2015-01-14,33.59,-0.0176,,
9,2015-01-15,32.93,-0.0198,,
10,2015-01-16,33.62,0.0208,,
11,2015-01-20,33.45,-0.0051,,
12,2015-01-21,33.81,0.0108,,
13,2015-01-22,34.46,0.0189,,
14,2015-01-23,33.47,-0.0291,,
15,2015-01-26,33.48,0.0004,,
16,2015-01-27,33.03,-0.0136,,
17,2015-01-28,32.14,-0.0272,,
18,2015-01-29,32.17,0.0006,,
19,2015-01-30,31.91,-0.0079,,
20,2015-02-02,32.84,0.0288,,
21,2015-02-03,33.7,0.0258,,
22,2015-02-04,33.71,0.0002,,
23,2015-02-05,33.85,0.0043,,
24,2015-02-06,34.28,0.0126,,
25,2015-02-09,34.25,-0.001,,
26,2015-02-10,34.58,0.0096,,
27,2015-02-11,34.84,0.0076,,
28,2015-02-12,34.79,-0.0016,,
29,2015-02-13,35.15,0.0105,,
30,2015-02-17,35.73,0.0162,,
31,2015-02-18,35.04,-0.0195,,
32,2015-02-19,35.32,0.0081,,
33,2015-02-20,35.66,0.0095,,
34,2015-02-23,35.15,-0.0143,,
35,2015-02-24,35.52,0.0104,,
36,2015-02-25,35.36,-0.0045,,
37,2015-02-26,35.27,-0.0025,,
38,2015-02-27,35.13,-0.0039,,
39,2015-03-02,35.82,0.0193,,
40,2015-03-03,35.85,0.0008,,
41,2015-03-04,35.53,-0.0087,,
42,2015-03-05,35.76,0.0064,,
43,2015-03-06,36.38,0.0172,,
44,2015-03-09,36.17,-0.0059,,
45,2015-03-10,34.93,-0.0348,,
46,2015-03-11,35.15,0.0061,,
47,2015-03-12,35.83,0.0193,,
48,2015-03-13,35.49,-0.0095,,
49,2015-03-16,35.89,0.011,,
50,2015-03-17,35.67,-0.0062,0.22229,26.710843637723173
51,2015-03-18,35.71,0.0012,0.21465499999999998,25.793405646027566
52,2015-03-19,34.98,-0.0205,0.214447,25.76841191946926
53,2015-03-20,35.68,0.0198,0.21465,25.792804835292994
54,2015-03-23,35.53,-0.0041,0.21608,25.964636705381363
55,2015-03-24,35.17,-0.0102,0.21562599999999998,25.910083090681976
56,2015-03-25,34.77,-0.0115,0.21587399999999998,25.939883303116883
57,2015-03-26,34.96,0.0054,0.215895,25.9424067082021
58,2015-03-27,34.75,-0.0061,0.215651,25.913087144354854
59,2015-03-30,35.2,0.013,0.21357199999999998,25.66327004091868
60,2015-03-31,34.94,-0.0075,0.208336,25.034101039672027
61,2015-04-01,34.75,-0.0056,0.206094,24.764697506288723
62,2015-04-02,35.32,0.0164,0.20287400000000003,24.3777753932226
63,2015-04-06,35.37,0.0014,0.201538,24.21723876494423
64,2015-04-07,35.11,-0.0073,0.201814,24.250403517492757
65,2015-04-08,35.32,0.0059,0.198354,23.834642489167045
66,2015-04-09,35.56,0.0068,0.19494599999999998,23.42512989248091
67,2015-04-10,35.13,-0.0123,0.188663,22.67015112341431
68,2015-04-13,35.44,0.0088,0.171979,20.665365864285363
69,2015-04-14,34.87,-0.0161,0.153223,18.411604636748653
70,2015-04-15,35.15,0.0079,0.126005,15.141031322017675
71,2015-04-16,35.25,0.0029,0.108897,13.08529731259679
72,2015-04-17,34.91,-0.0099,0.100878,12.121717056485844
73,2015-04-20,35.05,0.0041,0.092339,11.095652483979128
74,2015-04-21,34.83,-0.0063,0.08421799999999999,10.119815688882856
75,2015-04-22,35.29,0.013,0.080672,9.69372071592246
76,2015-04-23,35.34,0.0016,0.07549299999999999,9.071400957049958
77,2015-04-24,35.02,-0.0092,0.07283400000000001,8.751889808403122
78,2015-04-27,34.73,-0.0081,0.072145,8.669098089178723
79,2015-04-28,35.15,0.0119,0.072463,8.707309651897676
80,2015-04-29,36.04,0.0251,0.072475,8.708751597660655
81,2015-04-30,35.45,-0.0164,0.074249,8.921919246287768
82,2015-05-01,35.94,0.0136,0.073895,8.879381846279879
83,2015-05-04,36.25,0.0088,0.075663,9.0918285220255
84,2015-05-05,36.02,-0.0065,0.079122,9.507469388204296
85,2015-05-06,35.79,-0.0064,0.080894,9.720396712537578
86,2015-05-07,36.25,0.0129,0.08158099999999999,9.802948107468145
87,2015-05-08,36.38,0.0035,0.08492000000000001,10.20416951601715
88,2015-05-11,37.11,0.0199,0.08886799999999999,10.678569672037352
89,2015-05-12,36.98,-0.0036,0.099522,11.958777185269179
90,2015-05-13,36.97,-0.0002,0.10726100000000001,12.888712040243941
91,2015-05-14,37.0,0.0009,0.114177,13.719753448307701
92,2015-05-15,36.61,-0.0108,0.121159,14.558725558067849
93,2015-05-18,36.94,0.0091,0.124454,14.954659832152592
94,2015-05-19,37.21,0.0071,0.128095,15.392170209069906
95,2015-05-20,37.1,-0.0028,0.134652,16.180073406391205
96,2015-05-21,37.31,0.0056,0.139518,16.764782413279327
97,2015-05-22,37.06,-0.0067,0.14607599999999998,17.552805772747536
98,2015-05-26,36.54,-0.0142,0.150788,18.119009809010763
99,2015-05-27,36.74,0.0055,0.152385,18.31090875763393
100,2015-05-28,36.82,0.0023,0.154825,18.604104396106393
101,2015-05-29,36.39,-0.012,0.157591,18.936472894473134
102,2015-06-01,36.39,0.0002,0.158498,19.045459961724987
103,2015-06-02,36.79,0.0108,0.157857,18.968436025552506
104,2015-06-03,37.59,0.0215,0.16007000000000002,19.234354856675285
105,2015-06-04,37.46,-0.0033,0.16683199999999998,20.04689129411414
106,2015-06-05,37.91,0.0118,0.171232,20.5756047405399
107,2015-06-08,37.83,-0.002,0.176659,21.22772471184731
108,2015-06-09,38.06,0.0059,0.181428,21.800777990484683
109,2015-06-10,39.15,0.0283,0.18601099999999998,22.351481109795873
110,2015-06-11,39.04,-0.0028,0.20183199999999998,24.252566436137222
111,2015-06-12,38.83,-0.0054,0.213247,25.624217343171324
112,2015-06-15,38.69,-0.0036,0.220167,26.455739399822747
113,2015-06-16,39.22,0.0136,0.227299,27.312735831620135
114,2015-06-17,39.0,-0.0055,0.237812,28.576000482136955
115,2015-06-18,39.5,0.0128,0.244293,29.354771356292716
116,2015-06-19,39.15,-0.009,0.254451,30.575378444654724
117,2015-06-22,39.92,0.0195,0.261478,31.419757851026045
118,2015-06-23,40.17,0.0063,0.271706,32.64877628967211
119,2015-06-24,39.8,-0.0092,0.283756,34.0967301599972
120,2015-06-25,39.59,-0.0054,0.288688,34.68936986858171
121,2015-06-26,39.94,0.0089,0.292341,35.128322191262
122,2015-06-29,38.62,-0.0337,0.297776,35.78140345974473
123,2015-06-30,38.98,0.0093,0.293475,35.26458606586355
124,2015-07-01,39.32,0.0085,0.290644,34.92440702794734
125,2015-07-02,39.1,-0.0055,0.287056,34.49326524481651
126,2015-07-06,38.93,-0.0045,0.284342,34.167145178089356
127,2015-07-07,38.75,-0.0045,0.2805,33.70548220964214
128,2015-07-08,37.9,-0.0222,0.27317,32.82469367275559
129,2015-07-09,38.31,0.0106,0.261108,31.37529785666752
130,2015-07-10,38.96,0.0169,0.25176,30.25202210730661
131,2015-07-13,39.41,0.0114,0.249098,29.93215047221903
132,2015-07-14,39.46,0.0014,0.243766,29.29144590486854
133,2015-07-15,40.01,0.0138,0.241045,28.964484703112973
134,2015-07-16,40.17,0.004,0.24231999999999998,29.117691440429525
135,2015-07-17,40.03,-0.0036,0.242237,29.107717982235588
136,2015-07-20,39.93,-0.0024,0.238594,28.66996728102444
137,2015-07-21,40.02,0.0023,0.23659,28.42916233860689
138,2015-07-22,39.92,-0.0026,0.234989,28.236782741396063
139,2015-07-23,39.51,-0.0102,0.235962,28.353700510344307
140,2015-07-24,39.09,-0.0106,0.23426100000000002,28.149304698441988
141,2015-07-27,38.71,-0.0098,0.23106100000000002,27.76478582831416
142,2015-07-28,39.18,0.012,0.227274,27.309731777947263
143,2015-07-29,39.84,0.0167,0.221379,26.60137592188366
