,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,103.88,,,
1,2015-01-05,99.65,-0.0416,,
2,2015-01-06,98.69,-0.0096,,
3,2015-01-07,100.99,0.0231,,
4,2015-01-08,104.87,0.0377,,
5,2015-01-09,102.88,-0.0192,,
6,2015-01-12,103.17,0.0028,,
7,2015-01-13,101.91,-0.0122,,
8,2015-01-14,99.95,-0.0194,,
9,2015-01-15,98.01,-0.0197,,
10,2015-01-16,101.15,0.0316,,
11,2015-01-20,101.71,0.0055,,
12,2015-01-21,103.41,0.0166,,
13,2015-01-22,103.98,0.0055,,
14,2015-01-23,102.93,-0.0102,,
15,2015-01-26,105.36,0.0234,,
16,2015-01-27,104.56,-0.0077,,
17,2015-01-28,100.79,-0.0367,,
18,2015-01-29,103.1,0.0227,,
19,2015-01-30,100.97,-0.0209,,
20,2015-02-02,106.21,0.0507,,
21,2015-02-03,107.96,0.0163,,
22,2015-02-04,107.75,-0.0019,,
23,2015-02-05,110.21,0.0225,,
24,2015-02-06,110.55,0.0031,,
25,2015-02-09,111.67,0.01,,
26,2015-02-10,128.61,0.1413,,
27,2015-02-11,131.28,0.0206,,
28,2015-02-12,133.15,0.0141,,
29,2015-02-13,136.1,0.0219,,
30,2015-02-17,134.64,-0.0108,,
31,2015-02-18,135.84,0.0089,,
32,2015-02-19,135.88,0.0003,,
33,2015-02-20,134.23,-0.0122,,
34,2015-02-23,134.41,0.0013,,
35,2015-02-24,134.28,-0.001,,
36,2015-02-25,133.53,-0.0056,,
37,2015-02-26,133.1,-0.0032,,
38,2015-02-27,133.76,0.0049,,
39,2015-03-02,134.72,0.0071,,
40,2015-03-03,134.39,-0.0024,,
41,2015-03-04,134.23,-0.0012,,
42,2015-03-05,133.88,-0.0026,,
43,2015-03-06,132.22,-0.0125,,
44,2015-03-09,131.45,-0.0058,,
45,2015-03-10,129.33,-0.0162,,
46,2015-03-11,130.52,0.0092,,
47,2015-03-12,134.85,0.0326,,
48,2015-03-13,133.27,-0.0118,,
49,2015-03-16,133.8,0.0039,,
50,2015-03-17,133.78,-0.0001,2.915797,314.6196334973398
51,2015-03-18,133.91,0.001,2.920179,315.0924590177671
52,2015-03-19,130.33,-0.0271,2.901595,313.08721267554415
53,2015-03-20,130.16,-0.0013,2.860312,308.63270424108504
54,2015-03-23,131.21,0.0081,2.8252620000000004,304.8507474882378
55,2015-03-24,132.22,0.0076,2.806623,302.8395665491131
56,2015-03-25,131.53,-0.0052,2.7774470000000004,299.6914247453736
57,2015-03-26,133.56,0.0153,2.7429880000000004,295.9732379337797
58,2015-03-27,133.19,-0.0027,2.70216,291.5678248009624
59,2015-03-30,134.24,0.0078,2.641679,285.0418183425043
60,2015-03-31,131.38,-0.0215,2.562074,276.4522985904243
61,2015-04-01,129.78,-0.0122,2.489033,268.5710460031285
62,2015-04-02,129.09,-0.0054,2.40964,260.00440142456074
63,2015-04-06,130.95,0.0143,2.334409,251.88684397881315
64,2015-04-07,127.63,-0.0257,2.2588399999999997,243.73281573756023
65,2015-04-08,127.99,0.0028,2.1644319999999997,233.54602620481262
66,2015-04-09,128.76,0.006,2.081695,224.61855813461798
67,2015-04-10,130.2,0.0111,1.9849789999999998,214.18273133552026
68,2015-04-13,129.69,-0.0039,1.8405779999999998,198.60160902259884
69,2015-04-14,129.87,0.0014,1.703509,183.8116224275626
70,2015-04-15,133.62,0.0285,1.519146,163.91852990758608
71,2015-04-16,133.46,-0.0012,1.3802690000000002,148.9334569271248
72,2015-04-17,131.79,-0.0125,1.241137,133.92086899739172
73,2015-04-20,131.54,-0.0019,1.070193,115.47571021968214
74,2015-04-21,130.04,-0.0115,0.9029349999999999,97.42827733615216
75,2015-04-22,128.97,-0.0082,0.6966060000000001,75.16501471537556
76,2015-04-23,129.91,0.0073,0.42814599999999997,46.197707729088144
77,2015-04-24,130.19,0.0021,0.421396,45.46937083659974
78,2015-04-27,127.73,-0.019,0.424268,45.77926469663332
