,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,49.62,,,
1,2015-01-05,49.27,-0.007,,
2,2015-01-06,48.61,-0.0135,,
3,2015-01-07,49.25,0.0132,,
4,2015-01-08,50.08,0.0167,,
5,2015-01-09,49.39,-0.0138,,
6,2015-01-12,48.86,-0.0108,,
7,2015-01-13,48.95,0.002,,
8,2015-01-14,48.74,-0.0043,,
9,2015-01-15,48.52,-0.0047,,
10,2015-01-16,49.41,0.0181,,
11,2015-01-20,49.49,0.0016,,
12,2015-01-21,49.28,-0.0041,,
13,2015-01-22,50.02,0.0148,,
14,2015-01-23,49.58,-0.0088,,
15,2015-01-26,49.53,-0.0011,,
16,2015-01-27,48.97,-0.0114,,
17,2015-01-28,47.61,-0.0281,,
18,2015-01-29,47.84,0.0048,,
19,2015-01-30,47.06,-0.0164,,
20,2015-02-02,47.79,0.0153,,
21,2015-02-03,48.23,0.0093,,
22,2015-02-04,48.43,0.004,,
23,2015-02-05,48.86,0.0088,,
24,2015-02-06,48.51,-0.007,,
25,2015-02-09,48.4,-0.0023,,
26,2015-02-10,48.57,0.0034,,
27,2015-02-11,49.09,0.0108,,
28,2015-02-12,49.48,0.0078,,
29,2015-02-13,49.28,-0.0039,,
30,2015-02-17,49.46,0.0035,,
31,2015-02-18,49.87,0.0083,,
32,2015-02-19,49.97,0.0019,,
33,2015-02-20,50.0,0.0007,,
34,2015-02-23,49.9,-0.0021,,
35,2015-02-24,50.3,0.008,,
36,2015-02-25,50.12,-0.0035,,
37,2015-02-26,49.9,-0.0046,,
38,2015-02-27,49.79,-0.0021,,
39,2015-03-02,50.1,0.0061,,
40,2015-03-03,49.9,-0.004,,
41,2015-03-04,49.41,-0.0099,,
42,2015-03-05,49.88,0.0095,,
43,2015-03-06,49.32,-0.0113,,
44,2015-03-09,49.48,0.0032,,
45,2015-03-10,48.69,-0.016,,
46,2015-03-11,48.77,0.0016,,
47,2015-03-12,49.42,0.0134,,
48,2015-03-13,49.11,-0.0064,,
49,2015-03-16,50.05,0.0189,,
50,2015-03-17,49.99,-0.001,0.138462,22.981980306416126
51,2015-03-18,50.55,0.011,0.139672,23.182816609306183
52,2015-03-19,50.34,-0.0042,0.14425100000000002,23.942840932391796
53,2015-03-20,50.64,0.0061,0.146175,24.26218725202855
54,2015-03-23,50.49,-0.0029,0.15079,25.028186870076176
55,2015-03-24,50.04,-0.0091,0.15279199999999998,25.360479662130636
56,2015-03-25,48.94,-0.0221,0.154051,25.569449005385668
57,2015-03-26,48.66,-0.0057,0.153877,25.54056841306925
58,2015-03-27,48.68,0.0004,0.154593,25.659410390647167
59,2015-03-30,49.49,0.0166,0.154778,25.690116767535315
60,2015-03-31,49.09,-0.0082,0.153279,25.441312124533496
61,2015-04-01,49.16,0.0014,0.15340299999999998,25.461893696069335
62,2015-04-02,49.5,0.0069,0.153404,25.46205967648495
63,2015-04-06,49.88,0.0076,0.153479,25.474508207655823
64,2015-04-07,49.66,-0.0044,0.153053,25.403800550605272
65,2015-04-08,50.14,0.0095,0.153168,25.422888298400608
66,2015-04-09,50.0,-0.0028,0.154642,25.667543431012138
67,2015-04-10,50.24,0.0049,0.155312,25.778750309471924
68,2015-04-13,50.28,0.0007,0.149454,24.80643703481905
69,2015-04-14,50.51,0.0047,0.144826,24.038279671368475
70,2015-04-15,50.52,0.0002,0.131717,21.862442403115747
71,2015-04-16,50.32,-0.004,0.125393,20.812782254787866
72,2015-04-17,49.42,-0.018,0.121295,20.132594511611444
