,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,31.94,,,
1,2015-01-05,31.76,-0.0057,,
2,2015-01-06,31.95,0.0059,,
3,2015-01-07,32.53,0.0182,,
4,2015-01-08,33.08,0.0167,,
5,2015-01-09,33.0,-0.0024,,
6,2015-01-12,33.21,0.0063,,
7,2015-01-13,33.47,0.0078,,
8,2015-01-14,33.74,0.008,,
9,2015-01-15,34.22,0.0142,,
10,2015-01-16,34.6,0.011,,
11,2015-01-20,35.11,0.0146,,
12,2015-01-21,35.4,0.0081,,
13,2015-01-22,35.65,0.0072,,
14,2015-01-23,35.34,-0.0086,,
15,2015-01-26,35.51,0.0046,,
16,2015-01-27,35.59,0.0022,,
17,2015-01-28,35.23,-0.0101,,
18,2015-01-29,35.48,0.007,,
19,2015-01-30,34.63,-0.024,,
20,2015-02-02,35.09,0.0131,,
21,2015-02-03,35.39,0.0085,,
22,2015-02-04,35.24,-0.0042,,
23,2015-02-05,35.01,-0.0067,,
24,2015-02-06,34.78,-0.0064,,
25,2015-02-09,34.67,-0.0032,,
26,2015-02-10,35.07,0.0114,,
27,2015-02-11,35.72,0.0182,,
28,2015-02-12,36.23,0.0141,,
29,2015-02-13,35.72,-0.0141,,
30,2015-02-17,35.96,0.0069,,
31,2015-02-18,36.03,0.0018,,
32,2015-02-19,36.19,0.0043,,
33,2015-02-20,36.27,0.0023,,
34,2015-02-23,36.21,-0.0018,,
35,2015-02-24,36.34,0.0038,,
36,2015-02-25,36.29,-0.0014,,
37,2015-02-26,36.58,0.0081,,
38,2015-02-27,36.71,0.0036,,
39,2015-03-02,36.85,0.0037,,
40,2015-03-03,36.83,-0.0007,,
41,2015-03-04,36.39,-0.0119,,
42,2015-03-05,36.2,-0.0052,,
43,2015-03-06,34.81,-0.0391,,
44,2015-03-09,35.11,0.0086,,
45,2015-03-10,34.7,-0.0118,,
46,2015-03-11,34.06,-0.0186,,
47,2015-03-12,34.26,0.006,,
48,2015-03-13,33.86,-0.012,,
49,2015-03-16,34.32,0.0135,,
50,2015-03-17,34.01,-0.0091,0.25052199999999997,34.64992287220606
51,2015-03-18,33.82,-0.0054,0.23782499999999998,32.89378939607063
52,2015-03-19,33.78,-0.0014,0.22287500000000002,30.826041465990723
53,2015-03-20,33.88,0.0029,0.208948,28.89978558490557
54,2015-03-23,34.01,0.0039,0.199679,27.61778186825602
55,2015-03-24,33.67,-0.0099,0.19415600000000002,26.853890776762288
56,2015-03-25,33.04,-0.019,0.189485,26.20784057064835
57,2015-03-26,32.94,-0.003,0.190854,26.397188190466373
58,2015-03-27,33.16,0.0068,0.19482600000000003,26.946559078645468
59,2015-03-30,33.29,0.0038,0.198477,27.45153216845963
60,2015-03-31,32.95,-0.0101,0.203166,28.10007197074356
61,2015-04-01,33.14,0.0056,0.21091300000000002,29.171566500130123
62,2015-04-02,33.72,0.0175,0.217253,30.048457595562006
63,2015-04-06,33.92,0.0058,0.219822,30.40377829337975
64,2015-04-07,34.06,0.0041,0.220937,30.55799494502116
65,2015-04-08,34.01,-0.0015,0.221993,30.70405125366092
66,2015-04-09,34.17,0.0046,0.222805,30.816359703107402
67,2015-04-10,34.59,0.0125,0.222872,30.82562653329572
68,2015-04-13,34.11,-0.0142,0.222785,30.813593485140743
69,2015-04-14,34.34,0.0067,0.223053,30.850660805894012
70,2015-04-15,34.0,-0.0098,0.223397,30.898239754920603
71,2015-04-16,34.29,0.0085,0.224388,31.03530585516871
72,2015-04-17,34.09,-0.0058,0.22422799999999998,31.01317611143541
73,2015-04-20,34.67,0.0169,0.224638,31.069883579751984
74,2015-04-21,34.32,-0.0101,0.22454999999999997,31.057712220698665
75,2015-04-22,34.34,0.0004,0.224852,31.09948211199527
76,2015-04-23,34.49,0.0044,0.225118,31.136272810951876
77,2015-04-24,34.3,-0.0054,0.225031,31.124239762796897
78,2015-04-27,33.86,-0.013,0.223644,30.93240254680888
79,2015-04-28,34.07,0.006,0.220736,30.530194454456208
80,2015-04-29,33.07,-0.0296,0.219311,30.333101424331534
81,2015-04-30,32.97,-0.003,0.220028,30.43227033843637
82,2015-05-01,33.37,0.0121,0.22034199999999998,30.475699960512962
83,2015-05-04,33.39,0.0004,0.21739899999999998,30.068650986718637
84,2015-05-05,33.17,-0.0065,0.213276,29.49839515289125
85,2015-05-06,33.39,0.0065,0.209734,29.00849795099539
86,2015-05-07,33.76,0.011,0.20368200000000003,28.171440394283444
87,2015-05-08,34.37,0.018,0.196305,27.151120897280126
88,2015-05-11,33.82,-0.016,0.185217,25.61752965656266
89,2015-05-12,33.7,-0.0037,0.17163399999999998,23.7388527245041
90,2015-05-13,33.6,-0.0029,0.154466,21.364331221921358
91,2015-05-14,34.65,0.0309,0.134631,18.620934553484226
92,2015-05-15,34.8,0.0042,0.118807,16.432302898261174
93,2015-05-18,34.22,-0.0166,0.104199,14.411857295411181
94,2015-05-19,34.11,-0.0033,0.101662,14.060962546340095
95,2015-05-20,34.13,0.0004,0.096343,13.32528687810631
96,2015-05-21,34.02,-0.0031,0.09398400000000001,12.999011468938518
97,2015-05-22,33.75,-0.008,0.093934,12.992095924021863
98,2015-05-26,33.78,0.001,0.09339499999999999,12.917546349820316
99,2015-05-27,34.15,0.0107,0.09342299999999999,12.921419054973644
100,2015-05-28,34.01,-0.0041,0.092924,12.852401916705427
101,2015-05-29,33.73,-0.0082,0.092924,12.852401916705427
102,2015-06-01,33.73,0.0,0.092989,12.861392125097078
103,2015-06-02,33.36,-0.0112,0.09303,12.867062871928734
104,2015-06-03,33.17,-0.0055,0.09403299999999999,13.005788702956837
105,2015-06-04,32.86,-0.0094,0.09570600000000001,13.237182835868124
106,2015-06-05,31.76,-0.0341,0.099182,13.717951518473996
107,2015-06-08,31.83,0.0023,0.11187200000000001,15.473116818321095
108,2015-06-09,31.99,0.005,0.121725,16.835894099597176
109,2015-06-10,32.43,0.0135,0.12993,17.9707350204203
110,2015-06-11,32.18,-0.0076,0.134222,18.564365396065988
111,2015-06-12,31.99,-0.006,0.139097,19.238631025439872
112,2015-06-15,31.65,-0.0105,0.14596399999999998,20.188411964293298
113,2015-06-16,31.97,0.01,0.156,21.57650013996434
114,2015-06-17,32.33,0.0112,0.16223700000000002,22.439145212867917
115,2015-06-18,32.93,0.0184,0.165364,22.871643391955534
116,2015-06-19,32.84,-0.0028,0.165832,22.936372892375427
117,2015-06-22,33.15,0.0095,0.166073,22.969705818873702
118,2015-06-23,32.68,-0.0144,0.16374199999999997,22.647303114859234
119,2015-06-24,32.61,-0.0022,0.164348,22.7311195192491
120,2015-06-25,32.73,0.0039,0.164217,22.713000791567463
121,2015-06-26,32.95,0.0065,0.164551,22.75919663161072
122,2015-06-29,32.41,-0.0165,0.16320900000000002,22.573583406047696
123,2015-06-30,32.57,0.0049,0.164119,22.699446323530815
124,2015-07-01,32.69,0.0039,0.161331,22.31383553897812
125,2015-07-02,32.62,-0.0022,0.159703,22.08866539649183
126,2015-07-06,33.21,0.0178,0.157942,21.84509990452723
127,2015-07-07,34.41,0.0357,0.154161,21.32214639792976
128,2015-07-08,33.98,-0.0127,0.154747,21.40319658435296
129,2015-07-09,33.92,-0.0016,0.155135,21.456861212906205
130,2015-07-10,34.16,0.007,0.154604,21.383418125891325
131,2015-07-13,34.18,0.0004,0.156637,21.664604182202527
132,2015-07-14,34.19,0.0004,0.158476,21.91895792423711
133,2015-07-15,34.11,-0.0023,0.160422,22.188110932393332
134,2015-07-16,35.23,0.0323,0.161964,22.401386337622977
135,2015-07-17,35.44,0.0058,0.170133,23.531248066106112
136,2015-07-20,35.76,0.0092,0.179346,24.805506372449006
137,2015-07-21,35.66,-0.003,0.190355,26.328171052198154
138,2015-07-22,35.93,0.0076,0.198158,27.40741099189137
139,2015-07-23,35.84,-0.0026,0.209035,28.91181863306055
140,2015-07-24,35.82,-0.0006,0.218423,30.21028134661174
141,2015-07-27,35.92,0.003,0.22700199999999998,31.39685054341144
142,2015-07-28,36.79,0.0238,0.233984,32.36253723557318
143,2015-07-29,36.22,-0.0155,0.247379,34.21521171874512
144,2015-07-30,36.09,-0.0037,0.25662199999999996,35.493619352038
145,2015-07-31,36.21,0.0033,0.264548,36.5898715322262
146,2015-08-03,36.39,0.0051,0.272801,37.73135137616931
147,2015-08-04,36.57,0.0047,0.281891,38.98859744201723
148,2015-08-05,36.93,0.01,0.291589,40.329936534051676
149,2015-08-06,37.0,0.0018,0.303151,41.929087140579036
150,2015-08-07,36.95,-0.0014,0.314306,43.471945211484815
151,2015-08-10,37.09,0.004,0.32435699999999995,44.86210805063085
152,2015-08-11,37.11,0.0004,0.33452800000000005,46.26886819757687
153,2015-08-12,37.11,0.0002,0.343994,47.57811916119804
154,2015-08-13,37.0,-0.0031,0.35220599999999996,48.71392825830949
155,2015-08-14,37.13,0.0034,0.358598,49.59801152045469
156,2015-08-17,37.07,-0.0016,0.364084,50.35678510871011
157,2015-08-18,36.75,-0.0085,0.363519,50.2786394511519
158,2015-08-19,36.49,-0.0071,0.36074,49.894273464684204
159,2015-08-20,36.44,-0.0015,0.356818,49.35181812142177
160,2015-08-21,35.92,-0.0145,0.354176,48.98640072802571
161,2015-08-24,34.72,-0.0339,0.348014,48.134128972497116
162,2015-08-25,34.5,-0.0062,0.338907,46.874531621377535
163,2015-08-26,35.43,0.0265,0.327005,45.22835530941692
164,2015-08-27,35.76,0.0094,0.316546,43.781761623750974
165,2015-08-28,36.07,0.0085,0.308123,42.61676892709123
166,2015-08-31,35.68,-0.011,0.30321000000000004,41.93724748358069
167,2015-09-01,34.64,-0.0294,0.296547,41.01568196798721
168,2015-09-02,35.38,0.0209,0.291451,40.31084963008171
169,2015-09-03,35.68,0.0086,0.28263,39.09080919588539
170,2015-09-04,34.88,-0.0228,0.272714,37.71931832801433
171,2015-09-08,35.62,0.021,0.263216,36.4056414156465
172,2015-09-09,35.3,-0.0088,0.254257,35.166514077480215
173,2015-09-10,35.47,0.0047,0.23987100000000003,33.17677349406017
174,2015-09-11,35.39,-0.0022,0.22554,31.194640010048442
175,2015-09-14,35.3,-0.0027,0.211046,29.189961849608427
176,2015-09-15,36.41,0.0312,0.19419799999999998,26.85969983449227
