,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,52.43,,,
1,2015-01-05,51.43,-0.0193,,
2,2015-01-06,50.36,-0.021,,
3,2015-01-07,50.46,0.002,,
4,2015-01-08,51.51,0.0206,,
5,2015-01-09,50.86,-0.0127,,
6,2015-01-12,50.13,-0.0145,,
7,2015-01-13,51.78,0.0324,,
8,2015-01-14,50.28,-0.0294,,
9,2015-01-15,49.87,-0.0082,,
10,2015-01-16,50.19,0.0064,,
11,2015-01-20,50.01,-0.0036,,
12,2015-01-21,50.49,0.0096,,
13,2015-01-22,51.53,0.0204,,
14,2015-01-23,51.53,0.0,,
15,2015-01-26,51.97,0.0085,,
16,2015-01-27,52.46,0.0094,,
17,2015-01-28,51.93,-0.0102,,
18,2015-01-29,52.5,0.0109,,
19,2015-01-30,50.91,-0.0308,,
20,2015-02-02,50.44,-0.0093,,
21,2015-02-03,50.52,0.0016,,
22,2015-02-04,51.68,0.0227,,
23,2015-02-05,52.59,0.0175,,
24,2015-02-06,51.7,-0.0171,,
25,2015-02-09,50.48,-0.0239,,
26,2015-02-10,56.26,0.1084,,
27,2015-02-11,58.38,0.037,,
28,2015-02-12,59.4,0.0173,,
29,2015-02-13,59.66,0.0044,,
30,2015-02-17,60.38,0.012,,
31,2015-02-18,61.83,0.0237,,
32,2015-02-19,61.12,-0.0115,,
33,2015-02-20,62.15,0.0167,,
34,2015-02-23,63.27,0.0179,,
35,2015-02-24,63.53,0.0041,,
36,2015-02-25,63.64,0.0017,,
37,2015-02-26,63.76,0.0019,,
38,2015-02-27,63.69,-0.0011,,
39,2015-03-02,63.44,-0.0039,,
40,2015-03-03,61.68,-0.0281,,
41,2015-03-04,61.65,-0.0005,,
42,2015-03-05,62.27,0.01,,
43,2015-03-06,61.27,-0.0162,,
44,2015-03-09,62.0,0.0118,,
45,2015-03-10,60.88,-0.0182,,
46,2015-03-11,60.14,-0.0122,,
47,2015-03-12,62.19,0.0335,,
48,2015-03-13,62.26,0.0011,,
49,2015-03-16,63.16,0.0144,,
50,2015-03-17,63.77,0.0096,1.041122,95.81246536822789
51,2015-03-18,64.42,0.0101,1.05583,97.16601446298901
52,2015-03-19,65.13,0.011,1.0686499999999999,98.34581453062822
53,2015-03-20,64.89,-0.0037,1.078383,99.24152389555277
54,2015-03-23,64.99,0.0015,1.084225,99.77915197629757
55,2015-03-24,65.29,0.0046,1.0923779999999998,100.52945696471117
56,2015-03-25,64.62,-0.0103,1.096596,100.91763143314348
57,2015-03-26,64.34,-0.0043,1.091073,100.40936031196007
58,2015-03-27,65.36,0.0157,1.0898269999999999,100.29469331630652
