,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,43.11,,,
1,2015-01-05,43.75,0.0148,,
2,2015-01-06,45.47,0.0385,,
3,2015-01-07,46.44,0.0212,,
4,2015-01-08,47.37,0.0199,,
5,2015-01-09,47.16,-0.0046,,
6,2015-01-12,46.96,-0.0042,,
7,2015-01-13,46.88,-0.0018,,
8,2015-01-14,47.22,0.0072,,
9,2015-01-15,46.64,-0.0122,,
10,2015-01-16,47.51,0.0184,,
11,2015-01-20,47.19,-0.0067,,
12,2015-01-21,46.85,-0.0072,,
13,2015-01-22,47.18,0.0069,,
14,2015-01-23,47.1,-0.0016,,
15,2015-01-26,47.35,0.0053,,
16,2015-01-27,47.16,-0.0041,,
17,2015-01-28,46.32,-0.0179,,
18,2015-01-29,46.8,0.0104,,
19,2015-01-30,45.44,-0.0296,,
20,2015-02-02,45.89,0.0099,,
21,2015-02-03,45.99,0.0023,,
22,2015-02-04,44.51,-0.0328,,
23,2015-02-05,44.6,0.002,,
24,2015-02-06,44.31,-0.0064,,
25,2015-02-09,43.97,-0.0079,,
26,2015-02-10,44.36,0.0089,,
27,2015-02-11,44.28,-0.0019,,
28,2015-02-12,44.38,0.0024,,
29,2015-02-13,44.33,-0.0012,,
30,2015-02-17,44.31,-0.0003,,
31,2015-02-18,44.32,0.0002,,
32,2015-02-19,43.94,-0.0085,,
33,2015-02-20,43.98,0.0009,,
34,2015-02-23,43.94,-0.0009,,
35,2015-02-24,43.99,0.001,,
36,2015-02-25,44.09,0.0022,,
37,2015-02-26,44.44,0.008,,
38,2015-02-27,44.12,-0.0071,,
39,2015-03-02,44.16,0.0007,,
40,2015-03-03,43.97,-0.0041,,
41,2015-03-04,43.63,-0.0079,,
42,2015-03-05,43.7,0.0017,,
43,2015-03-06,42.84,-0.0199,,
44,2015-03-09,43.16,0.0074,,
45,2015-03-10,42.65,-0.0119,,
46,2015-03-11,42.26,-0.0092,,
47,2015-03-12,42.68,0.01,,
48,2015-03-13,42.7,0.0005,,
49,2015-03-16,43.4,0.0162,,
50,2015-03-17,42.91,-0.0114,0.303857,49.77313804100884
51,2015-03-18,43.81,0.0207,0.304811,49.92940751543636
52,2015-03-19,44.23,0.0097,0.304643,49.90188836270699
53,2015-03-20,44.51,0.0063,0.30498000000000003,49.95709047264627
54,2015-03-23,44.63,0.0026,0.302398,49.534147303912675
55,2015-03-24,44.55,-0.0017,0.294738,48.27940498303763
56,2015-03-25,44.27,-0.0063,0.287919,47.162422230289984
57,2015-03-26,43.77,-0.0114,0.282026,46.19712242651497
