,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,43.95,,,
1,2015-01-05,43.54,-0.0095,,
2,2015-01-06,44.8,0.0286,,
3,2015-01-07,45.82,0.0226,,
4,2015-01-08,47.2,0.0297,,
5,2015-01-09,47.9,0.0145,,
6,2015-01-12,47.87,-0.0006,,
7,2015-01-13,49.81,0.0398,,
8,2015-01-14,49.49,-0.0065,,
9,2015-01-15,48.75,-0.015,,
10,2015-01-16,49.82,0.0217,,
11,2015-01-20,49.49,-0.0067,,
12,2015-01-21,49.37,-0.0024,,
13,2015-01-22,50.11,0.0148,,
14,2015-01-23,49.97,-0.0028,,
15,2015-01-26,50.27,0.0061,,
16,2015-01-27,50.02,-0.005,,
17,2015-01-28,49.66,-0.0072,,
18,2015-01-29,50.23,0.0113,,
19,2015-01-30,49.6,-0.0126,,
20,2015-02-02,50.1,0.01,,
21,2015-02-03,50.53,0.0086,,
22,2015-02-04,50.81,0.0055,,
23,2015-02-05,51.15,0.0067,,
24,2015-02-06,51.64,0.0095,,
25,2015-02-09,52.45,0.0156,,
26,2015-02-10,52.51,0.0012,,
27,2015-02-11,52.14,-0.007,,
28,2015-02-12,52.72,0.0109,,
29,2015-02-13,52.72,0.0,,
30,2015-02-17,52.85,0.0026,,
31,2015-02-18,52.99,0.0026,,
32,2015-02-19,53.44,0.0083,,
33,2015-02-20,53.65,0.004,,
34,2015-02-23,53.26,-0.0073,,
35,2015-02-24,53.3,0.0007,,
36,2015-02-25,52.91,-0.0073,,
37,2015-02-26,52.5,-0.0077,,
38,2015-02-27,51.87,-0.012,,
39,2015-03-02,53.22,0.0257,,
40,2015-03-03,52.99,-0.0044,,
41,2015-03-04,52.49,-0.0095,,
42,2015-03-05,51.22,-0.0246,,
43,2015-03-06,51.26,0.0009,,
44,2015-03-09,51.46,0.0038,,
45,2015-03-10,50.59,-0.017,,
46,2015-03-11,51.61,0.0201,,
47,2015-03-12,52.86,0.0239,,
48,2015-03-13,52.46,-0.0077,,
49,2015-03-16,53.53,0.0202,,
50,2015-03-17,54.0,0.0088,0.47051200000000004,48.17948235088968
51,2015-03-18,54.27,0.005,0.44055300000000003,45.111741014323755
52,2015-03-19,54.19,-0.0014,0.40055399999999997,41.01592387352132
53,2015-03-20,55.18,0.0181,0.369448,37.83073204418057
54,2015-03-23,55.64,0.0082,0.352195,36.064059549111576
55,2015-03-24,55.27,-0.0067,0.349457,35.783693856681346
56,2015-03-25,54.84,-0.0077,0.347089,35.54121541998492
57,2015-03-26,55.3,0.0084,0.33921500000000004,34.73493365877393
58,2015-03-27,55.08,-0.004,0.34588500000000005,35.41792824186732
59,2015-03-30,56.32,0.0222,0.34799199999999997,35.63368080357312
60,2015-03-31,56.68,0.0064,0.35273499999999997,36.119354462885255
61,2015-04-01,56.43,-0.0044,0.36505299999999996,37.38069288485591
62,2015-04-02,56.87,0.0077,0.371185,38.00859735015256
63,2015-04-06,57.43,0.0099,0.377887,38.69486866887698
64,2015-04-07,56.65,-0.0136,0.391387,40.07724151321891
65,2015-04-08,57.16,0.0089,0.395871,40.536394093517366
66,2015-04-09,56.16,-0.0176,0.40389200000000003,41.35772835903342
67,2015-04-10,56.02,-0.0025,0.40243,41.20802249989061
68,2015-04-13,55.77,-0.0046,0.396465,40.59721849866842
69,2015-04-14,56.46,0.0124,0.391541,40.09301080344325
70,2015-04-15,56.39,-0.0011,0.384153,39.33649446462858
71,2015-04-16,56.58,0.0033,0.37829700000000005,38.73685184414959
72,2015-04-17,56.29,-0.0051,0.374823,38.3811212322056
73,2015-04-20,56.34,0.0008,0.370319,37.919920692137744
74,2015-04-21,56.27,-0.0011,0.36692199999999997,37.57207472530592
75,2015-04-22,56.95,0.0119,0.364936,37.36871232020495
76,2015-04-23,57.55,0.0105,0.36896799999999996,37.781581009715076
77,2015-04-24,58.0,0.0078,0.375806,38.48177845487138
78,2015-04-27,58.21,0.0035,0.382845,39.202557895710115
79,2015-04-28,58.18,-0.0005,0.392194,40.159876689914014
80,2015-04-29,57.87,-0.0053,0.400026,40.96185773560928
81,2015-04-30,56.57,-0.0228,0.40535600000000005,41.50763901415317
82,2015-05-01,57.64,0.0188,0.404735,41.44404986331344
83,2015-05-04,57.71,0.0011,0.409245,41.90586479131211
84,2015-05-05,57.36,-0.0061,0.41396,42.38867130694709
85,2015-05-06,56.82,-0.0094,0.415362,42.53223328678171
86,2015-05-07,56.95,0.0023,0.41450600000000004,42.44458060865159
87,2015-05-08,57.41,0.0081,0.41202800000000006,42.190838393223494
88,2015-05-11,57.16,-0.0044,0.40844400000000003,41.82384400254782
89,2015-05-12,56.73,-0.0076,0.399245,40.88188490661439
90,2015-05-13,57.33,0.0106,0.395478,40.49615168404875
91,2015-05-14,58.01,0.0117,0.391651,40.10427458217493
92,2015-05-15,57.93,-0.0013,0.386629,39.590031884079735
93,2015-05-18,58.92,0.0168,0.36979100000000004,37.865854554225706
94,2015-05-19,58.97,0.0009,0.355613,36.414055873701265
95,2015-05-20,58.54,-0.0074,0.340679,34.88484431389368
96,2015-05-21,58.42,-0.0019,0.309046,31.64568874462936
97,2015-05-22,58.8,0.0065,0.284679,29.15055695958641
98,2015-05-26,58.6,-0.0035,0.272941,27.948609370928217
99,2015-05-27,58.13,-0.0081,0.252639,25.869725409014894
100,2015-05-28,58.09,-0.0006,0.23907599999999998,24.480901491399365
101,2015-05-29,57.53,-0.0096,0.228079,23.354830812197278
102,2015-06-01,57.63,0.0016,0.216469,22.165990166063217
103,2015-06-02,57.65,0.0005,0.20283,20.76938400132399
104,2015-06-03,57.93,0.0048,0.19666599999999998,20.138202800396307
105,2015-06-04,57.49,-0.0077,0.19358899999999998,19.823124189874818
106,2015-06-05,57.3,-0.0032,0.186596,19.1070550565057
107,2015-06-08,56.91,-0.0068,0.174874,17.906745835663024
108,2015-06-09,56.96,0.0008,0.16673300000000002,17.073123811530607
109,2015-06-10,57.23,0.0047,0.155603,15.933434199862035
110,2015-06-11,57.49,0.0045,0.153166,15.683890301961199
111,2015-06-12,57.39,-0.0018,0.15212799999999999,15.577601189929574
112,2015-06-15,56.76,-0.0109,0.149977,15.357343116731094
113,2015-06-16,57.21,0.0078,0.150259,15.38621934947957
114,2015-06-17,57.28,0.0013,0.150315,15.391953636833877
115,2015-06-18,57.45,0.0029,0.14904,15.261396201534918
116,2015-06-19,57.37,-0.0015,0.148927,15.249825228837834
117,2015-06-22,57.49,0.0021,0.14506,14.853852207425222
118,2015-06-23,58.63,0.0196,0.139938,14.329369710483046
119,2015-06-24,58.51,-0.0021,0.13572900000000002,13.898376577013774
120,2015-06-25,58.71,0.0035,0.13533699999999999,13.85823656553362
121,2015-06-26,59.11,0.0068,0.13522399999999998,13.846665592836535
122,2015-06-29,57.29,-0.0312,0.138455,14.177513493582373
123,2015-06-30,57.07,-0.0039,0.133788,13.699622081393944
124,2015-07-01,57.68,0.0107,0.129827,13.294023649065174
125,2015-07-02,57.51,-0.0031,0.123992,12.696531386344052
126,2015-07-06,57.59,0.0015,0.122388,12.532285012838535
127,2015-07-07,58.33,0.0128,0.122354,12.528803481230565
128,2015-07-08,57.2,-0.0196,0.12325699999999999,12.621268864818767
129,2015-07-09,57.7,0.0087,0.123279,12.623521620565104
130,2015-07-10,59.15,0.0248,0.122561,12.549999864843807
131,2015-07-13,59.47,0.0055,0.128683,13.176880350255754
132,2015-07-14,59.81,0.0058,0.133291,13.648730281124466
133,2015-07-15,60.09,0.0046,0.14421099999999998,14.766916315214383
134,2015-07-16,61.42,0.0218,0.156754,16.051294284590742
135,2015-07-17,61.22,-0.0033,0.18319500000000002,18.758799497720005
136,2015-07-20,61.53,0.0051,0.200766,20.558034553122376
137,2015-07-21,61.47,-0.0009,0.219644,22.491103779454747
138,2015-07-22,61.65,0.0029,0.236622,24.229616827694546
139,2015-07-23,61.71,0.0009,0.25245,25.850372189194108
140,2015-07-24,62.02,0.0051,0.26497,27.132395004835658
141,2015-07-27,60.95,-0.0175,0.280795,28.752843172369815
142,2015-07-28,61.2,0.0041,0.288183,29.509359511184496
143,2015-07-29,62.04,0.0137,0.296385,30.34922781261357
144,2015-07-30,63.02,0.0157,0.31046399999999996,31.790889092279492
145,2015-07-31,63.2,0.0028,0.33191699999999996,33.987633138921524
146,2015-08-03,62.62,-0.0091,0.35287999999999997,36.134202171213374
147,2015-08-04,62.09,-0.0086,0.36708399999999997,37.588663199438024
148,2015-08-05,62.68,0.0095,0.37681600000000004,38.58520042322586
