,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,129.57,,,
1,2015-01-05,126.84,-0.0213,,
2,2015-01-06,127.54,0.0055,,
3,2015-01-07,131.57,0.0311,,
4,2015-01-08,134.62,0.0229,,
5,2015-01-09,135.13,0.0037,,
6,2015-01-12,134.44,-0.0051,,
7,2015-01-13,134.47,0.0002,,
8,2015-01-14,134.57,0.0007,,
9,2015-01-15,134.75,0.0013,,
10,2015-01-16,135.65,0.0067,,
11,2015-01-20,136.0,0.0026,,
12,2015-01-21,136.45,0.0033,,
13,2015-01-22,138.45,0.0145,,
14,2015-01-23,138.18,-0.002,,
15,2015-01-26,137.6,-0.0042,,
16,2015-01-27,135.3,-0.0169,,
17,2015-01-28,134.61,-0.0051,,
18,2015-01-29,139.72,0.0372,,
19,2015-01-30,138.85,-0.0062,,
20,2015-02-02,140.83,0.0142,,
21,2015-02-03,141.97,0.0081,,
22,2015-02-04,143.18,0.0084,,
23,2015-02-05,144.23,0.0073,,
24,2015-02-06,143.53,-0.0049,,
25,2015-02-09,144.18,0.0045,,
26,2015-02-10,145.87,0.0117,,
27,2015-02-11,147.11,0.0085,,
28,2015-02-12,148.0,0.006,,
29,2015-02-13,147.87,-0.0009,,
30,2015-02-17,148.27,0.0027,,
31,2015-02-18,148.34,0.0005,,
32,2015-02-19,150.51,0.0145,,
33,2015-02-20,152.34,0.0121,,
34,2015-02-23,150.86,-0.0098,,
35,2015-02-24,150.56,-0.0019,,
36,2015-02-25,149.2,-0.0091,,
37,2015-02-26,147.74,-0.0098,,
38,2015-02-27,147.21,-0.0036,,
39,2015-03-02,148.45,0.0084,,
40,2015-03-03,145.36,-0.021,,
41,2015-03-04,145.63,0.0018,,
42,2015-03-05,145.05,-0.004,,
43,2015-03-06,142.5,-0.0177,,
44,2015-03-09,143.27,0.0053,,
45,2015-03-10,140.66,-0.0183,,
46,2015-03-11,140.39,-0.002,,
47,2015-03-12,142.14,0.0124,,
48,2015-03-13,139.97,-0.0154,,
49,2015-03-16,143.33,0.0237,,
50,2015-03-17,143.17,-0.0011,1.221464,176.8658160086272
51,2015-03-18,144.66,0.0104,1.1790640000000001,170.7263713759849
52,2015-03-19,144.38,-0.002,1.109935,160.71661505499597
53,2015-03-20,144.47,0.0006,1.0387250000000001,150.40553363305125
54,2015-03-23,144.55,0.0006,0.997838,144.48516871100298
55,2015-03-24,144.0,-0.0039,0.975401,141.23633099348893
56,2015-03-25,141.42,-0.0181,0.953429,138.0548244494225
57,2015-03-26,141.53,0.0008,0.925813,134.0560767377468
58,2015-03-27,142.56,0.0073,0.8965850000000001,129.82391429145272
59,2015-03-30,144.52,0.0136,0.865137,125.27029979127974
60,2015-03-31,142.99,-0.0106,0.8328709999999999,120.59824034512792
61,2015-04-01,142.63,-0.0026,0.804497,116.4897355808215
62,2015-04-02,143.59,0.0067,0.7770910000000001,112.52139549586408
63,2015-04-06,144.59,0.007,0.750488,108.66932838354845
64,2015-04-07,144.72,0.0009,0.7353799999999999,106.4817168385022
65,2015-04-08,145.88,0.0079,0.71758,103.90430847857219
66,2015-04-09,146.2,0.0022,0.69568,100.73322740652345
67,2015-04-10,146.89,0.0047,0.651181,94.28985130492087
68,2015-04-13,145.32,-0.0108,0.593533,85.94252337608683
69,2015-04-14,145.02,-0.0021,0.576882,83.53148817377252
70,2015-04-15,145.02,0.0,0.552166,79.95265530725396
71,2015-04-16,145.14,0.0009,0.53989,78.17511232823705
