,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2021-05-14,32.17,,,
1,2021-05-17,32.99,0.0252,,
2,2021-05-18,36.28,0.095,,
3,2021-05-19,36.28,0.0,,
4,2021-05-20,36.52,0.0066,,
5,2021-05-21,36.38,-0.004,,
6,2021-05-24,36.76,0.0106,,
7,2021-05-25,35.75,-0.028,,
8,2021-05-26,35.63,-0.0033,,
9,2021-05-27,34.35,-0.0368,,
10,2021-05-28,34.59,0.007,,
11,2021-06-01,34.83,0.007,,
12,2021-06-02,34.11,-0.0208,,
13,2021-06-03,35.8,0.0482,,
14,2021-06-04,33.04,-0.0802,,
15,2021-06-07,30.4,-0.0833,,
16,2021-06-08,27.97,-0.0833,,
17,2021-06-09,27.52,-0.016,,
18,2021-06-10,29.34,0.064,,
19,2021-06-11,28.69,-0.0227,,
20,2021-06-14,29.3,0.021,,
21,2021-06-15,30.78,0.0493,,
22,2021-06-16,29.7,-0.0355,,
23,2021-06-17,30.44,0.0245,,
24,2021-06-18,29.0,-0.0482,,
25,2021-06-21,28.45,-0.0192,,
26,2021-06-22,28.57,0.0041,,
27,2021-06-23,28.54,-0.001,,
28,2021-06-24,28.8,0.0091,,
29,2021-06-25,29.21,0.014,,
30,2021-06-28,29.93,0.0245,,
31,2021-06-29,29.56,-0.0127,,
32,2021-06-30,29.28,-0.0095,,
33,2021-07-01,29.82,0.0183,,
34,2021-07-02,29.86,0.0013,,
35,2021-07-06,29.99,0.0045,,
36,2021-07-07,29.14,-0.0288,,
37,2021-07-08,28.69,-0.0157,,
38,2021-07-09,29.12,0.0151,,
39,2021-07-12,28.77,-0.012,,
40,2021-07-13,28.15,-0.0218,,
41,2021-07-14,28.39,0.0082,,
42,2021-07-15,27.97,-0.0148,,
43,2021-07-16,27.93,-0.0014,,
44,2021-07-19,28.19,0.0093,,
45,2021-07-20,28.65,0.016,,
46,2021-07-21,29.47,0.0283,,
47,2021-07-22,29.91,0.015,,
48,2021-07-23,28.83,-0.0369,,
49,2021-07-26,28.7,-0.0047,,
50,2021-07-27,28.17,-0.0184,0.562693,48.757603122054704
51,2021-07-28,28.77,0.0211,0.566068,49.05004839956293
52,2021-07-29,28.28,-0.0173,0.565215,48.97613556349937
53,2021-07-30,28.07,-0.0076,0.547283,47.4223196475653
54,2021-08-02,28.57,0.0178,0.527595,45.71634553687438
55,2021-08-03,28.55,-0.0007,0.501536,43.45832139270051
56,2021-08-04,27.7,-0.0303,0.47356499999999996,41.03462158316495
57,2021-08-05,28.6,0.032,0.439919,38.1191804551526
58,2021-08-06,28.54,-0.002,0.41009700000000004,35.53509065786365
59,2021-08-09,28.15,-0.0137,0.377427,32.70422037158405
60,2021-08-10,29.36,0.0421,0.355642,30.81654026180134
61,2021-08-11,28.96,-0.0139,0.326299,28.2739560313054
62,2021-08-12,32.41,0.1127,0.28935500000000003,25.072741710634645
63,2021-08-13,33.1,0.021,0.27104700000000004,23.486345224524854
64,2021-08-16,33.21,0.0035,0.22860399999999997,19.80864006503403
65,2021-08-17,34.23,0.0301,0.23085,20.003256981562465
66,2021-08-18,32.5,-0.0519,0.266705,23.110108959357238
67,2021-08-19,32.99,0.0151,0.278603,24.14107604433289
68,2021-08-20,32.41,-0.0179,0.291266,25.238330725543747
69,2021-08-23,32.43,0.0006,0.302163,26.182560707471776
70,2021-08-24,32.35,-0.0024,0.311518,26.993175691498276
71,2021-08-25,32.48,0.0042,0.32035600000000003,27.758992391533145
72,2021-08-26,33.13,0.0196,0.328161,28.43529917403734
73,2021-08-27,33.41,0.0085,0.341295,29.573366218420457
74,2021-08-30,32.89,-0.0156,0.355085,30.768275959705903
75,2021-08-31,33.06,0.005,0.364144,31.553242409764277
76,2021-09-01,33.71,0.0196,0.37203699999999995,32.237174432096836
77,2021-09-02,34.74,0.0299,0.38354,33.23391458829746
78,2021-09-03,34.74,0.0,0.40139899999999995,34.78140502119208
79,2021-09-07,34.77,0.0008,0.41788800000000004,36.210184334031524
80,2021-09-08,34.11,-0.019,0.433743,37.584027259925705
81,2021-09-09,33.83,-0.0083,0.444863,38.54758029278243
82,2021-09-10,33.05,-0.0233,0.45305,39.25698754817793
83,2021-09-13,33.0,-0.0015,0.456411,39.548219719349824
84,2021-09-14,32.6,-0.0122,0.46014000000000005,39.87133925707669
85,2021-09-15,32.89,0.0089,0.462271,40.05599137155669
86,2021-09-16,32.93,0.0012,0.465246,40.31377646802691
87,2021-09-17,33.2,0.008,0.466248,40.40060022152713
88,2021-09-20,32.13,-0.0326,0.466151,40.392195127625406
89,2021-09-21,32.08,-0.0015,0.46420900000000004,40.22391994868586
90,2021-09-22,31.85,-0.0073,0.460666,39.916917395141674
91,2021-09-23,32.56,0.0221,0.453673,39.310970780144636
92,2021-09-24,32.86,0.0092,0.44837899999999997,38.85224328410655
93,2021-09-27,32.72,-0.0045,0.44087400000000004,38.20193163738086
94,2021-09-28,32.23,-0.015,0.431849,37.419911302710716
95,2021-09-29,33.15,0.0281,0.422655,36.62324704155202
96,2021-09-30,31.99,-0.0356,0.417022,36.135145042084226
97,2021-10-01,32.51,0.0163,0.41275100000000003,35.76506095905086
98,2021-10-04,32.13,-0.0118,0.41035200000000005,35.557186523275384
99,2021-10-05,31.73,-0.0125,0.40247700000000003,34.87481420908953
100,2021-10-06,32.26,0.0165,0.39319400000000004,34.07043805764987
101,2021-10-07,32.03,-0.007,0.37979399999999996,32.90932199287648
102,2021-10-08,31.77,-0.0083,0.36950000000000005,32.01734223386325
103,2021-10-11,32.4,0.0195,0.35489800000000005,30.75207232507064
104,2021-10-12,32.03,-0.0112,0.337138,29.21316028698292
105,2021-10-13,32.34,0.0094,0.322162,27.915483108919762
106,2021-10-14,32.82,0.0147,0.305594,26.47985841032532
107,2021-10-15,34.03,0.0365,0.27791,24.081027280684534
108,2021-10-18,33.95,-0.0026,0.26038,22.562044846693677
109,2021-10-19,34.2,0.0074,0.238648,20.678957210898503
110,2021-10-20,34.88,0.0198,0.207822,18.007870359204137
111,2021-10-21,34.49,-0.0112,0.193533,16.769722042073766
112,2021-10-22,34.79,0.0084,0.165851,14.37106421333817
113,2021-10-25,36.01,0.0345,0.17201,14.904744350870955
114,2021-10-26,35.81,-0.0054,0.189828,16.448682115209184
115,2021-10-27,34.84,-0.0273,0.203535,17.636399868929246
116,2021-10-28,35.62,0.0221,0.20663299999999998,17.904842971068646
117,2021-10-29,35.85,0.0063,0.21625699999999998,18.738766926843205
118,2021-11-01,36.22,0.0103,0.22750900000000002,19.713757819442474
119,2021-11-02,35.6,-0.0174,0.23965599999999998,20.766300867114293
120,2021-11-03,35.92,0.009,0.24575,21.2943487252284
121,2021-11-04,35.37,-0.0153,0.253012,21.923604311973502
122,2021-11-05,35.39,0.0006,0.25648499999999996,22.224541333836033
123,2021-11-08,36.08,0.0194,0.260992,22.615074923681835
124,2021-11-09,35.74,-0.0095,0.269474,23.35004406259287
125,2021-11-10,35.73,-0.0003,0.27451000000000003,23.78641574186144
126,2021-11-11,33.87,-0.0536,0.279316,24.20285781703315
127,2021-11-12,32.87,-0.0298,0.279331,24.204157573822073
128,2021-11-15,32.56,-0.0095,0.278997,24.17521632265533
129,2021-11-16,32.72,0.0048,0.27928000000000003,24.19973840073973
130,2021-11-17,32.14,-0.0177,0.278808,24.15883938711487
131,2021-11-18,30.83,-0.0418,0.281366,24.380491244852955
132,2021-11-19,30.76,-0.0022,0.291049,25.219527577330624
133,2021-11-22,31.14,0.0124,0.300349,26.025376786464392
134,2021-11-23,30.71,-0.014,0.30674399999999996,26.5795064308096
135,2021-11-24,31.04,0.0108,0.314822,27.279468786872247
136,2021-11-26,30.64,-0.0131,0.32101999999999997,27.816528292056237
137,2021-11-29,30.14,-0.0165,0.32926900000000003,28.53130787551264
138,2021-11-30,28.77,-0.0465,0.340399,29.49572741289531
139,2021-12-01,28.28,-0.0173,0.36033099999999996,31.222844234019426
140,2021-12-02,29.2,0.0322,0.383109,33.196568243229
141,2021-12-03,28.37,-0.0287,0.396148,34.32640349461558
142,2021-12-06,28.85,0.0165,0.415848,36.033417410737655
143,2021-12-07,28.85,0.0,0.43065800000000004,37.31671061367004
144,2021-12-08,28.87,0.0007,0.444425,38.50962739454581
