,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,30.44,,,
1,2015-01-05,28.69,-0.059,,
2,2015-01-06,27.5,-0.0425,,
3,2015-01-07,27.3,-0.0073,,
4,2015-01-08,27.6,0.0109,,
5,2015-01-09,26.66,-0.0346,,
6,2015-01-12,25.06,-0.0618,,
7,2015-01-13,24.53,-0.0214,,
8,2015-01-14,25.8,0.0506,,
9,2015-01-15,25.79,-0.0005,,
10,2015-01-16,26.15,0.0139,,
11,2015-01-20,26.64,0.0185,,
12,2015-01-21,27.66,0.0377,,
13,2015-01-22,27.13,-0.0194,,
14,2015-01-23,26.86,-0.0099,,
15,2015-01-26,27.46,0.0218,,
16,2015-01-27,27.25,-0.0076,,
17,2015-01-28,26.07,-0.0444,,
18,2015-01-29,26.6,0.0202,,
19,2015-01-30,27.22,0.023,,
20,2015-02-02,27.93,0.026,,
21,2015-02-03,28.91,0.0346,,
22,2015-02-04,28.11,-0.0284,,
23,2015-02-05,29.19,0.0378,,
24,2015-02-06,28.98,-0.0072,,
25,2015-02-09,28.56,-0.0146,,
26,2015-02-10,28.51,-0.0015,,
27,2015-02-11,28.23,-0.01,,
28,2015-02-12,29.22,0.0346,,
29,2015-02-13,29.25,0.0008,,
30,2015-02-17,29.98,0.0248,,
31,2015-02-18,29.8,-0.006,,
32,2015-02-19,29.36,-0.015,,
33,2015-02-20,29.46,0.0036,,
34,2015-02-23,29.31,-0.0053,,
35,2015-02-24,27.88,-0.0502,,
36,2015-02-25,28.06,0.0064,,
37,2015-02-26,27.18,-0.0318,,
38,2015-02-27,27.36,0.0066,,
39,2015-03-02,27.24,-0.0043,,
40,2015-03-03,27.96,0.026,,
41,2015-03-04,27.83,-0.0044,,
42,2015-03-05,28.43,0.0211,,
43,2015-03-06,29.13,0.0245,,
44,2015-03-09,29.04,-0.003,,
45,2015-03-10,28.66,-0.0133,,
46,2015-03-11,28.5,-0.0056,,
47,2015-03-12,28.64,0.005,,
48,2015-03-13,27.73,-0.0322,,
49,2015-03-16,27.89,0.0058,,
50,2015-03-17,28.3,0.0143,0.24232299999999998,21.999116630349178
51,2015-03-18,29.32,0.0354,0.23228300000000002,21.08764256074495
52,2015-03-19,28.69,-0.0215,0.234562,21.29453991180352
53,2015-03-20,29.28,0.0203,0.23539100000000002,21.369800071534787
54,2015-03-23,30.05,0.026,0.23776399999999998,21.585231143962158
55,2015-03-24,29.02,-0.035,0.24437799999999998,22.185678304954425
56,2015-03-25,29.09,0.0023,0.243209,22.079551493463658
57,2015-03-26,29.15,0.0021,0.23066299999999998,20.94057204353789
58,2015-03-27,29.08,-0.0023,0.21018699999999998,19.081673333456596
59,2015-03-30,29.69,0.0208,0.200833,18.232477272990664
60,2015-03-31,29.82,0.0042,0.19256900000000002,17.482236066694913
61,2015-04-01,29.88,0.0021,0.18691,16.9684878834389
62,2015-04-02,29.71,-0.0056,0.184473,16.74724661773915
63,2015-04-06,30.21,0.0165,0.186024,16.888053020324424
64,2015-04-07,29.95,-0.0086,0.187484,17.02059805435054
65,2015-04-08,29.46,-0.0162,0.18494,16.78964287177353
66,2015-04-09,29.72,0.0086,0.183293,16.64012117927969
67,2015-04-10,29.82,0.0035,0.181028,16.43449480799945
68,2015-04-13,29.45,-0.0125,0.167771,15.23096774218837
69,2015-04-14,30.41,0.032,0.157143,14.26611252189417
70,2015-04-15,31.57,0.0373,0.155864,14.1499994407165
71,2015-04-16,31.12,-0.0144,0.168933,15.336459063789974
72,2015-04-17,30.62,-0.016,0.178294,16.186290614145072
73,2015-04-20,30.37,-0.0083,0.181339,16.46272871593241
74,2015-04-21,29.71,-0.022,0.184556,16.754781712139266
75,2015-04-22,30.25,0.0181,0.185186,16.81197580216423
76,2015-04-23,30.45,0.0065,0.18689599999999998,16.967216903660567
77,2015-04-24,30.43,-0.0006,0.189142,17.17111837381307
78,2015-04-27,30.02,-0.0135,0.190008,17.24973755152993
79,2015-04-28,30.19,0.0057,0.191143,17.35277769784475
80,2015-04-29,30.41,0.0072,0.192773,17.500756057750614
81,2015-04-30,30.11,-0.0101,0.194271,17.6367508940322
82,2015-05-01,30.46,0.0116,0.195029,17.705565370601924
83,2015-05-04,30.12,-0.0112,0.197513,17.931073496986077
84,2015-05-05,30.01,-0.0035,0.19865,18.03429521184066
85,2015-05-06,28.07,-0.0671,0.199487,18.11028164573097
86,2015-05-07,27.49,-0.0207,0.198512,18.021766982597097
87,2015-05-08,28.01,0.0187,0.201829,18.322898405792042
88,2015-05-11,27.15,-0.0311,0.19636800000000001,17.82712550797245
89,2015-05-12,27.14,-0.0005,0.198002,17.97546700495784
90,2015-05-13,27.86,0.0262,0.19882100000000003,18.049819321990295
91,2015-05-14,27.94,0.0029,0.19935,18.09784420075729
92,2015-05-15,28.6,0.0232,0.198764,18.044644618607084
93,2015-05-18,28.7,0.0035,0.19822399999999998,17.995621112871397
94,2015-05-19,28.23,-0.0163,0.198935,18.060168728756718
95,2015-05-20,28.26,0.0009,0.201046,18.251814322475294
96,2015-05-21,28.22,-0.0013,0.20233299999999999,18.368653677812013
97,2015-05-22,27.63,-0.0211,0.203315,18.457803830835054
98,2015-05-26,27.32,-0.0114,0.207593,18.846178937385545
99,2015-05-27,26.98,-0.0127,0.210198,19.082671960425287
100,2015-05-28,26.42,-0.0209,0.21611799999999998,19.62011483812021
101,2015-05-29,26.24,-0.0069,0.22804300000000002,20.702717256449937
102,2015-06-01,25.86,-0.0147,0.24195,21.9652540976836
103,2015-06-02,26.02,0.0063,0.257753,23.399917914611457
104,2015-06-03,25.47,-0.0214,0.27091899999999997,24.595183611863373
105,2015-06-04,24.88,-0.0234,0.286164,25.979189806197684
106,2015-06-05,24.97,0.0035,0.306626,27.836817536500654
107,2015-06-08,24.7,-0.0108,0.32420299999999996,29.432532648197217
108,2015-06-09,24.69,-0.0005,0.342352,31.08017636226566
109,2015-06-10,24.61,-0.003,0.358936,32.585742693970495
110,2015-06-11,24.65,0.0015,0.373541,33.911646955581034
111,2015-06-12,24.3,-0.0141,0.38600700000000004,35.04336366391633
112,2015-06-15,24.42,0.0049,0.399367,36.25624150952514
113,2015-06-16,24.38,-0.0018,0.41083,37.296901595169885
114,2015-06-17,24.54,0.0067,0.419634,38.09616630720133
115,2015-06-18,24.58,0.0015,0.427035,38.76806068858986
116,2015-06-19,24.44,-0.0059,0.43461799999999995,39.45647780709672
117,2015-06-22,25.53,0.0439,0.441277,40.06101026023363
118,2015-06-23,25.44,-0.0037,0.44160400000000005,40.09069671648469
119,2015-06-24,25.26,-0.0069,0.442919,40.21007803137807
120,2015-06-25,24.6,-0.0264,0.440413,39.982572651056536
121,2015-06-26,24.99,0.0154,0.432582,39.27164103361921
122,2015-06-29,24.48,-0.0205,0.424535,38.541100013887615
123,2015-06-30,24.71,0.0094,0.42045,38.17024627142414
124,2015-07-01,24.28,-0.0174,0.415567,37.72694668159571
125,2015-07-02,24.55,0.0108,0.415065,37.6813729781155
126,2015-07-06,23.74,-0.0334,0.409229,37.15155597909057
127,2015-07-07,24.49,0.0309,0.404495,36.72178324547439
128,2015-07-08,24.1,-0.0157,0.394798,35.84144818043931
129,2015-07-09,24.5,0.0162,0.38805300000000004,35.229108280092646
130,2015-07-10,24.75,0.0102,0.37698,34.223854059701445
131,2015-07-13,25.79,0.0411,0.36159399999999997,32.827047283313924
132,2015-07-14,25.91,0.0048,0.345091,31.328834477469442
133,2015-07-15,25.43,-0.0188,0.32343000000000005,29.362356407579288
134,2015-07-16,25.65,0.0086,0.303127,27.519163376187382
135,2015-07-17,25.28,-0.0145,0.281236,25.531804924224616
136,2015-07-20,24.47,-0.0327,0.274654,24.934262859868536
137,2015-07-21,24.71,0.0099,0.272637,24.751150987518763
138,2015-07-22,23.97,-0.0303,0.26634399999999997,24.17984557715826
139,2015-07-23,24.2,0.0096,0.266727,24.214615952522646
140,2015-07-24,23.58,-0.0259,0.26567799999999997,24.11938325341758
141,2015-07-27,23.7,0.005,0.262667,23.846031816806192
142,2015-07-28,24.26,0.0232,0.257386,23.366600087565168
143,2015-07-29,25.04,0.0315,0.242815,22.04378249113058
144,2015-07-30,24.09,-0.0384,0.223562,20.295912943113628
145,2015-07-31,24.02,-0.0032,0.20900200000000002,18.974093973647733
