,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,192.11,,,
1,2015-01-05,188.72,-0.0178,,
2,2015-01-06,188.08,-0.0034,,
3,2015-01-07,189.79,0.0091,,
4,2015-01-08,193.24,0.018,,
5,2015-01-09,187.81,-0.0285,,
6,2015-01-12,185.58,-0.0119,,
7,2015-01-13,182.75,-0.0154,,
8,2015-01-14,182.46,-0.0016,,
9,2015-01-15,179.96,-0.0138,,
10,2015-01-16,182.91,0.0163,,
11,2015-01-20,186.42,0.019,,
12,2015-01-21,184.97,-0.0078,,
13,2015-01-22,189.32,0.0232,,
14,2015-01-23,190.08,0.004,,
15,2015-01-26,191.28,0.0063,,
16,2015-01-27,190.97,-0.0016,,
17,2015-01-28,191.27,0.0016,,
18,2015-01-29,192.65,0.0072,,
19,2015-01-30,187.36,-0.0278,,
20,2015-02-02,190.28,0.0155,,
21,2015-02-03,193.28,0.0156,,
22,2015-02-04,192.71,-0.003,,
23,2015-02-05,208.24,0.0775,,
24,2015-02-06,206.78,-0.007,,
25,2015-02-09,205.07,-0.0083,,
26,2015-02-10,206.03,0.0047,,
27,2015-02-11,207.45,0.0069,,
28,2015-02-12,206.57,-0.0043,,
29,2015-02-13,205.55,-0.005,,
30,2015-02-17,205.7,0.0007,,
31,2015-02-18,205.78,0.0004,,
32,2015-02-19,204.91,-0.0042,,
33,2015-02-20,205.84,0.0045,,
34,2015-02-23,208.52,0.0129,,
35,2015-02-24,207.54,-0.0047,,
36,2015-02-25,208.69,0.0055,,
37,2015-02-26,209.34,0.0031,,
38,2015-02-27,208.13,-0.0058,,
39,2015-03-02,212.0,0.0184,,
40,2015-03-03,211.66,-0.0016,,
41,2015-03-04,207.83,-0.0183,,
42,2015-03-05,208.02,0.0009,,
43,2015-03-06,204.19,-0.0186,,
44,2015-03-09,206.58,0.0116,,
45,2015-03-10,203.06,-0.0172,,
46,2015-03-11,204.28,0.006,,
47,2015-03-12,209.55,0.0255,,
48,2015-03-13,210.23,0.0032,,
49,2015-03-16,215.06,0.0227,,
50,2015-03-17,214.04,-0.0048,1.934573,257.49005980161303
51,2015-03-18,214.32,0.0013,1.9690860000000001,262.083711441501
52,2015-03-19,214.97,0.003,1.9892560000000001,264.768321692031
53,2015-03-20,214.79,-0.0008,2.005037,266.86875968725235
54,2015-03-23,215.29,0.0023,2.021867,269.10881871136826
55,2015-03-24,214.52,-0.0036,2.048693,272.6793370346562
