,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2020-03-19,43.97,,,
1,2020-03-20,43.73,-0.0055,,
2,2020-03-23,38.87,-0.1178,,
3,2020-03-24,38.87,0.0,,
4,2020-03-25,39.85,0.0249,,
5,2020-03-26,43.73,0.0928,,
6,2020-03-27,43.96,0.0052,,
7,2020-03-30,48.59,0.1002,,
8,2020-03-31,48.59,0.0,,
9,2020-04-01,45.38,-0.0683,,
10,2020-04-02,42.76,-0.0596,,
11,2020-04-03,45.98,0.0727,,
12,2020-04-06,44.64,-0.0296,,
13,2020-04-07,43.03,-0.0368,,
14,2020-04-08,42.84,-0.0043,,
15,2020-04-09,47.75,0.1084,,
16,2020-04-13,44.7,-0.066,,
17,2020-04-14,44.59,-0.0024,,
18,2020-04-15,43.29,-0.0296,,
19,2020-04-16,44.33,0.0237,,
20,2020-04-17,44.85,0.0116,,
21,2020-04-20,44.11,-0.0166,,
22,2020-04-21,44.6,0.0112,,
23,2020-04-22,45.72,0.0247,,
24,2020-04-23,46.13,0.0089,,
25,2020-04-24,46.5,0.008,,
26,2020-04-27,46.86,0.0077,,
27,2020-04-28,48.45,0.0334,,
28,2020-04-29,49.7,0.0255,,
29,2020-04-30,49.47,-0.0047,,
30,2020-05-01,48.31,-0.0239,,
31,2020-05-04,48.13,-0.0036,,
32,2020-05-05,46.73,-0.0295,,
33,2020-05-06,46.94,0.0046,,
34,2020-05-07,50.35,0.0699,,
35,2020-05-08,51.45,0.0218,,
36,2020-05-11,50.35,-0.0218,,
37,2020-05-12,48.32,-0.0412,,
38,2020-05-13,46.85,-0.0308,,
39,2020-05-14,46.64,-0.0044,,
40,2020-05-15,47.51,0.0184,,
41,2020-05-18,50.66,0.0642,,
42,2020-05-19,50.83,0.0034,,
43,2020-05-20,51.68,0.0165,,
44,2020-05-21,50.75,-0.0181,,
45,2020-05-22,50.44,-0.0062,,
46,2020-05-26,49.64,-0.016,,
47,2020-05-27,51.09,0.0289,,
48,2020-05-28,49.71,-0.0275,,
49,2020-05-29,51.36,0.0326,,
50,2020-06-01,52.75,0.0268,0.625819,88.22101555497997
51,2020-06-02,52.82,0.0013,0.6423390000000001,90.54982177046445
52,2020-06-03,54.11,0.0241,0.6562690000000001,92.51351853691109
53,2020-06-04,54.04,-0.0013,0.644172,90.80821776277574
54,2020-06-05,57.13,0.0556,0.625822,88.22143846167769
55,2020-06-08,59.75,0.0449,0.639676,90.17442159178192
56,2020-06-09,59.16,-0.01,0.703632,99.1902285117289
57,2020-06-10,57.58,-0.0271,0.7519129999999999,105.99634793605124
58,2020-06-11,54.87,-0.0482,0.790017,111.36782687278368
59,2020-06-12,54.66,-0.0037,0.806876,113.74442154511132
60,2020-06-15,56.25,0.0287,0.8155370000000001,114.96535318144976
61,2020-06-16,56.43,0.0031,0.818877,115.43618930491937
62,2020-06-17,55.34,-0.0194,0.83518,117.73440526926822
63,2020-06-18,56.08,0.0131,0.8381310000000001,118.15040449093256
64,2020-06-19,55.6,-0.0086,0.8338460000000001,117.54635275767887
65,2020-06-22,55.66,0.0011,0.822859,115.9975274617026
66,2020-06-23,55.4,-0.0046,0.8322410000000001,117.32009767439483
67,2020-06-24,54.17,-0.0224,0.827243,116.61553511598129
68,2020-06-25,54.82,0.0118,0.8151550000000001,114.91150306193916
69,2020-06-26,54.42,-0.0073,0.794552,112.00712083084797
70,2020-06-29,55.18,0.0139,0.777078,109.54383028548627
71,2020-06-30,55.46,0.0051,0.763149,107.58027448793885
72,2020-07-01,54.41,-0.0192,0.742495,104.66870284298632
73,2020-07-02,55.11,0.0128,0.71922,101.38765171311944
74,2020-07-06,55.46,0.0064,0.7033780000000001,99.15442241132133
75,2020-07-07,55.42,-0.0007,0.6892140000000001,97.15773892245198
76,2020-07-08,55.52,0.0018,0.67522,95.18502014645381
77,2020-07-09,54.73,-0.0143,0.661867,93.30266243487003
78,2020-07-10,55.58,0.0154,0.653826,92.1691315160619
79,2020-07-13,55.49,-0.0016,0.6524760000000001,91.97882350208465
80,2020-07-14,55.96,0.0084,0.649163,91.51179353889458
81,2020-07-15,56.77,0.0144,0.640617,90.30707332596901
82,2020-07-16,56.89,0.0021,0.6324069999999999,89.14971866318889
83,2020-07-17,57.11,0.0039,0.612461,86.33795299889998
84,2020-07-20,57.12,0.0002,0.592025,83.45711257398229
85,2020-07-21,57.0,-0.0021,0.591263,83.34969427275956
86,2020-07-22,57.04,0.0007,0.593237,83.62796687986408
87,2020-07-23,57.61,0.0099,0.590084,83.18349194055278
88,2020-07-24,56.7,-0.0159,0.575034,81.06191000695466
89,2020-07-27,56.89,0.0033,0.540218,76.15393681093123
90,2020-07-28,58.8,0.0331,0.49826,70.23916373651858
91,2020-07-29,62.72,0.0646,0.469004,66.1149776202829
92,2020-07-30,61.83,-0.0143,0.49905299999999997,70.35095207361779
93,2020-07-31,61.2,-0.0103,0.515715,72.69977587279469
94,2020-08-03,61.66,0.0075,0.52838,74.48514698169969
95,2020-08-04,61.07,-0.0095,0.53592,75.54805248198738
96,2020-08-05,61.54,0.0076,0.5334,75.19281085589654
97,2020-08-06,61.92,0.0062,0.52399,73.86629351402554
98,2020-08-07,62.83,0.0145,0.525962,74.14428418333156
99,2020-08-10,63.61,0.0123,0.519416,73.2215017688908
100,2020-08-11,62.79,-0.013,0.530036,74.7185914788451
101,2020-08-12,63.3,0.0082,0.53948,76.04990176329034
102,2020-08-13,62.43,-0.014,0.5504140000000001,77.59125570760675
103,2020-08-14,62.49,0.0011,0.559124,78.81909482000805
104,2020-08-17,62.39,-0.0017,0.565976,79.78501371761699
105,2020-08-18,61.89,-0.008,0.579427,81.68118638132653
106,2020-08-19,61.37,-0.0084,0.5874900000000001,82.817818615918
107,2020-08-20,61.62,0.004,0.59407,83.74539397293299
108,2020-08-21,62.26,0.0104,0.602252,84.89880150653431
109,2020-08-24,62.43,0.0027,0.6066210000000001,85.51469462732437
110,2020-08-25,62.91,0.0077,0.609556,85.9284383466008
111,2020-08-26,62.8,-0.0017,0.619232,87.29245341567028
112,2020-08-27,61.87,-0.0149,0.627629,88.47616926260872
113,2020-08-28,62.22,0.0057,0.627376,88.4405041311004
114,2020-08-31,61.55,-0.0109,0.630162,88.83324348438971
115,2020-09-01,62.67,0.0181,0.627943,88.52043349697084
116,2020-09-02,63.94,0.0199,0.629167,88.69297942964353
117,2020-09-03,60.52,-0.0549,0.634159,89.3966961746616
118,2020-09-04,60.17,-0.0058,0.619261,87.2965415137483
119,2020-09-08,59.33,-0.0141,0.606606,85.51258009383572
120,2020-09-09,60.75,0.0236,0.590293,83.21295444049444
121,2020-09-10,58.61,-0.0357,0.578339,81.52781221895079
122,2020-09-11,58.85,0.004,0.567287,79.96982394452377
123,2020-09-14,58.7,-0.0025,0.548424,77.31072759811437
124,2020-09-15,59.0,0.0052,0.53367,75.23087245869198
125,2020-09-16,58.51,-0.0085,0.520002,73.30410954384685
126,2020-09-17,59.73,0.0207,0.506291,71.3712849663343
127,2020-09-18,59.57,-0.0026,0.49071800000000004,69.1759762984324
128,2020-09-21,58.13,-0.0244,0.467839,65.95074885266551
129,2020-09-22,59.68,0.0262,0.453759,63.965906751332504
130,2020-09-23,59.11,-0.0096,0.434456,61.24478408925644
131,2020-09-24,60.75,0.0273,0.41865,59.01662966783106
132,2020-09-25,60.23,-0.0086,0.40629600000000005,57.275099886590446
133,2020-09-28,61.17,0.0155,0.393889,55.52609875368997
134,2020-09-29,61.07,-0.0016,0.382318,53.89494762055615
135,2020-09-30,61.08,0.0002,0.36972099999999997,52.11916239679963
136,2020-10-01,61.03,-0.0008,0.355109,50.059324841069675
137,2020-10-02,61.8,0.0126,0.339458,47.853020599026856
138,2020-10-05,63.15,0.0216,0.327823,46.21284745634152
139,2020-10-06,62.46,-0.0111,0.31085999999999997,43.82159201849268
140,2020-10-07,63.65,0.0189,0.290111,40.896628328112115
141,2020-10-08,63.32,-0.0052,0.289445,40.80274304121667
142,2020-10-09,63.95,0.0098,0.292042,41.16883927254919
143,2020-10-12,64.28,0.0052,0.30017499999999997,42.31533933008763
144,2020-10-13,63.73,-0.0086,0.31014800000000003,43.7212221622321
145,2020-10-14,64.2,0.0073,0.316217,44.57676241173423
146,2020-10-15,63.8,-0.0063,0.324369,45.72594087835828
147,2020-10-16,63.63,-0.0026,0.33002699999999996,46.52354291027177
148,2020-10-19,62.98,-0.0104,0.33450899999999995,47.15536551667621
149,2020-10-20,63.01,0.0005,0.334939,47.21598214335045
150,2020-10-21,62.35,-0.0105,0.332687,46.89852018225657
151,2020-10-22,61.88,-0.0076,0.331753,46.766855230364165
152,2020-10-23,62.09,0.0033,0.32854999999999995,46.31533184609075
153,2020-10-26,61.85,-0.0038,0.328027,46.24160511178698
154,2020-10-27,60.64,-0.0198,0.327142,46.11684763595745
155,2020-10-28,57.72,-0.0493,0.327263,46.13390487276579
156,2020-10-29,59.48,0.0301,0.342808,48.325266411488904
157,2020-10-30,59.96,0.008,0.34686900000000004,48.8977411113123
158,2020-11-02,60.81,0.0139,0.348985,49.19603130210921
159,2020-11-03,61.36,0.0091,0.348434,49.11835743862665
160,2020-11-04,60.96,-0.0066,0.34714500000000004,48.9366485275032
161,2020-11-05,61.28,0.0053,0.34448700000000004,48.5619531933169
162,2020-11-06,62.21,0.0151,0.341933,48.2019186246518
163,2020-11-09,62.14,-0.0013,0.34252000000000005,48.2846673685071
164,2020-11-10,64.33,0.0347,0.34234299999999995,48.25971587334118
165,2020-11-11,64.7,0.0058,0.3522,49.649246313173535
166,2020-11-12,64.57,-0.002,0.36214399999999997,51.051041047239956
167,2020-11-13,64.16,-0.0064,0.365912,51.58221185958533
168,2020-11-16,65.94,0.0274,0.37280700000000006,52.55419241986169
169,2020-11-17,65.76,-0.0028,0.390381,55.031579855147626
170,2020-11-18,65.2,-0.0085,0.401551,56.60620245968525
171,2020-11-19,64.93,-0.0041,0.411708,58.03802356929032
172,2020-11-20,65.09,0.0024,0.41100499999999995,57.9389224331229
173,2020-11-23,66.0,0.0139,0.411105,57.953019323047144
174,2020-11-24,66.15,0.0022,0.414484,58.42935323358722
175,2020-11-25,66.13,-0.0003,0.418792,59.036647251523476
176,2020-11-27,66.09,-0.0006,0.417844,58.90300873504168
177,2020-11-30,65.7,-0.006,0.422157,59.511007597474155
178,2020-12-01,65.59,-0.0016,0.42197,59.48464641331583
179,2020-12-02,64.47,-0.0172,0.409594,57.74001531629188
180,2020-12-03,64.28,-0.003,0.40224899999999997,56.704598751356436
181,2020-12-04,63.95,-0.0051,0.38945399999999997,54.90090168554992
182,2020-12-07,63.65,-0.0048,0.384858,54.253008624631846
183,2020-12-08,64.88,0.0192,0.376675,53.09946012213128
184,2020-12-09,64.28,-0.0094,0.375155,52.88518739528284
185,2020-12-10,62.81,-0.023,0.37113,52.31778757583218
186,2020-12-11,62.55,-0.0042,0.36620800000000003,51.62393865376109
187,2020-12-14,61.62,-0.015,0.36125100000000004,50.9251558202165
188,2020-12-15,63.53,0.0306,0.3619,51.01664463582482
189,2020-12-16,64.03,0.0078,0.361856,51.01044200425815
190,2020-12-17,64.57,0.0084,0.361295,50.93135845178316
191,2020-12-18,64.39,-0.0027,0.362558,51.10940217152631
192,2020-12-21,64.92,0.0082,0.36342599999999997,51.23176317606872
193,2020-12-22,64.2,-0.0112,0.36532800000000004,51.49988602242777
194,2020-12-23,64.41,0.0034,0.365205,51.48254684782095
195,2020-12-24,64.57,0.0024,0.36600299999999997,51.59504002941638
196,2020-12-28,64.78,0.0032,0.36666200000000004,51.687938534017135
197,2020-12-29,64.47,-0.0047,0.36817900000000003,51.901788354167856
198,2020-12-30,65.48,0.0156,0.36904800000000004,52.024290327609506
199,2020-12-31,66.3,0.0124,0.37235300000000005,52.49019253960564
200,2021-01-04,64.37,-0.0294,0.379011,53.42876347076153
201,2021-01-05,63.89,-0.0075,0.377727,53.24775940413429
202,2021-01-06,65.67,0.0274,0.37438699999999997,52.77692328066467
203,2021-01-07,66.52,0.0129,0.375078,52.87433279004118
204,2021-01-08,65.59,-0.0141,0.378071,53.29625270547368
205,2021-01-11,65.13,-0.0071,0.369732,52.1207130546913
206,2021-01-12,64.02,-0.0172,0.32768300000000006,46.1931118104476
207,2021-01-13,62.78,-0.0195,0.30135,42.48097778669745
208,2021-01-14,63.74,0.015,0.28038,39.52485996958431
209,2021-01-15,64.32,0.009,0.263821,37.190555967029404
210,2021-01-19,64.16,-0.0024,0.250531,35.317079296097894
211,2021-01-20,63.98,-0.0028,0.231824,32.6799740979703
212,2021-01-21,62.34,-0.026,0.214911,30.295767105083577
213,2021-01-22,63.68,0.0212,0.213901,30.153388516848754
214,2021-01-25,63.03,-0.0102,0.20484100000000002,28.876210289712606
215,2021-01-26,62.33,-0.0111,0.20896499999999998,29.45756603018826
216,2021-01-27,61.09,-0.0202,0.217304,30.633105680970644
217,2021-01-28,62.65,0.0252,0.236051,33.27584963506793
218,2021-01-29,63.45,0.0128,0.240838,33.9506677557413
219,2021-02-01,63.35,-0.0015,0.23835,33.59993713442621
220,2021-02-02,63.44,0.0014,0.23663,33.35747062772928
221,2021-02-03,62.86,-0.0092,0.23643699999999998,33.330263630175494
222,2021-02-04,62.12,-0.0119,0.238701,33.64941721806029
223,2021-02-05,62.75,0.0101,0.24413900000000002,34.41600609214047
224,2021-02-08,62.55,-0.0031,0.24174099999999998,34.077962671757184
225,2021-02-09,63.17,0.0098,0.238566,33.63038641666257
226,2021-02-10,64.1,0.0147,0.23248100000000002,32.772590664772565
227,2021-02-11,62.45,-0.0261,0.225051,31.725191743401524
228,2021-02-12,62.94,0.0079,0.22316400000000003,31.459183430531116
229,2021-02-16,62.21,-0.0116,0.219361,30.92307870671226
230,2021-02-17,61.72,-0.0079,0.222784,31.405615248819
231,2021-02-18,62.08,0.0059,0.229069,32.291604780557485
232,2021-02-19,62.06,-0.0003,0.233172,32.870000174149055
233,2021-02-22,62.25,0.003,0.23723,33.44205196727472
234,2021-02-23,62.25,0.0,0.23767499999999997,33.504783127437584
235,2021-02-24,63.35,0.0176,0.239645,33.782491858945114
236,2021-02-25,63.46,0.0017,0.23884799999999998,33.67013964624892
237,2021-02-26,62.72,-0.0117,0.237226,33.44148809167775
238,2021-03-01,63.92,0.019,0.23223,32.73720747106272
