,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,52.27,,,
1,2015-01-05,50.52,-0.0342,,
2,2015-01-06,50.59,0.0014,,
3,2015-01-07,51.26,0.0133,,
4,2015-01-08,51.94,0.0131,,
5,2015-01-09,50.03,-0.0373,,
6,2015-01-12,50.49,0.0092,,
7,2015-01-13,50.13,-0.0072,,
8,2015-01-14,49.67,-0.0094,,
9,2015-01-15,48.6,-0.0217,,
10,2015-01-16,49.47,0.0178,,
11,2015-01-20,49.46,-0.0003,,
12,2015-01-21,49.93,0.0096,,
13,2015-01-22,49.6,-0.0066,,
14,2015-01-23,49.51,-0.0019,,
15,2015-01-26,50.02,0.0102,,
16,2015-01-27,49.18,-0.0169,,
17,2015-01-28,48.66,-0.0107,,
18,2015-01-29,49.13,0.0096,,
19,2015-01-30,46.11,-0.0635,,
20,2015-02-02,47.1,0.0214,,
21,2015-02-03,48.13,0.0216,,
22,2015-02-04,47.91,-0.0046,,
23,2015-02-05,47.75,-0.0034,,
24,2015-02-06,48.13,0.008,,
25,2015-02-09,48.45,0.0065,,
26,2015-02-10,48.45,0.0,,
27,2015-02-11,48.37,-0.0016,,
28,2015-02-12,48.68,0.0063,,
29,2015-02-13,49.43,0.0154,,
30,2015-02-17,49.62,0.0037,,
31,2015-02-18,49.65,0.0006,,
32,2015-02-19,49.65,0.0,,
33,2015-02-20,49.72,0.0014,,
34,2015-02-23,49.19,-0.0106,,
35,2015-02-24,49.1,-0.0019,,
36,2015-02-25,49.73,0.0128,,
37,2015-02-26,49.76,0.0006,,
38,2015-02-27,49.3,-0.0093,,
39,2015-03-02,49.96,0.0133,,
40,2015-03-03,49.68,-0.0057,,
41,2015-03-04,48.27,-0.0288,,
42,2015-03-05,48.07,-0.0042,,
43,2015-03-06,47.46,-0.0127,,
44,2015-03-09,47.92,0.0097,,
45,2015-03-10,46.57,-0.0287,,
46,2015-03-11,46.95,0.0081,,
47,2015-03-12,48.0,0.0222,,
48,2015-03-13,47.52,-0.0102,,
49,2015-03-16,48.13,0.0129,,
50,2015-03-17,48.16,0.0006,0.24154299999999998,33.09354674320256
51,2015-03-18,49.06,0.0185,0.22588799999999998,30.948672024147005
52,2015-03-19,48.18,-0.0182,0.221908,30.403376503109566
53,2015-03-20,48.96,0.0162,0.218216,29.897539552438655
54,2015-03-23,49.07,0.0022,0.208339,28.544302401361573
55,2015-03-24,49.35,0.0056,0.190423,26.089650503143798
56,2015-03-25,48.21,-0.0234,0.188,25.7576778781504
57,2015-03-26,47.97,-0.005,0.182612,25.0194737908766
58,2015-03-27,47.85,-0.0024,0.179665,24.615708489244103
59,2015-03-30,48.84,0.0204,0.17907,24.534188178938255
60,2015-03-31,48.6,-0.0049,0.179124,24.54158666088198
61,2015-04-01,47.65,-0.0198,0.177743,24.352377335617483
62,2015-04-02,47.11,-0.0114,0.17834499999999998,24.43485670839751
63,2015-04-06,47.76,0.0138,0.179106,24.53912050023407
64,2015-04-07,47.84,0.0016,0.17799600000000002,24.38704059361308
65,2015-04-08,48.31,0.0098,0.176787,24.22139680342859
66,2015-04-09,48.64,0.0068,0.17171299999999998,23.52621351856829
67,2015-04-10,48.68,0.0008,0.170615,23.375777719045903
68,2015-04-13,48.34,-0.007,0.17063099999999998,23.377969861844043
69,2015-04-14,48.71,0.0076,0.169594,23.235891606739568
70,2015-04-15,49.41,0.0143,0.15720599999999998,21.538625045279314
71,2015-04-16,49.22,-0.0037,0.15450799999999998,21.16897496594288
72,2015-04-17,48.32,-0.0186,0.155257,21.271594650680832
73,2015-04-20,49.17,0.0175,0.154402,21.154452019905204
74,2015-04-21,51.36,0.0435,0.153651,21.051558317317486
75,2015-04-22,51.89,0.0103,0.17038699999999998,23.344539684172403
76,2015-04-23,51.18,-0.0137,0.19142800000000001,26.227344472651996
77,2015-04-24,50.91,-0.0053,0.20247900000000002,27.741430101542633
78,2015-04-27,51.18,0.0053,0.210214,28.80119413551866
79,2015-04-28,51.49,0.0061,0.21959299999999998,30.086200842003617
80,2015-04-29,51.0,-0.0096,0.230324,31.55644361493145
81,2015-04-30,50.3,-0.0138,0.23643799999999998,32.39411618167087
82,2015-05-01,50.47,0.0034,0.238547,32.683068004250764
83,2015-05-04,50.85,0.0074,0.241352,33.06737803854976
84,2015-05-05,50.13,-0.0142,0.245853,33.68405520945165
85,2015-05-06,49.89,-0.0048,0.247725,33.94053591683409
86,2015-05-07,50.56,0.0133,0.248862,34.09631506442694
87,2015-05-08,51.18,0.0121,0.25161300000000003,34.47322661678222
88,2015-05-11,51.38,0.0039,0.257469,35.275550880901626
89,2015-05-12,50.88,-0.0098,0.26486,36.28818384471763
90,2015-05-13,51.24,0.0071,0.268183,36.74346450210643
91,2015-05-14,51.43,0.0037,0.273816,37.515235775976755
92,2015-05-15,51.32,-0.0023,0.279406,38.28111566607708
93,2015-05-18,50.79,-0.0103,0.28314,38.79270699159311
94,2015-05-19,50.61,-0.0035,0.281397,38.55390043552068
95,2015-05-20,50.5,-0.0023,0.280566,38.440046018942255
96,2015-05-21,50.61,0.0023,0.270818,37.104483019175184
97,2015-05-22,50.79,0.0035,0.263168,36.05636474381428
98,2015-05-26,50.51,-0.0055,0.261615,35.84358988346977
99,2015-05-27,51.12,0.012,0.256133,35.092506957256894
100,2015-05-28,50.33,-0.0157,0.255415,34.99413454919034
101,2015-05-29,49.09,-0.025,0.252132,34.5443342487969
102,2015-06-01,49.47,0.0078,0.252083,34.53762081147759
103,2015-06-02,49.88,0.0082,0.248337,34.02438537886296
104,2015-06-03,49.8,-0.0015,0.24724000000000002,33.87408658826545
105,2015-06-04,49.29,-0.0104,0.246358,33.753244716517955
106,2015-06-05,49.06,-0.0046,0.24645499999999998,33.76653458223168
107,2015-06-08,48.92,-0.0028,0.243298,33.33399740637359
108,2015-06-09,49.24,0.0065,0.23911000000000002,32.76020402896033
109,2015-06-10,50.23,0.0199,0.233233,31.955002577418362
110,2015-06-11,50.56,0.0066,0.23151599999999997,31.71975825339291
111,2015-06-12,50.21,-0.0071,0.229158,31.396691208516962
112,2015-06-15,49.66,-0.011,0.220058,30.149909992074576
113,2015-06-16,49.46,-0.0039,0.205169,28.109984109479996
114,2015-06-17,49.35,-0.0023,0.19581600000000002,26.828539635042016
115,2015-06-18,50.08,0.0148,0.18682200000000002,25.59628136463731
116,2015-06-19,50.0,-0.0015,0.179894,24.647083533042487
117,2015-06-22,50.32,0.0063,0.174929,23.966834220994528
118,2015-06-23,50.24,-0.0015,0.169826,23.267677677312605
119,2015-06-24,50.12,-0.0025,0.16158799999999998,22.13899815412003
120,2015-06-25,49.68,-0.0088,0.155807,21.346949559366912
121,2015-06-26,50.06,0.0076,0.15481899999999998,21.211584741581735
122,2015-06-29,48.97,-0.022,0.152092,20.837961403423673
123,2015-06-30,49.28,0.0063,0.146592,20.08441231656289
124,2015-07-01,49.7,0.0084,0.145978,20.00028883668425
125,2015-07-02,49.96,0.0053,0.144235,19.761482280611823
126,2015-07-06,49.56,-0.0079,0.13774,18.871609313491682
127,2015-07-07,49.74,0.0036,0.13667400000000002,18.725557799565575
128,2015-07-08,48.6,-0.0232,0.136013,18.634994900217393
129,2015-07-09,48.58,-0.0005,0.14013,19.19906064396391
130,2015-07-10,48.95,0.0078,0.141589,19.398956665369344
131,2015-07-13,49.89,0.0189,0.142683,19.5488444291922
132,2015-07-14,50.11,0.0045,0.142598,19.537198670577077
133,2015-07-15,50.28,0.0034,0.14214000000000002,19.47444858298031
134,2015-07-16,50.61,0.0066,0.14057,19.259344570912774
135,2015-07-17,49.8,-0.0163,0.141425,19.376487201688406
136,2015-07-20,50.11,0.0063,0.14152599999999999,19.390325103101667
137,2015-07-21,50.38,0.0052,0.140808,19.29195269503511
138,2015-07-22,50.55,0.0035,0.137566,18.847769760561903
139,2015-07-23,50.42,-0.0026,0.133205,18.25027383914374
140,2015-07-24,50.12,-0.006,0.131517,18.019002773939924
141,2015-07-27,49.93,-0.0039,0.12698399999999999,17.397941317441756
142,2015-07-28,50.04,0.0023,0.12038299999999999,16.493545404283932
143,2015-07-29,50.71,0.0132,0.11427,15.656009846469393
144,2015-07-30,50.01,-0.0138,0.11380499999999999,15.592300696398436
145,2015-07-31,50.07,0.0012,0.112179,15.369524184537413
146,2015-08-03,49.8,-0.0056,0.111066,15.217033251141768
147,2015-08-04,48.76,-0.021,0.10927400000000001,14.971513257750036
148,2015-08-05,49.12,0.0073,0.110324,15.115372628878005
149,2015-08-06,48.88,-0.0047,0.11035500000000001,15.119619905549401
150,2015-08-07,48.61,-0.0055,0.106943,14.652145453845947
151,2015-08-10,49.29,0.0137,0.110132,15.089066915300316
152,2015-08-11,48.65,-0.0131,0.10939399999999999,14.987954328736087
153,2015-08-12,48.66,0.0003,0.11306200000000001,15.49050306520979
154,2015-08-13,48.58,-0.0016,0.11646699999999999,15.957018454439055
155,2015-08-14,48.78,0.004,0.120178,16.465458574682756
156,2015-08-17,48.86,0.0017,0.122142,16.7345441031545
157,2015-08-18,48.79,-0.0014,0.12298,16.84935758220711
158,2015-08-19,48.44,-0.0073,0.123605,16.93498816025947
159,2015-08-20,47.15,-0.0269,0.12742900000000001,17.45891028901504
160,2015-08-21,45.3,-0.0399,0.142902,19.578849383741748
161,2015-08-24,43.71,-0.0357,0.18119700000000002,24.825606162166057
162,2015-08-25,43.33,-0.0087,0.237533,32.54414095441861
163,2015-08-26,45.18,0.0417,0.287339,39.36800746718009
164,2015-08-27,46.19,0.0221,0.307131,42.07968810847984
165,2015-08-28,46.09,-0.0022,0.31711,43.446900169895066
166,2015-08-31,45.71,-0.0081,0.325768,44.63312344153883
167,2015-09-01,44.21,-0.0335,0.33616500000000005,46.05760523355548
168,2015-09-02,45.08,0.0194,0.356746,48.87738591658852
169,2015-09-03,45.02,-0.0014,0.36798299999999995,50.416955205507534
170,2015-09-04,44.06,-0.0214,0.378659,51.87966248756677
171,2015-09-08,44.65,0.0133,0.396345,54.30280233306128
172,2015-09-09,44.48,-0.0038,0.406815,55.73728577659444
173,2015-09-10,44.45,-0.0007,0.419556,57.48291648853866
174,2015-09-11,44.55,0.0023,0.430911,59.03865283059397
175,2015-09-14,44.23,-0.0072,0.43957500000000005,60.225698155787036
176,2015-09-15,45.17,0.021,0.44825000000000004,61.414250579153816
177,2015-09-16,45.47,0.0065,0.452102,61.942008957806124
178,2015-09-17,44.77,-0.0155,0.453559,62.14163096136179
179,2015-09-18,43.65,-0.0253,0.460094,63.03698428547729
180,2015-09-21,43.84,0.0043,0.472121,64.68479062505449
181,2015-09-22,42.67,-0.0271,0.481281,65.93979237698991
182,2015-09-23,42.62,-0.0011,0.493866,67.66404969665227
183,2015-09-24,42.24,-0.009,0.503986,69.0505800164761
184,2015-09-25,41.21,-0.0247,0.514043,70.42847877403227
185,2015-09-28,40.13,-0.0265,0.527887,72.32523033012329
186,2015-09-29,40.47,0.0085,0.551716,75.59001600117885
187,2015-09-30,40.44,-0.0008,0.567942,77.81312281634304
188,2015-10-01,40.05,-0.0098,0.5802320000000001,79.49696250316471
189,2015-10-02,40.36,0.0077,0.591693,81.06722179125768
190,2015-10-05,42.06,0.0412,0.598785,82.03888908653344
191,2015-10-06,41.93,-0.003,0.595603,81.60292668755325
