,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,27.98,,,
1,2015-01-05,28.26,0.01,,
2,2015-01-06,28.8,0.0188,,
3,2015-01-07,29.41,0.021,,
4,2015-01-08,29.02,-0.0135,,
5,2015-01-09,29.05,0.0011,,
6,2015-01-12,29.51,0.0158,,
7,2015-01-13,29.45,-0.0019,,
8,2015-01-14,29.78,0.0112,,
9,2015-01-15,30.04,0.0088,,
10,2015-01-16,30.08,0.001,,
11,2015-01-20,30.05,-0.0008,,
12,2015-01-21,29.62,-0.0144,,
13,2015-01-22,29.96,0.0115,,
14,2015-01-23,30.04,0.0025,,
15,2015-01-26,30.0,-0.0012,,
16,2015-01-27,29.92,-0.0027,,
17,2015-01-28,29.87,-0.0017,,
18,2015-01-29,29.91,0.0015,,
19,2015-01-30,29.5,-0.0139,,
20,2015-02-02,29.43,-0.0023,,
21,2015-02-03,29.2,-0.0079,,
22,2015-02-04,28.3,-0.0315,,
23,2015-02-05,28.55,0.009,,
24,2015-02-06,27.68,-0.031,,
25,2015-02-09,27.57,-0.0041,,
26,2015-02-10,26.96,-0.0222,,
27,2015-02-11,26.9,-0.0021,,
28,2015-02-12,26.96,0.0019,,
29,2015-02-13,27.08,0.0047,,
30,2015-02-17,27.15,0.0026,,
31,2015-02-18,27.51,0.0132,,
32,2015-02-19,27.14,-0.0136,,
33,2015-02-20,27.45,0.0116,,
34,2015-02-23,27.62,0.0062,,
35,2015-02-24,26.63,-0.0366,,
36,2015-02-25,26.72,0.0033,,
37,2015-02-26,26.39,-0.0124,,
38,2015-02-27,26.76,0.0138,,
39,2015-03-02,26.65,-0.0043,,
40,2015-03-03,26.67,0.0009,,
41,2015-03-04,26.39,-0.0105,,
42,2015-03-05,26.49,0.0038,,
43,2015-03-06,25.48,-0.0389,,
44,2015-03-09,25.67,0.0074,,
45,2015-03-10,25.67,-0.0002,,
46,2015-03-11,25.26,-0.0161,,
47,2015-03-12,25.48,0.0087,,
48,2015-03-13,25.39,-0.0035,,
49,2015-03-16,25.62,0.0092,,
50,2015-03-17,25.74,0.0047,0.302437,38.66054919537032
51,2015-03-18,26.32,0.0221,0.308209,39.39838447992769
52,2015-03-19,26.05,-0.0101,0.310958,39.74978939975586
53,2015-03-20,26.81,0.0287,0.313613,40.08917829104134
54,2015-03-23,26.8,-0.0005,0.311553,39.82584830382926
55,2015-03-24,26.82,0.0009,0.310608,39.70504886794798
56,2015-03-25,26.41,-0.0154,0.309269,39.533884376260126
57,2015-03-26,26.44,0.001,0.306803,39.21865537215089
58,2015-03-27,26.63,0.0071,0.304046,38.866227811595685
59,2015-03-30,27.68,0.0386,0.29861,38.171343437573874
60,2015-03-31,27.3,-0.0138,0.290174,37.092968790913105
61,2015-04-01,27.54,0.009,0.28085699999999997,35.901975834187354
62,2015-04-02,27.79,0.0089,0.271051,34.64847396302145
63,2015-04-06,28.17,0.0135,0.263913,33.73602277432248
64,2015-04-07,27.94,-0.0081,0.25464400000000004,32.551165661958954
65,2015-04-08,27.74,-0.007,0.24360700000000002,31.1403049489202
66,2015-04-09,27.05,-0.0254,0.23168,29.615675454998545
67,2015-04-10,26.94,-0.0042,0.21887,27.978171990830162
68,2015-04-13,26.77,-0.0061,0.205202,26.230990308687034
69,2015-04-14,26.97,0.0075,0.189471,24.220095149059176
70,2015-04-15,27.17,0.0072,0.176309,22.53759549290115
71,2015-04-16,27.2,0.0012,0.16247499999999998,20.769194015671996
72,2015-04-17,27.3,0.0037,0.149749,19.142428279137505
73,2015-04-20,27.37,0.0025,0.14491400000000002,18.524369789734376
74,2015-04-21,27.07,-0.0111,0.13778100000000001,17.612557751489792
75,2015-04-22,26.65,-0.0155,0.135859,17.366868316819094
76,2015-04-23,26.89,0.009,0.13421,17.15607649695854
77,2015-04-24,26.82,-0.0028,0.134152,17.14866235168752
78,2015-04-27,26.79,-0.0009,0.134108,17.14303782768882
79,2015-04-28,26.77,-0.0009,0.134014,17.13102179914613
80,2015-04-29,26.08,-0.0261,0.133735,17.095357203790705
81,2015-04-30,25.45,-0.0243,0.134553,17.199922218130265
82,2015-05-01,25.65,0.0077,0.137244,17.543912992687417
83,2015-05-04,25.74,0.0037,0.13958199999999998,17.842779745164048
84,2015-05-05,24.98,-0.0299,0.140074,17.905672149876843
85,2015-05-06,24.76,-0.0089,0.144283,18.44370900238931
86,2015-05-07,25.15,0.0155,0.15241,19.48258415096827
87,2015-05-08,25.52,0.0147,0.156897,20.056157768745283
88,2015-05-11,25.11,-0.0165,0.159141,20.34300849267923
89,2015-05-12,25.16,0.002,0.16331800000000002,20.87695478228355
90,2015-05-13,24.74,-0.0167,0.166988,21.346091215811885
91,2015-05-14,25.16,0.017,0.172979,22.111921290271898
92,2015-05-15,25.51,0.0137,0.176147,22.516887018178647
93,2015-05-18,25.52,0.0005,0.177632,22.70671470313494
94,2015-05-19,25.53,0.0003,0.17749199999999998,22.68881849041178
95,2015-05-20,25.5,-0.0013,0.177943,22.746469861398506
96,2015-05-21,25.35,-0.0058,0.178485,22.81575377065528
97,2015-05-22,25.34,-0.0003,0.178077,22.763599093576385
98,2015-05-26,25.07,-0.0107,0.178599,22.83032640101556
99,2015-05-27,25.29,0.0084,0.180049,23.01568003279106
100,2015-05-28,25.07,-0.0084,0.181272,23.17201623393688
101,2015-05-29,24.82,-0.0103,0.183771,23.49146363104514
102,2015-06-01,25.07,0.01,0.188188,24.056089142460575
103,2015-06-02,24.94,-0.0051,0.190965,24.41107330483338
104,2015-06-03,24.51,-0.0174,0.19368,24.758132001571642
105,2015-06-04,24.54,0.0013,0.19849599999999998,25.373761719248062
106,2015-06-05,23.95,-0.0246,0.202561,25.89339103867386
107,2015-06-08,23.88,-0.0027,0.21087599999999998,26.956298244338196
108,2015-06-09,23.84,-0.0019,0.21889199999999998,27.98098425282951
109,2015-06-10,24.23,0.0163,0.226168,28.911075994069886
110,2015-06-11,24.39,0.0066,0.22613399999999997,28.906729770979975
111,2015-06-12,24.39,0.0003,0.226544,28.959140108240636
112,2015-06-15,24.07,-0.0135,0.225047,28.767778462193792
113,2015-06-16,24.21,0.0058,0.222911,28.49473338807485
114,2015-06-17,24.45,0.0097,0.216066,27.619736416003608
115,2015-06-18,24.63,0.0076,0.208852,26.697570140397776
116,2015-06-19,24.18,-0.0184,0.20150600000000002,25.75853029279583
117,2015-06-22,24.08,-0.0042,0.20003900000000002,25.571003549475375
118,2015-06-23,23.91,-0.0072,0.199112,25.452505055229935
119,2015-06-24,23.61,-0.0127,0.199373,25.48586870894952
120,2015-06-25,23.29,-0.0134,0.19952000000000003,25.504659732308834
121,2015-06-26,23.64,0.015,0.199495,25.501463980036842
122,2015-06-29,23.55,-0.0041,0.195903,25.042298293597117
123,2015-06-30,23.38,-0.0074,0.190934,24.40711057201611
124,2015-07-01,23.66,0.0123,0.18508500000000003,23.659432370461012
125,2015-07-02,23.7,0.0016,0.17901,22.8828645683671
126,2015-07-06,23.81,0.0043,0.17515999999999998,22.390718718480425
127,2015-07-07,24.32,0.0216,0.16789400000000002,21.461905278148855
128,2015-07-08,24.27,-0.0021,0.158574,20.270528831150465
129,2015-07-09,24.13,-0.0061,0.148416,18.972030767994923
130,2015-07-10,24.22,0.004,0.137456,17.571012971953902
131,2015-07-13,24.32,0.004,0.131859,16.855547953300473
132,2015-07-14,24.23,-0.0034,0.129854,16.599248621086762
133,2015-07-15,24.0,-0.0096,0.126634,16.18763572845427
134,2015-07-16,24.23,0.0093,0.12294100000000001,15.715559202835706
135,2015-07-17,24.04,-0.008,0.122418,15.648704065305646
136,2015-07-20,24.18,0.0061,0.12276300000000001,15.69280544665913
137,2015-07-21,24.06,-0.005,0.12154400000000001,15.53698056587683
138,2015-07-22,24.33,0.0111,0.118314,15.124089372335542
139,2015-07-23,24.18,-0.0061,0.11681699999999999,14.932727726288695
140,2015-07-24,24.37,0.0077,0.11510300000000001,14.713626950520968
141,2015-07-27,24.56,0.0079,0.114688,14.660577462805911
142,2015-07-28,24.77,0.0083,0.11275700000000001,14.413737557317297
143,2015-07-29,24.84,0.0031,0.10886599999999999,13.916350673704557
144,2015-07-30,24.52,-0.0132,0.10490000000000001,13.409376533275845
145,2015-07-31,24.77,0.0101,0.099782,12.755142128153768
146,2015-08-03,24.91,0.0057,0.095201,12.169552481834065
147,2015-08-04,24.91,0.0,0.092286,11.796927766919874
148,2015-08-05,24.73,-0.0072,0.08930099999999999,11.415354945644099
149,2015-08-06,24.69,-0.0017,0.087498,11.184877291788084
150,2015-08-07,24.74,0.0021,0.083781,10.709732843988402
151,2015-08-10,24.61,-0.0053,0.081839,10.461486807500112
152,2015-08-11,24.74,0.0055,0.08096600000000001,10.349891138162175
153,2015-08-12,25.75,0.0399,0.078999,10.098449349401891
154,2015-08-13,25.82,0.0028,0.08694,11.113548101077235
155,2015-08-14,26.13,0.0118,0.096418,12.325121702434608
156,2015-08-17,26.49,0.0136,0.108291,13.842848371448754
157,2015-08-18,26.44,-0.0017,0.122516,15.661231414211853
158,2015-08-19,26.47,0.0012,0.133843,17.109162853605707
159,2015-08-20,26.35,-0.0047,0.143795,18.38132791804004
160,2015-08-21,25.97,-0.0144,0.152227,19.45919124433729
161,2015-08-24,24.97,-0.0393,0.157141,20.087348310919918
