,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,32.11,,,
1,2015-01-05,31.33,-0.0246,,
2,2015-01-06,31.37,0.0012,,
3,2015-01-07,31.85,0.0153,,
4,2015-01-08,32.13,0.0086,,
5,2015-01-09,31.68,-0.0142,,
6,2015-01-12,31.72,0.0015,,
7,2015-01-13,32.12,0.0125,,
8,2015-01-14,32.41,0.009,,
9,2015-01-15,32.7,0.0087,,
10,2015-01-16,33.38,0.0206,,
11,2015-01-20,33.32,-0.0018,,
12,2015-01-21,33.95,0.0189,,
13,2015-01-22,33.58,-0.0109,,
14,2015-01-23,33.72,0.0041,,
15,2015-01-26,33.58,-0.0043,,
16,2015-01-27,33.55,-0.0009,,
17,2015-01-28,33.12,-0.0126,,
18,2015-01-29,33.61,0.0147,,
19,2015-01-30,32.71,-0.0273,,
20,2015-02-02,32.66,-0.0016,,
21,2015-02-03,33.11,0.0138,,
22,2015-02-04,32.33,-0.0239,,
23,2015-02-05,32.85,0.016,,
24,2015-02-06,31.11,-0.0544,,
25,2015-02-09,30.86,-0.0079,,
26,2015-02-10,31.38,0.0167,,
27,2015-02-11,30.73,-0.0212,,
28,2015-02-12,30.49,-0.0078,,
29,2015-02-13,30.17,-0.0106,,
30,2015-02-17,30.39,0.0073,,
31,2015-02-18,31.07,0.0222,,
32,2015-02-19,30.87,-0.0064,,
33,2015-02-20,31.91,0.033,,
34,2015-02-23,32.65,0.023,,
35,2015-02-24,33.08,0.0131,,
36,2015-02-25,32.37,-0.0218,,
37,2015-02-26,32.35,-0.0005,,
38,2015-02-27,32.24,-0.0036,,
39,2015-03-02,31.38,-0.027,,
40,2015-03-03,32.14,0.0239,,
41,2015-03-04,31.68,-0.0144,,
42,2015-03-05,31.77,0.0029,,
43,2015-03-06,30.66,-0.0354,,
44,2015-03-09,30.81,0.0048,,
45,2015-03-10,30.99,0.006,,
46,2015-03-11,31.12,0.004,,
47,2015-03-12,31.61,0.0155,,
48,2015-03-13,31.37,-0.0074,,
49,2015-03-16,31.9,0.0166,,
50,2015-03-17,31.91,0.0002,0.190721,33.923611777209075
51,2015-03-18,32.67,0.0235,0.19074200000000002,33.92734705464219
52,2015-03-19,32.39,-0.0083,0.190481,33.88092289225917
53,2015-03-20,32.58,0.0057,0.18971800000000003,33.74520781218928
54,2015-03-23,32.84,0.008,0.19008,33.80959688032205
55,2015-03-24,32.36,-0.015,0.19114699999999998,33.99938454799515
56,2015-03-25,32.11,-0.0077,0.19087700000000002,33.95135955242651
57,2015-03-26,31.86,-0.0077,0.19055499999999997,33.894085298452055
58,2015-03-27,31.98,0.0036,0.190696,33.919165018360125
59,2015-03-30,32.47,0.0154,0.19057500000000002,33.89764270553122
60,2015-03-31,32.43,-0.0012,0.190167,33.825071601116385
61,2015-04-01,31.92,-0.0159,0.187182,33.29412859455198
62,2015-04-02,31.98,0.0019,0.184174,32.75909456984655
63,2015-04-06,32.8,0.0253,0.176694,31.428624322241284
64,2015-04-07,32.37,-0.0133,0.172791,30.73439633074351
65,2015-04-08,32.26,-0.0034,0.16657599999999997,29.628932080895012
66,2015-04-09,31.93,-0.0104,0.160913,28.621652266431298
67,2015-04-10,32.24,0.0096,0.154851,27.543402180738365
68,2015-04-13,31.71,-0.0167,0.151564,26.958742327278674
69,2015-04-14,31.91,0.0066,0.144153,25.640545134096506
70,2015-04-15,31.92,0.0002,0.142291,25.30935053502685
71,2015-04-16,31.97,0.0015,0.14058099999999998,25.0051922297588
72,2015-04-17,31.71,-0.0083,0.13622299999999998,24.23003322721017
73,2015-04-20,32.36,0.0203,0.135523,24.105523979439628
74,2015-04-21,31.88,-0.0147,0.133333,23.715987904271778
75,2015-04-22,32.38,0.0154,0.131999,23.478708852091906
76,2015-04-23,32.46,0.0026,0.130239,23.16565702912596
77,2015-04-24,32.72,0.0078,0.130687,23.24534294769911
78,2015-04-27,32.19,-0.0165,0.128856,22.919662329602154
79,2015-04-28,32.53,0.0105,0.12300599999999999,21.8791207589483
80,2015-04-29,32.36,-0.0052,0.113895,20.258543964037663
81,2015-04-30,32.14,-0.0067,0.10546099999999999,18.758385398756538
82,2015-05-01,32.46,0.0101,0.102173,18.17354767494289
83,2015-05-04,33.03,0.0172,0.097508,17.343782473729178
84,2015-05-05,32.15,-0.0268,0.100716,17.914390569226196
85,2015-05-06,32.29,0.0043,0.099581,17.712507717483952
86,2015-05-07,32.46,0.0053,0.095964,17.06915064721814
87,2015-05-08,32.54,0.0024,0.096224,17.115396939247205
88,2015-05-11,32.53,-0.0002,0.096769,17.212336282154272
89,2015-05-12,32.41,-0.0038,0.097462,17.335600437447113
90,2015-05-13,32.25,-0.005,0.095857,17.050118519344647
91,2015-05-14,32.71,0.0143,0.095931,17.063280925537534
92,2015-05-15,32.91,0.0061,0.096538,17.171248230389992
93,2015-05-18,32.98,0.0021,0.09829399999999999,17.483588571940103
94,2015-05-19,33.29,0.0093,0.091885,16.343617473423773
95,2015-05-20,33.52,0.0069,0.088348,15.714490031474599
96,2015-05-21,33.86,0.0099,0.088059,15.66308549918076
97,2015-05-22,33.93,0.0023,0.09173500000000001,16.31693692033009
98,2015-05-26,33.36,-0.017,0.098901,17.591555876792565
99,2015-05-27,33.46,0.003,0.098123,17.4531727414133
