,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,13.48,,,
1,2015-01-05,13.19,-0.0217,,
2,2015-01-06,13.21,0.0015,,
3,2015-01-07,14.23,0.0744,,
4,2015-01-08,14.52,0.0202,,
5,2015-01-09,14.48,-0.0028,,
6,2015-01-12,14.55,0.0048,,
7,2015-01-13,14.67,0.0082,,
8,2015-01-14,15.42,0.0499,,
9,2015-01-15,15.19,-0.015,,
10,2015-01-16,15.1,-0.0059,,
11,2015-01-20,15.11,0.0007,,
12,2015-01-21,15.59,0.0313,,
13,2015-01-22,15.45,-0.009,,
14,2015-01-23,15.32,-0.0084,,
15,2015-01-26,15.62,0.0194,,
16,2015-01-27,15.31,-0.02,,
17,2015-01-28,15.26,-0.0033,,
18,2015-01-29,15.61,0.0227,,
19,2015-01-30,14.97,-0.0419,,
20,2015-02-02,15.28,0.0205,,
21,2015-02-03,15.7,0.0271,,
22,2015-02-04,15.7,0.0,,
23,2015-02-05,15.98,0.0177,,
24,2015-02-06,15.77,-0.0132,,
25,2015-02-09,16.2,0.0269,,
26,2015-02-10,16.5,0.0183,,
27,2015-02-11,16.69,0.0114,,
28,2015-02-12,16.83,0.0084,,
29,2015-02-13,16.62,-0.0126,,
30,2015-02-17,16.61,-0.0006,,
31,2015-02-18,16.77,0.0096,,
32,2015-02-19,16.69,-0.0048,,
33,2015-02-20,16.39,-0.0181,,
34,2015-02-23,16.57,0.0109,,
35,2015-02-24,16.27,-0.0183,,
36,2015-02-25,16.45,0.011,,
37,2015-02-26,16.3,-0.0092,,
38,2015-02-27,16.29,-0.0006,,
39,2015-03-02,16.84,0.0332,,
40,2015-03-03,16.5,-0.0204,,
41,2015-03-04,16.13,-0.0227,,
42,2015-03-05,16.29,0.0099,,
43,2015-03-06,15.93,-0.0223,,
44,2015-03-09,16.23,0.0187,,
45,2015-03-10,16.26,0.0018,,
46,2015-03-11,15.76,-0.0312,,
47,2015-03-12,16.2,0.0275,,
48,2015-03-13,16.31,0.0068,,
49,2015-03-16,16.36,0.0031,,
50,2015-03-17,16.38,0.0012,0.175242,9.276016827268421
51,2015-03-18,16.29,-0.0055,0.16517700000000002,8.743250085468757
52,2015-03-19,16.04,-0.0155,0.149889,7.934016310145035
53,2015-03-20,15.51,-0.0336,0.13166,6.969107722339166
54,2015-03-23,15.73,0.0141,0.12410399999999999,6.569148904550963
55,2015-03-24,16.11,0.0239,0.118278,6.260763505869907
56,2015-03-25,15.62,-0.0309,0.111497,5.901827462537217
57,2015-03-26,15.5,-0.0077,0.10502700000000001,5.559353461598934
58,2015-03-27,15.53,0.0019,0.099603,5.2722469730225425
59,2015-03-30,15.32,-0.0136,0.099177,5.249697680225061
60,2015-03-31,15.66,0.022,0.098452,5.211321536379581
61,2015-04-01,15.56,-0.0064,0.09578300000000001,5.070044394416014
62,2015-04-02,15.67,0.007,0.093385,4.943111990358826
63,2015-04-06,15.45,-0.0141,0.093138,4.930037635145262
64,2015-04-07,14.92,-0.0349,0.093138,4.930037635145262
65,2015-04-08,15.59,0.0439,0.095954,5.079095871102327
66,2015-04-09,15.17,-0.0273,0.096048,5.084071536649189
67,2015-04-10,15.35,0.0118,0.09687799999999999,5.128005604775738
68,2015-04-13,15.26,-0.0059,0.09639099999999999,5.102227422634016
69,2015-04-14,14.82,-0.0293,0.097919,5.183108454076629
70,2015-04-15,15.3,0.0319,0.099172,5.2494330171640575
71,2015-04-16,15.7,0.0258,0.099065,5.2437692276585866
72,2015-04-17,16.0,0.0189,0.099065,5.2437692276585866
73,2015-04-20,16.0,0.0,0.09872299999999999,5.22566627428596
74,2015-04-21,16.04,0.0025,0.098721,5.225560409061559
75,2015-04-22,16.44,0.0246,0.098512,5.214497493111621
76,2015-04-23,16.68,0.0145,0.099068,5.2439280254951885
77,2015-04-24,16.95,0.0161,0.099841,5.2848449347263005
78,2015-04-27,16.75,-0.0119,0.101379,5.366255292290918
