,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,72.73,,,
1,2015-01-05,72.38,-0.0048,,
2,2015-01-06,72.05,-0.0046,,
3,2015-01-07,72.43,0.0052,,
4,2015-01-08,73.26,0.0114,,
5,2015-01-09,72.58,-0.0094,,
6,2015-01-12,72.31,-0.0037,,
7,2015-01-13,72.62,0.0042,,
8,2015-01-14,72.37,-0.0034,,
9,2015-01-15,72.26,-0.0014,,
10,2015-01-16,73.38,0.0154,,
11,2015-01-20,73.33,-0.0007,,
12,2015-01-21,73.48,0.002,,
13,2015-01-22,74.2,0.0098,,
14,2015-01-23,72.96,-0.017,,
15,2015-01-26,72.55,-0.0056,,
16,2015-01-27,70.05,-0.0351,,
17,2015-01-28,68.96,-0.0156,,
18,2015-01-29,69.38,0.0061,,
19,2015-01-30,68.27,-0.0162,,
20,2015-02-02,68.94,0.0098,,
21,2015-02-03,69.61,0.0097,,
22,2015-02-04,69.48,-0.0019,,
23,2015-02-05,70.22,0.0106,,
24,2015-02-06,69.34,-0.0127,,
25,2015-02-09,68.88,-0.0066,,
26,2015-02-10,69.16,0.004,,
27,2015-02-11,69.36,0.0029,,
28,2015-02-12,69.68,0.0045,,
29,2015-02-13,69.57,-0.0015,,
30,2015-02-17,69.24,-0.0048,,
31,2015-02-18,69.86,0.009,,
32,2015-02-19,69.01,-0.0122,,
33,2015-02-20,68.74,-0.004,,
34,2015-02-23,69.16,0.0061,,
35,2015-02-24,69.25,0.0013,,
36,2015-02-25,69.21,-0.0005,,
37,2015-02-26,68.98,-0.0034,,
38,2015-02-27,68.95,-0.0005,,
39,2015-03-02,69.17,0.0033,,
40,2015-03-03,68.97,-0.0029,,
41,2015-03-04,68.32,-0.0096,,
42,2015-03-05,68.54,0.0033,,
43,2015-03-06,66.95,-0.0236,,
44,2015-03-09,67.29,0.0052,,
45,2015-03-10,66.04,-0.0188,,
46,2015-03-11,65.92,-0.0018,,
47,2015-03-12,66.48,0.0086,,
48,2015-03-13,66.27,-0.0032,,
49,2015-03-16,67.68,0.0209,,
50,2015-03-17,67.1,-0.0085,0.4182,82.1191246630076
51,2015-03-18,67.83,0.0108,0.418451,82.168411846868
52,2015-03-19,67.53,-0.0044,0.41627000000000003,81.74014352814484
53,2015-03-20,68.63,0.0162,0.415909,81.66925638323009
54,2015-03-23,68.73,0.0014,0.40996099999999996,80.50128758003648
55,2015-03-24,67.97,-0.0111,0.39814900000000003,78.1818444893635
56,2015-03-25,67.23,-0.0109,0.39134,76.84480690009899
57,2015-03-26,66.53,-0.0104,0.38766399999999995,76.12297547431892
58,2015-03-27,66.66,0.0019,0.384206,75.44395124408297
59,2015-03-30,67.0,0.005,0.380287,74.67440354070102
60,2015-03-31,66.36,-0.0095,0.374295,73.49779475308567
61,2015-04-01,66.67,0.0046,0.360899,70.86731222322999
62,2015-04-02,66.76,0.0013,0.34387999999999996,67.52540552155679
63,2015-04-06,67.25,0.0074,0.32189700000000004,63.20875148648532
64,2015-04-07,66.73,-0.0079,0.284227,55.81174664178064
65,2015-04-08,67.04,0.0046,0.259474,50.95116631470405
66,2015-04-09,67.13,0.0014,0.234186,45.98553163159038
67,2015-04-10,67.51,0.0055,0.230438,45.24956204948385
68,2015-04-13,67.57,0.001,0.23002099999999998,45.16767856075961
69,2015-04-14,67.71,0.002,0.227873,44.74589023035277
70,2015-04-15,67.63,-0.0011,0.22806,44.782610164145176
71,2015-04-16,67.63,-0.0001,0.22713799999999998,44.601563217853226
72,2015-04-17,66.84,-0.0117,0.223326,43.8530263856787
73,2015-04-20,67.12,0.0041,0.221827,43.55867782549255
74,2015-04-21,67.29,0.0025,0.214053,42.03214966879666
75,2015-04-22,67.29,0.0001,0.210977,41.428136212404006
76,2015-04-23,66.09,-0.0181,0.209616,41.16088578517695
77,2015-04-24,66.13,0.0006,0.211534,41.53751056065196
78,2015-04-27,65.8,-0.005,0.21144400000000002,41.51983786524386
79,2015-04-28,65.66,-0.0022,0.210437,41.32210003995536
80,2015-04-29,65.19,-0.0071,0.21008500000000002,41.25298016458143
81,2015-04-30,64.91,-0.0043,0.21425799999999998,42.07240414167068
82,2015-05-01,65.55,0.0098,0.214786,42.17608395473159
83,2015-05-04,65.6,0.0007,0.215426,42.301756455411464
84,2015-05-05,65.37,-0.0035,0.21651499999999999,42.515596069849565
85,2015-05-06,65.64,0.0041,0.215668,42.349276369731044
86,2015-05-07,65.48,-0.0025,0.211668,41.56382324048181
87,2015-05-08,66.1,0.0094,0.207768,40.798006439463805
88,2015-05-11,65.53,-0.0086,0.20197600000000002,39.66067030831091
89,2015-05-12,65.27,-0.004,0.19793500000000003,38.86716628448688
90,2015-05-13,65.07,-0.0031,0.19236999999999999,37.77440461841887
91,2015-05-14,65.78,0.0109,0.18857800000000002,37.0297950518906
92,2015-05-15,66.17,0.0059,0.18514,36.354698087300875
93,2015-05-18,65.92,-0.0038,0.178352,35.021784126964924
94,2015-05-19,65.99,0.0011,0.179175,35.18339110830795
95,2015-05-20,65.71,-0.0043,0.178946,35.13842391665843
96,2015-05-21,65.65,-0.0009,0.179933,35.332234476300684
97,2015-05-22,65.27,-0.0057,0.18082,35.50640870771171
98,2015-05-26,64.61,-0.0102,0.184207,36.17149114490349
99,2015-05-27,64.82,0.0032,0.191409,37.58569950411674
100,2015-05-28,64.77,-0.0008,0.194106,38.11529127651304
101,2015-05-29,64.0,-0.0119,0.198569,38.99166060547287
102,2015-06-01,64.37,0.0059,0.205095,40.273127385843004
103,2015-06-02,64.12,-0.0039,0.20911100000000002,41.06172232760924
104,2015-06-03,64.14,0.0003,0.206736,40.5953595321175
105,2015-06-04,63.8,-0.0052,0.20180199999999998,39.62650309718857
106,2015-06-05,63.22,-0.0093,0.204334,40.12369492800333
107,2015-06-08,63.44,0.0036,0.21498,42.21417843150018
108,2015-06-09,64.42,0.0152,0.22450299999999998,44.08414596896029
109,2015-06-10,64.94,0.0081,0.226769,44.52910516667998
110,2015-06-11,64.83,-0.0016,0.22565100000000002,44.30957101705483
111,2015-06-12,64.39,-0.0068,0.22649899999999998,44.476087080455656
112,2015-06-15,63.78,-0.0096,0.227968,44.76454474217245
113,2015-06-16,64.58,0.0125,0.231885,45.53369971898976
114,2015-06-17,65.38,0.0123,0.229307,45.02747517718863
115,2015-06-18,65.98,0.0092,0.227215,44.616683190591274
116,2015-06-19,65.75,-0.0035,0.22389399999999998,43.9645607300321
117,2015-06-22,65.68,-0.0011,0.219662,43.133551319286404
118,2015-06-23,65.14,-0.0082,0.212776,41.781393757283844
119,2015-06-24,64.91,-0.0035,0.204975,40.24956379196552
120,2015-06-25,64.82,-0.0015,0.195539,38.39667986006658
121,2015-06-26,64.77,-0.0006,0.185865,36.4970614669773
122,2015-06-29,63.94,-0.0129,0.17514500000000002,34.39204708058936
123,2015-06-30,63.88,-0.001,0.173174,34.00501505115179
124,2015-07-01,65.08,0.0187,0.168577,33.102333042362105
125,2015-07-02,65.26,0.0026,0.157833,30.992605937198658
126,2015-07-06,65.35,0.0015,0.145819,28.63349746349858
127,2015-07-07,66.72,0.0206,0.143263,28.131592913908317
128,2015-07-08,66.12,-0.009,0.147417,28.947285988633645
129,2015-07-09,65.85,-0.0041,0.148871,29.232798201115745
130,2015-07-10,66.09,0.0036,0.149551,29.366325233088112
131,2015-07-13,66.87,0.0118,0.15207800000000002,29.862535247491323
132,2015-07-14,66.98,0.0016,0.159518,31.323478067894897
133,2015-07-15,67.07,0.0013,0.16689800000000002,32.77263909135974
134,2015-07-16,67.19,0.0018,0.17441700000000002,34.24909461106599
135,2015-07-17,67.14,-0.0007,0.182668,35.869288053424846
136,2015-07-20,67.1,-0.0006,0.18966000000000002,37.242260123352516
137,2015-07-21,66.64,-0.0068,0.19612200000000002,38.51115965365466
138,2015-07-22,66.53,-0.0017,0.198373,38.95317340213966
139,2015-07-23,66.42,-0.0016,0.201112,39.49101243239308
140,2015-07-24,66.09,-0.0051,0.20336400000000002,39.9332225441604
141,2015-07-27,65.82,-0.004,0.20425000000000001,40.1072004122891
142,2015-07-28,66.04,0.0032,0.204324,40.12173129518021
143,2015-07-29,66.36,0.0048,0.20395700000000003,40.0496659705716
144,2015-07-30,63.7,-0.0409,0.20521899999999998,40.29747643284973
145,2015-07-31,63.13,-0.009,0.20924099999999998,41.08724955430983
146,2015-08-03,62.88,-0.0039,0.21703399999999998,42.61750861336965
147,2015-08-04,62.48,-0.0064,0.226002,44.378494529146444
148,2015-08-05,62.37,-0.0018,0.237651,46.66593040480253
149,2015-08-06,62.34,-0.0004,0.24890299999999999,48.87541005738063
150,2015-08-07,62.13,-0.0034,0.259771,51.0094862095508
151,2015-08-10,62.87,0.0119,0.271466,53.305954796193255
152,2015-08-11,62.74,-0.0021,0.27625,54.24535673877534
153,2015-08-12,62.88,0.0022,0.282393,55.45161638201986
154,2015-08-13,62.37,-0.008,0.287063,56.36863291041834
155,2015-08-14,62.24,-0.0021,0.294502,57.8293793675396
156,2015-08-17,62.17,-0.0012,0.301702,59.24319500018824
157,2015-08-18,61.84,-0.0053,0.30721,60.32476395916443
158,2015-08-19,61.01,-0.0135,0.31555900000000003,61.964201003189906
159,2015-08-20,60.84,-0.0028,0.33167900000000006,65.12957711406433
160,2015-08-21,59.13,-0.0284,0.347917,68.31812409225158
161,2015-08-24,56.91,-0.0383,0.37845999999999996,74.31564782391644
162,2015-08-25,56.32,-0.0105,0.43095799999999995,84.62432741874802
163,2015-08-26,58.36,0.0356,0.482847,94.81342177465145
164,2015-08-27,58.84,0.0081,0.50817,99.78592917264604
165,2015-08-28,58.61,-0.0038,0.526463,103.3780026959851
166,2015-08-31,58.17,-0.0076,0.543006,106.62644047527762
167,2015-09-01,56.71,-0.0254,0.561409,110.24011395967106
168,2015-09-02,57.46,0.0131,0.589256,115.70824228222192
169,2015-09-03,57.56,0.0017,0.609555,119.69422054987946
170,2015-09-04,56.6,-0.0169,0.627629,123.24329051439214
171,2015-09-08,57.6,0.0176,0.650767,127.78674414053435
172,2015-09-09,56.37,-0.0217,0.665224,130.62556811292342
173,2015-09-10,56.23,-0.0023,0.6874720000000001,134.99425841780766
174,2015-09-11,56.32,0.0015,0.708776,139.17758178418907
175,2015-09-14,56.02,-0.0053,0.725203,142.4032414227334
176,2015-09-15,57.16,0.0202,0.741023,145.5097085489141
177,2015-09-16,57.7,0.0093,0.748317,146.9419823301001
178,2015-09-17,57.81,0.002,0.7462420000000001,146.53452851930206
179,2015-09-18,57.57,-0.0043,0.744882,146.2674744553573
180,2015-09-21,58.15,0.0101,0.74429,146.15122739222844
181,2015-09-22,57.77,-0.0065,0.7391549999999999,145.14290193755468
182,2015-09-23,57.83,0.001,0.7297669999999999,143.29944344320674
183,2015-09-24,58.74,0.0155,0.717701,140.93012407882645
184,2015-09-25,59.81,0.0182,0.7006,137.57211558800364
185,2015-09-28,59.07,-0.0125,0.679002,133.3310614166224
186,2015-09-29,59.49,0.0071,0.656768,128.9651201976905
187,2015-09-30,59.21,-0.0047,0.631993,124.10021987840307
188,2015-10-01,59.22,0.0001,0.608806,119.54714445142754
189,2015-10-02,59.61,0.0065,0.584215,114.71837497608557
190,2015-10-05,60.27,0.011,0.557762,109.52397706907806
191,2015-10-06,60.42,0.0025,0.531805,104.42697535009745
192,2015-10-07,60.68,0.0044,0.506057,99.37101355712012
193,2015-10-08,61.24,0.0092,0.476289,93.52567136924732
194,2015-10-09,61.3,0.0011,0.44130800000000003,86.65668739068045
195,2015-10-12,61.18,-0.002,0.429061,84.2518262722016
196,2015-10-13,61.0,-0.003,0.41987,82.44705134446916
197,2015-10-14,61.08,0.0013,0.411393,80.78247980030771
198,2015-10-15,61.13,0.0008,0.40531399999999995,79.58878740713118
199,2015-10-16,61.65,0.0084,0.399889,78.5235166005869
200,2015-10-19,61.86,0.0035,0.396473,77.85273962820807
201,2015-10-20,61.26,-0.0098,0.39515900000000004,77.59471827524969
202,2015-10-21,61.12,-0.0024,0.38678199999999996,75.94978305931947
203,2015-10-22,62.16,0.017,0.378478,74.31918236299806
204,2015-10-23,63.97,0.0287,0.37388599999999994,73.41748217061993
205,2015-10-26,64.36,0.006,0.38609000000000004,75.81389966795936
206,2015-10-27,64.19,-0.0026,0.401993,78.93666494657201
207,2015-10-28,63.54,-0.0101,0.41605200000000003,81.69733633260077
208,2015-10-29,63.97,0.0066,0.425974,83.64565281970349
209,2015-10-30,63.43,-0.0083,0.441435,86.6816255275341
210,2015-11-02,63.62,0.0029,0.452848,88.92271966856447
211,2015-11-03,63.99,0.0059,0.465976,91.50057683876047
212,2015-11-04,64.0,0.0001,0.474561,93.18635561741165
213,2015-11-05,63.44,-0.0087,0.478472,93.95433241453509
214,2015-11-06,62.76,-0.0108,0.485858,95.4046716176938
215,2015-11-09,62.62,-0.0023,0.49034300000000003,96.28536093886451
216,2015-11-10,62.93,0.0049,0.493301,96.86620352794431
217,2015-11-11,63.08,0.0025,0.495676,97.33256632343604
218,2015-11-12,62.01,-0.0173,0.49154400000000004,96.52119324092159
219,2015-11-13,61.42,-0.0094,0.48667099999999996,95.5643149662137
220,2015-11-16,62.54,0.018,0.480544,94.3611971354862
221,2015-11-17,62.35,-0.0031,0.470752,92.43840787508405
222,2015-11-18,63.03,0.011,0.465065,91.32168988857396
223,2015-11-19,63.3,0.0042,0.45272799999999996,88.899156074687
224,2015-11-20,62.97,-0.0053,0.43843499999999996,86.09253568059717
