,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,66.47,,,
1,2015-01-05,64.36,-0.0323,,
2,2015-01-06,63.02,-0.021,,
3,2015-01-07,63.06,0.0006,,
4,2015-01-08,64.07,0.0159,,
5,2015-01-09,62.93,-0.0179,,
6,2015-01-12,62.11,-0.0131,,
7,2015-01-13,61.5,-0.0099,,
8,2015-01-14,59.88,-0.0267,,
9,2015-01-15,58.85,-0.0174,,
10,2015-01-16,59.75,0.0152,,
11,2015-01-20,59.38,-0.0061,,
12,2015-01-21,59.45,0.0011,,
13,2015-01-22,60.65,0.0199,,
14,2015-01-23,59.52,-0.0188,,
15,2015-01-26,59.56,0.0007,,
16,2015-01-27,58.62,-0.016,,
17,2015-01-28,56.79,-0.0317,,
18,2015-01-29,56.77,-0.0004,,
19,2015-01-30,55.97,-0.0141,,
20,2015-02-02,57.62,0.0291,,
21,2015-02-03,59.07,0.0249,,
22,2015-02-04,58.93,-0.0025,,
23,2015-02-05,55.56,-0.0589,,
24,2015-02-06,57.39,0.0324,,
25,2015-02-09,56.99,-0.007,,
26,2015-02-10,57.59,0.0106,,
27,2015-02-11,58.41,0.0141,,
28,2015-02-12,58.05,-0.0062,,
29,2015-02-13,59.25,0.0205,,
30,2015-02-17,59.71,0.0077,,
31,2015-02-18,58.68,-0.0173,,
32,2015-02-19,59.23,0.0093,,
33,2015-02-20,60.04,0.0136,,
34,2015-02-23,59.75,-0.0048,,
35,2015-02-24,60.57,0.0137,,
36,2015-02-25,60.08,-0.0081,,
37,2015-02-26,60.26,0.003,,
38,2015-02-27,60.07,-0.0032,,
39,2015-03-02,61.03,0.016,,
40,2015-03-03,60.55,-0.0079,,
41,2015-03-04,59.88,-0.0111,,
42,2015-03-05,60.19,0.0051,,
43,2015-03-06,61.37,0.0194,,
44,2015-03-09,61.4,0.0005,,
45,2015-03-10,59.34,-0.0341,,
46,2015-03-11,59.78,0.0074,,
47,2015-03-12,61.17,0.023,,
48,2015-03-13,60.28,-0.0146,,
49,2015-03-16,61.72,0.0235,,
50,2015-03-17,61.16,-0.0091,0.406471,46.607157141639334
51,2015-03-18,60.8,-0.006,0.36625,41.99529930333383
52,2015-03-19,59.59,-0.02,0.34550600000000004,39.616731415966306
53,2015-03-20,61.43,0.0303,0.333585,38.24983458867609
54,2015-03-23,60.75,-0.0111,0.324094,37.16156868918682
55,2015-03-24,59.87,-0.0147,0.302096,34.639213483522006
56,2015-03-25,58.98,-0.015,0.28784,33.00457870708971
57,2015-03-26,59.47,0.0083,0.279192,32.01297366033141
58,2015-03-27,58.8,-0.0113,0.273489,31.35905095199854
59,2015-03-30,59.71,0.0154,0.273708,31.384162134380603
60,2015-03-31,59.67,-0.0007,0.273397,31.34850196213941
61,2015-04-01,59.03,-0.0108,0.273336,31.341507523211074
62,2015-04-02,59.83,0.0135,0.273537,31.364554772794605
63,2015-04-06,59.53,-0.0051,0.27377199999999996,31.39150056210869
64,2015-04-07,59.19,-0.0056,0.27169699999999997,31.153574975611985
65,2015-04-08,59.61,0.007,0.271731,31.157473515342538
66,2015-04-09,60.28,0.0112,0.271756,31.160340088673824
67,2015-04-10,59.69,-0.0098,0.271938,31.181208742525584
68,2015-04-13,60.16,0.0078,0.262112,30.0545307603971
69,2015-04-14,59.37,-0.0132,0.25175000000000003,28.86639344604585
70,2015-04-15,59.5,0.0021,0.231691,26.566369667955545
71,2015-04-16,59.56,0.001,0.225103,25.810970263695168
72,2015-04-17,58.79,-0.0129,0.224553,25.747905650406885
73,2015-04-20,59.39,0.0101,0.22491499999999998,25.789413632243896
74,2015-04-21,59.22,-0.0028,0.19459700000000002,22.313062821927247
75,2015-04-22,60.27,0.0175,0.184097,21.1091020227873
76,2015-04-23,60.41,0.0023,0.167698,19.22874458039721
77,2015-04-24,60.02,-0.0064,0.156455,17.939589221851453
78,2015-04-27,59.6,-0.0071,0.151014,17.315708202030457
79,2015-04-28,60.29,0.0115,0.142183,16.303119838487138
80,2015-04-29,61.31,0.0167,0.141092,16.178022578309832
81,2015-04-30,60.63,-0.0112,0.14535399999999998,16.6667159998274
82,2015-05-01,61.93,0.0213,0.14154,16.22939157240647
83,2015-05-04,62.55,0.0099,0.14851699999999998,17.02939485770165
84,2015-05-05,61.96,-0.0094,0.16251000000000002,18.63387328268882
85,2015-05-06,62.19,0.0036,0.169248,19.40647212693691
86,2015-05-07,63.28,0.0174,0.17731100000000002,20.330999357743142
87,2015-05-08,63.58,0.0048,0.195394,22.40444917972863
88,2015-05-11,64.47,0.0138,0.214611,24.607926768021233
89,2015-05-12,64.07,-0.0062,0.241351,27.674013603164298
90,2015-05-13,63.95,-0.0017,0.259986,29.81075736430457
91,2015-05-14,64.12,0.0026,0.276129,31.6617610957823
92,2015-05-15,63.49,-0.0098,0.291449,33.418397233194106
93,2015-05-18,64.21,0.0113,0.300953,34.50815375081564
94,2015-05-19,64.1,-0.0017,0.314943,36.112288187003045
95,2015-05-20,63.63,-0.0074,0.32709299999999997,37.50544282600784
96,2015-05-21,64.05,0.0067,0.33289499999999994,38.170717164732594
97,2015-05-22,63.67,-0.006,0.341826,39.194771821601066
98,2015-05-26,62.81,-0.0136,0.34928800000000004,40.05038662952319
99,2015-05-27,63.73,0.0145,0.351759,40.33371873758745
100,2015-05-28,63.64,-0.0015,0.358483,41.104712300770025
101,2015-05-29,63.29,-0.0054,0.36469799999999997,41.81734243092762
102,2015-06-01,63.07,-0.0034,0.368829,42.291015008189255
103,2015-06-02,63.97,0.0141,0.369149,42.32770714682971
104,2015-06-03,65.07,0.017,0.376022,43.115785487066745
105,2015-06-04,64.78,-0.0045,0.38860100000000003,44.5581305244364
106,2015-06-05,66.01,0.0188,0.396196,45.42899550248095
107,2015-06-08,65.51,-0.0075,0.40744,46.718265523959964
108,2015-06-09,65.8,0.0044,0.41543399999999997,47.634881012371835
109,2015-06-10,67.73,0.0289,0.420571,48.2239045004844
110,2015-06-11,67.27,-0.0069,0.44384,50.891996294311774
111,2015-06-12,66.75,-0.0077,0.459791,52.72098474260523
112,2015-06-15,66.26,-0.0074,0.466522,53.49278094632056
113,2015-06-16,67.12,0.0129,0.472181,54.14165848559037
114,2015-06-17,66.68,-0.0066,0.480402,55.08430245985031
115,2015-06-18,67.14,0.0069,0.482179,55.2880584922381
116,2015-06-19,66.79,-0.0052,0.487311,55.8765086656844
117,2015-06-22,68.06,0.0188,0.49188200000000004,56.40063293357666
118,2015-06-23,68.42,0.0054,0.500062,57.3385757275733
119,2015-06-24,67.85,-0.0085,0.511045,58.59791872347368
120,2015-06-25,67.12,-0.0108,0.511697,58.67267895595361
121,2015-06-26,67.86,0.011,0.507151,58.15142126139264
122,2015-06-29,65.3,-0.0385,0.505108,57.917164888759984
123,2015-06-30,65.47,0.0026,0.48573500000000003,55.69579988288016
124,2015-07-01,66.56,0.0165,0.469384,53.82094626128614
125,2015-07-02,65.95,-0.0091,0.452869,51.927287918638875
126,2015-07-06,65.46,-0.0075,0.44052,50.51131535591705
127,2015-07-07,65.08,-0.0058,0.426761,48.93366805731071
128,2015-07-08,63.48,-0.0249,0.408078,46.791420475374366
129,2015-07-09,64.12,0.0101,0.38496899999999995,44.14167475086722
130,2015-07-10,65.35,0.019,0.36533,41.88980940474252
131,2015-07-13,66.28,0.0142,0.35243,40.41065756579916
132,2015-07-14,66.39,0.0016,0.33388399999999996,38.28411880571825
133,2015-07-15,66.34,-0.0008,0.324765,37.23850751739853
134,2015-07-16,66.97,0.0095,0.318582,36.529546601104975
135,2015-07-17,66.4,-0.0086,0.309448,35.48221536878648
136,2015-07-20,66.31,-0.0012,0.298751,34.255665971796
137,2015-07-21,66.36,0.0007,0.294137,33.72661119777393
138,2015-07-22,66.39,0.0005,0.290684,33.33068008925677
139,2015-07-23,66.1,-0.0043,0.290298,33.28642019702172
140,2015-07-24,65.71,-0.0059,0.287879,33.009050561486525
141,2015-07-27,65.1,-0.0094,0.28444800000000003,32.6156420375009
142,2015-07-28,65.83,0.0111,0.281859,32.318779703312956
143,2015-07-29,66.99,0.0176,0.275727,31.615666596615227
144,2015-07-30,67.08,0.0012,0.275043,31.537237150271253
145,2015-07-31,66.1,-0.0147,0.273727,31.38634073011238
146,2015-08-03,66.68,0.0088,0.267302,30.649631383971983
147,2015-08-04,67.2,0.0078,0.263683,30.234666228535083
148,2015-08-05,67.22,0.0002,0.258833,29.678551002265678
149,2015-08-06,67.82,0.0089,0.24604399999999998,28.212126748913224
150,2015-08-07,66.88,-0.0139,0.24218800000000001,27.76998647829574
151,2015-08-10,68.58,0.0251,0.23304,26.721049964911714
152,2015-08-11,66.91,-0.0246,0.227788,26.118840239475237
153,2015-08-12,66.19,-0.0109,0.210287,24.11212424464208
154,2015-08-13,66.78,0.0089,0.19970300000000002,22.898531759109016
155,2015-08-14,67.4,0.0093,0.196436,22.52392795617661
156,2015-08-17,66.81,-0.0088,0.192544,22.077659819962072
157,2015-08-18,66.67,-0.002,0.192221,22.040623692521862
158,2015-08-19,65.6,-0.0162,0.190242,21.813705747617295
159,2015-08-20,63.5,-0.0326,0.190903,21.889497946496483
160,2015-08-21,60.83,-0.0429,0.20489999999999997,23.494435023216656
161,2015-08-24,57.17,-0.0621,0.253752,29.095948638415194
162,2015-08-25,55.9,-0.0225,0.353924,40.58196398807679
163,2015-08-26,58.34,0.0427,0.44904299999999997,51.488587536018926
164,2015-08-27,61.1,0.0462,0.49221899999999996,56.439274342082385
165,2015-08-28,61.16,0.001,0.507243,58.16197025125177
166,2015-08-31,60.78,-0.0062,0.519644,59.58390528650267
167,2015-09-01,58.09,-0.0454,0.533856,61.2134948938719
168,2015-09-02,59.46,0.0233,0.564008,64.67081165726881
169,2015-09-03,59.51,0.0009,0.577703,66.24112052814706
170,2015-09-04,58.07,-0.0245,0.591084,67.77542523798436
171,2015-09-08,60.17,0.0355,0.615307,70.5529054701336
172,2015-09-09,59.12,-0.0177,0.620672,71.16807210702748
173,2015-09-10,59.46,0.0058,0.63714,73.05634129181193
174,2015-09-11,59.49,0.0005,0.6501290000000001,74.54569813181467
175,2015-09-14,59.13,-0.0061,0.659593,75.63086813210613
176,2015-09-15,60.6,0.0245,0.6712170000000001,76.96371006822068
177,2015-09-16,60.92,0.0052,0.6761490000000001,77.52922765501671
178,2015-09-17,58.89,-0.0338,0.6800820000000001,77.98019697149455
179,2015-09-18,57.11,-0.0306,0.6929529999999999,79.45602358537361
180,2015-09-21,58.11,0.0173,0.715468,82.03765952752941
181,2015-09-22,57.12,-0.0171,0.728794,83.5656577760379
182,2015-09-23,57.41,0.0051,0.74405,85.3149554857216
183,2015-09-24,57.26,-0.0026,0.7553329999999999,86.60869736159741
184,2015-09-25,58.18,0.0159,0.7658750000000001,87.81747400393392
185,2015-09-28,56.14,-0.0357,0.7678440000000001,88.04324531950597
186,2015-09-29,56.48,0.006,0.7811450000000001,89.56837699468316
