,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,54.93,,,
1,2015-01-05,51.61,-0.0624,,
2,2015-01-06,50.17,-0.0284,,
3,2015-01-07,50.39,0.0044,,
4,2015-01-08,52.35,0.0382,,
5,2015-01-09,51.15,-0.0232,,
6,2015-01-12,48.82,-0.0467,,
7,2015-01-13,46.73,-0.0436,,
8,2015-01-14,45.15,-0.0344,,
9,2015-01-15,44.9,-0.0056,,
10,2015-01-16,46.22,0.029,,
11,2015-01-20,48.34,0.0448,,
12,2015-01-21,50.34,0.0405,,
13,2015-01-22,51.15,0.0159,,
14,2015-01-23,52.07,0.0178,,
15,2015-01-26,51.98,-0.0018,,
16,2015-01-27,52.89,0.0174,,
17,2015-01-28,51.95,-0.0178,,
18,2015-01-29,53.56,0.0304,,
19,2015-01-30,53.44,-0.0023,,
20,2015-02-02,55.32,0.0347,,
21,2015-02-03,56.9,0.0282,,
22,2015-02-04,56.55,-0.0062,,
23,2015-02-05,57.15,0.0106,,
24,2015-02-06,57.83,0.0118,,
25,2015-02-09,57.7,-0.0022,,
26,2015-02-10,57.5,-0.0034,,
27,2015-02-11,56.38,-0.0198,,
28,2015-02-12,57.46,0.0191,,
29,2015-02-13,58.62,0.0199,,
30,2015-02-17,58.83,0.0036,,
31,2015-02-18,58.11,-0.0124,,
32,2015-02-19,59.24,0.0193,,
33,2015-02-20,59.17,-0.0012,,
34,2015-02-23,60.69,0.0254,,
35,2015-02-24,61.2,0.0084,,
36,2015-02-25,60.51,-0.0114,,
37,2015-02-26,61.25,0.0122,,
38,2015-02-27,60.03,-0.0202,,
39,2015-03-02,58.91,-0.0188,,
40,2015-03-03,59.74,0.0141,,
41,2015-03-04,59.64,-0.0017,,
42,2015-03-05,58.82,-0.014,,
43,2015-03-06,57.65,-0.02,,
44,2015-03-09,58.37,0.0123,,
45,2015-03-10,56.64,-0.0301,,
46,2015-03-11,57.03,0.007,,
47,2015-03-12,56.74,-0.0052,,
48,2015-03-13,57.1,0.0065,,
49,2015-03-16,58.37,0.0219,,
50,2015-03-17,58.11,-0.0045,0.851148,81.02641240161297
51,2015-03-18,59.77,0.0282,0.854849,81.37873509084957
52,2015-03-19,59.3,-0.0078,0.8576309999999999,81.6435720866497
53,2015-03-20,60.33,0.0173,0.851774,81.08600548549897
54,2015-03-23,60.08,-0.0042,0.849161,80.83725671841569
55,2015-03-24,59.39,-0.0115,0.851715,81.08038888494103
56,2015-03-25,60.44,0.0175,0.8464579999999999,80.57994025556602
57,2015-03-26,60.01,-0.0071,0.8302630000000001,79.03823100071949
58,2015-03-27,59.38,-0.0106,0.792821,75.47387916867477
59,2015-03-30,60.87,0.0248,0.730866,69.57597259973267
60,2015-03-31,60.13,-0.0121,0.6601349999999999,62.8426204969509
61,2015-04-01,61.16,0.0169,0.591579,56.31632104185617
62,2015-04-02,59.8,-0.0224,0.543901,51.77753661131753
63,2015-04-06,60.09,0.0048,0.5072059999999999,48.28429665413359
64,2015-04-07,59.5,-0.01,0.475013,45.21963187850689
65,2015-04-08,59.22,-0.0046,0.446486,42.503957910429875
66,2015-04-09,59.53,0.0052,0.412493,39.26793921947598
67,2015-04-10,59.93,0.0068,0.384764,36.62823215386068
68,2015-04-13,58.86,-0.0182,0.341453,32.50517136122972
69,2015-04-14,59.54,0.0116,0.311017,29.60776704628626
70,2015-04-15,60.39,0.0142,0.274549,26.13613672175748
71,2015-04-16,60.62,0.0038,0.25909,24.664492178955836
72,2015-04-17,59.68,-0.0156,0.256135,24.383186167960375
73,2015-04-20,60.67,0.0164,0.24697500000000003,23.511185132184256
74,2015-04-21,60.82,0.0025,0.24418900000000002,23.24596734990562
75,2015-04-22,61.91,0.0177,0.24499400000000002,23.322600628704723
76,2015-04-23,62.14,0.0038,0.251249,23.91805548446669
77,2015-04-24,62.42,0.0044,0.25705,24.47029107491836
78,2015-04-27,62.02,-0.0064,0.2552,24.294177328609862
79,2015-04-28,62.44,0.0066,0.256963,24.462008969010878
80,2015-04-29,61.97,-0.0075,0.266026,25.324775932683256
81,2015-04-30,60.68,-0.0211,0.27156800000000003,25.85235559865174
82,2015-05-01,62.44,0.0286,0.268524,25.562577088509542
83,2015-05-04,61.85,-0.0095,0.27690000000000003,26.359943974498716
