,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,58.86,,,
1,2015-01-05,58.58,-0.0047,,
2,2015-01-06,57.75,-0.0143,,
3,2015-01-07,58.43,0.0116,,
4,2015-01-08,59.04,0.0105,,
5,2015-01-09,58.97,-0.0012,,
6,2015-01-12,58.3,-0.0115,,
7,2015-01-13,57.82,-0.0082,,
8,2015-01-14,57.23,-0.0103,,
9,2015-01-15,56.56,-0.0117,,
10,2015-01-16,56.49,-0.0013,,
11,2015-01-20,57.44,0.0166,,
12,2015-01-21,56.73,-0.0124,,
13,2015-01-22,56.98,0.0045,,
14,2015-01-23,57.2,0.0037,,
15,2015-01-26,57.54,0.0059,,
16,2015-01-27,56.87,-0.0116,,
17,2015-01-28,56.25,-0.0109,,
18,2015-01-29,50.47,-0.1085,,
19,2015-01-30,49.5,-0.0195,,
20,2015-02-02,51.93,0.048,,
21,2015-02-03,53.06,0.0216,,
22,2015-02-04,53.06,0.0,,
23,2015-02-05,53.85,0.0147,,
24,2015-02-06,52.58,-0.0238,,
25,2015-02-09,53.18,0.0114,,
26,2015-02-10,55.68,0.0459,,
27,2015-02-11,55.64,-0.0007,,
28,2015-02-12,55.78,0.0026,,
29,2015-02-13,56.17,0.0069,,
30,2015-02-17,56.1,-0.0011,,
31,2015-02-18,55.9,-0.0037,,
32,2015-02-19,56.25,0.0062,,
33,2015-02-20,56.67,0.0076,,
34,2015-02-23,56.22,-0.0081,,
35,2015-02-24,56.56,0.006,,
36,2015-02-25,56.8,0.0043,,
37,2015-02-26,57.06,0.0046,,
38,2015-02-27,57.46,0.0069,,
39,2015-03-02,57.91,0.0079,,
40,2015-03-03,56.92,-0.0174,,
41,2015-03-04,56.47,-0.0079,,
42,2015-03-05,56.53,0.0011,,
43,2015-03-06,57.0,0.0081,,
44,2015-03-09,57.95,0.0166,,
45,2015-03-10,57.3,-0.0113,,
46,2015-03-11,56.01,-0.0228,,
47,2015-03-12,55.29,-0.0129,,
48,2015-03-13,54.71,-0.0106,,
49,2015-03-16,55.79,0.0196,,
50,2015-03-17,55.65,-0.0026,0.39467599999999997,35.166633375599666
51,2015-03-18,55.98,0.0059,0.387883,34.56135983345256
52,2015-03-19,55.66,-0.0057,0.38185699999999995,34.02442793812231
53,2015-03-20,55.83,0.003,0.37912799999999997,33.781267111312445
54,2015-03-23,55.85,0.0004,0.373294,33.26144290332096
55,2015-03-24,54.97,-0.0158,0.363528,32.39126751503764
56,2015-03-25,53.57,-0.0258,0.35431399999999996,31.570276727853276
57,2015-03-26,53.53,-0.0007,0.35273000000000004,31.429138307308456
58,2015-03-27,53.43,-0.0019,0.35280700000000004,31.435999202751606
59,2015-03-30,54.9,0.0272,0.355021,31.633272222376757
60,2015-03-31,55.27,0.0067,0.354383,31.576424802990648
61,2015-04-01,55.34,0.0013,0.353457,31.493915852596388
62,2015-04-02,54.18,-0.0213,0.349459,31.13768390478186
63,2015-04-06,54.01,-0.0031,0.349395,31.131981342335603
64,2015-04-07,53.66,-0.0065,0.348696,31.069698668117905
65,2015-04-08,53.61,-0.0009,0.34788600000000003,30.99752561215748
66,2015-04-09,54.84,0.0228,0.34511400000000003,30.750533376204036
67,2015-04-10,55.12,0.0051,0.342158,30.487146273217604
68,2015-04-13,54.78,-0.0062,0.340839,30.369620025301803
69,2015-04-14,54.97,0.0035,0.31579,28.137690545360293
70,2015-04-15,54.57,-0.0074,0.273553,24.374266638446258
71,2015-04-16,54.13,-0.0081,0.257887,22.978386274648752
72,2015-04-17,53.49,-0.0119,0.252256,22.47664988191648
73,2015-04-20,54.71,0.0225,0.24953,22.233756362721284
74,2015-04-21,54.65,-0.001,0.246539,21.967250670897055
75,2015-04-22,54.95,0.0054,0.234689,20.91138559295754
76,2015-04-23,54.47,-0.0087,0.226497,20.181457599836822
77,2015-04-24,54.39,-0.0015,0.228198,20.333021017353712
78,2015-04-27,55.18,0.0144,0.230085,20.50115750698003
79,2015-04-28,55.51,0.006,0.230049,20.49794981560401
80,2015-04-29,54.73,-0.0142,0.229217,20.423816503802687
81,2015-04-30,54.2,-0.0098,0.229259,20.42755881040804
82,2015-05-01,54.53,0.0062,0.231176,20.59836837618104
83,2015-05-04,55.04,0.0093,0.23102699999999998,20.58509209798585
84,2015-05-05,54.49,-0.01,0.228226,20.33551588842395
85,2015-05-06,54.05,-0.0082,0.227899,20.306379358425108
86,2015-05-07,54.54,0.0091,0.227507,20.271451163441792
87,2015-05-08,55.32,0.0142,0.224039,19.962443560885315
88,2015-05-11,55.04,-0.0052,0.218019,19.426046280784398
89,2015-05-12,54.83,-0.0038,0.208516,18.579304860053664
90,2015-05-13,55.58,0.0136,0.193644,17.254171911605017
91,2015-05-14,56.21,0.0113,0.187243,16.683826564441233
92,2015-05-15,56.64,0.0076,0.18584599999999998,16.55935031854406
93,2015-05-18,56.13,-0.009,0.1865,16.617623378541737
94,2015-05-19,55.49,-0.0114,0.180998,16.1273812132402
95,2015-05-20,55.22,-0.0049,0.16223700000000002,14.455728493643303
96,2015-05-21,55.87,0.0116,0.148908,13.268080761672348
97,2015-05-22,55.4,-0.0083,0.14816100000000001,13.201521165619958
98,2015-05-26,55.28,-0.0022,0.14841200000000002,13.223885902713867
99,2015-05-27,56.61,0.0237,0.148673,13.247141665190002
100,2015-05-28,56.27,-0.0059,0.153799,13.703881276119786
101,2015-05-29,55.54,-0.0131,0.15686,13.976624145619606
102,2015-06-01,55.71,0.0032,0.15514,13.823367779876486
103,2015-06-02,55.66,-0.001,0.155347,13.841812005288595
104,2015-06-03,56.07,0.0073,0.154698,13.783984457982035
105,2015-06-04,55.3,-0.0138,0.155776,13.880036994186153
106,2015-06-05,54.78,-0.0093,0.156084,13.907480575958758
107,2015-06-08,54.0,-0.0145,0.151523,13.501083899124822
108,2015-06-09,53.64,-0.0066,0.148726,13.251864099715807
109,2015-06-10,54.02,0.007,0.147144,13.110903884247426
110,2015-06-11,54.25,0.0043,0.149389,13.310939082557486
111,2015-06-12,53.8,-0.0085,0.150344,13.396032006560208
112,2015-06-15,53.48,-0.006,0.153048,13.636965269914505
113,2015-06-16,53.34,-0.0026,0.156672,13.959872868433731
114,2015-06-17,53.41,0.0014,0.160489,14.299977256829942
115,2015-06-18,54.06,0.0121,0.162016,14.436036832696074
116,2015-06-19,53.68,-0.0072,0.159827,14.240991376526487
117,2015-06-22,54.06,0.0072,0.163136,14.535831675505547
118,2015-06-23,53.76,-0.0057,0.16439,14.647566258436868
119,2015-06-24,52.45,-0.0246,0.166981,14.878430934971997
120,2015-06-25,52.38,-0.0014,0.178785,15.930197296153265
121,2015-06-26,51.9,-0.0091,0.190085,16.937055978070273
122,2015-06-29,50.26,-0.0322,0.204285,18.202312020833233
123,2015-06-30,50.27,0.0002,0.23474,20.915929822406902
124,2015-07-01,50.48,0.0043,0.262511,23.39039641139072
125,2015-07-02,50.65,0.0033,0.284323,25.33390097510521
126,2015-07-06,50.65,0.0,0.301832,26.893997316847233
127,2015-07-07,50.4,-0.0049,0.31799700000000003,28.33433984721789
128,2015-07-08,49.69,-0.0143,0.33480899999999997,29.832331719818654
129,2015-07-09,49.65,-0.0008,0.355144,31.644231834578157
