,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,70.4,,,
1,2015-01-05,67.63,-0.0401,,
2,2015-01-06,64.67,-0.0448,,
3,2015-01-07,66.65,0.0302,,
4,2015-01-08,67.69,0.0155,,
5,2015-01-09,67.11,-0.0086,,
6,2015-01-12,65.52,-0.024,,
7,2015-01-13,65.02,-0.0077,,
8,2015-01-14,64.59,-0.0066,,
9,2015-01-15,64.39,-0.0031,,
10,2015-01-16,65.81,0.0218,,
11,2015-01-20,67.96,0.0321,,
12,2015-01-21,68.84,0.0129,,
13,2015-01-22,70.61,0.0254,,
14,2015-01-23,73.37,0.0383,,
15,2015-01-26,73.15,-0.003,,
16,2015-01-27,73.75,0.0082,,
17,2015-01-28,75.5,0.0235,,
18,2015-01-29,75.76,0.0034,,
19,2015-01-30,73.87,-0.0253,,
20,2015-02-02,68.72,-0.0723,,
21,2015-02-03,68.52,-0.0029,,
22,2015-02-04,68.33,-0.0028,,
23,2015-02-05,67.39,-0.0139,,
24,2015-02-06,65.89,-0.0225,,
25,2015-02-09,63.74,-0.0332,,
26,2015-02-10,65.02,0.0199,,
27,2015-02-11,64.75,-0.0042,,
28,2015-02-12,66.2,0.0221,,
29,2015-02-13,70.03,0.0562,,
30,2015-02-17,69.44,-0.0085,,
31,2015-02-18,67.54,-0.0277,,
32,2015-02-19,65.3,-0.0337,,
33,2015-02-20,65.17,-0.002,,
34,2015-02-23,65.05,-0.0018,,
35,2015-02-24,69.34,0.0639,,
36,2015-02-25,67.21,-0.0312,,
37,2015-02-26,71.53,0.0623,,
38,2015-02-27,69.4,-0.0302,,
39,2015-03-02,69.35,-0.0007,,
40,2015-03-03,70.84,0.0213,,
41,2015-03-04,72.02,0.0165,,
42,2015-03-05,74.51,0.034,,
43,2015-03-06,72.98,-0.0207,,
44,2015-03-09,74.83,0.025,,
45,2015-03-10,72.15,-0.0365,,
46,2015-03-11,72.95,0.011,,
47,2015-03-12,73.42,0.0064,,
48,2015-03-13,72.57,-0.0116,,
49,2015-03-16,76.33,0.0505,,
50,2015-03-17,77.71,0.0179,0.6835209999999999,58.0235924352645
51,2015-03-18,79.96,0.0285,0.720184,61.1358874041888
52,2015-03-19,80.38,0.0052,0.772715,65.59520516358006
53,2015-03-20,80.8,0.0052,0.8128489999999999,69.0021507567614
54,2015-03-23,84.09,0.0399,0.858512,72.87844907293821
55,2015-03-24,83.21,-0.0105,0.9332349999999999,79.22162930813253
56,2015-03-25,77.13,-0.0759,0.988464,83.90997829317796
57,2015-03-26,77.19,0.0008,0.9911960000000001,84.1418957536995
58,2015-03-27,79.28,0.0267,0.989868,84.02916281534934
59,2015-03-30,81.4,0.0264,0.994459,84.41888941170893
60,2015-03-31,79.7,-0.0211,1.0078660000000002,85.55699973133277
61,2015-04-01,78.8,-0.0114,1.014112,86.08721805432597
62,2015-04-02,77.79,-0.0129,1.021948,86.75241030200051
63,2015-04-06,76.51,-0.0166,1.026667,87.15300272374323
64,2015-04-07,73.23,-0.0438,1.030178,87.45104891843252
65,2015-04-08,72.84,-0.0053,1.030127,87.44671956613142
66,2015-04-09,74.63,0.0243,1.030082,87.44289954939515
67,2015-04-10,73.58,-0.0142,1.030968,87.51811143446913
68,2015-04-13,72.63,-0.013,1.0285330000000001,87.31140608440693
69,2015-04-14,70.5,-0.0298,1.025221,87.03025285261799
70,2015-04-15,70.91,0.0058,1.026411,87.13127107297693
71,2015-04-16,71.46,0.0077,1.0218800000000001,86.74663783226572
72,2015-04-17,70.07,-0.0196,1.016032,86.2502054350732
73,2015-04-20,72.01,0.0273,1.011484,85.86412907692826
74,2015-04-21,74.07,0.0282,1.000808,84.95785132856517
75,2015-04-22,74.48,0.0055,0.982564,83.40913165442353
76,2015-04-23,73.27,-0.0164,0.949198,80.57671657837608
77,2015-04-24,70.12,-0.0439,0.921716,78.24378991291015
78,2015-04-27,69.37,-0.0108,0.895166,75.98998003851526
79,2015-04-28,67.86,-0.022,0.8798279999999999,74.68794855627536
80,2015-04-29,68.65,0.0116,0.888266,75.404244138955
81,2015-04-30,65.91,-0.0407,0.891233,75.65611057576591
82,2015-05-01,69.6,0.0545,0.900423,76.43624288257152
83,2015-05-04,68.99,-0.0088,0.878519,74.57682851388053
84,2015-05-05,67.07,-0.0282,0.857094,72.75807610111553
85,2015-05-06,69.06,0.0292,0.8436239999999999,71.61461775806094
86,2015-05-07,75.56,0.09,0.844733,71.70875994829461
87,2015-05-08,76.56,0.0131,0.826982,70.20189067973025
88,2015-05-11,74.56,-0.0265,0.827619,70.25596513886357
89,2015-05-12,74.75,0.0025,0.818155,69.45257317459716
90,2015-05-13,74.96,0.0028,0.8079550000000001,68.58670271437767
91,2015-05-14,76.98,0.0266,0.802975,68.1639541955646
92,2015-05-15,76.54,-0.0057,0.803904,68.24281631885322
93,2015-05-18,80.3,0.048,0.806078,68.4273655718451
94,2015-05-19,80.1,-0.0025,0.820684,69.66725811517512
95,2015-05-20,81.15,0.013,0.834337,70.82625119295717
96,2015-05-21,81.26,0.0014,0.849626,72.12412310141757
97,2015-05-22,84.03,0.0335,0.865521,73.4734379019263
98,2015-05-26,82.46,-0.0189,0.898082,76.23751712302507
99,2015-05-27,86.4,0.0467,0.916095,77.76662737792054
100,2015-05-28,82.3,-0.0486,0.9629470000000001,81.74385902519549
