,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,49.45,,,
1,2015-01-05,50.01,0.0112,,
2,2015-01-06,50.36,0.0071,,
3,2015-01-07,51.67,0.0256,,
4,2015-01-08,51.49,-0.0036,,
5,2015-01-09,51.38,-0.0021,,
6,2015-01-12,52.15,0.0149,,
7,2015-01-13,51.87,-0.0054,,
8,2015-01-14,52.74,0.0168,,
9,2015-01-15,51.93,-0.0156,,
10,2015-01-16,52.84,0.0173,,
11,2015-01-20,52.0,-0.016,,
12,2015-01-21,51.86,-0.0026,,
13,2015-01-22,53.0,0.0218,,
14,2015-01-23,52.39,-0.0117,,
15,2015-01-26,53.27,0.0168,,
16,2015-01-27,53.31,0.0007,,
17,2015-01-28,53.19,-0.0023,,
18,2015-01-29,53.32,0.0024,,
19,2015-01-30,52.31,-0.0191,,
20,2015-02-02,52.26,-0.001,,
21,2015-02-03,53.05,0.0151,,
22,2015-02-04,52.62,-0.0081,,
23,2015-02-05,52.87,0.0048,,
24,2015-02-06,51.4,-0.0282,,
25,2015-02-09,50.94,-0.0089,,
26,2015-02-10,50.96,0.0003,,
27,2015-02-11,50.85,-0.0021,,
28,2015-02-12,51.3,0.0087,,
29,2015-02-13,50.94,-0.0069,,
30,2015-02-17,50.68,-0.0051,,
31,2015-02-18,51.33,0.0126,,
32,2015-02-19,50.24,-0.0214,,
33,2015-02-20,50.8,0.0111,,
34,2015-02-23,51.37,0.0111,,
35,2015-02-24,50.38,-0.0193,,
36,2015-02-25,50.41,0.0006,,
37,2015-02-26,49.76,-0.013,,
38,2015-02-27,50.44,0.0135,,
39,2015-03-02,50.89,0.0089,,
40,2015-03-03,50.7,-0.0038,,
41,2015-03-04,50.17,-0.0105,,
42,2015-03-05,50.36,0.0038,,
43,2015-03-06,48.85,-0.0304,,
44,2015-03-09,49.11,0.0052,,
45,2015-03-10,49.1,-0.0002,,
46,2015-03-11,49.4,0.0061,,
47,2015-03-12,50.05,0.0131,,
48,2015-03-13,50.21,0.0031,,
49,2015-03-16,51.0,0.0156,,
50,2015-03-17,51.08,0.0017,0.233904,32.95862843843931
51,2015-03-18,52.31,0.0238,0.22858599999999998,32.209286887907375
52,2015-03-19,52.05,-0.005,0.22741,32.043580670640445
53,2015-03-20,53.72,0.0315,0.22659500000000002,31.92874175306175
54,2015-03-23,53.5,-0.0042,0.235205,33.14194798662322
55,2015-03-24,52.74,-0.0143,0.24184799999999998,34.07799084487512
56,2015-03-25,51.82,-0.0175,0.244303,34.42391666408457
57,2015-03-26,51.39,-0.0083,0.243794,34.35219518059064
58,2015-03-27,51.84,0.0088,0.24356100000000003,34.319363931761394
59,2015-03-30,52.75,0.0173,0.24123899999999998,33.9921786966476
60,2015-03-31,52.29,-0.0088,0.243478,34.30766868003252
61,2015-04-01,52.04,-0.0049,0.24162299999999998,34.04628684922456
62,2015-04-02,52.57,0.0103,0.241692,34.05600940789073
63,2015-04-06,53.17,0.0112,0.243354,34.29019625576287
64,2015-04-07,52.01,-0.0221,0.244154,34.40292157363154
65,2015-04-08,52.05,0.0009,0.243306,34.283432736690756
66,2015-04-09,50.85,-0.0235,0.238743,33.640475704897376
67,2015-04-10,50.99,0.0029,0.233585,32.913679217939176
68,2015-04-13,50.7,-0.0057,0.228472,32.1932235301111
