,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,34.15,,,
1,2015-01-05,33.18,-0.0286,,
2,2015-01-06,32.31,-0.0266,,
3,2015-01-07,32.6,0.0088,,
4,2015-01-08,33.25,0.0198,,
5,2015-01-09,32.64,-0.0185,,
6,2015-01-12,32.2,-0.0136,,
7,2015-01-13,32.04,-0.005,,
8,2015-01-14,31.58,-0.0145,,
9,2015-01-15,31.04,-0.0172,,
10,2015-01-16,31.46,0.0134,,
11,2015-01-20,31.19,-0.0086,,
12,2015-01-21,31.26,0.0023,,
13,2015-01-22,32.51,0.0392,,
14,2015-01-23,31.43,-0.0336,,
15,2015-01-26,32.22,0.0246,,
16,2015-01-27,32.01,-0.0065,,
17,2015-01-28,31.24,-0.0242,,
18,2015-01-29,31.83,0.0188,,
19,2015-01-30,31.44,-0.0125,,
20,2015-02-02,31.82,0.0121,,
21,2015-02-03,32.64,0.0254,,
22,2015-02-04,32.61,-0.0011,,
23,2015-02-05,32.99,0.0118,,
24,2015-02-06,33.66,0.0201,,
25,2015-02-09,33.16,-0.015,,
26,2015-02-10,33.59,0.0127,,
27,2015-02-11,33.73,0.0044,,
28,2015-02-12,34.3,0.0167,,
29,2015-02-13,34.09,-0.0063,,
30,2015-02-17,34.05,-0.0011,,
31,2015-02-18,33.6,-0.0132,,
32,2015-02-19,33.54,-0.002,,
33,2015-02-20,33.82,0.0083,,
34,2015-02-23,33.76,-0.0018,,
35,2015-02-24,34.46,0.0207,,
36,2015-02-25,34.22,-0.007,,
37,2015-02-26,34.13,-0.0028,,
38,2015-02-27,34.13,0.0002,,
39,2015-03-02,34.75,0.0179,,
40,2015-03-03,34.62,-0.0038,,
41,2015-03-04,34.55,-0.0019,,
42,2015-03-05,34.68,0.0038,,
43,2015-03-06,35.12,0.0125,,
44,2015-03-09,35.1,-0.0005,,
45,2015-03-10,34.59,-0.0147,,
46,2015-03-11,35.11,0.0149,,
47,2015-03-12,35.64,0.015,,
48,2015-03-13,35.08,-0.0157,,
49,2015-03-16,35.34,0.0073,,
50,2015-03-17,35.16,-0.0053,0.250119,
51,2015-03-18,34.78,-0.0108,0.254152,
52,2015-03-19,34.31,-0.0137,0.257203,
53,2015-03-20,34.79,0.014,0.256904,
54,2015-03-23,34.49,-0.0086,0.258753,
55,2015-03-24,34.31,-0.0054,0.260301,
56,2015-03-25,33.76,-0.0162,0.260336,
57,2015-03-26,33.87,0.0032,0.258001,
58,2015-03-27,34.01,0.0042,0.254913,
59,2015-03-30,34.43,0.0123,0.24928999999999998,
60,2015-03-31,34.03,-0.0116,0.240004,
61,2015-04-01,33.84,-0.0057,0.232302,
62,2015-04-02,34.17,0.0095,0.221588,
63,2015-04-06,34.17,0.0002,0.210691,
64,2015-04-07,33.95,-0.0065,0.20769200000000002,
65,2015-04-08,34.18,0.0069,0.19659400000000002,
66,2015-04-09,34.02,-0.0049,0.191048,
67,2015-04-10,33.5,-0.0153,0.18336200000000002,
68,2015-04-13,33.51,0.0004,0.167604,
69,2015-04-14,33.91,0.0119,0.156959,
70,2015-04-15,34.11,0.0058,0.139293,
71,2015-04-16,34.37,0.0075,0.124041,
72,2015-04-17,33.81,-0.0164,0.116773,
73,2015-04-20,33.92,0.0032,0.108758,
74,2015-04-21,34.03,0.0034,0.10369999999999999,
75,2015-04-22,34.17,0.0039,0.102628,
76,2015-04-23,34.5,0.0098,0.098163,
77,2015-04-24,34.2,-0.0087,0.09649100000000001,
78,2015-04-27,34.11,-0.0026,0.095304,
79,2015-04-28,34.3,0.0054,0.09544000000000001,
80,2015-04-29,34.4,0.0031,0.095266,
81,2015-04-30,33.88,-0.0153,0.09505599999999999,
82,2015-05-01,34.03,0.0044,0.09380100000000001,
83,2015-05-04,34.54,0.0147,0.091679,
84,2015-05-05,34.41,-0.0037,0.090783,
85,2015-05-06,34.43,0.0007,0.08938399999999999,
86,2015-05-07,34.66,0.0064,0.089361,
87,2015-05-08,34.74,0.0024,0.089672,
88,2015-05-11,34.94,0.0058,0.09002700000000001,
89,2015-05-12,34.48,-0.0133,0.091098,
90,2015-05-13,34.61,0.0036,0.09058899999999999,
91,2015-05-14,34.96,0.0102,0.09056900000000001,
92,2015-05-15,34.72,-0.0069,0.091814,
93,2015-05-18,35.27,0.0158,0.091911,
94,2015-05-19,35.06,-0.006,0.09290699999999999,
95,2015-05-20,35.21,0.0043,0.092693,
96,2015-05-21,35.17,-0.0014,0.09518499999999999,
97,2015-05-22,35.09,-0.002,0.09551399999999999,
98,2015-05-26,34.84,-0.0074,0.091303,
99,2015-05-27,35.08,0.007,0.090145,
100,2015-05-28,35.21,0.0036,0.08836000000000001,
101,2015-05-29,34.84,-0.0106,0.088706,
102,2015-06-01,34.81,-0.0007,0.088905,
103,2015-06-02,34.9,0.0026,0.089612,
104,2015-06-03,35.59,0.0194,0.090023,
105,2015-06-04,35.38,-0.0059,0.095539,
106,2015-06-05,35.71,0.0094,0.09889300000000001,
107,2015-06-08,35.58,-0.0037,0.102826,
108,2015-06-09,35.55,-0.0008,0.105567,
109,2015-06-10,36.19,0.0177,0.108229,
110,2015-06-11,36.23,0.0013,0.116859,
111,2015-06-12,36.19,-0.0013,0.124056,
112,2015-06-15,36.0,-0.0051,0.12907400000000002,
113,2015-06-16,36.14,0.0038,0.133148,
114,2015-06-17,35.81,-0.009,0.137741,
115,2015-06-18,36.12,0.0085,0.138884,
116,2015-06-19,36.05,-0.002,0.142427,
117,2015-06-22,36.59,0.0149,0.14439,
118,2015-06-23,36.74,0.0041,0.146709,
119,2015-06-24,36.36,-0.0102,0.14938,
120,2015-06-25,36.42,0.0016,0.150873,
121,2015-06-26,36.61,0.0051,0.153186,
122,2015-06-29,35.67,-0.0259,0.157277,
123,2015-06-30,35.82,0.004,0.153634,
124,2015-07-01,36.08,0.0072,0.150662,
125,2015-07-02,35.91,-0.0047,0.148904,
126,2015-07-06,35.58,-0.0093,0.146893,
127,2015-07-07,35.23,-0.0097,0.145496,
128,2015-07-08,34.28,-0.0273,0.14230299999999999,
129,2015-07-09,34.66,0.0108,0.141277,
130,2015-07-10,35.26,0.0172,0.139645,
131,2015-07-13,35.83,0.0161,0.137292,
132,2015-07-14,35.96,0.0037,0.131733,
133,2015-07-15,36.12,0.0045,0.127144,
134,2015-07-16,36.78,0.018,0.126062,
135,2015-07-17,36.61,-0.0046,0.127583,
136,2015-07-20,36.62,0.0002,0.127477,
137,2015-07-21,36.26,-0.0099,0.128211,
138,2015-07-22,36.51,0.0069,0.127249,
139,2015-07-23,35.96,-0.0153,0.128056,
140,2015-07-24,35.46,-0.014,0.124148,
141,2015-07-27,34.85,-0.0173,0.12075,
142,2015-07-28,35.15,0.0086,0.12130200000000001,
143,2015-07-29,35.62,0.0134,0.119275,
144,2015-07-30,35.88,0.0072,0.118704,
145,2015-07-31,35.47,-0.0116,0.117423,
146,2015-08-03,35.44,-0.0007,0.116791,
147,2015-08-04,35.79,0.0096,0.116021,
148,2015-08-05,35.72,-0.0018,0.114649,
149,2015-08-06,35.38,-0.0096,0.111831,
150,2015-08-07,35.24,-0.0039,0.110751,
151,2015-08-10,35.75,0.0144,0.11063200000000001,
152,2015-08-11,34.89,-0.0243,0.10754799999999999,
153,2015-08-12,34.57,-0.0092,0.10703099999999999,
154,2015-08-13,34.79,0.0062,0.10943,
155,2015-08-14,35.17,0.0108,0.112617,
156,2015-08-17,35.24,0.002,0.113306,
157,2015-08-18,35.16,-0.0024,0.114205,
158,2015-08-19,34.58,-0.0166,0.11527799999999999,
159,2015-08-20,33.34,-0.0365,0.119467,
160,2015-08-21,31.96,-0.0424,0.135165,
161,2015-08-24,30.05,-0.0615,0.16755299999999998,
162,2015-08-25,30.12,0.0022,0.223859,
163,2015-08-26,31.34,0.0397,0.265929,
164,2015-08-27,32.28,0.0295,0.286203,
165,2015-08-28,32.13,-0.0045,0.296827,
166,2015-08-31,31.86,-0.0086,0.306858,
167,2015-09-01,30.69,-0.0373,0.317971,
168,2015-09-02,31.21,0.0167,0.33576999999999996,
169,2015-09-03,31.07,-0.0042,0.34636,
170,2015-09-04,30.67,-0.0132,0.357783,
171,2015-09-08,31.55,0.0286,0.370558,
172,2015-09-09,31.1,-0.0144,0.374987,
173,2015-09-10,31.46,0.0113,0.38427900000000004,
174,2015-09-11,31.17,-0.0092,0.39013,
175,2015-09-14,31.16,-0.0002,0.39589599999999997,
176,2015-09-15,31.58,0.0132,0.40131,
177,2015-09-16,31.8,0.007,0.404866,
178,2015-09-17,30.99,-0.0259,0.407806,
179,2015-09-18,30.01,-0.0321,0.41544,
180,2015-09-21,30.24,0.0078,0.427794,
181,2015-09-22,29.93,-0.0106,0.436355,
182,2015-09-23,29.79,-0.0046,0.443897,
183,2015-09-24,29.55,-0.0081,0.45045,
184,2015-09-25,29.86,0.0105,0.45637900000000003,
185,2015-09-28,29.19,-0.0226,0.455586,
186,2015-09-29,29.54,0.0117,0.458057,
187,2015-09-30,29.95,0.0138,0.456723,
188,2015-10-01,30.08,0.0044,0.453891,
189,2015-10-02,29.72,-0.0119,0.447575,
190,2015-10-05,30.64,0.0304,0.444803,
191,2015-10-06,30.37,-0.0089,0.44005099999999997,
192,2015-10-07,30.69,0.0105,0.43823,
193,2015-10-08,30.88,0.0061,0.43335500000000005,
194,2015-10-09,30.88,0.0,0.424594,
195,2015-10-12,30.99,0.0037,0.413114,
196,2015-10-13,30.77,-0.007,0.403027,
197,2015-10-14,30.31,-0.015,0.392488,
198,2015-10-15,31.35,0.0337,0.379302,
199,2015-10-16,31.5,0.0048,0.36324,
200,2015-10-19,31.31,-0.0061,0.34848599999999996,
201,2015-10-20,31.46,0.0046,0.33362499999999995,
202,2015-10-21,30.91,-0.0176,0.312409,
203,2015-10-22,31.77,0.0277,0.297614,
204,2015-10-23,32.2,0.0134,0.284269,
205,2015-10-26,32.49,0.0088,0.268668,
206,2015-10-27,32.36,-0.0039,0.248406,
207,2015-10-28,33.81,0.044,0.224344,
208,2015-10-29,33.59,-0.0068,0.208753,
209,2015-10-30,33.25,-0.0099,0.197834,
210,2015-11-02,33.95,0.0207,0.197103,
211,2015-11-03,34.07,0.0035,0.21063099999999998,
212,2015-11-04,34.13,0.0019,0.223161,
213,2015-11-05,34.28,0.0042,0.234845,
214,2015-11-06,35.18,0.0261,0.248508,
215,2015-11-09,34.8,-0.0109,0.268374,
216,2015-11-10,34.8,-0.0002,0.283187,
217,2015-11-11,34.81,0.0003,0.297197,
218,2015-11-12,34.27,-0.0157,0.309415,
219,2015-11-13,33.9,-0.0106,0.31757799999999997,
220,2015-11-16,34.24,0.0097,0.322953,
221,2015-11-17,34.16,-0.0023,0.32878100000000005,
222,2015-11-18,34.57,0.0121,0.33496200000000004,
223,2015-11-19,34.37,-0.006,0.34244100000000005,
224,2015-11-20,34.72,0.0101,0.348657,
225,2015-11-23,34.67,-0.0014,0.355839,
226,2015-11-24,35.05,0.0107,0.362091,
227,2015-11-25,35.15,0.0029,0.370437,
228,2015-11-27,35.25,0.0029,0.37894100000000003,
229,2015-11-30,35.44,0.0053,0.38597499999999996,
230,2015-12-01,35.58,0.0039,0.38966900000000004,
231,2015-12-02,35.38,-0.0054,0.394061,
232,2015-12-03,35.05,-0.0096,0.394779,
233,2015-12-04,35.79,0.0211,0.39203499999999997,
234,2015-12-07,35.69,-0.0029,0.390408,
235,2015-12-08,35.61,-0.0024,0.38870699999999997,
236,2015-12-09,34.69,-0.0261,0.38062199999999996,
237,2015-12-10,34.97,0.008,0.36984900000000004,
238,2015-12-11,34.16,-0.0234,0.361556,
239,2015-12-14,33.98,-0.0051,0.35098199999999996,
240,2015-12-15,35.02,0.0301,0.336312,
241,2015-12-16,35.55,0.015,0.32947299999999996,
242,2015-12-17,35.58,0.0007,0.32160299999999997,
243,2015-12-18,35.06,-0.0147,0.314827,
244,2015-12-21,35.66,0.0171,0.306312,
245,2015-12-22,35.75,0.0025,0.29881,
246,2015-12-23,35.3,-0.0127,0.29124,
247,2015-12-24,35.12,-0.0051,0.278731,
248,2015-12-28,35.26,0.0041,0.259168,
249,2015-12-29,35.68,0.0119,0.24806999999999998,
250,2015-12-30,35.38,-0.0085,0.23832699999999998,
251,2015-12-31,35.1,-0.0081,0.22401,
252,2016-01-04,34.11,-0.0285,0.208474,
253,2016-01-05,34.18,0.0021,0.183184,
254,2016-01-06,32.85,-0.0397,0.16613299999999998,
255,2016-01-07,31.5,-0.0422,0.159786,
256,2016-01-08,30.77,-0.0231,0.171709,
257,2016-01-11,31.04,0.0086,0.191683,
258,2016-01-12,30.7,-0.0112,0.213785,
259,2016-01-13,29.38,-0.0439,0.23671199999999998,
260,2016-01-14,29.9,0.0178,0.27253,
261,2016-01-15,29.21,-0.0236,0.298572,
262,2016-01-19,29.3,0.0031,0.329334,
263,2016-01-20,28.62,-0.0234,0.35554699999999995,
264,2016-01-21,27.06,-0.0561,0.385727,
265,2016-01-22,27.52,0.0171,0.428037,
266,2016-01-25,25.91,-0.0603,0.460351,
267,2016-01-26,26.14,0.0086,0.505486,
268,2016-01-27,26.31,0.0065,0.542472,
269,2016-01-28,25.86,-0.0169,0.574537,
270,2016-01-29,26.52,0.0252,0.607592,
271,2016-02-01,26.79,0.01,0.631776,
272,2016-02-02,25.37,-0.0546,0.651988,
273,2016-02-03,25.25,-0.0048,0.6798090000000001,
274,2016-02-04,26.2,0.037,0.706102,
275,2016-02-05,26.28,0.003,0.7225830000000001,
276,2016-02-08,25.39,-0.0342,0.736895,
277,2016-02-09,25.67,0.0109,0.7537269999999999,
278,2016-02-10,25.34,-0.0131,0.7663840000000001,
279,2016-02-11,24.48,-0.0345,0.778658,
280,2016-02-12,24.82,0.014,0.7933209999999999,
281,2016-02-16,25.56,0.0293,0.802882,
282,2016-02-17,26.22,0.0255,0.80719,
283,2016-02-18,26.17,-0.0021,0.8082210000000001,
284,2016-02-19,26.56,0.0149,0.804623,
285,2016-02-22,26.78,0.0084,0.7983629999999999,
286,2016-02-23,26.3,-0.0182,0.790197,
287,2016-02-24,25.99,-0.012,0.786564,
288,2016-02-25,26.7,0.0271,0.781329,
289,2016-02-26,27.22,0.0193,0.7761159999999999,
290,2016-02-29,26.54,-0.0252,0.769298,
291,2016-03-01,27.71,0.0431,0.7579,
292,2016-03-02,27.92,0.0076,0.739244,
293,2016-03-03,28.04,0.0043,0.718406,
294,2016-03-04,28.01,-0.0013,0.699156,
295,2016-03-07,28.12,0.0041,0.6738970000000001,
296,2016-03-08,27.49,-0.0229,0.645493,
297,2016-03-09,27.54,0.002,0.618726,
298,2016-03-10,27.55,0.0002,0.590745,
299,2016-03-11,28.73,0.042,0.558474,
300,2016-03-14,28.61,-0.0042,0.51829,
301,2016-03-15,28.06,-0.0194,0.476695,
302,2016-03-16,28.02,-0.0013,0.432617,
303,2016-03-17,28.58,0.0197,0.39488999999999996,
304,2016-03-18,29.1,0.0181,0.351561,
305,2016-03-21,29.21,0.0037,0.322002,
306,2016-03-22,29.13,-0.0027,0.30572299999999997,
307,2016-03-23,28.68,-0.0155,0.294953,
308,2016-03-24,28.4,-0.01,0.27910599999999997,
309,2016-03-28,28.49,0.0032,0.26449100000000003,
310,2016-03-29,28.9,0.0143,0.26010500000000003,
311,2016-03-30,29.03,0.0046,0.253625,
312,2016-03-31,28.95,-0.0029,0.252618,
313,2016-04-01,29.06,0.0038,0.25058,
314,2016-04-04,28.72,-0.0116,0.252747,
315,2016-04-05,27.98,-0.0262,0.256194,
316,2016-04-06,28.68,0.0247,0.256921,
317,2016-04-07,27.04,-0.0587,0.257408,
318,2016-04-08,27.13,0.0034,0.255614,
319,2016-04-11,27.43,0.0107,0.254238,
320,2016-04-12,28.11,0.0245,0.251164,
321,2016-04-13,29.46,0.0471,0.25103000000000003,
322,2016-04-14,29.46,-0.0002,0.256831,
323,2016-04-15,28.96,-0.0171,0.256331,
324,2016-04-18,28.96,0.0,0.251651,
325,2016-04-19,29.37,0.0142,0.251493,
326,2016-04-20,29.77,0.0134,0.25303000000000003,
327,2016-04-21,32.36,0.0834,0.251078,
328,2016-04-22,32.78,0.0131,0.273353,
329,2016-04-25,32.53,-0.0078,0.294407,
330,2016-04-26,32.89,0.011,0.301753,
331,2016-04-27,32.75,-0.0041,0.312623,
332,2016-04-28,32.14,-0.0187,0.324492,
333,2016-04-29,31.72,-0.0133,0.332559,
334,2016-05-02,32.1,0.012,0.335604,
335,2016-05-03,31.23,-0.0277,0.341979,
336,2016-05-04,31.03,-0.0063,0.342923,
337,2016-05-05,31.01,-0.0006,0.339479,
338,2016-05-06,30.88,-0.0043,0.33281999999999995,
339,2016-05-09,30.62,-0.0085,0.329063,
340,2016-05-10,31.77,0.037,0.326395,
341,2016-05-11,31.14,-0.0201,0.32408000000000003,
342,2016-05-12,31.18,0.0014,0.32398699999999997,
343,2016-05-13,30.65,-0.0173,0.324351,
344,2016-05-16,30.87,0.0071,0.32305,
345,2016-05-17,30.89,0.0006,0.321858,
346,2016-05-18,31.98,0.0348,0.320769,
347,2016-05-19,31.35,-0.0198,0.320631,
