,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,157.96,,,
1,2015-01-05,153.46,-0.0289,,
2,2015-01-06,150.46,-0.0197,,
3,2015-01-07,154.23,0.0247,,
4,2015-01-08,154.05,-0.0012,,
5,2015-01-09,151.83,-0.0146,,
6,2015-01-12,150.47,-0.009,,
7,2015-01-13,149.8,-0.0045,,
8,2015-01-14,148.64,-0.0077,,
9,2015-01-15,146.19,-0.0166,,
10,2015-01-16,146.7,0.0035,,
11,2015-01-20,145.12,-0.0108,,
12,2015-01-21,146.25,0.0077,,
13,2015-01-22,147.38,0.0077,,
14,2015-01-23,145.6,-0.0121,,
15,2015-01-26,146.05,0.0031,,
16,2015-01-27,144.5,-0.0106,,
17,2015-01-28,143.38,-0.0078,,
18,2015-01-29,146.69,0.0228,,
19,2015-01-30,143.98,-0.0186,,
20,2015-02-02,144.76,0.0054,,
21,2015-02-03,147.38,0.0179,,
22,2015-02-04,120.53,-0.2011,,
23,2015-02-05,122.31,0.0146,,
24,2015-02-06,119.8,-0.0207,,
25,2015-02-09,117.41,-0.0202,,
26,2015-02-10,116.56,-0.0072,,
27,2015-02-11,116.61,0.0004,,
28,2015-02-12,117.16,0.0047,,
29,2015-02-13,116.64,-0.0044,,
30,2015-02-17,117.62,0.0084,,
31,2015-02-18,117.69,0.0006,,
32,2015-02-19,118.16,0.004,,
33,2015-02-20,120.18,0.0169,,
34,2015-02-23,119.63,-0.0045,,
35,2015-02-24,119.13,-0.0042,,
36,2015-02-25,119.43,0.0025,,
37,2015-02-26,118.6,-0.007,,
38,2015-02-27,118.54,-0.0005,,
39,2015-03-02,119.11,0.0047,,
40,2015-03-03,117.27,-0.0155,,
41,2015-03-04,116.41,-0.0073,,
42,2015-03-05,115.85,-0.0048,,
43,2015-03-06,113.82,-0.0177,,
44,2015-03-09,114.62,0.007,,
45,2015-03-10,112.55,-0.0182,,
46,2015-03-11,110.13,-0.0217,,
47,2015-03-12,112.57,0.0218,,
48,2015-03-13,112.16,-0.0036,,
49,2015-03-16,111.89,-0.0024,,
50,2015-03-17,111.38,-0.0046,3.089277,
51,2015-03-18,114.14,0.0245,3.039578,
52,2015-03-19,114.43,0.0026,2.9971069999999997,
53,2015-03-20,114.9,0.0041,2.96306,
54,2015-03-23,115.49,0.0052,2.8965300000000003,
55,2015-03-24,115.37,-0.001,2.8197680000000003,
56,2015-03-25,115.05,-0.0028,2.749405,
57,2015-03-26,114.28,-0.0067,2.6804360000000003,
58,2015-03-27,113.63,-0.0057,2.609572,
59,2015-03-30,114.54,0.008,2.53981,
60,2015-03-31,113.87,-0.0058,2.476037,
61,2015-04-01,114.91,0.0091,2.402358,
62,2015-04-02,116.62,0.0147,2.329016,
63,2015-04-06,119.34,0.0231,2.2349930000000002,
64,2015-04-07,120.53,0.0099,2.1176820000000003,
65,2015-04-08,120.75,0.0018,2.004781,
66,2015-04-09,121.46,0.0059,1.8756030000000001,
67,2015-04-10,119.6,-0.0154,1.7490020000000002,
68,2015-04-13,119.09,-0.0043,1.619156,
69,2015-04-14,118.71,-0.0032,1.4267509999999999,
70,2015-04-15,119.13,0.0035,1.239869,
71,2015-04-16,118.91,-0.0018,0.994623,
72,2015-04-17,115.85,-0.0261,0.554068,
73,2015-04-20,118.59,0.0234,0.544772,
74,2015-04-21,117.73,-0.0073,0.5250670000000001,
75,2015-04-22,118.11,0.0032,0.518588,
76,2015-04-23,118.95,0.0072,0.519782,
77,2015-04-24,118.18,-0.0066,0.523744,
78,2015-04-27,117.51,-0.0057,0.5254220000000001,
79,2015-04-28,116.78,-0.0062,0.525759,
80,2015-04-29,116.1,-0.0059,0.525769,
81,2015-04-30,115.53,-0.0049,0.525313,
82,2015-05-01,117.87,0.0201,0.525324,
83,2015-05-04,117.73,-0.0012,0.52473,
84,2015-05-05,117.25,-0.0041,0.5163490000000001,
85,2015-05-06,115.98,-0.0108,0.509675,
86,2015-05-07,116.11,0.001,0.504582,
87,2015-05-08,116.37,0.0023,0.49776600000000004,
88,2015-05-11,116.59,0.0019,0.493899,
89,2015-05-12,115.34,-0.0108,0.49013100000000004,
90,2015-05-13,111.86,-0.0306,0.48445,
91,2015-05-14,114.04,0.0192,0.497406,
92,2015-05-15,115.27,0.0107,0.5003949999999999,
93,2015-05-18,114.76,-0.0044,0.500813,
94,2015-05-19,113.18,-0.0139,0.498341,
95,2015-05-20,113.78,0.0053,0.502921,
96,2015-05-21,113.9,0.0011,0.497672,
97,2015-05-22,115.2,0.0113,0.474194,
98,2015-05-26,111.22,-0.0351,0.464733,
99,2015-05-27,111.07,-0.0014,0.47141500000000003,
100,2015-05-28,114.17,0.0276,0.477476,
101,2015-05-29,112.92,-0.0111,0.462426,
102,2015-06-01,113.96,0.0092,0.46760199999999996,
103,2015-06-02,117.22,0.0282,0.46908,
104,2015-06-03,118.51,0.0109,0.468617,
105,2015-06-04,118.7,0.0016,0.472273,
106,2015-06-05,118.72,0.0001,0.47612299999999996,
107,2015-06-08,118.14,-0.0049,0.479065,
108,2015-06-09,118.04,-0.0009,0.477639,
109,2015-06-10,117.4,-0.0054,0.472827,
110,2015-06-11,117.57,0.0014,0.469971,
111,2015-06-12,117.12,-0.0038,0.464385,
112,2015-06-15,116.08,-0.0089,0.461856,
113,2015-06-16,116.36,0.0024,0.462198,
114,2015-06-17,116.65,0.0025,0.456665,
115,2015-06-18,120.8,0.0349,0.444146,
116,2015-06-19,121.44,0.0053,0.444509,
117,2015-06-22,120.59,-0.007,0.444369,
118,2015-06-23,120.85,0.0022,0.45010100000000003,
119,2015-06-24,119.63,-0.0102,0.459696,
120,2015-06-25,118.34,-0.0108,0.46338700000000005,
121,2015-06-26,118.94,0.0051,0.46076,
122,2015-06-29,116.31,-0.0224,0.460862,
123,2015-06-30,115.03,-0.011,0.460424,
124,2015-07-01,115.81,0.0068,0.459405,
125,2015-07-02,117.11,0.0112,0.458816,
126,2015-07-06,115.25,-0.016,0.45710500000000004,
127,2015-07-07,116.27,0.0088,0.453459,
128,2015-07-08,112.58,-0.0323,0.45102200000000003,
129,2015-07-09,112.1,-0.0043,0.461765,
130,2015-07-10,112.72,0.0055,0.475468,
131,2015-07-13,116.69,0.0346,0.48487699999999995,
132,2015-07-14,117.57,0.0075,0.484748,
133,2015-07-15,115.23,-0.0201,0.48402700000000004,
134,2015-07-16,115.58,0.003,0.48280700000000004,
135,2015-07-17,113.64,-0.0169,0.482047,
136,2015-07-20,113.42,-0.0019,0.486617,
137,2015-07-21,113.21,-0.0018,0.49178600000000006,
138,2015-07-22,113.0,-0.0018,0.497385,
139,2015-07-23,111.95,-0.0093,0.503283,
140,2015-07-24,110.24,-0.0154,0.5141290000000001,
141,2015-07-27,108.63,-0.0147,0.5251319999999999,
142,2015-07-28,110.03,0.0128,0.5576760000000001,
143,2015-07-29,110.3,0.0024,0.577976,
144,2015-07-30,110.47,0.0016,0.594845,
145,2015-07-31,109.41,-0.0097,0.606945,
146,2015-08-03,107.15,-0.0209,0.626865,
147,2015-08-04,107.16,0.0002,0.6637470000000001,
148,2015-08-05,105.59,-0.0148,0.698248,
149,2015-08-06,104.43,-0.011,0.7366240000000001,
150,2015-08-07,104.46,0.0002,0.7827689999999999,
151,2015-08-10,104.76,0.0028,0.830893,
152,2015-08-11,103.42,-0.0129,0.87138,
153,2015-08-12,102.55,-0.0084,0.9207110000000001,
154,2015-08-13,101.93,-0.006,0.969065,
155,2015-08-14,102.55,0.006,1.0130679999999999,
156,2015-08-17,102.54,-0.0001,1.0457940000000001,
157,2015-08-18,101.88,-0.0065,1.073907,
158,2015-08-19,100.57,-0.013,1.1046850000000001,
159,2015-08-20,98.12,-0.0247,1.141059,
160,2015-08-21,96.15,-0.0202,1.194126,
161,2015-08-24,93.5,-0.028,1.2566840000000001,
162,2015-08-25,91.27,-0.0242,1.336799,
163,2015-08-26,92.81,0.0167,1.4310489999999998,
164,2015-08-27,94.88,0.0221,1.498898,
165,2015-08-28,96.37,0.0155,1.5418479999999999,
166,2015-08-31,96.63,0.0027,1.5506540000000002,
167,2015-09-01,94.24,-0.025,1.5483289999999998,
168,2015-09-02,95.16,0.0097,1.559857,
169,2015-09-03,96.43,0.0132,1.557425,
170,2015-09-04,94.71,-0.018,1.5495419999999998,
171,2015-09-08,96.51,0.0188,1.553247,
172,2015-09-09,94.59,-0.0201,1.538837,
173,2015-09-10,94.83,0.0026,1.544106,
174,2015-09-11,95.34,0.0054,1.54994,
175,2015-09-14,93.78,-0.0165,1.5454679999999998,
176,2015-09-15,95.34,0.0165,1.536877,
177,2015-09-16,99.59,0.0436,1.526745,
178,2015-09-17,99.03,-0.0057,1.493464,
179,2015-09-18,95.06,-0.0409,1.4783959999999998,
180,2015-09-21,96.91,0.0193,1.47582,
181,2015-09-22,95.9,-0.0105,1.4608850000000002,
182,2015-09-23,94.35,-0.0163,1.4210159999999998,
183,2015-09-24,95.33,0.0104,1.373834,
184,2015-09-25,94.56,-0.0081,1.334796,
185,2015-09-28,91.56,-0.0323,1.289879,
186,2015-09-29,90.84,-0.0079,1.267676,
187,2015-09-30,103.16,0.1272,1.244882,
188,2015-10-01,101.76,-0.0136,1.195249,
189,2015-10-02,102.46,0.0068,1.141524,
190,2015-10-05,104.13,0.0162,1.0939079999999999,
191,2015-10-06,104.75,0.0059,1.0615649999999999,
192,2015-10-07,103.56,-0.0115,1.041591,
193,2015-10-08,105.85,0.0219,1.00639,
194,2015-10-09,105.23,-0.0059,0.9767669999999999,
195,2015-10-12,105.27,0.0003,0.9411839999999999,
196,2015-10-13,103.65,-0.0155,0.913544,
197,2015-10-14,103.65,0.0,0.894968,
198,2015-10-15,102.4,-0.0122,0.875668,
199,2015-10-16,102.11,-0.0028,0.861459,
200,2015-10-19,102.33,0.0021,0.852317,
201,2015-10-20,102.8,0.0046,0.8435280000000001,
202,2015-10-21,101.1,-0.0166,0.834641,
203,2015-10-22,101.86,0.0075,0.827095,
204,2015-10-23,99.25,-0.026,0.824861,
205,2015-10-26,99.18,-0.0007,0.8199299999999999,
206,2015-10-27,97.93,-0.0127,0.812662,
207,2015-10-28,98.15,0.0022,0.804952,
208,2015-10-29,96.32,-0.0189,0.7991379999999999,
209,2015-10-30,96.7,0.004,0.798399,
210,2015-11-02,96.77,0.0007,0.799439,
211,2015-11-03,99.67,0.0295,0.798438,
212,2015-11-04,99.15,-0.0053,0.7887479999999999,
213,2015-11-05,113.93,0.139,0.7646229999999999,
214,2015-11-06,119.81,0.0504,0.8554609999999999,
215,2015-11-09,117.28,-0.0214,1.0179559999999999,
216,2015-11-10,116.29,-0.0085,1.122954,
217,2015-11-11,109.09,-0.0639,1.204027,
218,2015-11-12,106.62,-0.0229,1.2159659999999999,
219,2015-11-13,104.52,-0.0199,1.217847,
220,2015-11-16,105.32,0.0077,1.21614,
221,2015-11-17,104.17,-0.011,1.2096850000000001,
222,2015-11-18,104.23,0.0006,1.205669,
223,2015-11-19,107.13,0.0274,1.19398,
224,2015-11-20,108.0,0.0081,1.189359,
225,2015-11-23,110.17,0.0199,1.1881059999999999,
226,2015-11-24,109.12,-0.0096,1.186628,
227,2015-11-25,109.66,0.0049,1.1849720000000001,
228,2015-11-27,108.25,-0.013,1.1973449999999999,
229,2015-11-30,108.44,0.0018,1.201827,
230,2015-12-01,108.98,0.005,1.1907269999999999,
231,2015-12-02,109.76,0.0071,1.187773,
232,2015-12-03,106.66,-0.0286,1.181102,
233,2015-12-04,105.49,-0.0109,1.154772,
234,2015-12-07,104.4,-0.0104,1.130488,
235,2015-12-08,103.6,-0.0077,1.0989579999999999,
236,2015-12-09,103.18,-0.0041,1.040981,
237,2015-12-10,101.14,-0.02,0.97027,
238,2015-12-11,98.63,-0.0251,0.9744389999999999,
239,2015-12-14,98.69,0.0005,0.985365,
240,2015-12-15,100.0,0.0132,0.9971380000000001,
241,2015-12-16,101.15,0.0115,1.005088,
242,2015-12-17,98.43,-0.0272,1.009405,
243,2015-12-18,97.48,-0.0097,1.0225060000000001,
244,2015-12-21,96.56,-0.0094,1.038721,
245,2015-12-22,98.05,0.0153,1.058901,
246,2015-12-23,100.42,0.0239,1.070788,
247,2015-12-24,99.43,-0.0099,1.074993,
248,2015-12-28,98.56,-0.0088,1.081688,
249,2015-12-29,99.96,0.014,1.090305,
250,2015-12-30,98.8,-0.0116,1.094213,
251,2015-12-31,97.77,-0.0105,1.101576,
252,2016-01-04,97.84,0.0007,1.112661,
253,2016-01-05,97.24,-0.0061,1.121384,
254,2016-01-06,94.8,-0.0254,1.133125,
255,2016-01-07,91.7,-0.0333,1.151344,
256,2016-01-08,90.85,-0.0093,1.188259,
257,2016-01-11,89.49,-0.0151,1.226083,
258,2016-01-12,91.17,0.0186,1.272893,
259,2016-01-13,88.38,-0.0311,1.29972,
260,2016-01-14,88.61,0.0026,1.346868,
261,2016-01-15,88.29,-0.0036,1.390197,
262,2016-01-19,88.91,0.0069,1.439698,
263,2016-01-20,90.68,0.0197,1.481492,
264,2016-01-21,92.91,0.0243,1.4743700000000002,
265,2016-01-22,93.81,0.0097,1.402402,
266,2016-01-25,93.42,-0.0041,1.340516,
