,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,108.63,,,
1,2015-01-05,106.92,-0.0159,,
2,2015-01-06,106.36,-0.0052,,
3,2015-01-07,107.82,0.0136,,
4,2015-01-08,108.89,0.0099,,
5,2015-01-09,108.51,-0.0035,,
6,2015-01-12,108.17,-0.0032,,
7,2015-01-13,108.26,0.0008,,
8,2015-01-14,107.63,-0.0058,,
9,2015-01-15,106.1,-0.0143,,
10,2015-01-16,107.21,0.0104,,
11,2015-01-20,107.98,0.0072,,
12,2015-01-21,109.04,0.0097,,
13,2015-01-22,114.01,0.0446,,
14,2015-01-23,115.88,0.0163,,
15,2015-01-26,116.63,0.0064,,
16,2015-01-27,117.46,0.0071,,
17,2015-01-28,115.52,-0.0166,,
18,2015-01-29,116.4,0.0076,,
19,2015-01-30,114.24,-0.0188,,
20,2015-02-02,115.51,0.0111,,
21,2015-02-03,115.44,-0.0006,,
22,2015-02-04,116.23,0.0068,,
23,2015-02-05,117.01,0.0067,,
24,2015-02-06,115.39,-0.0139,,
25,2015-02-09,113.79,-0.014,,
26,2015-02-10,115.89,0.0183,,
27,2015-02-11,116.84,0.0082,,
28,2015-02-12,117.14,0.0025,,
29,2015-02-13,119.1,0.0167,,
30,2015-02-17,119.6,0.0042,,
31,2015-02-18,119.59,-0.0001,,
32,2015-02-19,118.47,-0.0095,,
33,2015-02-20,118.69,0.0019,,
34,2015-02-23,116.84,-0.0157,,
35,2015-02-24,115.33,-0.0131,,
36,2015-02-25,117.23,0.0163,,
37,2015-02-26,117.47,0.0021,,
38,2015-02-27,122.08,0.0385,,
39,2015-03-02,122.68,0.0049,,
40,2015-03-03,122.24,-0.0036,,
41,2015-03-04,122.8,0.0046,,
42,2015-03-05,121.96,-0.0068,,
43,2015-03-06,119.33,-0.0218,,
44,2015-03-09,119.77,0.0037,,
45,2015-03-10,117.91,-0.0157,,
46,2015-03-11,117.39,-0.0044,,
47,2015-03-12,118.4,0.0086,,
48,2015-03-13,116.93,-0.0125,,
49,2015-03-16,116.37,-0.0048,,
50,2015-03-17,116.34,-0.0003,0.9273609999999999,122.00883061771447
51,2015-03-18,118.19,0.0158,0.910526,119.7939233017402
52,2015-03-19,117.52,-0.0057,0.884185,116.32835314373138
53,2015-03-20,119.98,0.0207,0.8491289999999999,111.7161885539604
54,2015-03-23,119.2,-0.0065,0.828286,108.97396620843905
55,2015-03-24,118.82,-0.0032,0.809503,106.50276905275477
56,2015-03-25,116.47,-0.02,0.7845409999999999,103.21862789318543
57,2015-03-26,116.72,0.0021,0.75134,98.85051753989396
58,2015-03-27,118.19,0.0126,0.715921,94.19059462783616
59,2015-03-30,117.66,-0.0046,0.6718259999999999,88.38920834343544
60,2015-03-31,114.63,-0.026,0.602371,79.25131778026388
