,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,27.79,,,
1,2015-01-05,26.86,-0.034,,
2,2015-01-06,25.88,-0.0373,,
3,2015-01-07,26.38,0.0194,,
4,2015-01-08,27.07,0.0258,,
5,2015-01-09,26.16,-0.0342,,
6,2015-01-12,25.91,-0.0099,,
7,2015-01-13,25.92,0.0007,,
8,2015-01-14,25.04,-0.0346,,
9,2015-01-15,24.53,-0.0208,,
10,2015-01-16,24.74,0.0086,,
11,2015-01-20,24.6,-0.0056,,
12,2015-01-21,24.55,-0.0019,,
13,2015-01-22,25.43,0.035,,
14,2015-01-23,25.0,-0.0168,,
15,2015-01-26,25.16,0.0062,,
16,2015-01-27,24.66,-0.0203,,
17,2015-01-28,23.87,-0.0322,,
18,2015-01-29,24.2,0.0138,,
19,2015-01-30,23.89,-0.013,,
20,2015-02-02,24.46,0.0236,,
21,2015-02-03,25.4,0.0376,,
22,2015-02-04,25.39,-0.0004,,
23,2015-02-05,25.73,0.0133,,
24,2015-02-06,26.83,0.0417,,
25,2015-02-09,26.53,-0.0111,,
26,2015-02-10,26.9,0.0138,,
27,2015-02-11,26.77,-0.0048,,
28,2015-02-12,27.61,0.0308,,
29,2015-02-13,26.85,-0.0281,,
30,2015-02-17,27.41,0.0207,,
31,2015-02-18,26.81,-0.0221,,
32,2015-02-19,26.99,0.0065,,
33,2015-02-20,27.33,0.0126,,
34,2015-02-23,27.2,-0.0047,,
35,2015-02-24,27.48,0.0104,,
36,2015-02-25,27.39,-0.0034,,
37,2015-02-26,27.53,0.005,,
38,2015-02-27,27.04,-0.0179,,
39,2015-03-02,27.81,0.0279,,
40,2015-03-03,27.6,-0.0073,,
41,2015-03-04,27.53,-0.0027,,
42,2015-03-05,27.84,0.0113,,
43,2015-03-06,28.61,0.0271,,
44,2015-03-09,28.55,-0.0019,,
45,2015-03-10,27.93,-0.0219,,
46,2015-03-11,28.28,0.0121,,
47,2015-03-12,28.62,0.012,,
48,2015-03-13,27.96,-0.0231,,
49,2015-03-16,28.38,0.0147,,
50,2015-03-17,28.48,0.0036,0.26108,25.438716986026762
51,2015-03-18,27.44,-0.0373,0.264275,25.750026549265446
52,2015-03-19,27.11,-0.0118,0.265312,25.85106818215387
53,2015-03-20,27.66,0.0199,0.26520900000000003,25.841032224403143
54,2015-03-23,27.57,-0.0033,0.266886,26.00443320642232
55,2015-03-24,27.46,-0.004,0.267915,26.104695347446608
56,2015-03-25,26.92,-0.0197,0.268714,26.182547097377032
57,2015-03-26,27.45,0.0193,0.268161,26.128664722268738
58,2015-03-27,27.86,0.015,0.268373,26.1493212566683
59,2015-03-30,27.98,0.0043,0.266588,25.97539713448331
60,2015-03-31,28.05,0.0026,0.261839,25.512671276636514
61,2015-04-01,27.58,-0.0169,0.257916,25.130427953761597
62,2015-04-02,27.66,0.0027,0.25110499999999997,24.466788067934157
63,2015-04-06,27.62,-0.0013,0.24337299999999998,23.71340918124824
64,2015-04-07,27.44,-0.0067,0.240256,23.40969966368487
65,2015-04-08,27.81,0.0133,0.234058,22.805788341946727
66,2015-04-09,28.2,0.0142,0.22895700000000002,22.308764842078023
67,2015-04-10,28.29,0.0033,0.22053799999999998,21.48844709155956
68,2015-04-13,28.5,0.0071,0.202793,19.759436700426402
69,2015-04-14,28.06,-0.0153,0.187031,18.223642855115564
70,2015-04-15,28.14,0.0026,0.16175699999999998,15.7610331833489
71,2015-04-16,28.13,-0.0003,0.140471,13.687000205853247
72,2015-04-17,27.88,-0.0089,0.128779,12.547772846420793
73,2015-04-20,27.76,-0.0043,0.114197,11.12695405106978
