,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-03-26,20.7,,,
1,2015-03-27,21.07,0.0177,,
2,2015-03-30,22.07,0.0464,,
3,2015-03-31,21.93,-0.0064,,
4,2015-04-01,22.24,0.014,,
5,2015-04-02,23.07,0.0366,,
6,2015-04-06,22.48,-0.0259,,
7,2015-04-07,23.21,0.032,,
8,2015-04-08,23.72,0.0217,,
9,2015-04-09,24.28,0.0233,,
10,2015-04-10,24.13,-0.0062,,
11,2015-04-13,24.33,0.0083,,
12,2015-04-14,24.51,0.0074,,
13,2015-04-15,24.23,-0.0115,,
14,2015-04-16,25.45,0.0491,,
15,2015-04-17,24.75,-0.0279,,
16,2015-04-20,24.61,-0.0055,,
17,2015-04-21,23.68,-0.0387,,
18,2015-04-22,23.81,0.0055,,
19,2015-04-23,24.79,0.0403,,
20,2015-04-24,24.89,0.004,,
21,2015-04-27,25.44,0.0219,,
22,2015-04-28,26.6,0.0446,,
23,2015-04-29,25.74,-0.0329,,
24,2015-04-30,25.0,-0.0292,,
25,2015-05-01,26.77,0.0684,,
26,2015-05-04,28.61,0.0665,,
27,2015-05-05,27.53,-0.0385,,
28,2015-05-06,26.08,-0.0541,,
29,2015-05-07,26.39,0.0118,,
30,2015-05-08,31.1,0.1642,,
31,2015-05-11,33.96,0.088,,
32,2015-05-12,34.14,0.0053,,
33,2015-05-13,32.22,-0.0579,,
34,2015-05-14,34.21,0.0599,,
35,2015-05-15,37.35,0.0878,,
36,2015-05-18,37.23,-0.0032,,
37,2015-05-19,35.69,-0.0422,,
38,2015-05-20,35.85,0.0045,,
39,2015-05-21,35.42,-0.0121,,
40,2015-05-22,34.22,-0.0345,,
41,2015-05-26,35.98,0.0502,,
42,2015-05-27,36.69,0.0195,,
43,2015-05-28,37.92,0.033,,
44,2015-05-29,37.44,-0.0127,,
45,2015-06-01,40.0,0.0661,,
46,2015-06-02,37.45,-0.0659,,
47,2015-06-03,38.51,0.0279,,
48,2015-06-04,40.81,0.058,,
49,2015-06-05,39.38,-0.0357,,
50,2015-06-08,38.67,-0.0182,1.19304,60.748060800986885
51,2015-06-09,38.8,0.0034,1.196979,60.9486296096564
52,2015-06-10,38.35,-0.0117,1.199674,61.08585553993422
53,2015-06-11,38.6,0.0065,1.201487,61.17817116575749
54,2015-06-12,37.1,-0.0396,1.200505,61.12816899004958
55,2015-06-15,37.53,0.0115,1.1912,60.65437036992521
56,2015-06-16,38.91,0.0361,1.1851399999999999,60.34580297197209
57,2015-06-17,39.51,0.0153,1.17911,60.038763135394994
58,2015-06-18,39.2,-0.0079,1.176587,59.91029522367293
59,2015-06-19,42.2,0.0737,1.172046,59.679073350058225
60,2015-06-22,39.51,-0.0659,1.183194,60.24671515738188
61,2015-06-23,39.43,-0.002,1.17572,59.866148699906375
62,2015-06-24,39.56,0.0033,1.165976,59.369996764979774
63,2015-06-25,39.02,-0.0137,1.154761,58.79894340391638
64,2015-06-26,38.18,-0.0218,1.136788,57.88378138355149
65,2015-06-29,35.67,-0.068,1.120367,57.047645205038606
66,2015-06-30,36.35,0.0189,1.092459,55.62660577565323
67,2015-07-01,36.68,0.009,1.06203,54.077200271970845
68,2015-07-02,36.09,-0.0162,1.022072,52.04259035655658
69,2015-07-06,32.79,-0.0959,0.9783329999999999,49.81545678905308
70,2015-07-07,30.72,-0.0652,0.9401560000000001,47.871533100661026
71,2015-07-08,27.48,-0.1115,0.9059579999999999,46.130214969439805
72,2015-07-09,27.91,0.0155,0.891259,45.38176081390965
73,2015-07-10,31.89,0.1333,0.882533,44.93744412834218
74,2015-07-13,33.44,0.0475,0.848416,43.20025041283618
75,2015-07-14,32.5,-0.0285,0.8012630000000001,40.799280360743275
76,2015-07-15,32.08,-0.013,0.769119,39.162549265065906
77,2015-07-16,31.9,-0.0056,0.751113,38.245706927187406
78,2015-07-17,31.35,-0.0174,0.724628,36.89712482573721
79,2015-07-20,32.05,0.0221,0.685086,34.88369709473689
80,2015-07-21,30.18,-0.0601,0.642504,32.715476477634674
81,2015-07-22,29.27,-0.0306,0.6481659999999999,33.00377822799944
82,2015-07-23,29.11,-0.0055,0.670945,34.16365558080043
83,2015-07-24,29.44,0.0113,0.693967,35.33590618074705
84,2015-07-27,27.99,-0.0505,0.708468,36.07427843119558
85,2015-07-28,30.14,0.074,0.7376260000000001,37.55896625124787
86,2015-07-29,30.8,0.0217,0.7504089999999999,38.2098601535638
87,2015-07-30,31.33,0.0171,0.7590680000000001,38.65076528539153
88,2015-07-31,30.87,-0.0148,0.766568,39.032655629392906
89,2015-08-03,31.3,0.0138,0.775317,39.47814344534864
90,2015-08-04,29.72,-0.0518,0.782124,39.82474712156429
91,2015-08-05,30.75,0.0341,0.7950079999999999,40.48078381384612
92,2015-08-06,27.4,-0.1153,0.802513,40.862928751410166
93,2015-08-07,28.59,0.0425,0.8255800000000001,42.0374706934208
94,2015-08-10,27.83,-0.0269,0.836596,42.59839123069002
95,2015-08-11,28.0,0.0061,0.851421,43.353261143999404
96,2015-08-12,30.3,0.0789,0.85317,43.44231797222052
97,2015-08-13,27.26,-0.1057,0.853796,43.47419308626651
98,2015-08-14,27.28,0.0007,0.862646,43.924823692188134
99,2015-08-17,27.88,0.0218,0.8567659999999999,43.62542166249105
100,2015-08-18,26.88,-0.0365,0.853392,43.45362192640297
101,2015-08-19,25.09,-0.0689,0.8563230000000001,43.602864672838706
102,2015-08-20,24.6,-0.0197,0.8665229999999999,44.12223554068057
103,2015-08-21,22.44,-0.0919,0.878912,44.753067470258316
104,2015-08-24,23.2,0.0333,0.90205,45.93122464085883
105,2015-08-25,24.0,0.0339,0.922266,46.960597333436404
106,2015-08-26,23.89,-0.0046,0.93196,47.45420333273631
107,2015-08-27,25.52,0.066,0.931614,47.43658545819972
108,2015-08-28,25.41,-0.0043,0.9154340000000001,46.61272068940742
109,2015-08-31,25.12,-0.0115,0.898425,45.74664430792483
110,2015-09-01,24.86,-0.0104,0.852421,43.40417985653292
111,2015-09-02,25.41,0.0219,0.826319,42.075099621983064
112,2015-09-03,27.12,0.0651,0.7937069999999999,40.414538568840015
113,2015-09-04,26.54,-0.0216,0.749092,38.142800209157166
114,2015-09-08,27.05,0.019,0.705596,35.92803988879932
115,2015-09-09,26.84,-0.0078,0.6635179999999999,33.785482302813996
116,2015-09-10,27.95,0.0405,0.6401699999999999,32.59663220258144
117,2015-09-11,28.79,0.0296,0.606221,30.867992830781088
118,2015-09-14,27.56,-0.0437,0.564773,28.75751403369188
119,2015-09-15,28.42,0.0307,0.525332,26.749229092657448
120,2015-09-16,27.87,-0.0195,0.51093,26.015897794749737
121,2015-09-17,27.09,-0.0284,0.50653,25.791855459602264
122,2015-09-18,27.6,0.0187,0.507059,25.818791458532495
123,2015-09-21,25.9,-0.0636,0.507262,25.829127957176798
124,2015-09-22,25.19,-0.0278,0.50056,25.48787074577717
125,2015-09-23,24.3,-0.036,0.48409199999999997,24.649341387775213
126,2015-09-24,23.89,-0.017,0.47686100000000003,24.281148177445356
127,2015-09-25,24.54,0.0268,0.472779,24.07329799288354
128,2015-09-28,21.57,-0.129,0.46449399999999996,23.651436459543348
129,2015-09-29,22.58,0.0458,0.478103,24.34438921841198
130,2015-09-30,22.92,0.0149,0.47563099999999997,24.218518161029127
131,2015-10-01,21.76,-0.0519,0.480502,24.466543209779886
132,2015-10-02,22.7,0.0423,0.495608,25.235721281311193
133,2015-10-05,24.51,0.0767,0.5031490000000001,25.619699292526445
134,2015-10-06,24.37,-0.0057,0.50026,25.472595132017116
135,2015-10-07,24.65,0.0114,0.501954,25.55885143104889
136,2015-10-08,25.11,0.0185,0.493812,25.144271273600996
137,2015-10-09,24.22,-0.0361,0.47932400000000003,24.406560966415405
138,2015-10-12,23.8,-0.0175,0.461179,23.482640927494742
139,2015-10-13,22.57,-0.0531,0.44593499999999997,22.70643607363381
140,2015-10-14,22.13,-0.0197,0.430035,21.896828544350896
141,2015-10-15,23.69,0.0681,0.427078,21.746261911389286
142,2015-10-16,22.45,-0.0538,0.406051,20.675594142947027
143,2015-10-19,22.92,0.0207,0.41064900000000004,20.90971838317614
144,2015-10-20,22.45,-0.0207,0.406235,20.684963186053196
145,2015-10-21,21.36,-0.0498,0.40700000000000003,20.723916001141337
146,2015-10-22,21.58,0.0102,0.412041,20.980597231022795
147,2015-10-23,20.92,-0.0311,0.396025,20.16508313108599
148,2015-10-26,21.63,0.0334,0.404324,20.587657526401646
149,2015-10-27,19.84,-0.0861,0.40659,20.703039329002596
150,2015-10-28,20.53,0.0339,0.416393,21.20219546796866
151,2015-10-29,20.4,-0.0064,0.424132,21.596255384265547
152,2015-10-30,18.49,-0.0983,0.43661,22.231619079258767
153,2015-11-02,18.09,-0.0219,0.463208,23.585954995225247
154,2015-11-03,18.83,0.0401,0.489099,24.904291381430532
155,2015-11-04,17.18,-0.0917,0.508465,25.890383168354614
156,2015-11-05,22.01,0.2478,0.540248,27.508732608807378
157,2015-11-06,20.52,-0.0701,0.542404,27.618513353029645
158,2015-11-09,18.54,-0.1015,0.547153,27.860326318851314
159,2015-11-10,17.5,-0.0577,0.56211,28.621917502215126
160,2015-11-11,15.46,-0.1239,0.58333,29.702412582176354
161,2015-11-12,16.12,0.0418,0.619661,31.55234032723155
162,2015-11-13,17.01,0.0537,0.645146,32.85000371614823
163,2015-11-16,17.06,0.0029,0.65482,33.34259134119747
164,2015-11-17,16.12,-0.0567,0.664499,33.835433559809374
165,2015-11-18,16.91,0.0478,0.675617,34.40154780575702
166,2015-11-19,18.39,0.0839,0.6801600000000001,34.63287151679679
167,2015-11-20,18.27,-0.0065,0.6688259999999999,34.0557588289419
168,2015-11-23,18.71,0.0238,0.649396,33.06640824441567
169,2015-11-24,18.68,-0.0016,0.6346820000000001,32.31719030819751
170,2015-11-25,18.94,0.0138,0.6109899999999999,31.110824170853423
171,2015-11-27,19.08,0.0074,0.587958,29.938064383781466
172,2015-11-30,19.63,0.0284,0.568087,28.926258647027957
173,2015-12-01,19.74,0.0056,0.5400699999999999,27.499669077976414
174,2015-12-02,19.98,0.0121,0.523143,26.637768030921578
175,2015-12-03,18.8,-0.0609,0.509312,25.933511317870504
176,2015-12-04,18.88,0.0042,0.501923,25.55727295096035
177,2015-12-07,18.79,-0.0048,0.49554699999999996,25.232615239846645
178,2015-12-08,18.63,-0.0086,0.484715,24.681063745683595
179,2015-12-09,19.2,0.0301,0.485791,24.735852280369656
180,2015-12-10,19.56,0.0186,0.48259500000000005,24.57311607511254
181,2015-12-11,19.9,0.0172,0.477212,24.29902064554462
182,2015-12-14,20.97,0.0524,0.47525,24.199118131553856
183,2015-12-15,21.99,0.0475,0.470576,23.9611240691722
184,2015-12-16,25.75,0.1578,0.457745,23.307786068654647
185,2015-12-17,26.08,0.0127,0.46882599999999996,23.872016322238544
186,2015-12-18,26.95,0.0328,0.480653,24.474231935372448
187,2015-12-21,27.85,0.0328,0.497202,25.316885709089618
188,2015-12-22,27.68,-0.0061,0.528078,26.889051877274486
189,2015-12-23,27.92,0.0086,0.557282,28.37608195810331
190,2015-12-24,27.95,0.0011,0.591259,30.106147053854606
191,2015-12-28,27.6,-0.0126,0.623935,31.7699669045998
192,2015-12-29,27.53,-0.0025,0.647247,32.95698393118115
193,2015-12-30,28.63,0.0392,0.672154,34.22521630425345
194,2015-12-31,28.17,-0.0162,0.7031999999999999,35.80603865356901
195,2016-01-04,28.0,-0.0061,0.729607,37.15064909544159
196,2016-01-05,29.49,0.0518,0.754185,38.402129212090365
197,2016-01-06,29.13,-0.0123,0.787781,40.112794278366394
198,2016-01-07,27.66,-0.0518,0.8161849999999999,41.559089389168406
199,2016-01-08,26.71,-0.0349,0.833622,42.44695897961534
200,2016-01-11,26.12,-0.0223,0.8440219999999999,42.97651358996391
201,2016-01-12,25.14,-0.0382,0.85202,43.38376145280698
202,2016-01-13,24.25,-0.036,0.856033,43.588098246203984
203,2016-01-14,24.76,0.0208,0.8533499999999999,43.45148334047656
204,2016-01-15,24.96,0.008,0.849828,43.27214763493351
205,2016-01-19,24.0,-0.0392,0.848421,43.200505006398856
206,2016-01-20,24.19,0.0079,0.838203,42.68021760173138
207,2016-01-21,25.0,0.0329,0.839604,42.751554717990835
208,2016-01-22,25.72,0.0284,0.840864,42.815712295783065
209,2016-01-25,25.19,-0.0208,0.838128,42.676398698291365
210,2016-01-26,27.06,0.0716,0.828759,42.199341280564845
211,2016-01-27,27.3,0.0088,0.81147,41.319007659572875
212,2016-01-28,27.85,0.0199,0.7967759999999999,40.57080809760537
213,2016-01-29,28.27,0.015,0.7874070000000001,40.093750679878866
214,2016-02-01,28.57,0.0106,0.777756,39.60233418521789
215,2016-02-02,26.71,-0.0673,0.7601340000000001,38.70504463295226
216,2016-02-03,27.44,0.027,0.738521,37.604538498965354
