,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,81.49,,,
1,2015-01-05,81.25,-0.003,,
2,2015-01-06,81.0,-0.003,,
3,2015-01-07,82.39,0.0169,,
4,2015-01-08,84.64,0.027,,
5,2015-01-09,85.21,0.0067,,
6,2015-01-12,84.18,-0.0122,,
7,2015-01-13,83.57,-0.0073,,
8,2015-01-14,83.6,0.0003,,
9,2015-01-15,84.02,0.0051,,
10,2015-01-16,85.03,0.0119,,
11,2015-01-20,84.62,-0.0048,,
12,2015-01-21,84.84,0.0026,,
13,2015-01-22,86.05,0.0141,,
14,2015-01-23,85.08,-0.0112,,
15,2015-01-26,85.48,0.0047,,
16,2015-01-27,85.14,-0.004,,
17,2015-01-28,84.13,-0.0119,,
18,2015-01-29,85.35,0.0144,,
19,2015-01-30,84.23,-0.0132,,
20,2015-02-02,84.73,0.0058,,
21,2015-02-03,84.95,0.0026,,
22,2015-02-04,85.11,0.0019,,
23,2015-02-05,86.29,0.0138,,
24,2015-02-06,87.04,0.0086,,
25,2015-02-09,85.2,-0.0213,,
26,2015-02-10,86.96,0.0205,,
27,2015-02-11,86.31,-0.0076,,
28,2015-02-12,87.88,0.0181,,
29,2015-02-13,88.5,0.007,,
30,2015-02-17,88.84,0.0039,,
31,2015-02-18,89.44,0.0068,,
32,2015-02-19,89.04,-0.0045,,
33,2015-02-20,89.97,0.0104,,
34,2015-02-23,89.91,-0.0007,,
35,2015-02-24,90.24,0.0037,,
36,2015-02-25,89.35,-0.0099,,
37,2015-02-26,89.54,0.0022,,
38,2015-02-27,88.77,-0.0087,,
39,2015-03-02,90.54,0.0198,,
40,2015-03-03,88.99,-0.0172,,
41,2015-03-04,88.99,-0.0001,,
42,2015-03-05,90.0,0.0113,,
43,2015-03-06,89.15,-0.0095,,
44,2015-03-09,88.93,-0.0024,,
45,2015-03-10,87.6,-0.0151,,
46,2015-03-11,87.44,-0.0018,,
47,2015-03-12,88.78,0.0151,,
48,2015-03-13,88.78,0.0,,
49,2015-03-16,89.68,0.0101,,
50,2015-03-17,89.03,-0.0073,0.497174,63.929864207121774
51,2015-03-18,88.02,-0.0114,0.481338,61.89356840407499
52,2015-03-19,88.54,0.006,0.45826500000000003,58.9266921055338
53,2015-03-20,90.26,0.0192,0.43107500000000004,55.43042518934019
54,2015-03-23,89.59,-0.0074,0.420632,54.08759637706326
55,2015-03-24,88.97,-0.007,0.419821,53.9833127261242
56,2015-03-25,87.57,-0.0159,0.418451,53.80714922207178
57,2015-03-26,86.94,-0.0072,0.40934600000000004,52.6363691458694
58,2015-03-27,87.67,0.0084,0.395768,50.890421658260834
59,2015-03-30,88.47,0.009,0.381113,49.00598651089719
60,2015-03-31,88.55,0.0009,0.369197,47.473749785139084
61,2015-04-01,88.96,0.0046,0.36283,46.655039544042914
62,2015-04-02,88.5,-0.0052,0.354131,45.536465586559714
63,2015-04-06,89.29,0.0089,0.345054,44.369285932337974
64,2015-04-07,89.51,0.0025,0.34340899999999996,44.15776114097575
65,2015-04-08,90.46,0.0105,0.336809,43.30909024554075
66,2015-04-09,90.59,0.0014,0.33569200000000005,43.16545912581335
67,2015-04-10,90.46,-0.0014,0.33185400000000004,42.67194414146796
68,2015-04-13,90.2,-0.0029,0.317313,40.802167855025466
69,2015-04-14,90.32,0.0013,0.310033,39.866058140060794
70,2015-04-15,89.86,-0.005,0.291337,37.46200494899218
71,2015-04-16,88.33,-0.0172,0.27327100000000004,35.13896125248782
72,2015-04-17,87.81,-0.0059,0.253417,32.58600489522014
73,2015-04-20,87.74,-0.0008,0.234344,30.133474593912283
74,2015-04-21,87.9,0.0018,0.225903,29.04807595325063
75,2015-04-22,87.66,-0.0028,0.221988,28.544659808458505
76,2015-04-23,87.88,0.0026,0.20085899999999998,25.827755664572706
77,2015-04-24,87.96,0.0009,0.195738,25.16926420161473
78,2015-04-27,88.05,0.001,0.184076,23.669688446680937
79,2015-04-28,87.73,-0.0036,0.183395,23.582121040651963
80,2015-04-29,86.9,-0.0096,0.185953,23.91104530588268
81,2015-04-30,86.52,-0.0043,0.193933,24.937165570363184
82,2015-05-01,87.82,0.0149,0.203606,26.180982778172705
83,2015-05-04,87.16,-0.0075,0.20537,26.407809362952605
84,2015-05-05,85.57,-0.0184,0.207612,26.69610029440189
85,2015-05-06,86.49,0.0107,0.222276,28.581692720259305
86,2015-05-07,87.58,0.0126,0.22562000000000001,29.011685973946378
87,2015-05-08,89.39,0.0204,0.226274,29.095781544494024
88,2015-05-11,89.31,-0.0009,0.225809,29.03598882231565
89,2015-05-12,89.86,0.0061,0.22666,29.145415933227042
90,2015-05-13,89.82,-0.0004,0.22298500000000002,28.672860548268915
91,2015-05-14,90.88,0.0116,0.22531600000000002,28.972595678156644
92,2015-05-15,90.85,-0.0003,0.23353100000000002,30.028933769974607
93,2015-05-18,90.8,-0.0006,0.23837399999999997,30.651678186124865
94,2015-05-19,91.23,0.0048,0.245123,31.51950846995682
95,2015-05-20,89.74,-0.0164,0.25470400000000004,32.751495719829975
96,2015-05-21,89.67,-0.0008,0.254359,32.707133377568596
97,2015-05-22,89.38,-0.0033,0.252967,32.52814097053139
98,2015-05-26,89.34,-0.0004,0.25346399999999997,32.59204846068763
99,2015-05-27,90.39,0.0116,0.253878,32.64528327140128
100,2015-05-28,90.44,0.0006,0.256381,32.967135279170044
101,2015-05-29,89.9,-0.006,0.260008,33.43351851216138
102,2015-06-01,89.92,0.0002,0.260452,33.490610917854276
103,2015-06-02,89.38,-0.006,0.26171700000000003,33.65327283947932
104,2015-06-03,89.61,0.0026,0.259448,33.361510072548704
105,2015-06-04,88.04,-0.0177,0.25949,33.36691070551966
106,2015-06-05,87.47,-0.0065,0.260538,33.501669356794785
107,2015-06-08,86.82,-0.0074,0.260925,33.55143233202712
108,2015-06-09,86.78,-0.0005,0.261589,33.63681376756785
109,2015-06-10,88.13,0.0154,0.265745,34.171219258693284
110,2015-06-11,88.21,0.001,0.26628399999999997,34.24052738182047
