,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,115.13,,,
1,2015-01-05,111.93,-0.0282,,
2,2015-01-06,108.29,-0.0331,,
3,2015-01-07,110.24,0.0178,,
4,2015-01-08,113.28,0.0272,,
5,2015-01-09,109.87,-0.0306,,
6,2015-01-12,108.34,-0.014,,
7,2015-01-13,107.69,-0.006,,
8,2015-01-14,105.23,-0.0231,,
9,2015-01-15,103.02,-0.0212,,
10,2015-01-16,106.03,0.0288,,
11,2015-01-20,105.2,-0.0079,,
12,2015-01-21,104.67,-0.0051,,
13,2015-01-22,110.58,0.0549,,
14,2015-01-23,113.85,0.0291,,
15,2015-01-26,118.29,0.0383,,
16,2015-01-27,116.5,-0.0152,,
17,2015-01-28,111.45,-0.0443,,
18,2015-01-29,113.48,0.0181,,
19,2015-01-30,112.9,-0.0051,,
20,2015-02-02,116.78,0.0338,,
21,2015-02-03,119.18,0.0203,,
22,2015-02-04,118.94,-0.002,,
23,2015-02-05,122.61,0.0304,,
24,2015-02-06,125.25,0.0213,,
25,2015-02-09,123.04,-0.0178,,
26,2015-02-10,123.8,0.0062,,
27,2015-02-11,123.71,-0.0007,,
28,2015-02-12,125.1,0.0112,,
29,2015-02-13,126.13,0.0082,,
30,2015-02-17,126.55,0.0033,,
31,2015-02-18,123.15,-0.0272,,
32,2015-02-19,122.39,-0.0062,,
33,2015-02-20,123.08,0.0056,,
34,2015-02-23,122.68,-0.0033,,
35,2015-02-24,123.12,0.0036,,
36,2015-02-25,123.72,0.0049,,
37,2015-02-26,123.91,0.0015,,
38,2015-02-27,122.9,-0.0082,,
39,2015-03-02,125.06,0.0174,,
40,2015-03-03,124.77,-0.0023,,
41,2015-03-04,123.44,-0.0107,,
42,2015-03-05,124.27,0.0067,,
43,2015-03-06,126.77,0.0199,,
44,2015-03-09,126.94,0.0013,,
45,2015-03-10,123.56,-0.027,,
46,2015-03-11,123.73,0.0014,,
47,2015-03-12,126.73,0.024,,
48,2015-03-13,125.84,-0.007,,
49,2015-03-16,126.17,0.0026,,
50,2015-03-17,127.3,0.0089,1.411904,110.36204528823075
51,2015-03-18,124.84,-0.0195,1.4291820000000002,111.71258712286685
52,2015-03-19,123.7,-0.0092,1.426668,111.51607929949174
53,2015-03-20,125.88,0.0175,1.401942,109.58336154262102
54,2015-03-23,124.46,-0.0113,1.391164,108.74089482808763
55,2015-03-24,124.34,-0.001,1.386666,108.38930684497655
56,2015-03-25,121.39,-0.024,1.364951,106.69194511681803
57,2015-03-26,121.94,0.0045,1.326765,103.70712103431923
58,2015-03-27,121.73,-0.0017,1.281097,100.13746340588067
59,2015-03-30,126.88,0.0414,1.209518,94.54246201790652
60,2015-03-31,127.04,0.0013,1.114918,87.14801488533473
61,2015-04-01,124.84,-0.0175,1.041625,81.41903799645964
62,2015-04-02,125.89,0.0084,0.9386209999999999,73.36768881629659
63,2015-04-06,124.99,-0.0072,0.809893,63.30561280697629
64,2015-04-07,124.87,-0.001,0.7410859999999999,57.92728591637516
65,2015-04-08,124.71,-0.0013,0.6994840000000001,54.67544881691163
66,2015-04-09,125.08,0.003,0.687868,53.76747949458653
67,2015-04-10,126.33,0.0099,0.663803,51.88642906916011
68,2015-04-13,128.94,0.0204,0.580431,45.36962308251344
69,2015-04-14,128.13,-0.0063,0.524948,41.032772022719776
70,2015-04-15,129.56,0.0111,0.43865699999999996,34.28780122444545
71,2015-04-16,129.87,0.0024,0.40970999999999996,32.02514730112034
72,2015-04-17,127.0,-0.0223,0.406403,31.7666543130927
73,2015-04-20,128.32,0.0103,0.3771,29.47617350626658
74,2015-04-21,129.26,0.0073,0.382089,29.86614070229619
75,2015-04-22,129.9,0.0049,0.398454,31.145317523908627
76,2015-04-23,130.73,0.0064,0.414105,32.36868424771287
77,2015-04-24,128.76,-0.0152,0.43716700000000003,34.171334773837295
78,2015-04-27,127.84,-0.0072,0.44358800000000004,34.67323482709568
79,2015-04-28,130.79,0.0228,0.44775,34.9985592347676
80,2015-04-29,133.12,0.0177,0.469138,36.6703608761148
81,2015-04-30,132.76,-0.0027,0.509999,39.86427741188663
82,2015-05-01,129.81,-0.0225,0.537947,42.04884409752211
83,2015-05-04,131.59,0.0136,0.538157,42.06525883217159
84,2015-05-05,130.02,-0.012,0.550917,43.062649375634756
85,2015-05-06,130.76,0.0057,0.550446,43.02583347077808
86,2015-05-07,129.17,-0.0122,0.554492,43.34209069169125
87,2015-05-08,131.46,0.0176,0.552783,43.20850601780578
88,2015-05-11,133.72,0.017,0.5616340000000001,43.9003480005795
89,2015-05-12,134.07,0.0026,0.580243,45.354927986732
90,2015-05-13,136.11,0.0151,0.607091,47.45351272896549
91,2015-05-14,136.99,0.0064,0.648095,50.65860691737958
92,2015-05-15,132.75,-0.0314,0.686991,53.69892843607421
93,2015-05-18,135.24,0.0186,0.692917,54.1621366148017
94,2015-05-19,136.26,0.0075,0.7194750000000001,56.2380533901383
95,2015-05-20,135.69,-0.0042,0.7514730000000001,58.739189958299306
96,2015-05-21,134.92,-0.0057,0.7657689999999999,59.856642560912896
97,2015-05-22,134.56,-0.0027,0.772997,60.42162209446712
98,2015-05-26,133.17,-0.0104,0.786438,61.47224327743643
99,2015-05-27,135.2,0.0151,0.789939,61.745900353664055
100,2015-05-28,134.9,-0.0022,0.802791,62.75048211421176
101,2015-05-29,134.91,0.0001,0.815181,63.718951458530626
102,2015-06-01,133.3,-0.012,0.818566,63.9835413479995
103,2015-06-02,136.34,0.0225,0.807988,63.156707714084654
104,2015-06-03,139.49,0.0228,0.819539,64.05959628520873
105,2015-06-04,138.6,-0.0064,0.84399,65.97081855622893
106,2015-06-05,141.96,0.024,0.8567140000000001,66.96539514518078
107,2015-06-08,142.51,0.0039,0.8722289999999999,68.1781313741644
108,2015-06-09,144.53,0.0141,0.8898619999999999,69.55642192689841
109,2015-06-10,146.55,0.0139,0.91777,71.73786199641019
110,2015-06-11,145.1,-0.0099,0.9891589999999999,77.31801195779671
111,2015-06-12,145.05,-0.0003,1.037266,81.07831500437845
112,2015-06-15,143.46,-0.011,1.067528,83.44375643277048
113,2015-06-16,145.55,0.0145,1.085373,84.83861805096016
114,2015-06-17,142.07,-0.0242,1.108844,86.67323822694951
115,2015-06-18,141.61,-0.0032,1.103096,86.22394348997254
116,2015-06-19,142.44,0.0058,1.089925,85.19442696583825
117,2015-06-22,146.97,0.0313,1.079316,84.36517020442753
118,2015-06-23,148.69,0.0116,1.102154,86.1503116802592
119,2015-06-24,147.07,-0.011,1.1464,89.60881810549989
120,2015-06-25,146.8,-0.0018,1.168094,91.30453836019346
121,2015-06-26,147.87,0.0073,1.189853,93.00533936608808
122,2015-06-29,143.23,-0.0319,1.215883,95.0399848085917
123,2015-06-30,143.98,0.0052,1.198234,93.6604436094082
124,2015-07-01,146.7,0.0187,1.188007,92.8610460319789
125,2015-07-02,143.38,-0.0229,1.19295,93.24741761946623
126,2015-07-06,143.14,-0.0017,1.182839,92.4570872287957
127,2015-07-07,139.75,-0.024,1.173737,91.74562572984571
128,2015-07-08,137.96,-0.0129,1.144969,89.4969634136742
129,2015-07-09,140.78,0.0202,1.1072119999999999,86.54567228910217
130,2015-07-10,142.82,0.0144,1.087161,84.97837779168997
131,2015-07-13,145.13,0.016,1.080707,84.47389828012952
132,2015-07-14,147.13,0.0137,1.078882,84.33124641948528
133,2015-07-15,148.19,0.0072,1.0670279999999999,83.40467373122412
134,2015-07-16,148.54,0.0024,1.0681289999999999,83.49073384002921
135,2015-07-17,147.79,-0.0051,1.0568819999999999,82.61160755144533
136,2015-07-20,150.63,0.019,1.042054,81.45257095438642
137,2015-07-21,147.51,-0.0209,1.026808,80.26086121883472
138,2015-07-22,149.75,0.0151,1.005908,78.62720429419677
139,2015-07-23,148.79,-0.0064,1.007717,78.76860550839152
140,2015-07-24,143.44,-0.0366,1.002699,78.37637151567222
141,2015-07-27,137.9,-0.0394,0.9899,77.37593252148844
142,2015-07-28,138.85,0.0069,0.9866429999999999,77.12134780361542
143,2015-07-29,142.64,0.0269,0.9564149999999999,74.75856399892854
144,2015-07-30,144.56,0.0134,0.936273,73.18415644983487
145,2015-07-31,143.1,-0.0102,0.922,72.06850165149241
146,2015-08-03,143.38,0.002,0.901923,70.49917485359977
147,2015-08-04,145.24,0.0129,0.875539,68.43685885840131
148,2015-08-05,147.7,0.0168,0.846319,66.1528657800319
149,2015-08-06,145.44,-0.0154,0.8086579999999999,63.20907853415677
150,2015-08-07,145.75,0.0021,0.7774760000000001,60.77172493491943
151,2015-08-10,149.56,0.0258,0.7407680000000001,57.902429318191686
152,2015-08-11,146.37,-0.0216,0.713867,55.79970180959429
153,2015-08-12,137.77,-0.0606,0.6500499999999999,50.81142028042585
154,2015-08-13,138.55,0.0056,0.637817,49.855222904392555
155,2015-08-14,140.74,0.0157,0.6437560000000001,50.31944723336026
156,2015-08-17,141.56,0.0058,0.631766,49.38224405027848
157,2015-08-18,141.24,-0.0023,0.63305,49.482608427849534
158,2015-08-19,137.66,-0.0257,0.636912,49.78448321459364
159,2015-08-20,129.55,-0.0607,0.66283,51.81037413195089
160,2015-08-21,127.06,-0.0194,0.7705679999999999,60.23175833035488
