,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,68.36,,,
1,2015-01-05,66.51,-0.0275,,
2,2015-01-06,65.21,-0.0197,,
3,2015-01-07,65.2,-0.0001,,
4,2015-01-08,65.99,0.012,,
5,2015-01-09,64.81,-0.0181,,
6,2015-01-12,62.28,-0.0398,,
7,2015-01-13,62.06,-0.0035,,
8,2015-01-14,62.55,0.0078,,
9,2015-01-15,61.15,-0.0227,,
10,2015-01-16,64.9,0.0595,,
11,2015-01-20,64.22,-0.0105,,
12,2015-01-21,65.6,0.0213,,
13,2015-01-22,65.54,-0.0009,,
14,2015-01-23,65.43,-0.0017,,
15,2015-01-26,66.77,0.0203,,
16,2015-01-27,67.47,0.0103,,
17,2015-01-28,64.43,-0.046,,
18,2015-01-29,65.35,0.0141,,
19,2015-01-30,65.74,0.006,,
20,2015-02-02,67.54,0.0269,,
21,2015-02-03,69.49,0.0284,,
22,2015-02-04,67.47,-0.0295,,
23,2015-02-05,68.56,0.0161,,
24,2015-02-06,68.75,0.0028,,
25,2015-02-09,68.88,0.0019,,
26,2015-02-10,68.4,-0.007,,
27,2015-02-11,68.01,-0.0058,,
28,2015-02-12,68.99,0.0144,,
29,2015-02-13,70.93,0.0278,,
30,2015-02-17,71.34,0.0058,,
31,2015-02-18,70.42,-0.013,,
32,2015-02-19,69.81,-0.0087,,
33,2015-02-20,68.93,-0.0127,,
34,2015-02-23,68.66,-0.004,,
35,2015-02-24,68.47,-0.0027,,
36,2015-02-25,68.39,-0.0012,,
37,2015-02-26,67.33,-0.0156,,
38,2015-02-27,67.55,0.0032,,
39,2015-03-02,67.92,0.0055,,
40,2015-03-03,68.15,0.0034,,
41,2015-03-04,68.33,0.0027,,
42,2015-03-05,68.08,-0.0038,,
43,2015-03-06,66.7,-0.0204,,
44,2015-03-09,66.1,-0.0091,,
45,2015-03-10,65.26,-0.0128,,
46,2015-03-11,65.23,-0.0005,,
47,2015-03-12,64.96,-0.0041,,
48,2015-03-13,64.55,-0.0064,,
49,2015-03-16,65.22,0.0104,,
50,2015-03-17,64.59,-0.0098,0.435892,43.64614807729376
51,2015-03-18,65.85,0.0194,0.43749499999999997,43.806657504784745
52,2015-03-19,65.02,-0.0128,0.438048,43.862029752696486
53,2015-03-20,66.11,0.0166,0.438548,43.912095076305654
54,2015-03-23,65.81,-0.0045,0.436967,43.753788523053466
55,2015-03-24,65.69,-0.0018,0.437202,43.777319225149775
56,2015-03-25,66.85,0.0174,0.43502899999999994,43.55973532874433
57,2015-03-26,66.74,-0.0016,0.41761699999999996,41.816260499378714
58,2015-03-27,66.87,0.0018,0.396784,39.73023872587918
59,2015-03-30,67.8,0.0139,0.37838099999999997,37.88753442512019
60,2015-03-31,66.97,-0.0124,0.343164,34.36123342203215
61,2015-04-01,67.64,0.01,0.337761,33.82022753511149
62,2015-04-02,67.73,0.0013,0.328196,32.86247789446813
63,2015-04-06,68.95,0.0179,0.325427,32.58521613232057
64,2015-04-07,69.24,0.0042,0.32509,32.55147210420799
65,2015-04-08,69.12,-0.0017,0.324858,32.528241794053336
66,2015-04-09,70.99,0.0267,0.327656,32.808407344970234
67,2015-04-10,71.52,0.0074,0.341352,34.17979668927253
68,2015-04-13,70.65,-0.0123,0.347299,34.775273648279956
69,2015-04-14,71.27,0.0088,0.350526,35.098395246853514
70,2015-04-15,73.84,0.0354,0.358493,35.89613611324198
71,2015-04-16,73.75,-0.0012,0.392846,39.33592423713338
72,2015-04-17,74.53,0.0105,0.420759,42.130870992938725
73,2015-04-20,74.22,-0.0042,0.45488500000000004,45.54792945991157
74,2015-04-21,73.27,-0.0128,0.482772,48.340272818889225
75,2015-04-22,73.97,0.0095,0.500726,50.13801845904719
76,2015-04-23,74.68,0.0096,0.52251,52.31926447805136
77,2015-04-24,73.53,-0.0156,0.548242,54.89582629227351
78,2015-04-27,74.1,0.0078,0.563416,56.415208733164505
79,2015-04-28,74.37,0.0036,0.581553,58.231278281763416
80,2015-04-29,75.67,0.0173,0.597803,59.85840129906133
81,2015-04-30,75.93,0.0035,0.6217,62.25122337563785
82,2015-05-01,74.64,-0.0172,0.648186,64.90328369786262
83,2015-05-04,74.63,-0.0002,0.6648510000000001,66.57196093375616
84,2015-05-05,73.87,-0.0102,0.680532,68.14210961278684
85,2015-05-06,74.06,0.0025,0.691084,69.19868820223469
86,2015-05-07,72.42,-0.0224,0.701567,70.24835777702448
87,2015-05-08,74.19,0.0241,0.704977,70.589803284039
88,2015-05-11,73.66,-0.0072,0.712495,71.34258548982642
89,2015-05-12,74.22,0.0076,0.7173149999999999,71.82521520941879
90,2015-05-13,74.25,0.0004,0.724469,72.54154985961874
91,2015-05-14,73.98,-0.0037,0.731381,73.23365289319186
92,2015-05-15,73.95,-0.0003,0.7367959999999999,73.77586034787913
93,2015-05-18,74.44,0.0066,0.7408830000000001,74.18509430306048
94,2015-05-19,72.68,-0.0239,0.7417579999999999,74.2727086193765
95,2015-05-20,72.84,0.0021,0.733714,73.46725769315223
96,2015-05-21,73.86,0.014,0.7205410000000001,72.14823667734514
97,2015-05-22,73.86,-0.0001,0.708279,70.92043468115392
98,2015-05-26,72.83,-0.014,0.6924509999999999,69.33556679698214
99,2015-05-27,73.04,0.0029,0.6691819999999999,67.00562676685874
100,2015-05-28,72.76,-0.0039,0.648975,64.98228677851789
101,2015-05-29,72.85,0.0013,0.621139,62.195050082548356
102,2015-06-01,73.16,0.0042,0.600884,60.16690382314101
103,2015-06-02,73.85,0.0093,0.572044,57.27913595736428
104,2015-06-03,73.73,-0.0015,0.550913,55.16327525099368
105,2015-06-04,72.69,-0.0142,0.524353,52.50380526087474
106,2015-06-05,72.77,0.0011,0.492035,49.26778300407265
107,2015-06-08,72.13,-0.0089,0.46755899999999995,46.81698528275672
108,2015-06-09,72.52,0.0055,0.439726,44.03004897872885
109,2015-06-10,73.95,0.0195,0.40995,41.04855882715576
110,2015-06-11,73.18,-0.0105,0.38772100000000004,38.82275467013943
111,2015-06-12,72.76,-0.0058,0.351912,35.237176323898126
112,2015-06-15,72.17,-0.008,0.31958,31.99975223803497
113,2015-06-16,72.38,0.0029,0.28460599999999997,28.49778298222098
114,2015-06-17,72.37,-0.0002,0.260629,26.096950453867002
115,2015-06-18,71.53,-0.0117,0.23737200000000003,23.768211991510228
116,2015-06-19,69.91,-0.0229,0.213321,21.35996979526209
117,2015-06-22,70.19,0.004,0.224063,22.435573207681426
118,2015-06-23,71.02,0.0118,0.23478000000000002,23.508673353920305
119,2015-06-24,70.63,-0.0056,0.231795,23.20978337197358
120,2015-06-25,69.95,-0.0096,0.236674,23.698320799751826
121,2015-06-26,69.95,0.0,0.253058,25.338861323777003
122,2015-06-29,69.13,-0.0117,0.267757,26.810681707239286
123,2015-06-30,69.56,0.0062,0.286293,28.66670338407831
124,2015-07-01,68.03,-0.0222,0.299547,29.9938349823101
125,2015-07-02,67.8,-0.0034,0.327609,32.80370120455097
126,2015-07-06,67.38,-0.0062,0.353384,35.38456863660351
127,2015-07-07,67.95,0.0085,0.377614,37.81073421870373
128,2015-07-08,66.92,-0.0153,0.39681399999999994,39.733242645295725
129,2015-07-09,67.43,0.0076,0.421543,42.2093734203579
130,2015-07-10,67.76,0.0049,0.437939,43.85111551214969
131,2015-07-13,68.03,0.0039,0.44327300000000003,44.385212384412284
132,2015-07-14,68.83,0.0118,0.44294199999999995,44.352069140183005
133,2015-07-15,67.49,-0.0197,0.44372799999999996,44.43077182889662
134,2015-07-16,67.7,0.0031,0.451197,45.17864763297035
135,2015-07-17,67.56,-0.0021,0.45895400000000003,45.955361063442965
136,2015-07-20,67.41,-0.0023,0.465467,46.607511968775974
137,2015-07-21,68.03,0.0093,0.476586,47.72086463519662
138,2015-07-22,68.81,0.0113,0.47747799999999996,47.81018117251537
139,2015-07-23,69.42,0.0089,0.476422,47.70444320905281
140,2015-07-24,66.9,-0.0369,0.470207,47.08213123659087
141,2015-07-27,65.98,-0.0138,0.47366199999999997,47.42808262273021
142,2015-07-28,66.58,0.009,0.48288600000000004,48.351687712672124
143,2015-07-29,67.7,0.0167,0.48629399999999995,48.69293295839219
144,2015-07-30,67.41,-0.0044,0.47958100000000004,48.02075592361553
145,2015-07-31,66.84,-0.0084,0.48172600000000004,48.23553616189886
146,2015-08-03,66.24,-0.009,0.485011,48.56446533801108
147,2015-08-04,66.4,0.0023,0.485062,48.56957200101921
