,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,83.33,,,
1,2015-01-05,81.55,-0.0216,,
2,2015-01-06,80.73,-0.0101,,
3,2015-01-07,82.12,0.0171,,
4,2015-01-08,83.68,0.0188,,
5,2015-01-09,82.1,-0.0191,,
6,2015-01-12,81.58,-0.0064,,
7,2015-01-13,81.11,-0.0058,,
8,2015-01-14,81.22,0.0013,,
9,2015-01-15,79.6,-0.0201,,
10,2015-01-16,79.69,0.0011,,
11,2015-01-20,79.67,-0.0002,,
12,2015-01-21,80.22,0.0068,,
13,2015-01-22,81.46,0.0154,,
14,2015-01-23,81.04,-0.0051,,
15,2015-01-26,81.12,0.001,,
16,2015-01-27,79.23,-0.0236,,
17,2015-01-28,78.54,-0.0087,,
18,2015-01-29,82.93,0.0544,,
19,2015-01-30,81.27,-0.0203,,
20,2015-02-02,82.91,0.02,,
21,2015-02-03,83.72,0.0098,,
22,2015-02-04,83.03,-0.0083,,
23,2015-02-05,83.45,0.005,,
24,2015-02-06,83.59,0.0017,,
25,2015-02-09,82.79,-0.0096,,
26,2015-02-10,84.01,0.0147,,
27,2015-02-11,83.79,-0.0026,,
28,2015-02-12,84.42,0.0074,,
29,2015-02-13,85.22,0.0094,,
30,2015-02-17,85.32,0.0012,,
31,2015-02-18,85.52,0.0023,,
32,2015-02-19,85.29,-0.0027,,
33,2015-02-20,85.86,0.0067,,
34,2015-02-23,85.64,-0.0025,,
35,2015-02-24,86.93,0.0149,,
36,2015-02-25,86.02,-0.0104,,
37,2015-02-26,85.6,-0.005,,
38,2015-02-27,85.34,-0.003,,
39,2015-03-02,86.3,0.0112,,
40,2015-03-03,85.83,-0.0055,,
41,2015-03-04,84.9,-0.0108,,
42,2015-03-05,85.16,0.0031,,
43,2015-03-06,83.47,-0.0201,,
44,2015-03-09,84.83,0.0162,,
45,2015-03-10,83.77,-0.0126,,
46,2015-03-11,83.01,-0.0091,,
47,2015-03-12,84.16,0.0138,,
48,2015-03-13,83.91,-0.003,,
49,2015-03-16,82.9,-0.0121,,
50,2015-03-17,82.42,-0.0058,0.40192500000000003,47.797319339443895
51,2015-03-18,84.32,0.0228,0.402427,47.85701767696557
52,2015-03-19,83.64,-0.0081,0.401117,47.70123117865202
53,2015-03-20,84.03,0.0047,0.39535400000000004,47.01588950706351
54,2015-03-23,83.74,-0.0034,0.39457000000000003,46.92265545005754
55,2015-03-24,83.76,0.0002,0.39461599999999997,46.92812581564717
56,2015-03-25,82.87,-0.0107,0.39336799999999994,46.77971241878053
57,2015-03-26,82.76,-0.0014,0.390593,46.449706668536194
58,2015-03-27,83.24,0.0058,0.38600999999999996,45.90469176642094
59,2015-03-30,83.93,0.0083,0.381313,45.346119871322685
60,2015-03-31,83.19,-0.0089,0.366473,43.5813323637097
61,2015-04-01,83.35,0.0019,0.351013,41.742813841627715
62,2015-04-02,83.41,0.0007,0.33399900000000005,39.7194920994089
63,2015-04-06,84.31,0.0107,0.320246,38.08397170909883
64,2015-04-07,83.89,-0.005,0.31434,37.381624335786015
65,2015-04-08,84.39,0.0059,0.305044,36.276134802715234
66,2015-04-09,84.09,-0.0035,0.295886,35.18705636641337
67,2015-04-10,84.19,0.0011,0.266165,31.65260559055317
68,2015-04-13,83.71,-0.0057,0.219299,26.079254422642794
69,2015-04-14,83.69,-0.0002,0.21715099999999998,25.823812133805014
70,2015-04-15,84.61,0.011,0.202644,24.098625316221355
71,2015-04-16,84.77,0.0019,0.19982,23.76279243741414
72,2015-04-17,83.97,-0.0095,0.199865,23.768143882012694
73,2015-04-20,84.94,0.0115,0.1972,23.45121944078705
74,2015-04-21,84.69,-0.0029,0.1967,23.39175894524753
75,2015-04-22,85.59,0.0106,0.19599799999999998,23.30827640951004
76,2015-04-23,87.04,0.0168,0.194325,23.109321591434806
77,2015-04-24,87.06,0.0002,0.206934,24.608796367950443
78,2015-04-27,86.99,-0.0008,0.21790400000000001,25.913359640087535
79,2015-04-28,87.0,0.0002,0.22801200000000002,27.11541301791449
80,2015-04-29,86.93,-0.0009,0.236847,28.166079974097823
81,2015-04-30,86.11,-0.0095,0.244405,29.06488482467322
82,2015-05-01,86.63,0.0061,0.24651700000000001,29.31604595783216
83,2015-05-04,87.72,0.0125,0.251795,29.943710948747338
84,2015-05-05,87.89,0.0019,0.263175,31.297031827226835
85,2015-05-06,88.95,0.012,0.275869,32.80661488798419
86,2015-05-07,89.31,0.004,0.292724,34.81102819262144
87,2015-05-08,90.15,0.0093,0.315668,37.53955141193898
88,2015-05-11,90.28,0.0015,0.346177,41.16771192876947
89,2015-05-12,90.23,-0.0005,0.37496,44.59061481499753
90,2015-05-13,90.41,0.0019,0.399122,47.46398380144934
91,2015-05-14,90.76,0.0039,0.423648,50.38064002865392
92,2015-05-15,90.77,0.0001,0.44935400000000003,53.437623025331774
93,2015-05-18,90.08,-0.0076,0.472824,56.22869868595688
94,2015-05-19,90.43,0.0039,0.48594499999999996,57.789061009904984
95,2015-05-20,90.46,0.0003,0.502903,59.805723176623374
96,2015-05-21,90.63,0.0018,0.51628,61.396529274287715
97,2015-05-22,90.38,-0.0027,0.526378,62.59739344220389
98,2015-05-26,89.34,-0.0116,0.537211,63.88566453856315
99,2015-05-27,90.25,0.0101,0.540824,64.31532607933173
100,2015-05-28,90.15,-0.0011,0.543864,64.67684589221201
101,2015-05-29,89.37,-0.0087,0.5424,64.50274556127229
102,2015-06-01,90.17,0.0089,0.544425,64.74356056820736
103,2015-06-02,90.67,0.0055,0.546525,64.99329464947334
104,2015-06-03,91.08,0.0045,0.551477,65.58219139729675
105,2015-06-04,90.38,-0.0077,0.556139,66.13660105770725
106,2015-06-05,90.75,0.0042,0.556057,66.12684953643877
107,2015-06-08,90.88,0.0014,0.551702,65.60894862028954
108,2015-06-09,91.17,0.0032,0.545461,64.86676271496523
109,2015-06-10,93.29,0.023,0.541744,64.42473339112445
110,2015-06-11,93.64,0.0038,0.553138,65.77971916347904
111,2015-06-12,93.19,-0.0048,0.560153,66.61394991589853
112,2015-06-15,92.67,-0.0056,0.562161,66.85274326598524
113,2015-06-16,92.75,0.0009,0.558893,66.46410946713893
114,2015-06-17,92.6,-0.0017,0.5594129999999999,66.52594838250002
115,2015-06-18,93.44,0.009,0.554598,65.95334381045446
116,2015-06-19,93.7,0.0028,0.55555,66.06655659396169
117,2015-06-22,94.08,0.004,0.553937,65.8747370353512
118,2015-06-23,94.11,0.0004,0.552825,65.74249689327131
119,2015-06-24,93.26,-0.0091,0.545644,64.88852525633271
120,2015-06-25,92.68,-0.0062,0.5305019999999999,63.087823609413846
121,2015-06-26,93.29,0.0065,0.517355,61.52436933969769
122,2015-06-29,92.06,-0.0132,0.505811,60.15154541868123
123,2015-06-30,92.28,0.0024,0.47998199999999996,57.07993514010066
124,2015-07-01,94.26,0.0212,0.460527,54.7663272586579
125,2015-07-02,94.45,0.002,0.445212,52.945052280282376
126,2015-07-06,94.16,-0.0031,0.43599200000000005,51.84860074253361
127,2015-07-07,94.39,0.0025,0.4336,51.56414173187254
128,2015-07-08,93.11,-0.0137,0.430899,51.24293613496805
129,2015-07-09,92.79,-0.0035,0.419923,49.93765933688449
130,2015-07-10,93.53,0.0079,0.406411,48.33079890542447
131,2015-07-13,94.33,0.0086,0.39299799999999996,46.73571165208128
132,2015-07-14,94.34,0.0001,0.373072,44.3660919838403
133,2015-07-15,93.98,-0.0038,0.355106,42.22955745811423
134,2015-07-16,94.01,0.0003,0.342904,40.77848352496776
135,2015-07-17,94.13,0.0013,0.33015500000000003,39.26235980970106
136,2015-07-20,94.61,0.0051,0.32472999999999996,38.617213433097255
137,2015-07-21,93.64,-0.0103,0.32295900000000005,38.40660435789628
138,2015-07-22,93.55,-0.0009,0.320523,38.11691282362773
139,2015-07-23,93.25,-0.0032,0.31787,37.80141543429503
140,2015-07-24,92.19,-0.0114,0.31372900000000004,37.308963610236724
141,2015-07-27,91.79,-0.0044,0.309151,36.764543313076864
142,2015-07-28,93.1,0.0141,0.306366,36.43334835292173
143,2015-07-29,94.85,0.0187,0.303535,36.096683027176965
144,2015-07-30,91.64,-0.0344,0.303093,36.04411994912003
145,2015-07-31,92.5,0.0093,0.29852900000000004,35.50136454583529
146,2015-08-03,90.96,-0.0167,0.292786,34.818401294068344
147,2015-08-04,91.17,0.0022,0.291204,34.630268286181305
148,2015-08-05,92.32,0.0125,0.287447,34.18348212269734
149,2015-08-06,92.24,-0.0008,0.272903,32.453895228443756
150,2015-08-07,91.8,-0.0049,0.26476900000000003,31.48659188700683
151,2015-08-10,92.94,0.0123,0.25640799999999997,30.492293480594956
152,2015-08-11,92.09,-0.0092,0.238643,28.37966207407578
153,2015-08-12,91.8,-0.0031,0.228003,27.114342728994778
154,2015-08-13,91.63,-0.0018,0.221782,26.37453524349206
155,2015-08-14,92.43,0.0087,0.218878,26.02918868539852
156,2015-08-17,92.72,0.0031,0.207901,24.723792966323877
157,2015-08-18,92.81,0.001,0.19898700000000002,23.663731251845302
158,2015-08-19,92.74,-0.0009,0.19031800000000001,22.632805180181087
159,2015-08-20,91.68,-0.0114,0.183444,21.81534228750375
160,2015-08-21,88.69,-0.0332,0.18708,22.247739011067146
161,2015-08-24,84.74,-0.0456,0.21998,26.160239617567626
162,2015-08-25,83.0,-0.0207,0.311946,37.096927483142785
163,2015-08-26,85.79,0.033,0.40854300000000005,48.58433845840499
164,2015-08-27,88.33,0.0291,0.447674,53.23783576031898
165,2015-08-28,88.12,-0.0023,0.461181,54.8441015868236
166,2015-08-31,89.02,0.0101,0.473996,56.36807408750151
167,2015-09-01,86.25,-0.0316,0.480102,57.094205659030145
168,2015-09-02,87.38,0.013,0.5027349999999999,59.78574445012209
169,2015-09-03,87.55,0.002,0.5143719999999999,61.1696280233089
170,2015-09-04,86.23,-0.0152,0.525756,62.52342458575272
171,2015-09-08,88.43,0.0251,0.545687,64.8936388589491
172,2015-09-09,87.38,-0.0119,0.550364,65.44983233422577
173,2015-09-10,87.06,-0.0036,0.561354,66.75677402618446
174,2015-09-11,88.07,0.0116,0.573016,68.14363062414823
175,2015-09-14,87.31,-0.0087,0.573728,68.22830236979652
176,2015-09-15,89.28,0.0224,0.576011,68.49979899242997
177,2015-09-16,89.68,0.0044,0.571477,67.9606112188776
178,2015-09-17,89.02,-0.0074,0.564495,67.13030485916372
179,2015-09-18,88.45,-0.0064,0.563161,66.97166425706429
180,2015-09-21,88.8,0.004,0.563813,67.04920074324782
181,2015-09-22,87.4,-0.0159,0.560551,66.66128047034799
182,2015-09-23,86.99,-0.0048,0.557409,66.28763071637763
183,2015-09-24,86.64,-0.004,0.5546479999999999,65.95928986000838
184,2015-09-25,86.72,0.0009,0.553903,65.87069372165452
185,2015-09-28,85.23,-0.0173,0.551207,65.55008272970542
186,2015-09-29,83.68,-0.0184,0.554173,65.90280238924586
187,2015-09-30,85.52,0.0217,0.562688,66.9154146282839
188,2015-10-01,85.2,-0.0037,0.562289,66.86796515284337
189,2015-10-02,85.94,0.0087,0.562298,66.86903544176306
190,2015-10-05,87.99,0.0236,0.558631,66.43295216747622
191,2015-10-06,88.07,0.0009,0.553064,65.7709190101392
192,2015-10-07,88.57,0.0056,0.548509,65.22923389577416
193,2015-10-08,89.71,0.0129,0.536766,63.832744697532966
194,2015-10-09,89.55,-0.0019,0.51169,60.850681925234916
195,2015-10-12,89.51,-0.0004,0.506111,60.18722171600494
196,2015-10-13,88.46,-0.0118,0.495968,58.98100610349022
197,2015-10-14,86.79,-0.019,0.49202100000000004,58.51162495170125
198,2015-10-15,87.06,0.003,0.489487,58.21027916030695
199,2015-10-16,86.86,-0.0022,0.47991799999999996,57.072324196671595
200,2015-10-19,86.63,-0.0027,0.47014,55.90951474590073
201,2015-10-20,86.94,0.0037,0.462526,55.004050319824906
202,2015-10-21,86.55,-0.0046,0.445192,52.94267386046079
203,2015-10-22,93.0,0.0719,0.43341500000000005,51.542141348522925
204,2015-10-23,93.51,0.0055,0.44238500000000003,52.608862638501925
205,2015-10-26,93.63,0.0012,0.456488,54.286005375689655
206,2015-10-27,93.42,-0.0022,0.46606400000000003,55.42479278626256
207,2015-10-28,94.47,0.0112,0.471644,56.08837191648361
208,2015-10-29,93.87,-0.0064,0.485896,57.78323388134211
209,2015-10-30,93.45,-0.0045,0.49481,58.8432955958207
210,2015-11-02,94.62,0.0125,0.506348,60.21540599089068
211,2015-11-03,94.75,0.0013,0.535194,63.64580089955671
212,2015-11-04,94.6,-0.0016,0.553352,65.80516825556995
213,2015-11-05,94.45,-0.0016,0.5559449999999999,66.11353038543791
214,2015-11-06,94.79,0.0036,0.570635,67.86047974438904
215,2015-11-09,93.96,-0.0088,0.591939,70.39397253833695
216,2015-11-10,94.25,0.003,0.605974,72.06302864813131
217,2015-11-11,94.4,0.0017,0.621268,73.88180628569417
218,2015-11-12,92.64,-0.0189,0.630687,75.00192310066767
219,2015-11-13,92.09,-0.0059,0.633904,75.38449192896894
220,2015-11-16,93.2,0.0119,0.63516,75.5338566937642
221,2015-11-17,92.69,-0.0054,0.635243,75.54372713602378
222,2015-11-18,94.35,0.0177,0.638958,75.98551861788242
223,2015-11-19,94.65,0.0032,0.646525,76.88539375737753
224,2015-11-20,94.99,0.0035,0.653327,77.69429433869716
225,2015-11-23,95.22,0.0025,0.663582,78.91382910221274
226,2015-11-24,94.77,-0.0047,0.67152,79.85782392939818
227,2015-11-25,95.49,0.0075,0.680761,80.9567728079596
228,2015-11-27,96.17,0.0071,0.693171,82.43258230725051
229,2015-11-30,96.26,0.0009,0.7072350000000001,84.10508712578617
230,2015-12-01,97.13,0.009,0.719143,85.52119828755538
