,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,65.67,,,
1,2015-01-05,64.6,-0.0164,,
2,2015-01-06,62.54,-0.0324,,
3,2015-01-07,63.57,0.0163,,
4,2015-01-08,66.46,0.0444,,
5,2015-01-09,66.35,-0.0016,,
6,2015-01-12,64.77,-0.024,,
7,2015-01-13,65.24,0.0072,,
8,2015-01-14,64.13,-0.0172,,
9,2015-01-15,63.89,-0.0038,,
10,2015-01-16,66.14,0.0347,,
11,2015-01-20,67.68,0.0229,,
12,2015-01-21,69.23,0.0228,,
13,2015-01-22,71.05,0.0259,,
14,2015-01-23,72.42,0.0191,,
15,2015-01-26,73.87,0.0198,,
16,2015-01-27,73.01,-0.0117,,
17,2015-01-28,73.29,0.0038,,
18,2015-01-29,75.4,0.0284,,
19,2015-01-30,74.38,-0.0136,,
20,2015-02-02,73.46,-0.0125,,
21,2015-02-03,73.8,0.0046,,
22,2015-02-04,73.83,0.0004,,
23,2015-02-05,73.02,-0.011,,
24,2015-02-06,73.06,0.0005,,
25,2015-02-09,70.94,-0.0294,,
26,2015-02-10,73.24,0.0319,,
27,2015-02-11,73.88,0.0088,,
28,2015-02-12,73.94,0.0007,,
29,2015-02-13,73.43,-0.0069,,
30,2015-02-17,74.22,0.0108,,
31,2015-02-18,74.06,-0.0022,,
32,2015-02-19,74.51,0.006,,
33,2015-02-20,75.62,0.0148,,
34,2015-02-23,77.16,0.0201,,
35,2015-02-24,79.1,0.0249,,
36,2015-02-25,78.7,-0.0051,,
37,2015-02-26,79.46,0.0096,,
38,2015-02-27,78.72,-0.0094,,
39,2015-03-02,81.75,0.0378,,
40,2015-03-03,79.61,-0.0266,,
41,2015-03-04,80.88,0.0159,,
42,2015-03-05,82.13,0.0153,,
43,2015-03-06,81.41,-0.0088,,
44,2015-03-09,82.64,0.015,,
45,2015-03-10,81.81,-0.01,,
46,2015-03-11,82.71,0.0109,,
47,2015-03-12,83.3,0.0071,,
48,2015-03-13,83.36,0.0006,,
49,2015-03-16,86.82,0.0407,,
50,2015-03-17,87.29,0.0055,1.204793,109.16306856619815
51,2015-03-18,87.12,-0.002,1.2362009999999999,112.00886336873032
52,2015-03-19,89.32,0.0249,1.253987,113.62040521659829
53,2015-03-20,91.55,0.0246,1.268159,114.90449219894312
54,2015-03-23,91.29,-0.0028,1.3002189999999998,117.80936297610756
55,2015-03-24,91.02,-0.003,1.3388999999999998,121.31414483922356
56,2015-03-25,85.73,-0.0598,1.3671010000000001,123.86936195671626
57,2015-03-26,83.46,-0.0268,1.3462729999999998,121.98219263211294
58,2015-03-27,88.66,0.0604,1.314605,119.11283992558631
59,2015-03-30,89.82,0.0131,1.2937379999999998,117.22213691538383
60,2015-03-31,88.17,-0.0185,1.270655,115.13064807729005
61,2015-04-01,86.87,-0.0149,1.248398,113.1140008880402
62,2015-04-02,86.58,-0.0034,1.225214,111.01336071031778
63,2015-04-06,85.64,-0.0108,1.2067350000000001,109.33902798757225
64,2015-04-07,86.82,0.0136,1.192089,108.01199313409903
65,2015-04-08,87.44,0.0071,1.186379,107.49462531945122
66,2015-04-09,89.56,0.024,1.187419,107.5888569354291
67,2015-04-10,89.38,-0.002,1.192124,108.01516439040599
68,2015-04-13,88.43,-0.0107,1.1939,108.17608299615283
69,2015-04-14,85.8,-0.0303,1.1976900000000001,108.5194847505338
70,2015-04-15,86.33,0.0062,1.186231,107.48121543563897
71,2015-04-16,85.83,-0.0057,1.169586,105.97305654337751
72,2015-04-17,84.58,-0.0147,1.151275,104.31394585090531
73,2015-04-20,85.16,0.0069,1.128709,102.26930099883128
74,2015-04-21,85.6,0.0051,1.099869,99.65618580190603
75,2015-04-22,86.86,0.0147,1.069173,96.87490341338949
76,2015-04-23,85.96,-0.0105,1.020655,92.47881731337498
77,2015-04-24,83.78,-0.0257,0.9841150000000001,89.16802572892115
78,2015-04-27,84.82,0.0123,0.947027,85.8075813314328
79,2015-04-28,84.82,0.0,0.9075230000000001,82.22822964144201
80,2015-04-29,83.96,-0.0102,0.8595189999999999,77.87871570547809
81,2015-04-30,82.76,-0.0144,0.814117,73.764962024105
82,2015-05-01,88.18,0.0635,0.764008,69.22471967310892
83,2015-05-04,88.91,0.0082,0.717371,64.99906594776209
84,2015-05-05,84.89,-0.0463,0.678488,61.47598140538884
85,2015-05-06,84.84,-0.0006,0.64189,58.159934596197786
86,2015-05-07,87.08,0.0261,0.618977,56.083849003023445
87,2015-05-08,87.65,0.0066,0.592132,53.65149541559425
88,2015-05-11,87.16,-0.0056,0.570064,51.65197301040194
89,2015-05-12,86.94,-0.0025,0.537274,48.68095888740684
90,2015-05-13,86.82,-0.0014,0.525514,47.61541676827227
91,2015-05-14,88.46,0.0188,0.49526000000000003,44.87418281654632
92,2015-05-15,87.64,-0.0094,0.477098,43.22857261520942
93,2015-05-18,92.55,0.0546,0.464159,42.05620446219223
94,2015-05-19,93.41,0.0093,0.472091,42.77490174866973
95,2015-05-20,93.19,-0.0024,0.493272,44.69405545831167
96,2015-05-21,93.32,0.0014,0.502252,45.507709219351504
97,2015-05-22,94.04,0.0077,0.5150520000000001,46.667482954463956
98,2015-05-26,93.17,-0.0093,0.5343439999999999,48.41547943085374
