,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,32.86,,,
1,2015-01-05,32.54,-0.0098,,
2,2015-01-06,32.36,-0.0053,,
3,2015-01-07,33.31,0.0289,,
4,2015-01-08,33.91,0.0179,,
5,2015-01-09,34.01,0.0029,,
6,2015-01-12,33.7,-0.0093,,
7,2015-01-13,33.6,-0.0029,,
8,2015-01-14,33.2,-0.0118,,
9,2015-01-15,33.2,-0.0002,,
10,2015-01-16,33.0,-0.006,,
11,2015-01-20,32.62,-0.0116,,
12,2015-01-21,33.22,0.0183,,
13,2015-01-22,33.55,0.0099,,
14,2015-01-23,33.79,0.0071,,
15,2015-01-26,33.75,-0.0012,,
16,2015-01-27,33.56,-0.0056,,
17,2015-01-28,33.06,-0.0149,,
18,2015-01-29,32.9,-0.005,,
19,2015-01-30,32.3,-0.0185,,
20,2015-02-02,31.69,-0.0191,,
21,2015-02-03,32.6,0.0285,,
22,2015-02-04,32.87,0.0081,,
23,2015-02-05,32.87,0.0003,,
24,2015-02-06,33.19,0.0095,,
25,2015-02-09,33.06,-0.0037,,
26,2015-02-10,32.82,-0.0075,,
27,2015-02-11,32.09,-0.0224,,
28,2015-02-12,32.7,0.0188,,
29,2015-02-13,32.6,-0.003,,
30,2015-02-17,32.63,0.0008,,
31,2015-02-18,32.91,0.0086,,
32,2015-02-19,31.79,-0.0344,,
33,2015-02-20,32.7,0.0281,,
34,2015-02-23,32.65,-0.0015,,
35,2015-02-24,32.6,-0.0015,,
36,2015-02-25,32.54,-0.0018,,
37,2015-02-26,32.27,-0.0084,,
38,2015-02-27,32.15,-0.0038,,
39,2015-03-02,32.13,-0.0005,,
40,2015-03-03,32.07,-0.0018,,
41,2015-03-04,32.0,-0.0023,,
42,2015-03-05,32.26,0.008,,
43,2015-03-06,31.87,-0.0121,,
44,2015-03-09,32.11,0.0075,,
45,2015-03-10,31.7,-0.0127,,
46,2015-03-11,31.66,-0.0013,,
47,2015-03-12,31.99,0.0104,,
48,2015-03-13,31.8,-0.0059,,
49,2015-03-16,31.92,0.0036,,
50,2015-03-17,31.78,-0.0044,0.12256500000000001,
51,2015-03-18,31.79,0.0003,0.124941,
52,2015-03-19,31.5,-0.0091,0.127174,
53,2015-03-20,31.84,0.0109,0.130766,
54,2015-03-23,31.88,0.001,0.131165,
55,2015-03-24,31.53,-0.0109,0.12759299999999998,
56,2015-03-25,31.33,-0.0063,0.12427300000000001,
57,2015-03-26,31.23,-0.0032,0.124002,
