,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,85.95,,,
1,2015-01-05,84.92,-0.0121,,
2,2015-01-06,84.17,-0.0088,,
3,2015-01-07,85.31,0.0134,,
4,2015-01-08,86.02,0.0082,,
5,2015-01-09,86.27,0.0029,,
6,2015-01-12,86.02,-0.0028,,
7,2015-01-13,86.94,0.0105,,
8,2015-01-14,87.49,0.0064,,
9,2015-01-15,86.09,-0.0161,,
10,2015-01-16,87.47,0.0159,,
11,2015-01-20,87.73,0.0029,,
12,2015-01-21,87.46,-0.003,,
13,2015-01-22,88.04,0.0065,,
14,2015-01-23,87.79,-0.0028,,
15,2015-01-26,87.84,0.0005,,
16,2015-01-27,87.56,-0.0032,,
17,2015-01-28,87.51,-0.0005,,
18,2015-01-29,88.57,0.0121,,
19,2015-01-30,87.43,-0.0129,,
20,2015-02-02,87.47,0.0004,,
21,2015-02-03,84.83,-0.0307,,
22,2015-02-04,84.65,-0.0021,,
23,2015-02-05,85.77,0.0131,,
24,2015-02-06,84.63,-0.0133,,
25,2015-02-09,84.39,-0.0029,,
26,2015-02-10,86.01,0.019,,
27,2015-02-11,86.18,0.002,,
28,2015-02-12,87.51,0.0154,,
29,2015-02-13,89.24,0.0195,,
30,2015-02-17,90.39,0.0128,,
31,2015-02-18,90.57,0.002,,
32,2015-02-19,90.22,-0.0039,,
33,2015-02-20,90.89,0.0074,,
34,2015-02-23,92.14,0.0136,,
35,2015-02-24,91.95,-0.002,,
36,2015-02-25,93.09,0.0123,,
37,2015-02-26,92.93,-0.0017,,
38,2015-02-27,92.0,-0.0101,,
39,2015-03-02,92.73,0.008,,
40,2015-03-03,91.86,-0.0094,,
41,2015-03-04,92.0,0.0015,,
42,2015-03-05,92.26,0.0028,,
43,2015-03-06,91.95,-0.0034,,
44,2015-03-09,91.54,-0.0044,,
45,2015-03-10,90.22,-0.0145,,
46,2015-03-11,91.39,0.0129,,
47,2015-03-12,90.98,-0.0046,,
48,2015-03-13,91.08,0.0011,,
49,2015-03-16,91.97,0.0097,,
50,2015-03-17,92.12,0.0016,0.525393,55.48989441038447
51,2015-03-18,92.76,0.0069,0.528737,55.8430742336945
52,2015-03-19,94.83,0.022,0.529257,55.897994541147014
53,2015-03-20,95.42,0.0062,0.537052,56.72127107305541
54,2015-03-23,94.99,-0.0045,0.553377,58.44545187913682
55,2015-03-24,94.89,-0.0011,0.5668869999999999,59.87232371314353
56,2015-03-25,93.15,-0.0186,0.578442,61.09271631432397
57,2015-03-26,92.88,-0.0028,0.577323,60.9745320373252
58,2015-03-27,93.42,0.0058,0.57787,61.03230397612621
59,2015-03-30,94.93,0.016,0.581669,61.433539068457186
60,2015-03-31,94.6,-0.0035,0.586239,61.9162040781841
61,2015-04-01,94.28,-0.0034,0.5931839999999999,62.649707030602805
62,2015-04-02,92.93,-0.0144,0.59811,63.16997132773954
63,2015-04-06,94.71,0.019,0.5958939999999999,62.93592632521111
64,2015-04-07,93.29,-0.0152,0.601969,63.57754337862273
65,2015-04-08,93.86,0.0061,0.60044,63.41605655151715
66,2015-04-09,94.16,0.0032,0.600228,63.39366596463267
67,2015-04-10,94.32,0.0016,0.599039,63.26808856932297
68,2015-04-13,94.39,0.0008,0.5971150000000001,63.06488343174867
69,2015-04-14,94.29,-0.0011,0.598677,63.22985558605795
70,2015-04-15,94.46,0.0018,0.5941259999999999,62.749197279872554
71,2015-04-16,95.14,0.0072,0.5891449999999999,62.22312410406297
72,2015-04-17,95.3,0.0017,0.566284,59.8086372796938
73,2015-04-20,95.98,0.0071,0.53845,56.86892220732199
74,2015-04-21,96.0,0.0003,0.5205230000000001,54.97554460789649
75,2015-04-22,96.08,0.0008,0.486562,51.38872045136782
76,2015-04-23,96.9,0.0085,0.44282299999999997,46.76918328278009
77,2015-04-24,95.13,-0.0185,0.41752,44.096782245335824
78,2015-04-27,93.01,-0.0225,0.378283,39.95272820011586
79,2015-04-28,93.1,0.0009,0.34578000000000003,36.51989213640598
80,2015-04-29,92.82,-0.003,0.328207,34.66390259243853
81,2015-04-30,90.51,-0.0251,0.31877500000000003,33.667732708030584
82,2015-05-01,91.24,0.008,0.31914200000000004,33.706493771174955
