,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,27.3,,,
1,2015-01-05,26.93,-0.0136,,
2,2015-01-06,26.87,-0.0022,,
3,2015-01-07,28.25,0.0501,,
4,2015-01-08,29.02,0.0269,,
5,2015-01-09,29.25,0.0079,,
6,2015-01-12,29.27,0.0007,,
7,2015-01-13,29.47,0.0068,,
8,2015-01-14,29.57,0.0034,,
9,2015-01-15,29.18,-0.0133,,
10,2015-01-16,29.14,-0.0014,,
11,2015-01-20,29.54,0.0136,,
12,2015-01-21,30.08,0.0181,,
13,2015-01-22,30.5,0.0139,,
14,2015-01-23,30.16,-0.0112,,
15,2015-01-26,30.66,0.0164,,
16,2015-01-27,30.66,0.0,,
17,2015-01-28,30.09,-0.0188,,
18,2015-01-29,29.55,-0.0181,,
19,2015-01-30,30.18,0.0211,,
20,2015-02-02,30.34,0.0053,,
21,2015-02-03,30.89,0.018,,
22,2015-02-04,30.75,-0.0045,,
23,2015-02-05,31.21,0.0148,,
24,2015-02-06,31.31,0.0032,,
25,2015-02-09,31.08,-0.0074,,
26,2015-02-10,31.3,0.0071,,
27,2015-02-11,31.26,-0.0013,,
28,2015-02-12,31.59,0.0105,,
29,2015-02-13,31.75,0.0051,,
30,2015-02-17,31.76,0.0003,,
31,2015-02-18,31.0,-0.0242,,
32,2015-02-19,31.85,0.0271,,
33,2015-02-20,31.95,0.0031,,
34,2015-02-23,31.36,-0.0186,,
35,2015-02-24,31.59,0.0073,,
36,2015-02-25,32.19,0.0188,,
37,2015-02-26,32.48,0.009,,
38,2015-02-27,33.03,0.0168,,
39,2015-03-02,32.96,-0.0021,,
40,2015-03-03,32.76,-0.0061,,
41,2015-03-04,32.68,-0.0024,,
42,2015-03-05,32.8,0.0037,,
43,2015-03-06,32.72,-0.0024,,
44,2015-03-09,33.02,0.0091,,
45,2015-03-10,32.36,-0.0202,,
46,2015-03-11,32.11,-0.0078,,
47,2015-03-12,32.15,0.0012,,
48,2015-03-13,32.04,-0.0034,,
49,2015-03-16,32.47,0.0133,,
50,2015-03-17,32.67,0.0061,0.302014,41.612921746050525
51,2015-03-18,32.86,0.0058,0.28961,39.90383977853242
52,2015-03-19,33.2,0.0103,0.271986,37.4755214460962
53,2015-03-20,33.14,-0.0018,0.25214200000000003,34.74132098145342
54,2015-03-23,33.15,0.0003,0.243991,33.618237531176085
55,2015-03-24,32.98,-0.0051,0.240751,33.17181495984759
56,2015-03-25,32.34,-0.0196,0.23721699999999998,32.68488367371336
57,2015-03-26,32.46,0.0037,0.23055,31.76627278388402
58,2015-03-27,32.38,-0.0025,0.224852,30.981175311220515
59,2015-03-30,32.3,-0.0025,0.218904,30.16163165249771
60,2015-03-31,31.69,-0.0191,0.208855,28.777032757658198
61,2015-04-01,31.64,-0.0016,0.196614,27.09040970345076
62,2015-04-02,32.96,0.0409,0.187007,25.76671166556408
63,2015-04-06,33.08,0.0036,0.18355899999999997,25.29162986743425
64,2015-04-07,32.98,-0.003,0.18269400000000002,25.172446063669085
65,2015-04-08,32.77,-0.0064,0.178549,24.601328298805935
66,2015-04-09,32.38,-0.012,0.17623999999999998,24.28318332436226
67,2015-04-10,32.06,-0.0099,0.172611,23.7831624875255
68,2015-04-13,31.49,-0.0179,0.164105,22.61116545304397
69,2015-04-14,31.87,0.012,0.149642,20.618384697141497
70,2015-04-15,32.01,0.0044,0.140071,19.299646910047358
71,2015-04-16,32.06,0.0016,0.131033,18.054348391631642
72,2015-04-17,32.09,0.0009,0.126199,17.388296937989068
73,2015-04-20,32.69,0.0185,0.11975899999999999,16.500963185101565
74,2015-04-21,33.35,0.02,0.117044,16.126877604497597
75,2015-04-22,34.09,0.0219,0.117733,16.22181129327702
76,2015-04-23,34.44,0.0102,0.12254200000000001,16.884418128313666
77,2015-04-24,34.31,-0.0038,0.131407,18.10587988597635
78,2015-04-27,34.06,-0.0073,0.137065,18.885465968870367
79,2015-04-28,33.97,-0.0026,0.141283,19.46664202006283
80,2015-04-29,34.62,0.019,0.144834,19.95591564684909
81,2015-04-30,34.04,-0.0169,0.153217,21.11096515778945
82,2015-05-01,33.85,-0.0056,0.151095,20.818585930518136
83,2015-05-04,34.15,0.0088,0.15244,21.003906411517153
84,2015-05-05,33.8,-0.0103,0.155579,21.43641272367769
85,2015-05-06,33.3,-0.0149,0.15297,21.076932325962865
86,2015-05-07,33.3,0.0,0.14962,20.61535343276828
87,2015-05-08,33.77,0.014,0.148922,20.519179681290723
88,2015-05-11,33.97,0.0059,0.150398,20.722549963784815
89,2015-05-12,34.56,0.0172,0.153086,21.09291535629438
90,2015-05-13,33.93,-0.0184,0.159322,21.95214102135749
91,2015-05-14,34.08,0.0044,0.161357,22.232532975880172
92,2015-05-15,34.4,0.0093,0.16381900000000002,22.571759016192136
93,2015-05-18,34.83,0.0124,0.167942,23.139845516682065
94,2015-05-19,34.4,-0.0124,0.17447500000000002,24.039993250783624
95,2015-05-20,35.21,0.0233,0.178043,24.531609218221917
96,2015-05-21,36.25,0.0291,0.18556899999999998,25.568577203351
97,2015-05-22,36.68,0.0118,0.201038,27.699969411956086
98,2015-05-26,38.55,0.0497,0.218999,30.174721203200246
99,2015-05-27,38.65,0.0026,0.257423,35.46896221577001
100,2015-05-28,38.32,-0.0086,0.291404,40.151025609693946
101,2015-05-29,38.88,0.0145,0.316897,43.66357209453261
102,2015-06-01,38.89,0.0003,0.345345,47.58327249859218
103,2015-06-02,38.64,-0.0064,0.370891,51.10312157487542
104,2015-06-03,38.33,-0.0081,0.391229,53.90538770317138
105,2015-06-04,39.34,0.026,0.407033,56.082937801095916
106,2015-06-05,40.24,0.0226,0.429013,59.11144647942934
107,2015-06-08,39.48,-0.0191,0.454675,62.647278586044095
108,2015-06-09,38.79,-0.0176,0.47113999999999995,64.91590439990941
109,2015-06-10,38.66,-0.0034,0.480556,66.21328555164679
110,2015-06-11,38.12,-0.0141,0.487462,67.16482699534883
111,2015-06-12,39.0,0.0228,0.487489,67.16854718344324
112,2015-06-15,38.96,-0.001,0.490625,67.60064014137106
113,2015-06-16,38.85,-0.0028,0.497736,68.58042745764172
114,2015-06-17,39.77,0.0234,0.503518,69.37709884882115
115,2015-06-18,39.57,-0.005,0.51305,70.69046303089003
116,2015-06-19,39.16,-0.0104,0.5191060000000001,71.52488744199046
117,2015-06-22,39.2,0.001,0.519895,71.6335996051936
118,2015-06-23,39.5,0.0076,0.517866,71.35403435913634
119,2015-06-24,39.03,-0.012,0.512253,70.58064858973299
120,2015-06-25,39.3,0.0069,0.505111,69.59658994639098
121,2015-06-26,39.1,-0.0051,0.49839300000000003,68.67095203460555
122,2015-06-29,38.68,-0.0108,0.489485,67.44356553294067
123,2015-06-30,38.77,0.0023,0.477605,65.80668277140285
124,2015-07-01,38.63,-0.0036,0.46848999999999996,64.55077482768087
125,2015-07-02,38.97,0.0088,0.461678,63.61218514993713
126,2015-07-06,38.55,-0.0108,0.458777,63.21247160690505
127,2015-07-07,38.68,0.0034,0.45548099999999997,62.75833308989927
128,2015-07-08,38.47,-0.0054,0.45134,62.18776646401307
129,2015-07-09,38.77,0.0078,0.44478,61.28389854181711
130,2015-07-10,39.03,0.0067,0.43763399999999997,60.29928875949815
131,2015-07-13,39.26,0.0059,0.433722,59.760274840042264
132,2015-07-14,39.44,0.0046,0.426579,58.77607841195602
133,2015-07-15,39.05,-0.0099,0.41766800000000004,57.548278556058435
134,2015-07-16,38.62,-0.0111,0.40836,56.26577815669867
135,2015-07-17,38.04,-0.0151,0.394584,54.36765552008715
136,2015-07-20,38.08,0.0011,0.374607,51.61512968446082
137,2015-07-21,37.63,-0.0119,0.352561,48.57752721300774
138,2015-07-22,37.73,0.0027,0.333038,45.88755565126509
139,2015-07-23,37.93,0.0053,0.313511,43.19703295054549
140,2015-07-24,37.4,-0.0141,0.297656,41.01245583066485
141,2015-07-27,36.5,-0.0244,0.274353,37.80165793570563
142,2015-07-28,36.92,0.0114,0.25378900000000004,34.96825245521207
143,2015-07-29,37.04,0.0032,0.23303000000000001,32.10797894959225
144,2015-07-30,38.86,0.048,0.214919,29.612559446712513
145,2015-07-31,40.66,0.0453,0.184369,25.403235510266377
146,2015-08-03,41.49,0.0202,0.169934,23.414312727202546
147,2015-08-04,41.21,-0.0068,0.174427,24.03337958306024
148,2015-08-05,40.74,-0.0115,0.17779,24.496749677929905
149,2015-08-06,40.42,-0.0079,0.185058,25.498169199045797
150,2015-08-07,40.36,-0.0015,0.189693,26.13680148858517
151,2015-08-10,41.47,0.0271,0.19307200000000002,26.602376139362637
152,2015-08-11,40.95,-0.0126,0.204847,28.22479150275554
153,2015-08-12,41.36,0.01,0.21157499999999999,29.151807261983347
154,2015-08-13,41.23,-0.0031,0.220439,30.3731312349018
155,2015-08-14,41.23,0.0,0.22689800000000002,31.263082897929806
156,2015-08-17,42.0,0.0185,0.23378,32.21131750777014
157,2015-08-18,42.04,0.001,0.244333,33.6653599137052
158,2015-08-19,41.86,-0.0043,0.25593,35.263249592623886
159,2015-08-20,40.74,-0.0271,0.264973,36.509237034760794
160,2015-08-21,40.13,-0.0151,0.267032,36.792935823145164
161,2015-08-24,38.73,-0.0355,0.26555599999999996,36.589565540651066
162,2015-08-25,38.13,-0.0156,0.265964,36.645781716299844
163,2015-08-26,38.96,0.0215,0.26793,36.91666652347016
164,2015-08-27,39.94,0.0248,0.267783,36.89641216606729
165,2015-08-28,40.0,0.0015,0.268003,36.926724809799474
166,2015-08-31,39.61,-0.0098,0.26846800000000004,36.990794715869775
167,2015-09-01,38.96,-0.0165,0.268444,36.987487882008075
168,2015-09-02,39.32,0.0092,0.268661,37.01738717150754
169,2015-09-03,39.45,0.0033,0.268658,37.01697381727484
170,2015-09-04,39.22,-0.0058,0.268466,36.99051914638129
171,2015-09-08,40.28,0.0267,0.26849900000000004,36.995066042941126
172,2015-09-09,39.44,-0.0211,0.269384,37.117005541591034
173,2015-09-10,39.65,0.0053,0.268588,37.00732888517823
174,2015-09-11,39.82,0.0043,0.26799,36.92493360812439
175,2015-09-14,39.95,0.0033,0.26716,36.810572270407526
176,2015-09-15,41.31,0.0335,0.267058,36.79651822649533
177,2015-09-16,41.53,0.0053,0.270085,37.213592647301304
178,2015-09-17,42.47,0.0224,0.274098,37.76652282592514
179,2015-09-18,41.84,-0.0149,0.282774,38.961943266927
180,2015-09-21,42.81,0.0229,0.28738800000000003,39.597682076837394
181,2015-09-22,42.34,-0.011,0.298174,41.08382832817971
182,2015-09-23,43.03,0.0162,0.305269,42.06141108854258
183,2015-09-24,42.52,-0.0119,0.316463,43.603773515533675
184,2015-09-25,42.73,0.0049,0.32277700000000004,44.47374639064729
185,2015-09-28,40.54,-0.0526,0.32837099999999997,45.24451424991012
186,2015-09-29,39.56,-0.0245,0.323479,44.570471281101796
187,2015-09-30,39.81,0.0063,0.318789,43.92426083062937
188,2015-10-01,40.13,0.008,0.311041,42.85670463227964
189,2015-10-02,40.7,0.0141,0.303251,41.78336147467193
190,2015-10-05,40.96,0.0064,0.29633299999999996,40.830166614039044
191,2015-10-06,40.65,-0.0076,0.28536100000000003,39.318392400268614
192,2015-10-07,40.37,-0.0069,0.264147,36.395426836020874
193,2015-10-08,39.56,-0.0203,0.24505400000000002,33.76470271430022
194,2015-10-09,39.61,0.0013,0.22678399999999999,31.247375437086763
195,2015-10-12,40.53,0.023,0.223324,30.77064022202609
196,2015-10-13,40.18,-0.0087,0.22334099999999998,30.77298256267812
197,2015-10-14,39.51,-0.0168,0.22240300000000002,30.64374047258364
198,2015-10-15,39.94,0.0108,0.22371200000000002,30.824100702790123
199,2015-10-16,40.54,0.0149,0.224312,30.906771549332433
200,2015-10-19,41.21,0.0164,0.224281,30.90250022226108
201,2015-10-20,40.7,-0.0125,0.224891,30.986548916245766
202,2015-10-21,40.22,-0.0119,0.223572,30.80481083859691
203,2015-10-22,40.44,0.0055,0.22349699999999997,30.79447698277912
204,2015-10-23,41.27,0.0203,0.222384,30.64112256244313
205,2015-10-26,41.38,0.0027,0.22248,30.6543498978899
206,2015-10-27,39.02,-0.0587,0.22286899999999998,30.707948163398164
207,2015-10-28,39.31,0.0074,0.222795,30.697752092324613
208,2015-10-29,37.48,-0.0477,0.22069,30.407715205705333
209,2015-10-30,37.89,0.0109,0.230869,31.81022611729568
210,2015-11-02,38.29,0.0105,0.239774,33.03719926472785
211,2015-11-03,38.66,0.0096,0.24567599999999998,33.85040482521574
212,2015-11-04,38.86,0.0052,0.246003,33.89546043658131
213,2015-11-05,39.44,0.0148,0.242109,33.35892664252169
214,2015-11-06,39.11,-0.0084,0.240547,33.1437068720232
215,2015-11-09,38.56,-0.0142,0.242406,33.39984871156014
216,2015-11-10,37.03,-0.0405,0.246568,33.97330881707532
217,2015-11-11,37.4,0.0099,0.26072500000000004,35.92392744124122
218,2015-11-12,37.97,0.0151,0.269349,37.11218307554273
219,2015-11-13,38.72,0.0196,0.274793,37.86228322316999
220,2015-11-16,37.87,-0.0222,0.276788,38.13716378792318
221,2015-11-17,38.15,0.0074,0.282297,38.896219943925864
222,2015-11-18,37.32,-0.022,0.286905,39.53113204537083
223,2015-11-19,37.73,0.0109,0.295682,40.74046874554064
224,2015-11-20,38.44,0.0186,0.30175599999999997,41.57737328203732
225,2015-11-23,38.03,-0.0107,0.304454,41.94911652198927
226,2015-11-24,38.39,0.0094,0.30866499999999997,42.52932807997207
227,2015-11-25,36.97,-0.0377,0.308624,42.52367890545835
228,2015-11-27,36.89,-0.0022,0.314288,43.304091696817785
229,2015-11-30,35.5,-0.0384,0.31413,43.28232170722831
230,2015-12-01,36.18,0.019,0.327075,45.065945221378726
231,2015-12-02,35.72,-0.0128,0.325927,44.90776833499444
232,2015-12-03,34.56,-0.033,0.329786,45.43947966300575
233,2015-12-04,35.45,0.0254,0.336241,46.32888018705681
234,2015-12-07,36.59,0.0317,0.33616799999999997,46.318821900727485
235,2015-12-08,36.89,0.0082,0.324935,44.77108586871114
236,2015-12-09,36.07,-0.0225,0.32523,44.81173236826112
237,2015-12-10,36.34,0.0075,0.332064,45.75335331037807
238,2015-12-11,36.0,-0.0094,0.336197,46.32281765831037
239,2015-12-14,36.52,0.0143,0.340456,46.909642884016556
