,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,66.69,,,
1,2015-01-05,65.16,-0.0232,,
2,2015-01-06,64.01,-0.0178,,
3,2015-01-07,64.95,0.0146,,
4,2015-01-08,65.72,0.0118,,
5,2015-01-09,65.22,-0.0076,,
6,2015-01-12,64.49,-0.0113,,
7,2015-01-13,64.59,0.0016,,
8,2015-01-14,63.59,-0.0157,,
9,2015-01-15,63.01,-0.0091,,
10,2015-01-16,63.38,0.0058,,
11,2015-01-20,63.27,-0.0017,,
12,2015-01-21,63.15,-0.0018,,
13,2015-01-22,64.67,0.0237,,
14,2015-01-23,63.9,-0.012,,
15,2015-01-26,64.48,0.0091,,
16,2015-01-27,63.75,-0.0115,,
17,2015-01-28,61.61,-0.034,,
18,2015-01-29,61.58,-0.0005,,
19,2015-01-30,61.22,-0.006,,
20,2015-02-02,62.22,0.0163,,
21,2015-02-03,63.19,0.0154,,
22,2015-02-04,63.04,-0.0023,,
23,2015-02-05,63.57,0.0085,,
24,2015-02-06,64.01,0.0068,,
25,2015-02-09,63.34,-0.0105,,
26,2015-02-10,63.94,0.0094,,
27,2015-02-11,63.85,-0.0015,,
28,2015-02-12,63.99,0.0022,,
29,2015-02-13,64.12,0.0021,,
30,2015-02-17,64.16,0.0006,,
31,2015-02-18,63.54,-0.0096,,
32,2015-02-19,64.52,0.0153,,
33,2015-02-20,64.96,0.0067,,
34,2015-02-23,64.62,-0.0053,,
35,2015-02-24,65.34,0.0111,,
36,2015-02-25,64.95,-0.006,,
37,2015-02-26,64.8,-0.0024,,
38,2015-02-27,64.24,-0.0087,,
39,2015-03-02,64.85,0.0095,,
40,2015-03-03,64.43,-0.0065,,
41,2015-03-04,64.1,-0.0051,,
42,2015-03-05,64.55,0.0069,,
43,2015-03-06,63.87,-0.0105,,
44,2015-03-09,64.32,0.007,,
45,2015-03-10,63.12,-0.0189,,
46,2015-03-11,63.52,0.0064,,
47,2015-03-12,64.91,0.0216,,
48,2015-03-13,64.33,-0.009,,
49,2015-03-16,65.37,0.0162,,
50,2015-03-17,65.4,0.0004,0.198734,22.984558746886126
51,2015-03-18,65.65,0.0038,0.188708,21.82500282793778
52,2015-03-19,64.83,-0.0126,0.19135000000000002,22.130563045159164
53,2015-03-20,65.73,0.0139,0.192562,22.27073677084891
54,2015-03-23,65.19,-0.0082,0.196437,22.718899466432873
55,2015-03-24,65.11,-0.0013,0.19361899999999999,22.392983988715294
56,2015-03-25,63.85,-0.0195,0.193127,22.336081783237276
57,2015-03-26,63.52,-0.0052,0.192805,22.298840908920365
58,2015-03-27,63.56,0.0006,0.192669,22.283111843991485
59,2015-03-30,63.97,0.0065,0.192722,22.28924155311818
60,2015-03-31,63.38,-0.0093,0.19075399999999998,22.061632731206114
61,2015-04-01,63.86,0.0076,0.190756,22.061864040984485
62,2015-04-02,64.15,0.0044,0.189665,21.935684556885874
63,2015-04-06,64.27,0.002,0.188088,21.75329679664435
64,2015-04-07,63.41,-0.0134,0.18743500000000002,21.677774154007878
65,2015-04-08,64.66,0.0195,0.188197,21.765903179565292
66,2015-04-09,65.33,0.0102,0.188572,21.8092737630089
67,2015-04-10,64.96,-0.0057,0.191509,22.148952172539254
68,2015-04-13,65.3,0.0052,0.18043199999999998,20.867842965059616
69,2015-04-14,65.84,0.0082,0.16863499999999998,19.50346223736825
70,2015-04-15,66.41,0.0087,0.152766,17.66813480092388
71,2015-04-16,66.63,0.0033,0.15196300000000001,17.575263924909965
72,2015-04-17,66.12,-0.0077,0.15978,18.479338193653152
73,2015-04-20,66.58,0.007,0.160912,18.61025952820826
74,2015-04-21,66.42,-0.0024,0.167985,19.42828655939933
75,2015-04-22,66.25,-0.0025,0.17430800000000002,20.159572423703178
76,2015-04-23,65.84,-0.0063,0.175927,20.346817689290386
77,2015-04-24,66.24,0.0061,0.177314,20.507231020587152
78,2015-04-27,66.1,-0.0021,0.180148,20.834996976531656
79,2015-04-28,66.4,0.0046,0.182244,21.077409624259136
80,2015-04-29,65.73,-0.0102,0.18608899999999998,21.522102673167613
81,2015-04-30,65.12,-0.0093,0.186464,21.565473256611224
82,2015-05-01,65.37,0.0038,0.182746,21.135468378628982
83,2015-05-04,65.72,0.0053,0.182767,21.137897131301827
84,2015-05-05,65.29,-0.0065,0.183937,21.273213351645886
85,2015-05-06,64.67,-0.0095,0.183888,21.26754626207592
86,2015-05-07,64.78,0.0016,0.183794,21.256674702492724
87,2015-05-08,65.52,0.0115,0.183863,21.264654889846348
88,2015-05-11,65.5,-0.0004,0.18442499999999998,21.329652937567168
89,2015-05-12,65.08,-0.0064,0.183807,21.2581782160521
90,2015-05-13,65.12,0.0006,0.183772,21.254130294930697
91,2015-05-14,65.76,0.0098,0.183108,21.17733544851321
92,2015-05-15,65.42,-0.0053,0.182415,21.09718661030942
93,2015-05-18,65.88,0.0071,0.182135,21.064803241338193
94,2015-05-19,65.74,-0.0022,0.18037199999999998,20.860903671708638
95,2015-05-20,65.61,-0.002,0.17981999999999998,20.797062172879645
96,2015-05-21,65.53,-0.0012,0.17135,19.817465261499986
97,2015-05-22,65.43,-0.0015,0.165272,19.114514845045964
98,2015-05-26,64.71,-0.0111,0.16512000000000002,19.096935301890152
99,2015-05-27,65.19,0.0074,0.163853,18.950400557295342
100,2015-05-28,65.2,0.0001,0.16382100000000002,18.94669960084149
101,2015-05-29,64.73,-0.0073,0.163768,18.94056989171479
102,2015-06-01,64.82,0.0015,0.163941,18.960578187543444
103,2015-06-02,64.4,-0.0066,0.163945,18.961040807100176
104,2015-06-03,64.15,-0.0039,0.164794,19.059231808016506
105,2015-06-04,63.53,-0.0097,0.16718599999999997,19.33587830294214
106,2015-06-05,63.55,0.0003,0.172958,20.003438323306185
107,2015-06-08,63.06,-0.0077,0.174804,20.216937248737924
108,2015-06-09,62.65,-0.0065,0.17837599999999998,20.63005651289945
109,2015-06-10,63.27,0.0098,0.18585200000000002,21.494692464431257
110,2015-06-11,63.77,0.0079,0.18999,21.973272395870335
111,2015-06-12,63.25,-0.0081,0.187645,21.7020616807363
112,2015-06-15,63.01,-0.0038,0.19134299999999999,22.12975346093488
113,2015-06-16,63.62,0.0096,0.197866,22.88417030307532
114,2015-06-17,63.59,-0.0004,0.200604,23.20083338965826
115,2015-06-18,64.32,0.0114,0.199571,23.081361889132264
116,2015-06-19,63.67,-0.0101,0.20029699999999998,23.165327338679088
117,2015-06-22,63.85,0.0028,0.20355499999999999,23.54213096763717
118,2015-06-23,63.75,-0.0015,0.20598400000000003,23.823056693462583
119,2015-06-24,63.58,-0.0028,0.208506,24.114738323982
120,2015-06-25,63.03,-0.0085,0.210406,24.334482613429625
121,2015-06-26,64.12,0.017,0.21233000000000002,24.557002620217638
122,2015-06-29,62.56,-0.0246,0.207454,23.99306938056153
123,2015-06-30,62.77,0.0034,0.21286000000000002,24.618299711484607
124,2015-07-01,62.73,-0.0006,0.21309,24.644900335996685
125,2015-07-02,62.45,-0.0044,0.21363900000000002,24.70839487015813
126,2015-07-06,62.12,-0.0053,0.216131,24.99660685400206
127,2015-07-07,62.36,0.0038,0.222291,25.709040971369085
128,2015-07-08,61.19,-0.019,0.22351700000000002,25.850833865507397
129,2015-07-09,61.86,0.011,0.234082,27.072727769725358
130,2015-07-10,62.53,0.0106,0.23515,27.196247191372755
131,2015-07-13,63.24,0.0113,0.23517600000000002,27.199254218491514
132,2015-07-14,63.06,-0.0028,0.23458400000000001,27.130786524095203
133,2015-07-15,63.14,0.0013,0.23328600000000002,26.98066647793572
134,2015-07-16,64.21,0.0167,0.229654,26.560607920423212
135,2015-07-17,64.13,-0.0011,0.226839,26.235039407373186
136,2015-07-20,64.08,-0.0009,0.226011,26.139277159129694
137,2015-07-21,63.85,-0.0035,0.224848,26.004770523009913
138,2015-07-22,63.58,-0.0042,0.22044799999999998,25.49588901060489
139,2015-07-23,62.4,-0.0187,0.216024,24.984231780859485
140,2015-07-24,62.05,-0.0057,0.216719,25.06461192884164
141,2015-07-27,61.88,-0.0027,0.218564,25.2779951993842
142,2015-07-28,62.31,0.0069,0.216834,25.077912241097682
143,2015-07-29,62.63,0.0052,0.214236,24.777440839000356
144,2015-07-30,62.58,-0.0008,0.206173,23.844915467518156
145,2015-07-31,62.28,-0.0048,0.19841799999999998,22.94801180190431
146,2015-08-03,62.37,0.0014,0.191833,22.18642435663453
147,2015-08-04,62.22,-0.0025,0.18448599999999998,21.33670788580733
148,2015-08-05,61.76,-0.0074,0.17751899999999998,20.530940272869657
149,2015-08-06,61.28,-0.0077,0.17755600000000002,20.53521950376943
150,2015-08-07,61.24,-0.0007,0.176435,20.40557037299533
151,2015-08-10,62.09,0.0138,0.174237,20.151360926571186
