,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,88.55,,,
1,2015-01-05,87.49,-0.0121,,
2,2015-01-06,86.71,-0.009,,
3,2015-01-07,88.18,0.0169,,
4,2015-01-08,90.01,0.0205,,
5,2015-01-09,88.88,-0.0127,,
6,2015-01-12,88.35,-0.006,,
7,2015-01-13,88.49,0.0015,,
8,2015-01-14,87.15,-0.0152,,
9,2015-01-15,87.52,0.0042,,
10,2015-01-16,89.48,0.0221,,
11,2015-01-20,88.89,-0.0066,,
12,2015-01-21,88.19,-0.0079,,
13,2015-01-22,90.85,0.0296,,
14,2015-01-23,89.86,-0.0109,,
15,2015-01-26,89.92,0.0007,,
16,2015-01-27,89.07,-0.0096,,
17,2015-01-28,87.83,-0.014,,
18,2015-01-29,87.8,-0.0004,,
19,2015-01-30,86.35,-0.0166,,
20,2015-02-02,87.83,0.017,,
21,2015-02-03,89.06,0.0139,,
22,2015-02-04,89.64,0.0065,,
23,2015-02-05,90.21,0.0064,,
24,2015-02-06,90.03,-0.002,,
25,2015-02-09,88.83,-0.0134,,
26,2015-02-10,89.46,0.0071,,
27,2015-02-11,90.51,0.0117,,
28,2015-02-12,90.74,0.0025,,
29,2015-02-13,90.7,-0.0004,,
30,2015-02-17,90.7,0.0,,
31,2015-02-18,90.69,-0.0002,,
32,2015-02-19,90.7,0.0001,,
33,2015-02-20,90.55,-0.0016,,
34,2015-02-23,89.93,-0.0069,,
35,2015-02-24,90.33,0.0044,,
36,2015-02-25,89.79,-0.006,,
37,2015-02-26,90.55,0.0085,,
38,2015-02-27,90.23,-0.0035,,
39,2015-03-02,90.62,0.0043,,
40,2015-03-03,90.2,-0.0046,,
41,2015-03-04,89.76,-0.0049,,
42,2015-03-05,90.37,0.0067,,
43,2015-03-06,89.31,-0.0117,,
44,2015-03-09,90.09,0.0087,,
45,2015-03-10,88.41,-0.0188,,
46,2015-03-11,89.2,0.0089,,
47,2015-03-12,91.03,0.0202,,
48,2015-03-13,90.09,-0.0103,,
49,2015-03-16,91.95,0.0205,,
50,2015-03-17,91.8,-0.0017,0.23752199999999998,39.17549314205481
51,2015-03-18,92.45,0.0071,0.244787,40.373739863103935
52,2015-03-19,92.11,-0.0038,0.251252,41.44003925079595
53,2015-03-20,92.63,0.0057,0.247481,40.81807250818395
54,2015-03-23,92.54,-0.001,0.25627099999999997,42.26784383344502
55,2015-03-24,92.21,-0.0036,0.266815,44.00690968709154
56,2015-03-25,90.84,-0.0149,0.273039,45.03345994060973
57,2015-03-26,90.18,-0.0073,0.270799,44.66400740720987
