,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,42.69,,,
1,2015-01-05,41.95,-0.0175,,
2,2015-01-06,41.07,-0.0211,,
3,2015-01-07,41.3,0.0054,,
4,2015-01-08,42.13,0.0201,,
5,2015-01-09,41.67,-0.011,,
6,2015-01-12,41.98,0.0073,,
7,2015-01-13,41.77,-0.005,,
8,2015-01-14,41.46,-0.0075,,
9,2015-01-15,41.54,0.002,,
10,2015-01-16,41.59,0.0011,,
11,2015-01-20,42.09,0.0121,,
12,2015-01-21,42.6,0.012,,
13,2015-01-22,43.69,0.0253,,
14,2015-01-23,43.64,-0.0012,,
15,2015-01-26,44.09,0.0103,,
16,2015-01-27,43.71,-0.0088,,
17,2015-01-28,43.09,-0.0142,,
18,2015-01-29,43.64,0.0126,,
19,2015-01-30,44.81,0.0266,,
20,2015-02-02,44.65,-0.0036,,
21,2015-02-03,45.52,0.0193,,
22,2015-02-04,45.09,-0.0095,,
23,2015-02-05,45.11,0.0004,,
24,2015-02-06,44.94,-0.0037,,
25,2015-02-09,44.81,-0.0029,,
26,2015-02-10,45.21,0.0088,,
27,2015-02-11,44.99,-0.0049,,
28,2015-02-12,45.64,0.0144,,
29,2015-02-13,45.68,0.0009,,
30,2015-02-17,45.73,0.001,,
31,2015-02-18,45.83,0.0022,,
32,2015-02-19,45.87,0.0009,,
33,2015-02-20,46.44,0.0123,,
34,2015-02-23,46.32,-0.0025,,
35,2015-02-24,46.4,0.0016,,
36,2015-02-25,46.04,-0.0077,,
37,2015-02-26,45.85,-0.0041,,
38,2015-02-27,45.35,-0.0111,,
39,2015-03-02,45.74,0.0087,,
40,2015-03-03,45.52,-0.0049,,
41,2015-03-04,45.22,-0.0067,,
42,2015-03-05,45.68,0.0101,,
43,2015-03-06,45.12,-0.0122,,
44,2015-03-09,45.66,0.0119,,
45,2015-03-10,44.7,-0.0214,,
46,2015-03-11,44.87,0.0039,,
47,2015-03-12,45.68,0.0178,,
48,2015-03-13,45.57,-0.0025,,
49,2015-03-16,46.5,0.0203,,
50,2015-03-17,45.95,-0.012,0.320413,37.81314226215804
51,2015-03-18,46.46,0.0112,0.320122,37.77880025856178
52,2015-03-19,46.01,-0.0098,0.317702,37.49320696404993
53,2015-03-20,46.24,0.005,0.30604,36.11693051752221
54,2015-03-23,45.8,-0.0096,0.295493,34.87223941123445
55,2015-03-24,46.06,0.0058,0.288486,34.04531700848881
56,2015-03-25,45.26,-0.0175,0.277781,32.781979728427125
57,2015-03-26,45.74,0.0104,0.266528,31.453970908947067
58,2015-03-27,45.94,0.0044,0.252967,29.853586335858193
59,2015-03-30,46.4,0.01,0.234762,27.70514587032594
60,2015-03-31,46.15,-0.0054,0.21625699999999998,25.521301277374853
61,2015-04-01,45.45,-0.0152,0.193908,22.88381179843059
62,2015-04-02,45.78,0.0071,0.17314,20.432902070983516
63,2015-04-06,45.99,0.0047,0.15628,18.443190110045652
64,2015-04-07,45.65,-0.0074,0.149864,17.686013838315088
65,2015-04-08,45.76,0.0024,0.141488,16.69753060078154
66,2015-04-09,46.01,0.0053,0.136385,16.09530639338736
67,2015-04-10,46.49,0.0106,0.12756399999999998,15.05430703351589
68,2015-04-13,46.57,0.0016,0.11054399999999999,13.045712871287986
69,2015-04-14,46.49,-0.0017,0.09904099999999999,11.68820061229224
70,2015-04-15,46.9,0.0089,0.09838699999999999,11.611019614519206
71,2015-04-16,46.64,-0.0057,0.098978,11.680765745534288
72,2015-04-17,45.65,-0.0214,0.101499,11.978278429610468
73,2015-04-20,45.88,0.005,0.099752,11.772108394274852
74,2015-04-21,45.55,-0.0071,0.097952,11.559683629761913
75,2015-04-22,45.75,0.0043,0.09525600000000001,11.241518538024756
76,2015-04-23,46.81,0.023,0.09111599999999999,10.752941579644993
77,2015-04-24,46.52,-0.0062,0.09309200000000001,10.986136765576978
78,2015-04-27,46.52,0.0,0.091409,10.787519610757379
79,2015-04-28,46.9,0.0081,0.092599,10.927955982852044
80,2015-04-29,45.86,-0.0225,0.096026,11.332389131733068
81,2015-04-30,44.63,-0.0271,0.09587300000000001,11.31433302674947
82,2015-05-01,45.32,0.0152,0.102266,12.06879498204459
83,2015-05-04,45.34,0.0006,0.10358700000000001,12.224691156445477
84,2015-05-05,44.62,-0.016,0.103696,12.237554656074314
85,2015-05-06,45.29,0.0149,0.10850199999999999,12.804728777323863
86,2015-05-07,45.51,0.0048,0.108515,12.80626295617868
87,2015-05-08,45.72,0.0045,0.10871800000000001,12.830219749065417
88,2015-05-11,45.53,-0.004,0.108757,12.834822285629864
89,2015-05-12,45.77,0.0052,0.108264,12.77664150290493
90,2015-05-13,46.18,0.0088,0.10825100000000001,12.775107324050117
91,2015-05-14,47.57,0.0298,0.108313,12.782424177050006
92,2015-05-15,48.07,0.0103,0.11658099999999999,13.758161928712772
93,2015-05-18,47.79,-0.0058,0.130415,15.390764257752776
94,2015-05-19,47.27,-0.0108,0.137721,16.252972774159186
95,2015-05-20,47.0,-0.0058,0.14169700000000002,16.72219547621666
96,2015-05-21,47.13,0.0026,0.139321,16.441794787059575
97,2015-05-22,46.96,-0.0036,0.138224,16.312333694464748
98,2015-05-26,46.49,-0.0099,0.13954,16.467639800075315
99,2015-05-27,47.13,0.0135,0.138955,16.39860175160861
100,2015-05-28,47.07,-0.0012,0.14111100000000001,16.653039413991888
101,2015-05-29,46.62,-0.0096,0.143042,16.880923980811048
102,2015-06-01,46.77,0.003,0.143337,16.915738039439553
103,2015-06-02,46.94,0.0036,0.144058,17.000825959002793
104,2015-06-03,46.83,-0.0022,0.145382,17.15707617467787
105,2015-06-04,46.81,-0.0006,0.145807,17.207232021854534
106,2015-06-05,46.85,0.0009,0.146494,17.28830747364364
107,2015-06-08,46.49,-0.0076,0.14469200000000002,17.075646681614575
108,2015-06-09,46.51,0.0003,0.143969,16.990322734535212
109,2015-06-10,47.1,0.0127,0.143706,16.959285116164708
110,2015-06-11,47.41,0.0066,0.145239,17.140200207274894
111,2015-06-12,47.56,0.003,0.148041,17.470874757366705
112,2015-06-15,47.0,-0.0118,0.14935700000000002,17.62618086297728
113,2015-06-16,47.01,0.0003,0.149204,17.608124757993675
114,2015-06-17,46.96,-0.0012,0.14954900000000002,17.648839504525323
115,2015-06-18,47.26,0.0065,0.148559,17.532005884043205
116,2015-06-19,46.96,-0.0064,0.148765,17.556316718204133
117,2015-06-22,47.16,0.0041,0.148645,17.5421550672366
118,2015-06-23,46.88,-0.0058,0.14962799999999998,17.658162591412278
119,2015-06-24,46.68,-0.0044,0.149923,17.692976650040787
120,2015-06-25,46.41,-0.0059,0.14996299999999999,17.697697200363297
121,2015-06-26,46.58,0.0038,0.149679,17.66418129307348
122,2015-06-29,46.0,-0.0125,0.14965799999999999,17.66170300415416
123,2015-06-30,45.9,-0.0024,0.148391,17.512179572688662
124,2015-07-01,46.02,0.0027,0.148332,17.505216760962963
125,2015-07-02,45.96,-0.0013,0.146546,17.2944441890629
126,2015-07-06,45.63,-0.0071,0.145807,17.207232021854534
127,2015-07-07,45.81,0.004,0.147727,17.433818437335002
128,2015-07-08,45.05,-0.0168,0.148988,17.582633786252124
129,2015-07-09,45.0,-0.0012,0.15414899999999998,18.19170279161394
130,2015-07-10,45.21,0.0047,0.15884299999999998,18.745659371960464
131,2015-07-13,45.77,0.0123,0.161587,19.069489124084637
