,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,28.1,,,
1,2015-01-05,27.62,-0.0172,,
2,2015-01-06,27.93,0.0112,,
3,2015-01-07,28.1,0.0061,,
4,2015-01-08,28.46,0.0127,,
5,2015-01-09,27.87,-0.0209,,
6,2015-01-12,27.87,0.0,,
7,2015-01-13,27.69,-0.0065,,
8,2015-01-14,27.84,0.0054,,
9,2015-01-15,27.7,-0.005,,
10,2015-01-16,29.21,0.0531,,
11,2015-01-20,29.04,-0.0058,,
12,2015-01-21,29.21,0.0058,,
13,2015-01-22,29.71,0.017,,
14,2015-01-23,29.86,0.005,,
15,2015-01-26,30.5,0.0212,,
16,2015-01-27,29.67,-0.0276,,
17,2015-01-28,29.89,0.0074,,
18,2015-01-29,30.09,0.0067,,
19,2015-01-30,29.72,-0.0124,,
20,2015-02-02,29.99,0.009,,
21,2015-02-03,29.84,-0.005,,
22,2015-02-04,28.97,-0.0296,,
23,2015-02-05,28.77,-0.0069,,
24,2015-02-06,28.79,0.0007,,
25,2015-02-09,28.32,-0.0165,,
26,2015-02-10,27.79,-0.0189,,
27,2015-02-11,27.32,-0.0171,,
28,2015-02-12,27.44,0.0044,,
29,2015-02-13,28.4,0.0344,,
30,2015-02-17,28.13,-0.0096,,
31,2015-02-18,28.16,0.0011,,
32,2015-02-19,26.96,-0.0435,,
33,2015-02-20,27.01,0.0019,,
34,2015-02-23,27.0,-0.0004,,
35,2015-02-24,26.99,-0.0004,,
36,2015-02-25,26.7,-0.0108,,
37,2015-02-26,26.54,-0.006,,
38,2015-02-27,26.49,-0.0019,,
39,2015-03-02,26.06,-0.0164,,
40,2015-03-03,25.21,-0.0332,,
41,2015-03-04,25.05,-0.0064,,
42,2015-03-05,25.21,0.0064,,
43,2015-03-06,24.81,-0.016,,
44,2015-03-09,24.82,0.0004,,
45,2015-03-10,24.33,-0.0199,,
46,2015-03-11,24.42,0.0037,,
47,2015-03-12,24.47,0.002,,
48,2015-03-13,25.43,0.0385,,
49,2015-03-16,25.83,0.0156,,
50,2015-03-17,25.44,-0.0152,0.32658099999999995,31.683221625786775
51,2015-03-18,25.67,0.009,0.33157899999999996,32.168102074085
52,2015-03-19,25.72,0.0019,0.335537,32.55208703094062
53,2015-03-20,25.68,-0.0016,0.338892,32.87757200573865
54,2015-03-23,25.68,0.0,0.341942,33.17346743737322
55,2015-03-24,25.58,-0.0039,0.34401899999999996,33.37496737557158
56,2015-03-25,25.02,-0.0221,0.34717,33.680661311663556
57,2015-03-26,24.74,-0.0113,0.352431,34.19105667750929
58,2015-03-27,25.26,0.0208,0.35885,34.813795292480535
59,2015-03-30,25.21,-0.002,0.362307,35.14917578663159
60,2015-03-31,25.46,0.0099,0.365837,35.491638368162754
61,2015-04-01,24.82,-0.0255,0.363927,35.306339917532576
62,2015-04-02,25.0,0.0072,0.36458100000000004,35.36978765926668
63,2015-04-06,24.88,-0.0048,0.362999,35.21631009439917
64,2015-04-07,25.14,0.0104,0.358372,34.767422172375184
65,2015-04-08,25.42,0.0111,0.350792,34.03204926359156
66,2015-04-09,24.82,-0.0239,0.336225,32.61883327912573
67,2015-04-10,25.27,0.018,0.328544,31.873661865884703
68,2015-04-13,24.74,-0.0212,0.31641600000000003,30.69706521183091
69,2015-04-14,24.93,0.0077,0.302625,29.359132786364558
70,2015-04-15,25.03,0.004,0.28958100000000003,28.09367048792478
71,2015-04-16,25.03,0.0,0.27160799999999996,26.3500217689844
72,2015-04-17,24.72,-0.0125,0.252639,24.50974621400861
73,2015-04-20,24.75,0.0012,0.241251,23.404940582712058
74,2015-04-21,24.85,0.004,0.22999099999999997,22.31255285805459
75,2015-04-22,25.02,0.0068,0.216508,21.004501020438557
76,2015-04-23,25.1,0.0032,0.20546299999999998,19.932971498338937
77,2015-04-24,25.08,-0.0008,0.197681,19.178001580640505
78,2015-04-27,25.02,-0.0024,0.19266100000000003,18.69098680463869
79,2015-04-28,24.64,-0.0153,0.18634599999999998,18.078337738811697
80,2015-04-29,24.39,-0.0102,0.170399,16.531241198393175
81,2015-04-30,23.7,-0.0287,0.15622999999999998,15.156637142383262
82,2015-05-01,24.36,0.0275,0.143307,13.902913646313245
83,2015-05-04,24.45,0.0037,0.13803100000000001,13.39106305703325
84,2015-05-05,24.07,-0.0157,0.130871,12.69643640440914
85,2015-05-06,24.12,0.0021,0.124641,12.092033604709675
86,2015-05-07,24.33,0.0087,0.11680099999999999,11.3314368230654
87,2015-05-08,25.06,0.0296,0.10970700000000001,10.643213153552077
88,2015-05-11,25.11,0.002,0.101582,9.854967126656703
89,2015-05-12,24.91,-0.008,0.093055,9.027721111722938
90,2015-05-13,24.76,-0.006,0.088163,8.55312424236021
91,2015-05-14,24.77,0.0004,0.08803599999999999,8.540803350616738
92,2015-05-15,24.69,-0.0032,0.088117,8.548661557161788
93,2015-05-18,24.2,-0.02,0.088056,8.542743648529095
94,2015-05-19,28.62,0.1678,0.090197,8.750452540047004
95,2015-05-20,27.65,-0.0345,0.134601,13.058301965063878
96,2015-05-21,27.63,-0.0007,0.151246,14.67311490262369
97,2015-05-22,27.26,-0.0135,0.165321,16.03859955844552
98,2015-05-26,27.55,0.0106,0.174038,16.884278403546684
99,2015-05-27,27.99,0.0158,0.185354,17.982098962358748
100,2015-05-28,27.66,-0.0119,0.19928200000000001,19.333322428524752
101,2015-05-29,27.37,-0.0105,0.209485,20.3231654085141
102,2015-06-01,27.28,-0.0033,0.216569,21.01041892907125
103,2015-06-02,27.55,0.0098,0.222598,21.59532173475152
104,2015-06-03,28.27,0.0258,0.230105,22.323612556155034
105,2015-06-04,28.0,-0.0096,0.242636,23.539306213142837
106,2015-06-05,28.19,0.0068,0.252111,24.45852234912236
107,2015-06-08,27.95,-0.0086,0.261845,25.402865343066924
108,2015-06-09,28.08,0.0046,0.268477,26.046268130804787
109,2015-06-10,28.2,0.0043,0.276192,26.79473805049682
110,2015-06-11,28.49,0.0102,0.283962,27.54854378944784
111,2015-06-12,28.28,-0.0074,0.293245,28.449133065468732
112,2015-06-15,27.91,-0.0132,0.299308,29.037334377600015
113,2015-06-16,27.7,-0.0076,0.30318100000000003,29.41307306832811
114,2015-06-17,27.56,-0.0051,0.305363,29.624759570566347
115,2015-06-18,28.14,0.0208,0.307267,29.809475931822817
116,2015-06-19,28.0,-0.005,0.311863,30.255356392082646
117,2015-06-22,27.94,-0.0021,0.313931,30.455983196220448
118,2015-06-23,28.01,0.0025,0.31651599999999996,30.706766701392695
119,2015-06-24,28.6,0.0208,0.317441,30.796505479839247
120,2015-06-25,28.39,-0.0074,0.321215,31.16263969590117
121,2015-06-26,28.62,0.0081,0.32366500000000004,31.40032619016501
122,2015-06-29,27.94,-0.024,0.326635,31.688460430150148
123,2015-06-30,27.57,-0.0133,0.325148,31.544199280366342
124,2015-07-01,27.45,-0.0044,0.322343,31.272072498158153
125,2015-07-02,27.4,-0.0018,0.319345,30.981221841095714
126,2015-07-06,27.46,0.0022,0.316633,30.718117444179992
127,2015-07-07,27.61,0.0054,0.314048,30.46733393900774
128,2015-07-08,27.25,-0.0131,0.311349,30.205490735735047
129,2015-07-09,27.74,0.0178,0.307563,29.83819234092571
130,2015-07-10,28.26,0.0186,0.30223500000000003,29.321296977073587
131,2015-07-13,28.85,0.0207,0.296084,28.72455835412793
132,2015-07-14,29.33,0.0165,0.285819,27.728700450610265
133,2015-07-15,29.36,0.001,0.281779,27.336760272313985
134,2015-07-16,29.95,0.0199,0.277219,26.894372348296397
135,2015-07-17,31.14,0.039,0.27161,26.350215798775643
136,2015-07-20,31.35,0.0067,0.274285,26.6097306445535
137,2015-07-21,31.26,-0.0029,0.278244,26.993812616304734
