,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,24.38,,,
1,2015-01-05,24.63,0.0105,,
2,2015-01-06,24.77,0.0057,,
3,2015-01-07,24.94,0.0069,,
4,2015-01-08,24.99,0.0019,,
5,2015-01-09,25.08,0.0034,,
6,2015-01-12,25.37,0.0115,,
7,2015-01-13,25.14,-0.009,,
8,2015-01-14,25.38,0.0096,,
9,2015-01-15,25.66,0.0107,,
10,2015-01-16,25.95,0.0112,,
11,2015-01-20,25.7,-0.0094,,
12,2015-01-21,25.66,-0.0018,,
13,2015-01-22,26.35,0.0265,,
14,2015-01-23,26.37,0.0009,,
15,2015-01-26,26.67,0.0115,,
16,2015-01-27,26.93,0.0096,,
17,2015-01-28,26.83,-0.0038,,
18,2015-01-29,26.61,-0.0082,,
19,2015-01-30,26.06,-0.0211,,
20,2015-02-02,26.07,0.0006,,
21,2015-02-03,26.15,0.003,,
22,2015-02-04,25.99,-0.0063,,
23,2015-02-05,26.23,0.0093,,
24,2015-02-06,25.38,-0.0328,,
25,2015-02-09,25.19,-0.0077,,
26,2015-02-10,25.31,0.005,,
27,2015-02-11,25.21,-0.004,,
28,2015-02-12,25.59,0.0151,,
29,2015-02-13,25.42,-0.0068,,
30,2015-02-17,25.4,-0.0009,,
31,2015-02-18,25.59,0.0077,,
32,2015-02-19,24.94,-0.026,,
33,2015-02-20,25.22,0.0112,,
34,2015-02-23,25.51,0.0114,,
35,2015-02-24,24.77,-0.0293,,
36,2015-02-25,24.91,0.0057,,
37,2015-02-26,24.67,-0.0098,,
38,2015-02-27,25.02,0.0142,,
39,2015-03-02,25.33,0.0124,,
40,2015-03-03,25.24,-0.0037,,
41,2015-03-04,25.23,-0.0006,,
42,2015-03-05,25.26,0.0016,,
43,2015-03-06,24.76,-0.0204,,
44,2015-03-09,24.98,0.0091,,
45,2015-03-10,24.88,-0.0041,,
46,2015-03-11,25.03,0.006,,
47,2015-03-12,25.66,0.0247,,
48,2015-03-13,25.85,0.0076,,
49,2015-03-16,26.39,0.0207,,
50,2015-03-17,26.36,-0.0012,0.11750999999999999,18.389696974935745
51,2015-03-18,26.9,0.0203,0.11568400000000001,18.103937578490914
52,2015-03-19,26.83,-0.0026,0.118741,18.58234200068799
53,2015-03-20,27.54,0.0262,0.121339,18.988915336922208
54,2015-03-23,27.59,0.0017,0.130548,20.430075403658513
55,2015-03-24,27.22,-0.0134,0.139079,21.765132036227463
56,2015-03-25,26.59,-0.0236,0.14366199999999998,22.482347432671425
57,2015-03-26,26.46,-0.005,0.144918,22.678904826940162
58,2015-03-27,26.56,0.0041,0.144875,22.672175553091794
59,2015-03-30,26.95,0.0143,0.145753,22.809577935391115
