,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,35.98,,,
1,2015-01-05,35.11,-0.0244,,
2,2015-01-06,34.65,-0.0133,,
3,2015-01-07,34.95,0.0088,,
4,2015-01-08,35.21,0.0073,,
5,2015-01-09,34.48,-0.021,,
6,2015-01-12,34.16,-0.0094,,
7,2015-01-13,33.79,-0.0109,,
8,2015-01-14,33.18,-0.0182,,
9,2015-01-15,32.86,-0.0097,,
10,2015-01-16,33.32,0.0141,,
11,2015-01-20,33.07,-0.0075,,
12,2015-01-21,33.87,0.0237,,
13,2015-01-22,34.86,0.0287,,
14,2015-01-23,34.77,-0.0025,,
15,2015-01-26,34.94,0.0048,,
16,2015-01-27,34.49,-0.0127,,
17,2015-01-28,33.79,-0.0207,,
18,2015-01-29,34.17,0.0111,,
19,2015-01-30,33.64,-0.0156,,
20,2015-02-02,34.29,0.0194,,
21,2015-02-03,34.74,0.0128,,
22,2015-02-04,34.98,0.0069,,
23,2015-02-05,35.31,0.0096,,
24,2015-02-06,35.64,0.0093,,
25,2015-02-09,35.45,-0.0054,,
26,2015-02-10,35.73,0.0079,,
27,2015-02-11,35.53,-0.0056,,
28,2015-02-12,36.21,0.019,,
29,2015-02-13,36.17,-0.0011,,
30,2015-02-17,36.17,0.0,,
31,2015-02-18,35.74,-0.0121,,
32,2015-02-19,35.57,-0.0047,,
33,2015-02-20,35.81,0.0067,,
34,2015-02-23,35.7,-0.0031,,
35,2015-02-24,35.89,0.0054,,
36,2015-02-25,35.99,0.0027,,
37,2015-02-26,36.06,0.002,,
38,2015-02-27,35.8,-0.0071,,
39,2015-03-02,36.02,0.006,,
40,2015-03-03,35.92,-0.0029,,
41,2015-03-04,35.64,-0.0076,,
42,2015-03-05,35.78,0.0038,,
43,2015-03-06,35.85,0.002,,
44,2015-03-09,36.03,0.0049,,
45,2015-03-10,35.08,-0.0266,,
46,2015-03-11,35.11,0.0009,,
47,2015-03-12,35.69,0.0163,,
48,2015-03-13,35.55,-0.0041,,
49,2015-03-16,36.09,0.0152,,
50,2015-03-17,36.08,-0.0004,0.176302,25.20571290642554
51,2015-03-18,36.0,-0.0022,0.17668,25.259755171848674
52,2015-03-19,35.67,-0.0092,0.178336,25.4965117632262
53,2015-03-20,36.0,0.0094,0.178467,25.515240696481303
54,2015-03-23,35.88,-0.0033,0.179914,25.722116776024347
55,2015-03-24,35.47,-0.0115,0.180977,25.874092776407387
56,2015-03-25,34.85,-0.0178,0.180138,25.754141822201017
57,2015-03-26,34.71,-0.0039,0.178143,25.46891875469005
58,2015-03-27,34.59,-0.0034,0.174384,24.931498448537806
59,2015-03-30,35.35,0.0215,0.16601400000000002,23.734848285597046
60,2015-03-31,35.25,-0.0027,0.152337,21.77946187239026
61,2015-04-01,35.1,-0.0041,0.142262,20.33904963922083
62,2015-04-02,35.28,0.005,0.128048,18.306888896563724
63,2015-04-06,34.97,-0.009,0.121129,17.31768668899059
64,2015-04-07,34.99,0.0007,0.120792,17.26950615076944
65,2015-04-08,35.05,0.0018,0.12005800000000001,17.16456693695839
66,2015-04-09,35.17,0.0032,0.11974800000000001,17.120246560553177
67,2015-04-10,35.31,0.0041,0.11724,16.761680418539385
68,2015-04-13,35.59,0.0077,0.10822100000000001,15.47224340305997
69,2015-04-14,35.14,-0.0128,0.10219099999999999,14.610140597500495
70,2015-04-15,35.05,-0.0023,0.089126,12.742251185454974
71,2015-04-16,34.66,-0.0113,0.083529,11.942053937906655
72,2015-04-17,34.26,-0.0117,0.084098,12.023403273953644
73,2015-04-20,34.51,0.0075,0.08972300000000001,12.827603652274048
74,2015-04-21,34.3,-0.0061,0.093606,13.38275210898838
75,2015-04-22,34.57,0.0077,0.098955,14.147493055412529
76,2015-04-23,34.56,-0.0002,0.10193899999999999,14.57411242055174
77,2015-04-24,34.5,-0.0019,0.104474,14.936538724381471
78,2015-04-27,34.35,-0.0042,0.107458,15.363158089520685
79,2015-04-28,34.6,0.0073,0.10891500000000001,15.57146385862519
80,2015-04-29,34.69,0.0026,0.10864000000000001,15.532147395685081
81,2015-04-30,34.6,-0.0026,0.107615,15.385604215635585
82,2015-05-01,34.63,0.0009,0.108668,15.536150526457163
83,2015-05-04,35.14,0.0146,0.109828,15.701994515586348
84,2015-05-05,34.91,-0.0067,0.108878,15.566174007247792
85,2015-05-06,34.79,-0.0035,0.108607,15.527429420132265
86,2015-05-07,34.79,0.0,0.10781,15.413483162084024
87,2015-05-08,35.4,0.0175,0.106341,15.203461765505772
88,2015-05-11,35.31,-0.0025,0.103834,14.845038592448127
89,2015-05-12,35.43,0.0034,0.102502,14.654603942861854
90,2015-05-13,35.63,0.0055,0.100108,14.312336261848692
91,2015-05-14,35.82,0.0054,0.09879500000000001,14.124618022429193
92,2015-05-15,35.46,-0.0102,0.09956200000000001,14.23427521179306
93,2015-05-18,35.68,0.0061,0.098455,14.076008577339604
94,2015-05-19,36.07,0.011,0.097645,13.960203722861465
95,2015-05-20,35.59,-0.0135,0.09794399999999999,14.002951440749072
96,2015-05-21,35.4,-0.0052,0.098616,14.099026579279084
97,2015-05-22,35.17,-0.0066,0.098812,14.12704849468367
98,2015-05-26,35.01,-0.0046,0.097764,13.977217028642821
99,2015-05-27,35.4,0.0112,0.09726000000000001,13.905160674745314
100,2015-05-28,35.27,-0.0037,0.094006,13.43993969144672
101,2015-05-29,34.8,-0.0136,0.090454,12.932113959216663
102,2015-06-01,34.68,-0.0033,0.087551,12.517075079525261
103,2015-06-02,34.81,0.0037,0.08679500000000001,12.408990548679
104,2015-06-03,35.49,0.0193,0.083194,11.894159337597795
105,2015-06-04,35.1,-0.011,0.080913,11.568047148629113
106,2015-06-05,35.51,0.0114,0.080059,11.445951660080558
107,2015-06-08,35.24,-0.0075,0.08088,11.5633291730763
108,2015-06-09,35.57,0.0093,0.080497,11.508572062872439
109,2015-06-10,36.17,0.0167,0.080617,11.52572833760994
110,2015-06-11,36.2,0.0009,0.085557,12.231994980970436
111,2015-06-12,36.14,-0.0016,0.090547,12.945410072138227
112,2015-06-15,35.84,-0.0085,0.09472,13.542019526134855
113,2015-06-16,35.99,0.0043,0.096533,13.80122224362728
114,2015-06-17,36.03,0.0011,0.09904199999999999,14.159931354597216
115,2015-06-18,36.14,0.0031,0.101616,14.527933447716633
116,2015-06-19,36.03,-0.0031,0.104765,14.978142690619912
117,2015-06-22,36.31,0.0076,0.10707900000000001,15.308972855141409
118,2015-06-23,36.4,0.0027,0.11096,15.86383537394345
119,2015-06-24,36.11,-0.008,0.11493700000000001,16.432422912535493
120,2015-06-25,35.97,-0.004,0.117135,16.746668678144072
121,2015-06-26,36.13,0.0046,0.118397,16.92709550080013
122,2015-06-29,35.24,-0.025,0.119139,17.033178466260352
123,2015-06-30,35.23,-0.0002,0.11543300000000001,16.503335514783835
124,2015-07-01,35.84,0.0171,0.113165,16.179081922245047
125,2015-07-02,35.41,-0.0121,0.110009,15.727871896648747
126,2015-07-06,35.39,-0.0005,0.10763199999999999,15.388034687890062
127,2015-07-07,35.29,-0.003,0.105054,15.019460718946062
128,2015-07-08,34.64,-0.0186,0.101959,14.57697179967466
129,2015-07-09,34.87,0.0068,0.099944,14.288889353040773
