,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,63.2,,,
1,2015-01-05,63.36,0.0025,,
2,2015-01-06,63.88,0.0081,,
3,2015-01-07,65.23,0.0209,,
4,2015-01-08,65.45,0.0034,,
5,2015-01-09,65.44,-0.0001,,
6,2015-01-12,65.87,0.0065,,
7,2015-01-13,65.74,-0.0021,,
8,2015-01-14,66.02,0.0043,,
9,2015-01-15,66.72,0.0105,,
10,2015-01-16,66.86,0.0021,,
11,2015-01-20,66.31,-0.0082,,
12,2015-01-21,65.77,-0.0082,,
13,2015-01-22,67.1,0.02,,
14,2015-01-23,66.87,-0.0033,,
15,2015-01-26,67.14,0.0039,,
16,2015-01-27,66.86,-0.0042,,
17,2015-01-28,66.16,-0.0105,,
18,2015-01-29,66.21,0.0008,,
19,2015-01-30,64.98,-0.0188,,
20,2015-02-02,65.34,0.0055,,
21,2015-02-03,65.9,0.0086,,
22,2015-02-04,65.65,-0.0038,,
23,2015-02-05,67.05,0.0212,,
24,2015-02-06,66.27,-0.0117,,
25,2015-02-09,66.09,-0.0027,,
26,2015-02-10,66.49,0.0059,,
27,2015-02-11,66.29,-0.0029,,
28,2015-02-12,66.9,0.009,,
29,2015-02-13,66.46,-0.0065,,
30,2015-02-17,66.41,-0.0007,,
31,2015-02-18,67.05,0.0095,,
32,2015-02-19,65.46,-0.024,,
33,2015-02-20,66.18,0.011,,
34,2015-02-23,66.58,0.0059,,
35,2015-02-24,65.34,-0.0188,,
36,2015-02-25,64.98,-0.0054,,
37,2015-02-26,64.35,-0.0097,,
38,2015-02-27,64.74,0.006,,
39,2015-03-02,65.29,0.0085,,
40,2015-03-03,65.11,-0.0029,,
41,2015-03-04,63.94,-0.0181,,
42,2015-03-05,64.23,0.0045,,
43,2015-03-06,61.58,-0.0421,,
44,2015-03-09,61.95,0.0059,,
45,2015-03-10,61.46,-0.0079,,
46,2015-03-11,61.53,0.0011,,
47,2015-03-12,62.51,0.0157,,
48,2015-03-13,62.22,-0.0045,,
49,2015-03-16,62.75,0.0085,,
50,2015-03-17,62.89,0.0022,0.311295,40.485118590589096
51,2015-03-18,64.07,0.0185,0.312939,40.698927148268886
52,2015-03-19,64.16,0.0015,0.31040500000000004,40.36937064877949
53,2015-03-20,66.74,0.0395,0.30957999999999997,40.26207620833798
54,2015-03-23,66.65,-0.0014,0.312233,40.6071091180244
55,2015-03-24,66.17,-0.0073,0.31442,40.891536925594764
56,2015-03-25,64.93,-0.0189,0.315282,41.003643359122734
57,2015-03-26,64.88,-0.0008,0.31505,40.973470861931915
