,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,123.07,,,
1,2015-01-05,121.03,-0.0167,,
2,2015-01-06,117.36,-0.0308,,
3,2015-01-07,120.66,0.0277,,
4,2015-01-08,123.97,0.0271,,
5,2015-01-09,122.21,-0.0143,,
6,2015-01-12,118.31,-0.0324,,
7,2015-01-13,120.6,0.0192,,
8,2015-01-14,120.38,-0.0018,,
9,2015-01-15,117.78,-0.0218,,
10,2015-01-16,122.86,0.0422,,
11,2015-01-20,124.74,0.0152,,
12,2015-01-21,125.09,0.0028,,
13,2015-01-22,127.3,0.0175,,
14,2015-01-23,125.57,-0.0137,,
15,2015-01-26,125.12,-0.0036,,
16,2015-01-27,123.67,-0.0117,,
17,2015-01-28,121.26,-0.0197,,
18,2015-01-29,114.14,-0.0605,,
19,2015-01-30,110.14,-0.0357,,
20,2015-02-02,111.18,0.0094,,
21,2015-02-03,108.72,-0.0224,,
22,2015-02-04,109.27,0.005,,
23,2015-02-05,111.59,0.021,,
24,2015-02-06,108.66,-0.0266,,
25,2015-02-09,107.88,-0.0072,,
26,2015-02-10,108.43,0.0051,,
27,2015-02-11,108.62,0.0018,,
28,2015-02-12,109.63,0.0093,,
29,2015-02-13,113.66,0.0361,,
30,2015-02-17,113.4,-0.0023,,
31,2015-02-18,113.57,0.0015,,
32,2015-02-19,111.97,-0.0142,,
33,2015-02-20,118.61,0.0576,,
34,2015-02-23,117.12,-0.0126,,
35,2015-02-24,116.92,-0.0017,,
36,2015-02-25,118.84,0.0163,,
37,2015-02-26,119.97,0.0095,,
38,2015-02-27,119.43,-0.0045,,
39,2015-03-02,120.17,0.0062,,
40,2015-03-03,123.52,0.0275,,
41,2015-03-04,120.05,-0.0285,,
42,2015-03-05,126.96,0.056,,
43,2015-03-06,126.34,-0.0049,,
44,2015-03-09,126.98,0.0051,,
45,2015-03-10,124.14,-0.0226,,
46,2015-03-11,122.64,-0.0122,,
47,2015-03-12,123.31,0.0054,,
48,2015-03-13,124.0,0.0056,,
49,2015-03-16,127.73,0.0296,,
50,2015-03-17,129.15,0.0111,1.1559739999999998,121.5613579839721
51,2015-03-18,129.79,0.0049,1.184144,124.52369403513634
52,2015-03-19,134.25,0.0338,1.2190590000000001,128.19532922244193
53,2015-03-20,131.0,-0.0245,1.285057,135.1356293539554
54,2015-03-23,125.79,-0.0406,1.322398,139.06238087992355
55,2015-03-24,124.34,-0.0116,1.327768,139.62708604835638
56,2015-03-25,118.64,-0.0469,1.3320679999999998,140.07927082009954
57,2015-03-26,117.6,-0.0088,1.331843,140.05560998901998
58,2015-03-27,120.34,0.023,1.332797,140.15593191279743
59,2015-03-30,121.25,0.0075,1.3327799999999999,140.1541442055603
60,2015-03-31,117.97,-0.0274,1.332475,140.12207063454133
61,2015-04-01,116.43,-0.0131,1.330405,139.90439098860912
62,2015-04-02,117.23,0.0068,1.325469,139.3853249343476
63,2015-04-06,118.25,0.0087,1.317513,138.54867794737342
