,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,54.06,,,
1,2015-01-05,53.45,-0.0112,,
2,2015-01-06,51.98,-0.028,,
3,2015-01-07,53.83,0.035,,
4,2015-01-08,54.34,0.0096,,
5,2015-01-09,53.57,-0.0144,,
6,2015-01-12,53.02,-0.0103,,
7,2015-01-13,53.22,0.0038,,
8,2015-01-14,52.37,-0.0162,,
9,2015-01-15,50.59,-0.0345,,
10,2015-01-16,53.72,0.06,,
11,2015-01-20,52.89,-0.0157,,
12,2015-01-21,52.37,-0.0098,,
13,2015-01-22,52.22,-0.0028,,
14,2015-01-23,52.0,-0.0042,,
15,2015-01-26,54.49,0.0467,,
16,2015-01-27,54.01,-0.0088,,
17,2015-01-28,52.99,-0.019,,
18,2015-01-29,52.66,-0.0064,,
19,2015-01-30,50.99,-0.0322,,
20,2015-02-02,51.03,0.0008,,
21,2015-02-03,52.37,0.026,,
22,2015-02-04,51.05,-0.0254,,
23,2015-02-05,52.09,0.0201,,
24,2015-02-06,51.7,-0.0076,,
25,2015-02-09,50.84,-0.0167,,
26,2015-02-10,51.77,0.0181,,
27,2015-02-11,51.57,-0.0039,,
28,2015-02-12,52.29,0.0139,,
29,2015-02-13,53.58,0.0243,,
30,2015-02-17,54.23,0.0121,,
31,2015-02-18,54.25,0.0004,,
32,2015-02-19,54.89,0.0118,,
33,2015-02-20,55.52,0.0113,,
34,2015-02-23,55.3,-0.0038,,
35,2015-02-24,54.89,-0.0075,,
36,2015-02-25,54.2,-0.0127,,
37,2015-02-26,54.92,0.0132,,
38,2015-02-27,55.0,0.0014,,
39,2015-03-02,55.53,0.0097,,
40,2015-03-03,53.18,-0.0432,,
41,2015-03-04,53.35,0.0031,,
42,2015-03-05,54.38,0.0192,,
43,2015-03-06,53.18,-0.0223,,
44,2015-03-09,53.47,0.0054,,
45,2015-03-10,53.06,-0.0077,,
46,2015-03-11,56.6,0.0646,,
47,2015-03-12,59.76,0.0544,,
48,2015-03-13,57.33,-0.0416,,
49,2015-03-16,58.78,0.025,,
50,2015-03-17,60.17,0.0234,0.360886,29.64057474759018
51,2015-03-18,62.32,0.0351,0.402318,33.043500582735234
52,2015-03-19,61.34,-0.0158,0.464702,38.16727267434772
53,2015-03-20,60.49,-0.0139,0.503398,41.345483190778815
54,2015-03-23,60.7,0.0035,0.532443,43.73103013231646
55,2015-03-24,60.52,-0.003,0.560728,46.054156151989126
56,2015-03-25,58.74,-0.0299,0.584704,48.02337197124568
57,2015-03-26,59.36,0.0106,0.594515,48.82917679284754
58,2015-03-27,59.12,-0.004,0.607091,49.86207878412926
59,2015-03-30,57.56,-0.0268,0.615128,50.522180032851516
60,2015-03-31,56.93,-0.0109,0.608088,49.943965177681086
61,2015-04-01,55.58,-0.024,0.609347,50.047370362717956
62,2015-04-02,55.74,0.0028,0.606597,49.821505184917015
63,2015-04-06,56.1,0.0065,0.602134,49.45494653454405
64,2015-04-07,57.15,0.0185,0.597139,49.044693238865605
65,2015-04-08,65.58,0.1376,0.592533,48.666389599247
66,2015-04-09,67.25,0.0251,0.6532819999999999,53.65587457605783
67,2015-04-10,67.38,0.002,0.723917,59.4573243338651
68,2015-04-13,65.77,-0.0242,0.783844,64.37929615571143
69,2015-04-14,65.83,0.0009,0.819975,67.34683606084819
70,2015-04-15,64.05,-0.0273,0.8449490000000001,69.39802040644851
71,2015-04-16,64.11,0.0009,0.8533360000000001,70.08686813234544
72,2015-04-17,66.98,0.0438,0.8654120000000001,71.07870372766335
73,2015-04-20,65.28,-0.0257,0.888232,72.95297403945158
74,2015-04-21,71.06,0.0848,0.8999330000000001,73.91400983779664
75,2015-04-22,69.45,-0.0228,0.953313,78.29825827089284
76,2015-04-23,70.69,0.0177,0.979457,80.44553798304848
77,2015-04-24,72.96,0.0317,1.015221,83.38293515354779
78,2015-04-27,68.8,-0.0588,1.063728,87.36695049158074
79,2015-04-28,69.75,0.0137,1.07595,88.37077747452008
80,2015-04-29,71.47,0.0243,1.096513,90.05967407492768
81,2015-04-30,69.32,-0.0305,1.127741,92.62451690124333
82,2015-05-01,70.88,0.0223,1.1407720000000001,93.69478931285212
83,2015-05-04,70.08,-0.0114,1.1625889999999999,95.48668043433693
84,2015-05-05,69.92,-0.0022,1.178459,96.79012784222822
85,2015-05-06,68.16,-0.0256,1.189849,97.72562034228379
86,2015-05-07,67.53,-0.0093,1.188775,97.63740972375352
87,2015-05-08,68.41,0.013,1.179916,96.90979532006676
88,2015-05-11,68.72,0.0045,1.175444,96.54249747456646
89,2015-05-12,67.47,-0.0183,1.170179,96.11006832506756
90,2015-05-13,67.97,0.0074,1.160906,95.34845094552276
91,2015-05-14,68.62,0.0096,1.1378279999999998,93.4529903734172
92,2015-05-15,67.79,-0.0121,1.11458,91.54356722668395
93,2015-05-18,68.48,0.01,1.0920990000000002,89.69713993135919
94,2015-05-19,68.45,-0.0004,1.060037,87.0637983565759
95,2015-05-20,67.58,-0.0127,1.025789,84.25091449863886
96,2015-05-21,67.09,-0.0073,0.9812090000000001,80.58943463450568
97,2015-05-22,66.83,-0.004,0.9581529999999999,78.69578098382252
98,2015-05-26,67.68,0.0127,0.9494020000000001,77.97703692166395
99,2015-05-27,69.11,0.0209,0.928442,76.25553360286108
100,2015-05-28,69.72,0.0088,0.917432,75.351251563738
101,2015-05-29,69.67,-0.0007,0.913415,75.02132413856476
102,2015-06-01,70.34,0.0095,0.9156010000000001,75.20086642171854
103,2015-06-02,69.34,-0.0143,0.9159139999999999,75.22657398559187
104,2015-06-03,69.44,0.0015,0.9082819999999999,74.5997365176003
105,2015-06-04,71.27,0.0259,0.9005500000000001,73.96468577041597
106,2015-06-05,71.12,-0.002,0.8965529999999999,73.63640100108128
107,2015-06-08,70.65,-0.0066,0.8794719999999999,72.23349078216565
108,2015-06-09,70.8,0.002,0.862046,70.80224475003499
109,2015-06-10,71.05,0.0035,0.8407819999999999,69.05577306248611
110,2015-06-11,71.09,0.0007,0.8042529999999999,66.05554430616218
111,2015-06-12,70.7,-0.0055,0.7561979999999999,62.108652990080515
112,2015-06-15,70.6,-0.0015,0.6822839999999999,56.03788980754259
113,2015-06-16,69.12,-0.0211,0.5957370000000001,48.92954306458309
114,2015-06-17,68.33,-0.0114,0.49173900000000004,40.38789696969472
115,2015-06-18,69.61,0.0185,0.37783,31.03223277401173
116,2015-06-19,68.71,-0.013,0.36783099999999996,30.21098698752748
117,2015-06-22,68.51,-0.0028,0.365124,29.988653519779426
118,2015-06-23,68.13,-0.0056,0.36288200000000004,29.80451180027771
119,2015-06-24,67.98,-0.0023,0.353058,28.99763925238079
120,2015-06-25,67.5,-0.0071,0.343435,28.207275395661327
121,2015-06-26,66.25,-0.0186,0.318018,26.119706223237074
122,2015-06-29,64.88,-0.0209,0.29769,24.450110828932463
123,2015-06-30,65.1,0.0034,0.313959,25.786329220802873
124,2015-07-01,66.86,0.0268,0.315639,25.92431231124127
125,2015-07-02,67.27,0.006,0.316444,25.990429208743002
126,2015-07-06,67.87,0.0089,0.319606,26.25013309681813
127,2015-07-07,68.58,0.0104,0.317272,26.05843516045907
128,2015-07-08,66.15,-0.036,0.296879,24.383501134679165
129,2015-07-09,67.49,0.02,0.305441,25.086722099163428
130,2015-07-10,68.32,0.0123,0.306084,25.139533484372887
131,2015-07-13,68.17,-0.0022,0.296648,24.364528459743887
132,2015-07-14,68.51,0.0051,0.296344,24.33956009099789
133,2015-07-15,67.21,-0.0192,0.28974900000000003,23.797894328235255
134,2015-07-16,65.65,-0.0234,0.28907,23.7421261625164
135,2015-07-17,65.68,0.0004,0.296568,24.357957836389676
136,2015-07-20,64.25,-0.022,0.305697,25.107748093896898
137,2015-07-21,64.47,0.0034,0.32475099999999996,26.67270631128572
138,2015-07-22,65.14,0.0102,0.340958,28.00383247005662
139,2015-07-23,63.85,-0.0199,0.350835,28.815058055925697
140,2015-07-24,63.26,-0.0094,0.369359,30.336485893592883
141,2015-07-27,54.08,-0.1568,0.39185899999999996,32.18447371196427
142,2015-07-28,54.06,-0.0004,0.542818,44.5831578485655
143,2015-07-29,54.91,0.0157,0.65634,53.907036653772494
144,2015-07-30,54.06,-0.0157,0.737682,60.58788221474875
145,2015-07-31,53.71,-0.0064,0.817271,67.12474899147591
146,2015-08-03,52.95,-0.0142,0.8910009999999999,73.18039974029914
147,2015-08-04,52.45,-0.0096,0.96411,79.18504602533534
148,2015-08-05,52.38,-0.0013,1.034237,84.94477232484338
149,2015-08-06,53.15,0.0145,1.0968259999999999,90.08538163880101
150,2015-08-07,54.06,0.017,1.14395,93.95580732559807
151,2015-08-10,55.19,0.0207,1.1777389999999999,96.73099223204034
152,2015-08-11,54.81,-0.007,1.200585,98.6073979964187
153,2015-08-12,53.11,-0.0315,1.22045,100.23896590806082
154,2015-08-13,52.01,-0.0208,1.2508679999999999,102.73728117291508
155,2015-08-14,52.15,0.0026,1.284324,105.48511585964546
156,2015-08-17,53.23,0.0206,1.305464,107.22140308099529
157,2015-08-18,53.48,0.0047,1.316464,108.1248637921991
158,2015-08-19,52.85,-0.0119,1.324616,108.79441031199303
159,2015-08-20,50.87,-0.0381,1.332016,109.4021929722574
160,2015-08-21,49.4,-0.0293,1.345679,110.52437330836445
161,2015-08-24,47.78,-0.0334,1.36367,112.0020243679342
162,2015-08-25,47.11,-0.0142,1.3893389999999999,114.1102910039242
163,2015-08-26,49.05,0.0403,1.414225,116.15424766383491
164,2015-08-27,49.39,0.007,1.4281979999999999,117.30188916543949
165,2015-08-28,48.32,-0.022,1.4396,118.2383672589982
166,2015-08-31,47.57,-0.0156,1.446808,118.83038042321247
167,2015-09-01,46.32,-0.0266,1.458262,119.7711294219514
168,2015-09-02,46.64,0.0068,1.473407,121.01503055569516
169,2015-09-03,45.49,-0.025,1.483583,121.8508138463506
170,2015-09-04,46.09,0.0132,1.496538,122.91484416577288
171,2015-09-08,46.74,0.0138,1.50346,123.48336735149586
172,2015-09-09,45.62,-0.0241,1.508713,123.91481090749163
173,2015-09-10,45.85,0.005,1.5219530000000001,125.0022490726133
