,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,33.07,,,
1,2015-01-05,32.79,-0.0083,,
2,2015-01-06,33.12,0.01,,
3,2015-01-07,32.91,-0.0065,,
4,2015-01-08,33.62,0.0212,,
5,2015-01-09,33.32,-0.0089,,
6,2015-01-12,33.55,0.0068,,
7,2015-01-13,33.62,0.0021,,
8,2015-01-14,33.47,-0.0045,,
9,2015-01-15,33.56,0.0028,,
10,2015-01-16,34.19,0.0187,,
11,2015-01-20,34.33,0.004,,
12,2015-01-21,34.38,0.0015,,
13,2015-01-22,34.06,-0.0094,,
14,2015-01-23,33.6,-0.0137,,
15,2015-01-26,33.46,-0.004,,
16,2015-01-27,33.03,-0.0131,,
17,2015-01-28,32.81,-0.0065,,
18,2015-01-29,32.85,0.0013,,
19,2015-01-30,32.57,-0.0087,,
20,2015-02-02,33.47,0.0274,,
21,2015-02-03,34.08,0.0179,,
22,2015-02-04,34.06,-0.0006,,
23,2015-02-05,34.1,0.0013,,
24,2015-02-06,35.15,0.0303,,
25,2015-02-09,34.98,-0.0049,,
26,2015-02-10,35.28,0.0085,,
27,2015-02-11,35.49,0.006,,
28,2015-02-12,35.28,-0.0058,,
29,2015-02-13,35.13,-0.0042,,
30,2015-02-17,35.04,-0.0026,,
31,2015-02-18,34.87,-0.0049,,
32,2015-02-19,34.85,-0.0006,,
33,2015-02-20,34.89,0.0012,,
34,2015-02-23,34.75,-0.0041,,
35,2015-02-24,35.07,0.0092,,
36,2015-02-25,35.06,-0.0004,,
37,2015-02-26,35.18,0.0034,,
38,2015-02-27,35.23,0.0016,,
39,2015-03-02,35.25,0.0004,,
40,2015-03-03,35.31,0.0016,,
41,2015-03-04,34.96,-0.0097,,
42,2015-03-05,34.86,-0.0031,,
43,2015-03-06,34.41,-0.013,,
44,2015-03-09,34.36,-0.0012,,
45,2015-03-10,33.85,-0.015,,
46,2015-03-11,33.97,0.0036,,
47,2015-03-12,34.72,0.0218,,
48,2015-03-13,34.8,0.0023,,
49,2015-03-16,35.11,0.0088,,
50,2015-03-17,34.88,-0.0065,0.16250499999999998,32.45469406622014
51,2015-03-18,35.3,0.012,0.160149,31.984165410363314
52,2015-03-19,35.13,-0.0049,0.157183,31.391810574509588
53,2015-03-20,35.31,0.0053,0.155106,30.977002417372642
54,2015-03-23,35.37,0.0016,0.151894,30.335517679421816
55,2015-03-24,35.21,-0.0046,0.152443,30.445161241419015
56,2015-03-25,34.72,-0.0139,0.150549,30.066900938281137
57,2015-03-26,34.5,-0.0064,0.148423,29.642306743734608
58,2015-03-27,34.6,0.0029,0.146377,29.233689753122096
59,2015-03-30,35.0,0.0115,0.143445,28.648125228940327
60,2015-03-31,34.65,-0.01,0.141312,28.222133029049573
61,2015-04-01,34.86,0.0059,0.140927,28.145242735117108
62,2015-04-02,35.25,0.0112,0.140931,28.14604159531381
63,2015-04-06,35.36,0.0032,0.14188499999999998,28.336569752226975
64,2015-04-07,35.11,-0.0073,0.142454,28.45020761520768
65,2015-04-08,35.4,0.0084,0.140027,27.965499190859408
66,2015-04-09,35.31,-0.0024,0.137325,27.425869127987944
67,2015-04-10,35.47,0.0043,0.130158,25.994511370549098
68,2015-04-13,35.34,-0.0037,0.119997,23.965206755879628
69,2015-04-14,35.44,0.0029,0.108037,21.57661476774392
70,2015-04-15,35.59,0.0043,0.088875,17.74967499544823
71,2015-04-16,35.5,-0.0024,0.081386,16.254008992174963
72,2015-04-17,35.24,-0.0075,0.079,15.777488884842874
73,2015-04-20,35.58,0.0098,0.075008,14.980226408535373
74,2015-04-21,35.43,-0.0043,0.07227,14.433406603893602
75,2015-04-22,35.72,0.0081,0.072985,14.576202864053887
76,2015-04-23,36.06,0.0096,0.075189,15.016374832436089
77,2015-04-24,36.05,-0.0004,0.079756,15.928473462019344
78,2015-04-27,36.09,0.001,0.08327899999999999,16.632069580263664
79,2015-04-28,36.42,0.0093,0.08741199999999999,17.457491878504875
80,2015-04-29,36.37,-0.0016,0.09443199999999999,18.859491523714965
81,2015-04-30,36.35,-0.0006,0.10014200000000001,19.99986445450551
82,2015-05-01,36.32,-0.0006,0.10484199999999999,20.938525185629068
83,2015-05-04,36.4,0.0022,0.108826,21.734189941543175
84,2015-05-05,36.09,-0.0085,0.11307299999999999,22.582379755390356
85,2015-05-06,35.77,-0.009,0.11451499999999999,22.870368856301035
86,2015-05-07,35.83,0.0018,0.11515800000000001,22.998785632920708
87,2015-05-08,36.13,0.0082,0.115921,23.151168215441402
88,2015-05-11,35.88,-0.0068,0.118003,23.566974947824225
89,2015-05-12,35.75,-0.0036,0.118956,23.757303389688214
90,2015-05-13,35.83,0.0022,0.119475,23.860955500210157
91,2015-05-14,36.01,0.0048,0.120203,24.006348056009724
92,2015-05-15,35.88,-0.0036,0.120986,24.16272493951392
93,2015-05-18,35.74,-0.0038,0.120877,24.140955999153825
94,2015-05-19,35.7,-0.001,0.118104,23.587146167790923
95,2015-05-20,35.8,0.0028,0.114677,22.90272269426742
96,2015-05-21,35.96,0.0042,0.10626300000000001,21.22232027050707
97,2015-05-22,35.75,-0.0058,0.09844,19.65994944080927
98,2015-05-26,35.61,-0.0038,0.096063,19.185226768919758
99,2015-05-27,35.72,0.003,0.093835,18.740261639357357
100,2015-05-28,35.7,-0.0006,0.09306800000000001,18.58708019663996
101,2015-05-29,35.62,-0.002,0.091105,18.195039555108988
102,2015-06-01,35.47,-0.0045,0.090748,18.123741282553432
103,2015-06-02,35.41,-0.0016,0.08989599999999999,17.953584060656137
104,2015-06-03,35.37,-0.0012,0.0897,17.914439911017794
105,2015-06-04,34.66,-0.0202,0.08970800000000001,17.9160376314112
106,2015-06-05,34.03,-0.0183,0.09269500000000001,18.5125864832976
107,2015-06-08,34.18,0.0044,0.09917999999999999,19.80773857719894
108,2015-06-09,34.11,-0.0021,0.10208,20.386912219807098
109,2015-06-10,34.21,0.0027,0.106324,21.234502888506757
110,2015-06-11,34.41,0.0061,0.111514,22.271023993726182
111,2015-06-12,34.05,-0.0107,0.113103,22.588371206865613
112,2015-06-15,33.87,-0.0053,0.118753,23.716761234705643
113,2015-06-16,34.17,0.0089,0.12678599999999998,25.321072224730234
114,2015-06-17,34.06,-0.0032,0.131764,26.31525373952451
115,2015-06-18,34.42,0.0105,0.136885,27.337994506350846
116,2015-06-19,34.2,-0.0065,0.139713,27.902788665418388
117,2015-06-22,34.25,0.0015,0.143646,28.68826795382455
118,2015-06-23,34.42,0.005,0.147051,29.368297696266193
119,2015-06-24,34.08,-0.0101,0.149362,29.82983917491014
120,2015-06-25,34.18,0.0032,0.153399,30.636088828430534
121,2015-06-26,34.31,0.0038,0.156405,31.23643226625126
