,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,34.56,,,
1,2015-01-05,32.41,-0.0643,,
2,2015-01-06,32.22,-0.0059,,
3,2015-01-07,32.47,0.0079,,
4,2015-01-08,32.72,0.0075,,
5,2015-01-09,32.1,-0.019,,
6,2015-01-12,31.4,-0.022,,
7,2015-01-13,31.48,0.0023,,
8,2015-01-14,31.28,-0.0064,,
9,2015-01-15,31.06,-0.007,,
10,2015-01-16,31.29,0.0073,,
11,2015-01-20,31.22,-0.002,,
12,2015-01-21,31.86,0.0201,,
13,2015-01-22,32.07,0.0065,,
14,2015-01-23,31.92,-0.0045,,
15,2015-01-26,31.94,0.0006,,
16,2015-01-27,31.53,-0.0129,,
17,2015-01-28,31.09,-0.0139,,
18,2015-01-29,31.0,-0.0029,,
19,2015-01-30,30.95,-0.0018,,
20,2015-02-02,31.53,0.0186,,
21,2015-02-03,32.12,0.0185,,
22,2015-02-04,31.67,-0.0142,,
23,2015-02-05,31.64,-0.0009,,
24,2015-02-06,31.94,0.0094,,
25,2015-02-09,31.87,-0.0023,,
26,2015-02-10,32.12,0.0079,,
27,2015-02-11,31.99,-0.004,,
28,2015-02-12,32.32,0.0102,,
29,2015-02-13,32.86,0.0165,,
30,2015-02-17,32.69,-0.005,,
31,2015-02-18,32.65,-0.0014,,
32,2015-02-19,32.49,-0.0048,,
33,2015-02-20,32.83,0.0103,,
34,2015-02-23,32.63,-0.0061,,
35,2015-02-24,32.77,0.0042,,
36,2015-02-25,32.84,0.0022,,
37,2015-02-26,32.59,-0.0075,,
38,2015-02-27,32.53,-0.002,,
39,2015-03-02,32.96,0.0131,,
40,2015-03-03,32.9,-0.0019,,
41,2015-03-04,32.52,-0.0114,,
42,2015-03-05,32.42,-0.0031,,
43,2015-03-06,32.05,-0.0116,,
44,2015-03-09,32.12,0.0023,,
45,2015-03-10,31.62,-0.0157,,
46,2015-03-11,31.51,-0.0035,,
47,2015-03-12,32.05,0.0169,,
48,2015-03-13,31.54,-0.0161,,
49,2015-03-16,31.92,0.0121,,
50,2015-03-17,31.59,-0.0103,0.127464,15.644652754519631
51,2015-03-18,32.69,0.034,0.108294,13.2917688555039
52,2015-03-19,32.38,-0.0092,0.109271,13.411683700018159
53,2015-03-20,32.8,0.0126,0.109573,13.44875051991919
54,2015-03-23,31.98,-0.025,0.11086499999999999,13.607327775919623
55,2015-03-24,31.96,-0.0009,0.109282,13.41303381597482
56,2015-03-25,31.66,-0.0095,0.109278,13.412542864717853
57,2015-03-26,31.59,-0.002,0.108421,13.307356557912613
58,2015-03-27,31.87,0.0086,0.108025,13.25875238347285
59,2015-03-30,32.21,0.0108,0.10611599999999999,13.02444589608521
60,2015-03-31,31.91,-0.0094,0.102669,12.601368650393649
61,2015-04-01,32.27,0.0111,0.100496,12.33465938004617
62,2015-04-02,32.61,0.0107,0.097794,12.003021805964767
63,2015-04-06,32.87,0.0078,0.09852999999999999,12.093356837246747
64,2015-04-07,32.87,0.0,0.10059799999999999,12.347178637098835
65,2015-04-08,32.12,-0.023,0.102368,12.564424568306862
66,2015-04-09,31.86,-0.0083,0.10220800000000001,12.544786518028172
67,2015-04-10,32.08,0.0068,0.101103,12.409161233290956
68,2015-04-13,32.04,-0.0011,0.09679299999999999,11.880161253908701
69,2015-04-14,32.08,0.0011,0.09132199999999999,11.208662672191691
70,2015-04-15,32.34,0.0082,0.084668,10.391965256226607
71,2015-04-16,32.65,0.0095,0.08254,10.13077918752001
72,2015-04-17,32.02,-0.0194,0.083212,10.213258998690513
73,2015-04-20,32.31,0.0091,0.081907,10.053086151104935
74,2015-04-21,32.22,-0.0028,0.080133,9.835349268639943
75,2015-04-22,32.31,0.0028,0.07962799999999999,9.773366672447821
76,2015-04-23,32.71,0.0123,0.078831,9.67554463449709
77,2015-04-24,32.47,-0.0075,0.079538,9.762320269166059
78,2015-04-27,33.08,0.0186,0.079225,9.72390333330837
79,2015-04-28,33.14,0.0019,0.081928,10.055663645204014
80,2015-04-29,33.38,0.0071,0.083648,10.266772685699948
81,2015-04-30,33.73,0.0106,0.087825,10.77944853578804
82,2015-05-01,33.84,0.0032,0.095245,11.690163117462362
83,2015-05-04,33.62,-0.0065,0.10327700000000001,12.675993241452678
84,2015-05-05,33.39,-0.0071,0.107927,13.24672407767715
85,2015-05-06,33.29,-0.003,0.11100099999999999,13.624020118656512
86,2015-05-07,33.43,0.0044,0.11308299999999999,13.879560247907985
87,2015-05-08,33.62,0.0057,0.115785,14.21119782198939
88,2015-05-11,33.54,-0.0024,0.120061,14.736024715687423
89,2015-05-12,33.25,-0.0087,0.12355100000000001,15.164379687391383
90,2015-05-13,33.52,0.0082,0.124635,15.297427478029517
91,2015-05-14,33.8,0.0081,0.127294,15.623787326098522
92,2015-05-15,33.56,-0.007,0.132027,16.20470540090507
93,2015-05-18,33.72,0.0049,0.134908,16.558313043735758
94,2015-05-19,33.51,-0.0062,0.13784000000000002,16.918180315092783
95,2015-05-20,33.54,0.0008,0.139497,17.121556873291482
96,2015-05-21,33.84,0.0089,0.138993,17.059697014913603
97,2015-05-22,33.71,-0.004,0.139046,17.066202119068418
98,2015-05-26,33.24,-0.0139,0.14050200000000002,17.244908376604513
99,2015-05-27,33.39,0.0044,0.137242,16.844783102176173
100,2015-05-28,33.57,0.0055,0.13625199999999998,16.723272666076767
101,2015-05-29,33.45,-0.0035,0.13373100000000002,16.413850636373134
102,2015-06-01,33.48,0.0008,0.134703,16.533151791816184
103,2015-06-02,33.56,0.0025,0.135148,16.587770119153795
104,2015-06-03,33.81,0.0073,0.136414,16.743156191983942
105,2015-06-04,33.31,-0.0147,0.136348,16.73505549624398
106,2015-06-05,33.28,-0.0011,0.13411199999999998,16.460613743599264
107,2015-06-08,33.06,-0.0066,0.129554,15.901174786285042
108,2015-06-09,33.02,-0.0011,0.123779,15.192363909038518
109,2015-06-10,33.41,0.0116,0.11969300000000001,14.690857200046434
110,2015-06-11,33.76,0.0106,0.117927,14.474102220095375
111,2015-06-12,33.42,-0.0101,0.11510400000000001,14.127613370490712
112,2015-06-15,33.04,-0.0116,0.113139,13.886433565505529
113,2015-06-16,33.34,0.0091,0.112307,13.784315704056333
114,2015-06-17,33.28,-0.0019,0.112227,13.774496678916986
115,2015-06-18,33.75,0.0142,0.11204700000000001,13.75240387235346
116,2015-06-19,33.33,-0.0125,0.109605,13.45267812997493
117,2015-06-22,33.84,0.0153,0.10345499999999999,12.69784057238772
118,2015-06-23,34.12,0.0081,0.100047,12.279550101451592
119,2015-06-24,34.07,-0.0013,0.097178,11.927415312391805
120,2015-06-25,33.81,-0.0078,0.093621,11.490836907133641
121,2015-06-26,33.79,-0.0005,0.090494,11.107035761999464
122,2015-06-29,33.17,-0.0186,0.08913700000000001,10.940480548073312
123,2015-06-30,33.91,0.0221,0.081194,9.965574089550516
124,2015-07-01,33.67,-0.007,0.076629,9.405275967536598
125,2015-07-02,33.6,-0.0022,0.069259,8.500698276574369
126,2015-07-06,33.16,-0.0132,0.061711,7.574273254677094
127,2015-07-07,33.28,0.0036,0.058665,7.200413872496504
128,2015-07-08,32.54,-0.0225,0.051795,6.357205088655184
129,2015-07-09,32.51,-0.0008,0.056959,6.991023161399955
130,2015-07-10,32.37,-0.0042,0.062229,7.637851442454358
131,2015-07-13,32.98,0.0188,0.069086,8.479464634710533
132,2015-07-14,33.38,0.0119,0.069879,8.576795721404297
133,2015-07-15,32.88,-0.0149,0.06905800000000001,8.476027975911762
134,2015-07-16,32.95,0.0019,0.070477,8.650192934320907
135,2015-07-17,32.76,-0.0058,0.07164799999999999,8.79391891479808
136,2015-07-20,32.72,-0.0011,0.07377399999999999,9.054859507876195
137,2015-07-21,32.19,-0.0163,0.07607,9.33666552937542
138,2015-07-22,32.0,-0.006,0.082435,10.117891717024618
139,2015-07-23,31.71,-0.0089,0.090159,11.065918594228453
140,2015-07-24,31.68,-0.0012,0.100215,12.300170054244218
141,2015-07-27,31.47,-0.0067,0.109198,13.402723839578508
142,2015-07-28,31.81,0.011,0.118505,14.545044676727148
143,2015-07-29,32.23,0.0129,0.124021,15.22206646008504
144,2015-07-30,32.22,-0.0003,0.125754,15.434771092166118
145,2015-07-31,31.59,-0.0198,0.127853,15.6923977642597
146,2015-08-03,30.96,-0.0199,0.133919,16.436925345450597
147,2015-08-04,30.86,-0.0033,0.144056,17.681118568419947
148,2015-08-05,31.0,0.0044,0.154257,18.933167011500778
149,2015-08-06,30.81,-0.0062,0.163008,20.007245623930963
150,2015-08-07,30.64,-0.0054,0.172249,21.141465765339646
151,2015-08-10,31.18,0.0175,0.181399,22.264516765652317
152,2015-08-11,30.72,-0.0151,0.18581299999999998,22.806281477715718
153,2015-08-12,30.79,0.0024,0.192865,23.67182854374905
154,2015-08-13,30.63,-0.0051,0.19831,24.34013594229577
155,2015-08-14,30.83,0.0063,0.203146,24.933696011969225
156,2015-08-17,30.89,0.0021,0.207702,25.492889493654967
157,2015-08-18,30.56,-0.0107,0.211456,25.95364724831877
158,2015-08-19,30.32,-0.0078,0.217253,26.665158357478614
159,2015-08-20,29.87,-0.0149,0.224114,27.507262500991757
160,2015-08-21,29.33,-0.0182,0.23244399999999998,28.529668493626133
161,2015-08-24,28.27,-0.0368,0.24264600000000003,29.78183967452121
162,2015-08-25,27.86,-0.0147,0.262962,32.27538110865806
163,2015-08-26,28.7,0.0298,0.285917,35.092827634579095
164,2015-08-27,29.61,0.0311,0.297332,36.4938797841495
165,2015-08-28,29.91,0.0101,0.301528,37.00888765270818
166,2015-08-31,29.81,-0.0034,0.30149000000000004,37.004223615766996
167,2015-09-01,28.6,-0.0415,0.303076,37.198885789154524
168,2015-09-02,28.83,0.008,0.308764,37.89701847656201
169,2015-09-03,29.72,0.0304,0.30988499999999997,38.03460756632709
170,2015-09-04,29.1,-0.0209,0.305338,37.47651872496952
171,2015-09-08,29.8,0.0237,0.304403,37.36175886865342
172,2015-09-09,29.5,-0.0102,0.299402,36.74794705963007
173,2015-09-10,29.52,0.0006,0.298284,36.61072618330771
174,2015-09-11,29.85,0.0111,0.29182600000000003,35.81808537893403
175,2015-09-14,29.6,-0.0083,0.284802,34.95597497169946
176,2015-09-15,30.34,0.0248,0.27815100000000004,34.13964576917711
177,2015-09-16,30.66,0.0102,0.271674,33.34467294633283
178,2015-09-17,30.39,-0.0087,0.263507,32.34227321741986
179,2015-09-18,29.63,-0.0254,0.25945,31.844325905040787
180,2015-09-21,29.98,0.0117,0.2568,31.519070697299956
181,2015-09-22,29.77,-0.0071,0.253462,31.109371873360757
