,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,45.14,,,
1,2015-01-05,44.23,-0.0205,,
2,2015-01-06,43.68,-0.0124,,
3,2015-01-07,45.13,0.0326,,
4,2015-01-08,45.92,0.0173,,
5,2015-01-09,45.84,-0.0018,,
6,2015-01-12,45.49,-0.0075,,
7,2015-01-13,45.31,-0.0041,,
8,2015-01-14,45.37,0.0015,,
9,2015-01-15,44.83,-0.012,,
10,2015-01-16,45.45,0.0136,,
11,2015-01-20,44.65,-0.0178,,
12,2015-01-21,44.87,0.0049,,
13,2015-01-22,46.3,0.0315,,
14,2015-01-23,46.5,0.0043,,
15,2015-01-26,46.59,0.0018,,
16,2015-01-27,46.08,-0.011,,
17,2015-01-28,45.74,-0.0072,,
18,2015-01-29,46.6,0.0186,,
19,2015-01-30,45.36,-0.0272,,
20,2015-02-02,45.64,0.0062,,
21,2015-02-03,46.19,0.012,,
22,2015-02-04,46.22,0.0005,,
23,2015-02-05,47.19,0.0208,,
24,2015-02-06,46.39,-0.017,,
25,2015-02-09,45.88,-0.0112,,
26,2015-02-10,46.49,0.0132,,
27,2015-02-11,46.43,-0.0012,,
28,2015-02-12,46.94,0.0109,,
29,2015-02-13,46.87,-0.0015,,
30,2015-02-17,47.72,0.018,,
31,2015-02-18,48.0,0.0059,,
32,2015-02-19,48.11,0.0022,,
33,2015-02-20,48.65,0.0112,,
34,2015-02-23,48.59,-0.0012,,
35,2015-02-24,48.86,0.0054,,
36,2015-02-25,49.55,0.014,,
37,2015-02-26,49.82,0.0054,,
38,2015-02-27,50.9,0.0214,,
39,2015-03-02,51.33,0.0085,,
40,2015-03-03,51.15,-0.0036,,
41,2015-03-04,50.25,-0.0177,,
42,2015-03-05,50.53,0.0055,,
43,2015-03-06,49.67,-0.017,,
44,2015-03-09,49.85,0.0035,,
45,2015-03-10,48.87,-0.0198,,
46,2015-03-11,48.0,-0.0179,,
47,2015-03-12,48.84,0.0174,,
48,2015-03-13,48.64,-0.0042,,
49,2015-03-16,49.06,0.0087,,
50,2015-03-17,48.86,-0.0042,0.379149,56.28610105700717
51,2015-03-18,49.53,0.0138,0.377462,56.03565953538066
52,2015-03-19,49.41,-0.0025,0.372815,55.34579483413679
53,2015-03-20,49.7,0.006,0.36254600000000003,53.82132299917374
54,2015-03-23,49.74,0.0008,0.361444,53.65772693703241
55,2015-03-24,50.31,0.0113,0.36310299999999995,53.904011752905774
56,2015-03-25,49.67,-0.0128,0.366479,54.4051917037126
57,2015-03-26,49.29,-0.0076,0.364708,54.14228006482668
58,2015-03-27,49.14,-0.0031,0.360025,53.44707102761449
59,2015-03-30,49.83,0.0139,0.354609,52.643045371936246
60,2015-03-31,49.4,-0.0087,0.347162,51.537510095378664
61,2015-04-01,49.47,0.0015,0.34117600000000003,50.6488657868687
62,2015-04-02,50.07,0.012,0.328811,48.81323483552795
63,2015-04-06,50.03,-0.0008,0.3187,47.312218697314734
64,2015-04-07,49.13,-0.0182,0.316651,47.00803690845124
65,2015-04-08,49.39,0.0054,0.312618,46.40932282622259
66,2015-04-09,49.78,0.0079,0.309051,45.879788204028294
67,2015-04-10,50.48,0.0138,0.303153,45.00420782788533
68,2015-04-13,50.92,0.0087,0.296596,44.03079641276675
69,2015-04-14,50.22,-0.0137,0.296622,44.034656210966084
70,2015-04-15,50.21,-0.0003,0.283355,42.06511995286357
71,2015-04-16,50.14,-0.0014,0.270808,40.20247041412742
72,2015-04-17,50.31,0.0033,0.261245,38.78280694565419
73,2015-04-20,51.15,0.0167,0.251133,37.281642353664076
74,2015-04-21,51.0,-0.003,0.250878,37.24378664055515
75,2015-04-22,53.01,0.0387,0.242788,36.04279558545231
76,2015-04-23,53.03,0.0004,0.24387699999999998,36.20446174849396
77,2015-04-24,54.94,0.0354,0.248371,36.87161302187248
78,2015-04-27,54.63,-0.0056,0.27279800000000004,40.497893430153965
79,2015-04-28,54.78,0.0027,0.291908,43.334845106670066
80,2015-04-29,54.41,-0.0068,0.308076,45.73504577155298
